ZINC01174928	O=Cc1ccc(OCc2ccc(C(=O)[O-])cc2)c(I)c1
ZINC00596945	CC(C(=O)[O-])c1ccc2cc(OCc3ccc4ccccc4n3)ccc2c1
ZINC06656462	CCOc1cc(/C=C/C(=O)[O-])cc(Cl)c1OCc1ccc(Cl)cc1
ZINC07353171	COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1CC(=O)[O-]
ZINC11797718	COc1c(Br)cc(Cl)cc1/C=C(\C(=O)[O-])c1cccs1
ZINC11823744	O=C([O-])/C=C/c1ccccc1OCCOc1ccc(-c2ccccc2)cc1
ZINC11831945	O=C([O-])c1ccc(COc2c(Cl)cc(Cl)cc2Br)o1
ZINC11947325	Cc1cc(OCc2ccc(CC(=O)[O-])cc2)c(C)c(C)c1Br
ZINC11949716	O=C([O-])/C=C/c1cc(Cl)ccc1OCCOc1ccc2ccccc2c1
ZINC13014437	O=C([O-])c1c(Cl)c(Cl)cc(Cl)c1OCc1ccc(Cl)cc1
ZINC13186450	O=C(/C=C/c1cccc(Cl)c1Cl)N1CCC(C(=O)[O-])(c2ccccc2)CC1
ZINC13272802	O=C([O-])CC/C(=C\c1ccccc1OC(F)(F)F)c1nc2ccccc2s1
ZINC13351146	CCn1c(/C(Cl)=C/c2ccc(F)c(Br)c2)nc2cc(C(=O)[O-])ccc21
ZINC13361895	CC(Oc1ccc(C(=O)/C=C/c2ccc(F)c(Br)c2)cc1)C(=O)[O-]
ZINC13449533	CC(Sc1ccc(Cl)cc1)C(=O)N1CCc2cc(C(=O)[O-])ccc21
ZINC16905919	CCC(C)c1ccc(N2C(=O)/C(=C\c3ccccc3C(=O)[O-])SC2=S)cc1
ZINC05557305	[S-]c1nnc(COc2ccc(-c3ccccc3)cc2)n1-c1ccccc1
ZINC20901039	CSc1cccc([N-]C2=NS(=O)(=O)C(c3cccc(Cl)c3)=C2C)c1
ZINC22089089	O=C([O-])C/C(=C/c1ccc(F)c(Br)c1)c1nc2ccccc2o1
ZINC22143788	CCCSc1nc(-c2ccc(Br)cc2)nc(C)c1C(=O)[O-]
ZINC16777288	Cc1cccc(CSc2nnc(Cc3ccc(Cl)cc3)c([O-])n2)c1
ZINC23163053	O=C([O-])C/C(=C/c1ccc(Br)s1)c1nc2ccccc2s1
ZINC03160216	O=C(c1ccc(Cl)cc1Cl)C(Br)C([O-])C(Cl)(Cl)Cl
ZINC33298870	CCSc1nc2ccc([N-]S(=O)(=O)Cc3cc(F)cc(F)c3)cc2s1
ZINC37227912	CCc1ccc(C(=O)[O-])cc1S(=O)(=O)Cc1ccc(Br)s1
ZINC37310434	O=C([O-])c1c(Cl)ccc(S(=O)(=O)Cc2ccc(Cl)s2)c1Cl
ZINC01027878	CC(=O)c1sc(-c2ccccc2)cc1[N-]S(=O)(=O)c1ccccc1
ZINC02254437	O=C([O-])CCc1ccc(-c2ccccc2)n1-c1cccc(Br)c1
ZINC39861871	CCCCC(C(=O)[O-])N1C(=O)/C(=C/c2c(Cl)cccc2Cl)SC1=S
ZINC40067531	CCCCN1C(=O)C([O-])=C(C(=O)c2cccs2)C1c1ccc(Br)cc1
ZINC41962496	CC(C)CCC(C)(Oc1ccccc1I)C(=O)[O-]
ZINC37633016	C=C/C=N/N=C1\C(C(=O)C(c2ccccc2)c2ccccc2)=C([O-])c2ccccc21
ZINC43226247	CC(Cc1nn(-c2ccccc2F)c(C(C)C)c1C(=O)[O-])CC(C)(C)C
ZINC43226399	CCc1c(C(=O)[O-])c(CC(C)SC)nn1-c1ccc(C(C)(C)C)cc1
ZINC43464844	O=C(C1=C([O-])C(C(=O)C(F)(F)F)CC(c2ccccc2)C1)C(F)(F)F
ZINC48440940	O=S(=O)([N-]c1cccc(OC(F)(F)F)c1)c1sccc1Br
ZINC02061001	O=C(C(/C=N/c1cccc(Cl)c1)=C(/[O-])c1cccs1)C(F)(F)F
ZINC08566888	COc1ccc(C2CC(=O)C(/C=N/c3ccc(Br)cc3)=C([O-])C2)cc1
ZINC59148525	O=S(=O)(Cc1ccccc1)[N-]/N=C/c1ccc2c(c1)Cc1ccccc1-2
ZINC16771398	O=S(=O)(/N=C(\[N-]c1ccccc1)C(Cl)(Cl)Cl)c1ccccc1
ZINC64747845	Cc1cccc(S(=O)(=O)[N-]c2ccc3nc(SC(C)C)sc3c2)c1
ZINC64769344	CCc1csc(-c2ccc(S(=O)(=O)[N-]c3cc(F)cc(F)c3)s2)n1
ZINC64872195	CCc1ccc(OCCCc2nnc([S-])n2CC)c(Br)c1
ZINC65116808	CCc1csc(-c2csc(S(=O)(=O)[N-]c3cccc(C)c3)c2)n1
ZINC06870997	C=CCOc1ccccc1/C=C1\S/C(=N\c2ccc(CC)cc2)NC1=O
ZINC06870997	C=CCOc1ccccc1/C=C1\SC([N-]c2ccc(CC)cc2)=NC1=O
ZINC66143715	CC(C)Cc1ccc(C(C)C(=O)Oc2ccc(Cl)cc2C(=O)[O-])cc1
ZINC66143754	O=C(Oc1ccccc1C(=O)[O-])c1ccccc1I
ZINC01280007	COc1c2c(cc3c1C(CC(=O)/C=C/C1CC=C(C)CC1C)[N+](C)(C)CC3)OCO2
ZINC01280142	COc1c2c(cc3c1C(CC(=O)C1CC=C(C)CC1)[N+](C)(C)CC3)OCO2
ZINC03218579	CCOc1ccc(C2(O)C(C)[N+]3=C(CCC3)N2c2ccc(OC)cc2)cc1
ZINC01604278	COc1c(OC)c(OC)c2c(ccc3ccccc32)c1CC[N+](C)(C)C
ZINC01240113	CC(c1ccccc1)C1OCC(C[N+]2(Cc3ccccc3)CCCCC2)O1
ZINC00889940	C[n+]1cn(CC(O)COc2ccc(I)cc2)c2ccccc21
ZINC13651195	Cc1cc[n+]2ccn(CC3CC(c4ccccc4)(c4ccccc4)C(=O)O3)c2c1
ZINC13651206	CC1CCc2n(CC3CC(c4ccccc4)(c4ccccc4)C(=O)O3)cc[n+]2C1
ZINC13651208	CC1CCc2n(CC3CC(c4ccccc4)(c4ccccc4)C(=O)O3)cc[n+]2C1
ZINC15221331	COc1ccc(/C=N/[N+]2=C(c3ccccc3)C(c3ccccc3)N=C2N)cc1
ZINC17197523	C[N+]1(C)C/C(=C/C=C\c2ccccc2)C(=O)/C(=C/C=C/c2ccccc2)C1
ZINC22404986	CCc1ccc(N2CC(O)(c3ccc(C)cc3)[N+]3=C2SCCC3)cc1
ZINC22405059	COc1ccc(N2CC(O)(c3ccc(Cl)cc3)[N+]3=C2SCC3)cc1
ZINC26950132	CC(Cl)/C=C/C[N+]1(CC#Cc2cccc3ccccc23)CCOCC1
ZINC27058286	C=CCN/C(S)=C(\C(=O)c1ccc(OC)c(F)c1)[n+]1ccc2c(c1)CCCC2
ZINC27301993	CN/C(S)=C(/C(=O)c1cc(C)c(C)c(C)c1C)[n+]1ccc2c(c1)CCCC2
ZINC27302091	CCC(CC)c1cc[n+](/C(C(=O)c2ccc3c(c2)CCCC3)=C(/S)NC)cc1
ZINC27788619	FC(F)Oc1ccc(-c2c[n+](-c3ccc4c(c3)OCCO4)c3n2CCCCC3)cc1
ZINC28708442	Clc1ccc(-c2nc3c[n+](Cc4ccc(Br)cc4)ccc3[nH]2)cc1
ZINC31332633	CC[n+]1c(/C=C/C=C\C=C/N(C(C)=O)c2ccccc2)oc2ccccc21
ZINC32745441	CC(C)n1ncc2c1NC(c1ccccc1)=[N+](C1CC1)C2c1cccs1
ZINC03092955	COc1ccc(N2C3=[N+](CCCC3)C(C)C2(O)c2ccc(Cl)cc2)cc1
ZINC35047549	CC[n+]1c(-c2ccc(S(=O)(=O)N3CCCC3)cc2)csc1Nc1ccccc1
ZINC01300926	CCSc1nc2sc3c(c2c2[n+]1CC(CBr)O2)CCCC3
ZINC05006622	Cc1ccccc1NC(=O)C1c2cccc[n+]2CC(=O)N1c1c(C)cccc1C
ZINC37867753	Cc1cccc(C)c1NC1=[NH+]C([S-])=[N+](c2ccccc2)C12CCOC(C)(C)C2
ZINC06508100	FC(F)Oc1ccc(-c2csc(Nc3cccnc3)[n+]2CC2CCCO2)cc1
ZINC38644175	C[N+](C)(C)c1ccc(Cl)c(/N=N/c2ccc(NCCC#N)c(Cl)c2)c1
ZINC39543751	CCN(SC)C(=O)C1CC(c2ccccc2O)C2=[N+]1Cc1ccccc1N2
ZINC39544567	CCCN(Br)C(=O)C1CC(Cc2ccccc2)C2=[N+]1Cc1ccccc1N2
ZINC39544948	CC(C)CN(Br)C(=O)C1CC(Cc2ccccc2)C2=[N+]1Cc1ccccc1N2
ZINC39545452	CSN(C(=O)C1CC(Cc2ccccc2)C2=[N+]1Cc1ccccc1N2)c1ccccc1O
ZINC27061248	CCCc1cc[n+](/C(C(=O)c2ccc3c(c2)CCCC3)=C(\S)NC2CC2)cc1
ZINC44795753	CCCCn1cc[n+](CC(=O)NC(C)c2ccc(Br)cc2)c1
ZINC44800850	CC(=O)c1c(F)cccc1-n1cc[n+](CC(=O)NC2CCCCC2C)c1
ZINC49491715	C[NH+](Cc1csc(Br)c1)Cc1nnc(C2CCCO2)o1
ZINC08990979	Cc1c(C)n(-c2ccc(Br)cn2)c2nc[n+](Cc3ccccc3)c(N)c12
ZINC13651183	CC[n+]1c(C)ccn1CC1CC(c2ccccc2)(c2ccccc2)C(=O)O1
ZINC55077853	Cc1cc(C(C)(C)C)cc(C)c1C[n+]1ccc(CN2CCCCC2C)cc1
ZINC55094105	CC1CCCC(NC(=O)C[n+]2ccn(C)c2C(=O)c2cccs2)C1C
ZINC03227388	OC1(c2ccc(Br)cc2)C[N+](CCc2ccccc2)=C2SCCCN21
ZINC17247961	Cc1ccc(-c2c[n+](CC(=O)Nc3nc(-c4ccccc4)cs3)c3n2CCC3)cc1
ZINC17247961	Cc1ccc(-c2cn(CC(=O)Nc3nc(-c4ccccc4)cs3)c3[n+]2CCC3)cc1
ZINC17209053	O=C(Cn1cc(-c2ccccc2)[n+]2c1CCC2)Nc1nc(-c2ccc(Cl)cc2)cs1
ZINC17209053	O=C(C[n+]1cc(-c2ccccc2)n2c1CCC2)Nc1nc(-c2ccc(Cl)cc2)cs1
ZINC58550991	CCc1ccc(-c2nc(CC(=O)[n+]3ccccc3NC(C)C)cs2)cc1
ZINC07746576	CCOC(=O)c1c(NC(=O)C[n+]2cc(CC)ccc2C)sc(C)c1C
ZINC59292874	CC(C)C[n+]1c(N)n(Cc2ccccc2Br)c2ccccc21
ZINC62089286	CN(C(=O)C1CCC[NH+]1Cc1ccccc1F)C1CCS(=O)(=O)C1
ZINC17206859	O=C1c2ccccc2C(=O)N1CCC[n+]1cc(-c2ccc(Cl)cc2)n2c1CCC2
ZINC17206859	O=C1c2ccccc2C(=O)N1CCCn1cc(-c2ccc(Cl)cc2)[n+]2c1CCC2
ZINC63774634	CCCCn1cc[n+](Cc2cc(Br)ccc2OC(F)F)c1
ZINC65887056	CC1CCCCN1Cc1cc[n+](Cc2cc(Br)ccc2F)cc1
ZINC04028258	COc1c2c(cc3c1C(CC(=O)/C=C/C1CC=C(C)CC1C)[N+](C)(C)CC3)OCO2
ZINC04974719	O=C1c2ccccc2C(=O)c2cc(C[n+]3ccccc3C3OCCO3)ccc21
ZINC05006577	Cc1ccccc1NC(=O)C1c2cccc[n+]2CC(=O)N1c1cccc(C)c1C
ZINC03166386	CC[n+]1c(C=C2C=C(C)N(Cc3ccncc3)C(C)=C2)sc2ccccc21
ZINC01612993	COC(=O)CCCC[n+]1ccc2c(C)c3[nH]c4ccccc4c3c(C)c2c1
ZINC07613049	CC(C(=O)Nc1c(Cl)cc(Cl)cc1Cl)[N+]12CCN(CC1)CC2
ZINC07286026	O=c1[nH]c(C[n+]2cccc(O)c2)nc2scc(-c3ccc(Cl)cc3)c12
ZINC09244105	Cn1c(-c2ccccc2)nc2c(/C=C/c3cc4c(cc3Br)OCO4)[n+](C)ccc21
ZINC12523750	CC[n+]1c(C=C2C=C(C)N(CCCn3ccnc3)C(C)=C2)sc2ccccc21
ZINC13651213	CC1CC[n+]2ccn(CC3CC(c4ccccc4)(c4ccccc4)C(=O)O3)c2C1
ZINC14926831	C=CC1C[N+]2(Cc3ccccc3)CCC1CC2C(O)c1ccnc2ccccc12
ZINC16477894	N#CC1C(S)=NC(O)(c2ccccc2)C([n+]2ccc3ccccc3c2)C1c1ccc(F)cc1
ZINC16952807	CC[N+]1(C)CCC(O)(/C=C/c2ccccc2)C(C(=O)/C=C/c2ccccc2)C1
ZINC22405000	CCc1ccc(N2CC(O)(c3ccc(Br)cc3)[N+]3=C2SCCC3)cc1
ZINC22405372	COc1ccc(C2(O)CN(c3ccc(Cl)cc3)C3=[N+]2CCS3)c(F)c1
ZINC22687804	C=CCN/C(S)=C(\C(=O)c1ccc(C(C)C)cc1)[n+]1ccc2c(c1)CCCC2
ZINC22734206	CN/C(S)=C(/C(=O)c1cc(C)c(C)cc1C)[n+]1ccc2c(c1)CCCC2
ZINC13510443	CCOc1ccc(C2(O)C[N+]3=C(CCCCC3)N2c2ccc(OC)cc2)cc1
ZINC13765753	OC1(c2ccc(OC(F)F)cc2)C[N+]2=C(CCCCC2)N1c1ccccc1
ZINC00623184	COc1ccc(N2C3=[N+](CCCCC3)CC2(O)c2ccc(Cl)cc2)cc1
ZINC00639540	COc1ccc(C2(O)C[N+]3=C(CSCC3)N2c2ccc(Br)cc2)cc1
ZINC27058923	C=CCN/C(S)=C(/C(=O)c1cc(C)c(C)c(C)c1C)[n+]1ccc(N(C)C)cc1
ZINC27302246	CN/C(S)=C(/C(=O)c1cc(OC)ccc1OC)[n+]1ccc2c(c1)CCCC2
ZINC27471289	CCc1cccc[n+]1/C(C(=O)c1ccc(C)s1)=C(/S)NC1CC2CCC1C2
ZINC27788698	FC(F)Oc1ccc(-[n+]2cc(-c3ccc4c(c3)OCCO4)n3c2CCC3)cc1
ZINC28572464	CC(C)(C)c1ccc(NC(=O)c2ccccc2C[n+]2ccc3[nH]cnc3c2)cc1
ZINC29319280	CC(C)C(NC(=O)C[n+]1ccc2ccccc2c1)c1ccc2c(c1)OCCCO2
ZINC29394485	Cc1ccccc1CCNC(=O)C(C)[n+]1ccc(Cc2ccccc2)cc1
ZINC29462710	CCC(CC)c1cc[n+](C(C)C(=O)Nc2c(C)cc(C)cc2Cl)cc1
ZINC29576703	CCc1cccc[n+]1CC(=O)NC(c1ccc2c(c1)OCCCO2)C(C)C
ZINC02965938	COc1ccc(N2CC(O)(c3ccc(Cl)cc3)[N+]3=C2SCCC3)cc1
ZINC03239644	Cc1ccc(C)c(N2C3=[N+](CCCS3)CC2(O)c2ccc(OC(F)F)cc2)c1
ZINC33655966	Nc1sc(C(c2ccccc2)c2ccccc2)n[n+]1CC(=O)c1cccs1
ZINC05466008	CCOc1ccc(C2(O)C(C)[N+]3=C(CCCCC3)N2c2ccc(OC)cc2)cc1
ZINC02966258	CCOc1ccc(C2(O)CN(c3cccc(C)c3C)C3=[N+]2CCCC3)cc1
ZINC35618445	Nc1sc(C(=O)c2cccs2)n[n+]1-c1c(Cl)cc(Cl)cc1Cl
ZINC35853785	CC(=O)C1(c2ccccc2)CC[NH+](C(C)C(=O)NCc2ccccn2)CC1
ZINC01463617	CC[n+]1c(-c2ccccc2)csc1Nc1c(C)n(C)n(-c2ccccc2)c1=O
ZINC39545547	O=C(C1CC(Cc2ccccc2)C2=[N+]1Cc1ccccc1N2)N(Cl)c1ccccc1O
ZINC39729423	C=CC[n+]1c(-c2ccc(S(=O)(=O)N(C)C)cc2)csc1Nc1ccccc1
ZINC42633308	CC(NC(=O)C(C)[n+]1ccc2c(c1)CCCC2)c1ccc2ccccc2c1
ZINC44557160	CCc1cccc[n+]1/C(C(=O)c1ccc2c(c1)OCCCO2)=C(/S)NC(C)C
ZINC44794747	CCCCn1cc[n+](C(C)C(=O)Nc2c(Cl)cc(Cl)cc2Cl)c1
ZINC44800773	CC(=O)c1c(F)cccc1-n1cc[n+](CC(=O)N(c2ccccc2)C(C)C)c1
ZINC44801233	CC(=O)c1c(F)cccc1-n1cc[n+](C(C)C(=O)NCCc2ccccc2C)c1
ZINC53940064	C[NH2+]C(CCN1CCS(=O)(=O)CC1)c1ccc(Br)cc1
ZINC53940966	CC[NH2+]C(CCN1CCS(=O)CC1)c1ccc(Br)cc1
ZINC55052049	CC(=O)c1cc[n+](CC(=O)c2cc(C)n(-c3ccc(C(C)(C)C)cc3)c2C)cc1
ZINC66345540	FC(F)(F)c1ccc(-c2nc(C[n+]3ccc4c(c3)CCCC4)cs2)cc1
ZINC67437885	CC1CCCCN1Cc1cc[n+](Cc2ccc(Br)s2)cc1
ZINC04360400	CCC1=CC2CC3(C(=O)OC)c4[nH]c5ccccc5c4CC[N+](C)(C2)C13
ZINC07644572	O=C(C[n+]1cccc(O)c1)Nc1cccc2c1C(=O)c1ccccc1C2=O
ZINC12848678	OC(COc1ccccc1)Cn1cc[n+](Cc2ccccc2Cl)c1
ZINC15455759	CC(C(=O)NCCc1ccccc1)[n+]1ccc(Cc2ccccc2)cc1
ZINC15456026	CC(=O)c1c(C)[nH]c(C(=O)C(C)[n+]2ccc(C(=O)c3ccccc3)cc2)c1C
ZINC16134009	Cc1ncc(C[n+]2csc(CCOC(=O)C34CC5CC(CC(C)(C5)C3)C4)c2C)c(N)n1
ZINC01800409	O=[N+]([O-])c1ccc(C2(O)C[N+]3=C(CCCCC3)N2c2ccccc2)cc1
ZINC00623450	CCOc1ccc(C2(O)C[N+]3=C(CCCCC3)N2c2ccc3c(c2)OCCO3)cc1
ZINC09369193	O=[N+]([O-])c1cccc(C2(O)CN(c3ccc(Br)cc3)C3=[N+]2CCCS3)c1
ZINC04086754	Cc1cccc(N2CC(O)(c3cccc([N+](=O)[O-])c3)[N+]3=C2SCCC3)c1C
ZINC22404237	O=[N+]([O-])c1ccc(C2(O)CN(c3ccc(Br)cc3)C3=[N+]2CCS3)cc1
ZINC22405467	Cc1ccccc1N1CC(O)(c2ccc([N+](=O)[O-])cc2)[N+]2=C1SCC2
ZINC22804427	CCCN/C(S)=C(/C(=O)c1ccccc1Br)[n+]1ccccc1
ZINC24716735	C[n+]1c(Nc2ccc([N+](=O)[O-])cc2)sn(-c2ccccc2)c1=S
ZINC27300998	CN/C(S)=C(/C(=O)c1ccc2c(c1)OCCCO2)[n+]1ccc2c(c1)CCCC2
ZINC28605949	CC(C)(C)c1ccc(C(=O)/C(=C(/S)NCC2CCCO2)[n+]2ccccc2)cc1
ZINC28709135	COCc1ccc(C[n+]2ccc3[nH]c(-c4ccccc4F)nc3c2)cc1
ZINC29220597	Cc1ccc(C2=NN(C(=O)C[N+]34CCN(CC3)CC4)C(c3ccco3)C2)cc1
ZINC29459425	CN(Cc1c(F)cccc1Cl)C(=O)C[n+]1ccc2c(c1)CCCC2
ZINC29461698	CCC(CC)c1cc[n+](CC(=O)N2CCCC2c2ccc3c(c2)OCCO3)cc1
ZINC12566388	O=C(/C(=C(/[S-])NCc1ccccc1)[n+]1ccccc1)c1ccc([N+](=O)[O-])cc1
ZINC35655879	CN1C(=O)/C(=C/c2ccc(C(=O)NN3CC[NH+](C)CC3)cc2)SC1=S
ZINC04902413	CN(C)c1cc[n+](CC(=O)Nc2c(Cl)cc(Cl)cc2Cl)cc1
ZINC38634883	CCN1c2ccc(/C=C/c3cc[n+](CCO)cc3)cc2C(C)CC1(C)C
ZINC38783951	CCC(=O)NC1C(c2nc3ccccc3[nH]2)C(C)C(C)=[N+]1Cc1ccco1
ZINC39544159	CCN(C(=O)C1CC(Cc2ccccc2)C2=[N+]1Cc1ccccc1N2)S(=O)(=O)C(C)C
ZINC39545219	CCOC1CC(C(=O)N(O)c2ccccc2)[N+]2=C1Nc1ccccc1C2
ZINC39665434	Cc1ccccc1C(=O)N1CCC(C(=O)NNc2sc3ccccc3[n+]2C)CC1
ZINC44029992	Cc1c(-c2ccccc2)oc2c(C(=O)NCCC[n+]3cc[nH]c3)cccc2c1=O
ZINC44799235	COc1ccccc1C(C)NC(=O)C(C)[n+]1ccn(-c2ccc(C(C)=O)cc2)c1
ZINC49665165	O=C(Cc1csc(C[NH+]2CCCC2)n1)NC1CCS(=O)(=O)C1
ZINC09419160	Cc1c(C)n(-c2ccc(Br)cn2)c2nc[n+](Cc3ccco3)c(N)c12
ZINC09422114	Cc1c(C)n(Cc2cccnc2)c2nc[n+](Cc3ccccn3)c(N)c12
ZINC12503291	C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12
ZINC55506904	N=C1/C(=C/c2ccccc2OCCCOc2ccccc2Cl)C(=O)N=C2SCC=[N+]12
ZINC57270614	CCc1ccccc1-n1c(C)cc(/C=C2/C(=N)[N+]3=C(C)CSC3=NC2=O)c1C
ZINC03259126	OC1(c2ccc(F)cc2)CN2CCCSC2=[N+]1Cc1ccccc1
ZINC57752829	COC(=O)CCNc1cccc[n+]1C(=O)c1sc(-c2ccccc2)nc1C
ZINC57848393	Cc1nn(C(C)(C)C)c2nc(C3CC3)cc(C(=O)[n+]3ccccc3NC(C)C)c12
ZINC57900357	CC(C)Nc1cccc[n+]1C(=O)CCCc1ncc(-c2ccccc2)o1
ZINC24158923	CCC(CC)c1cc[n+](Cc2cc(=O)oc3cc4c(cc23)CCC4)cc1
ZINC46940751	CN(C)c1[nH+]cccc1CNC(=O)CSC1CCS(=O)(=O)C1
ZINC61719264	Oc1c(O)/c(=N\Cc2ccncc2)c1=[N+]1CCN(c2ccccc2)CC1
ZINC61950050	CC1C=[N+]2C(=N)/C(=C/c3cn(CCOc4ccccc4)c4ccccc34)C(=O)N=C2S1
ZINC63638536	CCc1c(C(=O)C[n+]2ccn(-c3cccc(F)c3C(C)=O)c2)[nH]c(C)c1C(C)=O
ZINC63884383	O=C1CC(c2cccnc2)=NC(c2cccc(CN3CC[NH2+]CC3)c2)=N1
ZINC02349775	Cc1cc(C)c[n+](C2=C(NS(=O)(=O)c3cccs3)C(=O)c3ccccc3C2=O)c1
ZINC65330639	CCc1ccc(NC(=O)c2c(C)oc3c2C2=NC(CC)C[N+]2=CN3)cc1
ZINC65493963	CCC(CO)N(Cc1ccc(C)s1)C(=O)Cc1csc2[n+]1CCCN2
ZINC65496185	Cc1nn(C)cc1-c1c(-c2ccccc2)ncn1CCc1csc2[n+]1CCCN2
