ZINC00178939	NC(=O)c1c(NC(=O)c2cccnc2Cl)sc2c1CCCCC2
ZINC65414861	CNC(=O)c1ccc(NC(=O)NC2CC2c2cccc(F)c2)cc1Cl
ZINC65919289	CC(Sc1ccccc1Cl)C(=O)NNC(=O)NC1CCCC1
ZINC66391630	CC(NC(C)c1ccc(F)c(Cl)c1)C(=O)NC(=O)NC1CCCC1
ZINC66906536	O=C(Cc1ccccc1F)NNC(=O)NCc1ccccc1Cl
ZINC66926284	O=C(Cc1ccccc1F)NNC(=O)NC1CC(c2ccccc2)C1
ZINC66926677	O=C(Cc1ccccc1F)NNC(=O)NC1CCc2ccc(F)cc21
ZINC67182262	O=C1NC(=O)c2ccccc2/C1=C/NC1C2CCCC1C[NH+](C1CC1)C2
ZINC04690596	CCOc1cc(C[NH2+]C(C)c2ccccc2)cc(Cl)c1OCC(N)=O
ZINC06622647	O=C1C(=O)N(CC[NH2+]CCO)C(c2ccc(F)cc2)/C1=C(/O)c1ccccc1
ZINC08481047	CCC(C)C(NC(=O)C1Cc2ccccc2C[NH2+]1)C(=O)NCc1ccccc1OC
ZINC08485098	C[NH+](C)CCC[NH2+]C(CC(=O)Nc1ccc(Cl)c(Cl)c1)C(=O)[O-]
ZINC12703324	CC(C)(CO)CNC(=O)CC1C(=O)NCC[NH+]1Cc1ccccc1C(F)(F)F
ZINC14541404	Cn1nc(C(=O)NCc2ccccc2F)c2c1CCC([NH2+]CC(C)(C)CO)C2
ZINC19535381	OC1CC[NH+](CC(O)COc2cccc(CNCCc3ccc(F)cc3)c2)CC1
ZINC20857184	CCCCc1cc(=O)[nH]c(-c2ccc(C[NH+]3CCC(C(N)=O)CC3)cc2)n1
ZINC29496169	CC(C)C/[NH+]=C(\N)SCC(=O)N(C)CC(=O)Nc1ccccc1Cl
ZINC29936316	COCCNC(=O)NC(=O)C[NH2+]C(c1ccc(F)cc1)c1cccs1
ZINC36814881	COc1cc(C[NH3+])cc(Br)c1OC(C)C(=O)NCC(C)C
ZINC39534508	CC(C)S(=O)(=O)c1ccc(C(CNCc2ccccc2)N2CC[NH2+]C(O)C2)cc1
ZINC39631220	CCCC(C)C(=O)N1CC(C(=O)NC(C)CCCC(C)(C)O)C2(CC[NH2+]CC2)C1
ZINC42158755	C[NH+](C)C(C)(C)CNC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC33857201	CC(C)C([NH3+])c1nc(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)co1
ZINC43606742	CC([NH2+]C(c1ccccc1)c1ccco1)C(=O)NC(=O)NCc1cccs1
ZINC44464381	COC(=O)c1ccccc1Sc1c(CC([NH3+])CO)c(C(F)(F)F)nn1C
ZINC45696945	C[NH+](CCC(=O)Nc1sccc1C(N)=O)Cc1ccccc1N1CCCCC1
ZINC46919275	NC(=O)C1CC[NH+](CCCNC(=O)c2c(-n3cccc3)sc3c2CCCC3)CC1
ZINC47602092	CCC(CO)NC(=O)NC(C)CC[NH+]1CCN(c2cccc(C)c2)CC1
ZINC47602096	CCC(CO)NC(=O)NC(C)CC[NH+]1CCN(c2cccc(C)c2)CC1
ZINC48275661	CC(C(=O)NCCc1ccc(S(N)(=O)=O)cc1)[NH+]1CCCC1c1ccsc1
ZINC51736124	CC(c1ccc(S(N)(=O)=O)cc1)[NH+](C)CC(=O)NCCc1ccsc1
ZINC52808188	COCCC([NH3+])C(=O)Nc1c(Br)cc(Br)cc1C(=O)OC
ZINC53400634	CC(c1ccc(S(N)(=O)=O)cc1)[NH+](C)CC(O)COc1ccc(Cl)cc1
ZINC54429527	NC(=O)c1c(NC(=O)CC[NH+]2CCN(CC(F)(F)F)CC2)sc2c1CCCC2
ZINC60379175	NC(=O)C1CCC[NH+]1Cc1ccccc1NC(=O)CSc1ccccc1
ZINC61788629	CCC(C)NC(=O)CCNC(=O)Nc1ccccc1C[NH+]1CCSCC1
ZINC62043602	COc1ccc(C(O)CNC(=O)NCC(C)[NH+]2CCc3ccccc3C2)cc1
ZINC62527020	CCC(C)NC(=O)C(C)NC(=O)NCC(c1cccs1)[NH+]1CCCC1
ZINC63659251	CC(NC(N)=O)C(=O)N(CCC[NH+](C)C)Cc1ccc(Cl)c(Cl)c1
ZINC65016266	CCOC(=O)CC(NC(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1)c1ccccc1
ZINC65549842	CC1CCC[NH+](C(C)(C)CNC(=O)N(CCC(N)=O)Cc2ccccc2)C1
ZINC65821394	CN(CCC(F)(F)F)C(=O)Nc1cccc(C[NH+]2CCCC2C(N)=O)c1
ZINC65931682	C[NH+](C)CCN(Cc1ccc(F)cc1)C(=O)CC(NC(N)=O)c1cccs1
ZINC65988965	CCC(C)NC(=O)C(C)NC(=O)NCC(CC)[NH+]1CCc2ccccc2C1
ZINC66543107	CC[NH+](CC)C1CCN(CC(=O)Nc2sc3c(c2C(N)=O)CCC3)CC1
ZINC66598347	CCCC[NH+]1CCCCC1CNC(=O)NNC(=O)c1ccc(C#N)cc1
ZINC66977316	C[NH+](C)C(CNC(=O)NNC(=O)Cc1ccccc1F)c1ccc(F)cc1
ZINC67165246	CC1CC[NH+](CCCCNC(=O)CCCCC2SCC3NC(=O)NC32)CC1
ZINC67202664	NC(=O)c1cccc(OCC(=O)NCC2CCC[NH+]2CC2CCCCC2)c1
ZINC67247414	OCC1CCN(c2ccc(C[NH2+]Cc3c[nH]nc3-c3cccs3)cc2)CC1
ZINC67251449	COc1cc(CNC(C)C[NH+]2CC(C)CC(C)C2)cc(Cl)c1OCC(N)=O
ZINC67255080	Cc1ccc(-c2n[nH]cc2C[NH2+]CC(O)COc2ccc(C(F)(F)F)cc2)o1
ZINC67453262	COc1cc(C[NH2+]CCC2CC3CCC2C3)cc(OC)c1OCC(N)=O
ZINC67501625	COc1cc(C[NH2+]C2CCc3cc(Cl)ccc32)cc(OC)c1OCC(N)=O
ZINC67538840	CC1CC[NH+](CC(O)CNC(=O)Nc2ccccc2OCC(F)(F)F)CC1
ZINC67609938	COc1ccc(C(C)NC(=O)NCC(O)C[NH+]2CCC(C)CC2)cc1F
ZINC67612069	CCOc1ccc(C(C)NC(=O)NCC(O)C[NH+]2CCC(C)CC2)cc1
ZINC67617658	CC1CC[NH+](CC(O)CNC(=O)NC(C)c2ccc(OC(C)C)cc2)CC1
ZINC02682864	CCCC(=O)NC(NC(=S)Nc1ccc(C)cc1C)C(Cl)(Cl)Cl
ZINC02682873	CCCC(=O)NC(NC(=S)Nc1ccccc1Cl)C(Cl)(Cl)Cl
ZINC02706938	O=C(CF)NC(NC(=S)Nc1ccc(Cl)cn1)C(Cl)(Cl)Cl
ZINC03142419	CCC(=O)NC(NC(=S)Nc1ccccc1Cl)C(Cl)(Cl)Cl
ZINC03305030	FC(F)(F)c1cnc(NNC(=S)NCCc2ccccc2)c(Cl)c1
ZINC05740622	C=CC(=O)NC(NC(=S)Nc1ccccc1C)C(Cl)(Cl)Cl
ZINC03326635	CCOc1ccc(NC(=S)NNC2=CCCc3c(C)cc(C)cc32)cc1
ZINC06395240	CCc1ccccc1NC(=S)NNC(=O)CSCc1ccc(F)cc1
ZINC06788280	Cc1ccc(CSCC(=O)NNC(=S)Nc2ccc(Cl)c(Cl)c2)cc1
ZINC07258312	CCc1cccc(C)c1NC(=S)NNC(=O)CCc1ccccc1F
ZINC09505305	CCC(C)NC(=O)c1ccc2c(c1)NC(=O)C(CSCc1cccc(F)c1)N2
ZINC06335548	S=C(NCC1CCCO1)NCC(c1ccccc1Cl)c1c[nH]c2ccccc12
ZINC09867995	CCC(C)c1ccccc1OC(C)C(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC10368018	CC(C)C(NC(=O)NCc1cccc(NC(=O)C2CC2)c1)c1ccc(Cl)cc1
ZINC11516295	CC(Sc1ccccc1)C(=O)NNC(=S)NCCc1cccs1
ZINC12442893	CSc1ccccc1C(=O)Nc1sc(SCC(N)=O)nc1-c1ccccc1
ZINC12599205	Cc1cc(C(C)(C)C)cc(C)c1CCNC(=O)CCc1c(C)[nH]c(=S)[nH]c1=O
ZINC12549467	NC(=O)CSc1ccccc1NCCOc1ccc(Cl)cc1Br
ZINC15856819	CCC(=O)NC(NC(=S)Nc1ccc(Cl)c(Cl)c1)C(Cl)(Cl)Cl
ZINC25758057	C=CC(=O)NC(NC(=S)Nc1ccc(Cl)cc1Cl)C(Cl)(Cl)Cl
ZINC33605732	CC([NH2+]CC(O)CP(=O)([O-])CC1CCCCC1)c1ccc(Cl)c(Cl)c1
ZINC13468006	Cc1ccc(NC(=S)NC(NC(=O)c2ccco2)C(Cl)(Cl)Cl)cc1
ZINC39495581	CSc1c(-c2ccccc2O)ccc(C(CC=O)NC=O)c1-c1ccccc1O
ZINC39533433	CC(C)Cc1ccc(C(CNc2ccccc2O)N2CCNC(F)C2)cc1
ZINC39859670	Cc1ccccc1NC(=S)NC(NC(=O)c1cccs1)C(Cl)(Cl)Cl
ZINC40011623	Cc1cc(C)c2cc(C#N)c(NCCNC(=S)Nc3ccccc3Cl)nc2c1
ZINC41961925	C=CCNC(=S)NNC(=O)CSc1cccc2cccc(Cl)c12
ZINC42085869	CC1CCCCC1NC(=S)NNC(=O)Cc1cccc(C(F)(F)F)c1
ZINC44145106	CCCC(C(=O)NC1CCCCC1)n1c(-c2ccc(F)cc2)cc(C(N)=O)c1C
ZINC46773401	Cc1c(Cl)cccc1NC(=S)NNC(=O)Cc1ccc(-n2cccc2)cc1
ZINC48604630	CCC(CO)NC(=O)C(=O)Nc1cc(Cl)ccc1Sc1ccc(F)cc1
ZINC48812975	CCCNC(=S)NNC(=O)C(C)Sc1ccc(Br)cc1
ZINC52936346	O=C(CCSc1ccccc1F)NNC(=S)Nc1ccc(F)cc1F
ZINC40071799	CC(NC(C)c1ccc(NC(=O)C2CC2)cc1)C(=O)Nc1ccc(F)cc1Cl
ZINC26895906	CCC(C)(C)C1CCC(NC(=O)c2ccccc2SCC(N)=O)CC1
ZINC42083222	Cc1ccc(SCC(=O)NNC(=S)Nc2ccccc2C(F)(F)F)cc1
ZINC59842334	Nc1nnc(SC(C(=O)NCCc2ccc(Cl)cc2)c2ccccc2)s1
ZINC60060754	CSc1ccc(Cl)c(C(=O)NCC(Cc2ccc(F)cc2)C(N)=O)c1
ZINC63363262	Cc1ccc(F)c(NC(=S)NNC(=O)CSc2ccccc2Cl)c1
ZINC64081008	O=C(NNC(=S)NCC(F)(F)F)C(c1ccccc1)c1ccccc1
ZINC66122081	CSCCC(=O)NNC(=S)NC(C)c1ccc(Cl)cc1Cl
ZINC66122864	CC(C)c1ccccc1NC(=S)NNC(=O)C1CC1c1ccc(F)cc1
ZINC66123045	CC(C)c1ccccc1NC(=S)NNC(=O)CCc1ccccc1F
ZINC66123403	Cc1ccc(C2CC2C(=O)NNC(=S)Nc2ccccc2C(C)C)s1
ZINC66123599	CC(C)c1ccccc1NC(=S)NNC(=O)C1CC1c1cccc(F)c1
ZINC66158867	CCC(C)(O)CNC(=O)Nc1ccccc1SC(Cl)C(F)(F)F
ZINC66928132	CSCC(C)C(=O)NNC(=S)NC(C)c1ccc(Cl)cc1Cl
ZINC66939924	NC(=O)C(Nc1cccc(OCc2cccc(F)c2)c1)c1ccc(F)cc1
ZINC67130949	CC(NC(=O)CCCCC1SCC2NC(=O)NC21)c1cccc2ccccc12
ZINC67232900	CC(NC(=O)CCCCC1SCC2NC(=O)NC21)c1ccc(F)c(Cl)c1
ZINC00136892	CC(C)(C)NC(=O)NCC1CCCC1NC(=O)NC(C)(C)C
ZINC05091449	NC(N)=N/N=C/c1ccc(OCc2ccccc2Cl)cc1
ZINC06333840	O=C(NNC(=S)NC1CC2CCC1C2)c1ccccc1O
ZINC06533299	CCc1ccc(C(=O)C(C)Sc2nc(N)cc(N)n2)cc1
ZINC20877768	CC(O)c1ccc(-c2ccc(CNc3ccc4[nH]c(=O)[nH]c4c3)o2)cc1
ZINC31155626	C=C(CCC1C(C)(O)CCC2C(C)(C)C(O)CCC12C)C(O)CO
ZINC33494960	CC(C)CCNc1c(Br)cc(Cl)cc1C(=O)NN
ZINC35358210	CC(C)c1ccc(NS(=O)(=O)c2cccnc2NN)cc1
ZINC37130793	CC(Nc1cccc(NS(N)(=O)=O)c1)c1ccc(Br)cc1
ZINC00056474	CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
ZINC00549759	CC(C)CCCC(C)CC1C(C#N)=C(N)SC(N)=C1C#N
ZINC40376501	N/C(=N\O)C(NS(=O)(=O)c1ccc(Cl)s1)C1CCCCC1
ZINC40703883	CCC(C)Nc1ncnc(Nc2ccc(C)c(Cl)c2)c1N
ZINC40708619	Cc1ccc(CNc2ncnc(NC3CCCCC3)c2N)cc1
ZINC40725928	Cc1nc(Nc2ncnc(NCCc3ccccc3)c2N)sc1C
ZINC40755946	CC(Nc1ncnc(NCCC2=CCCCC2)c1N)c1ccccc1
ZINC40757988	Cc1cccnc1Nc1ncnc(NC(C)c2ccccc2)c1N
ZINC40760244	CC(Nc1ncnc(Nc2ccccc2)c1N)c1ccccc1
ZINC40760656	CC(Nc1ncnc(Nc2cccnc2Cl)c1N)c1ccccc1
ZINC40784062	Cc1ccc(Nc2ncnc(NCc3ccc(Cl)cc3)c2N)nc1
ZINC41150246	OCCCNc1nc(Nc2cc(Cl)ccc2O)nc2ccccc12
ZINC42428299	NC(=O)CN(c1ccc(N)c(C(F)(F)F)c1)C1CCCC1
ZINC42446329	CCN(CC(C)/C(N)=N/O)C(=O)Nc1cc(Cl)ccc1Cl
ZINC43551418	CC(C)c1cccc(NC(=O)NC(C)c2cccc(S(N)(=O)=O)c2)c1
ZINC44483945	CCCC(NC(=O)c1ccc(Br)cc1O)C(N)=S
ZINC44786386	CC(C)C(NC(=O)C1(/C(N)=N/O)CCCC1)c1cccs1
ZINC44861099	CCC(C(=O)NC(C)c1ccc(Cl)cc1Cl)/C(N)=N/O
ZINC44868954	CCCC(C(=O)Nc1cc(Br)ccc1F)/C(N)=N/O
ZINC45725603	Cc1ccccc1C(C)NC(=O)Nc1ccccc1CC(N)=O
ZINC48560224	Nc1nc(Cl)cc(NCCNc2ncc(Cl)cc2Cl)n1
ZINC49118610	CCC1CCCCC1Nc1ccc(S(=O)(=O)NC)cc1N
ZINC49181626	Cc1cc(O)cc(Oc2cc(C)c(CC(O)C(C)(C)O)c(O)c2)c1
ZINC01249873	CC(C)CN(CC(C)C)P(=O)(c1cccc(N)c1)c1cccc(N)c1
ZINC12857772	CC(NC(C)c1ccc(F)cc1F)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC54216774	CC(C)C(NC(=O)c1cccc(F)c1NN)c1cccs1
ZINC54447255	Cc1ccc(C(C)NC(=O)Nc2ccc(OCC(N)=O)cc2C)s1
ZINC56709468	Cc1cc(OCC(N)=O)ccc1NC(=O)NC1CC2CCC1(C)C2(C)C
ZINC57455621	CCC(C)C(NC(N)=O)C(=O)NCCCc1ccc(Cl)c(Cl)c1
ZINC08014693	Cc1ccc(NC(=S)N/N=C/c2cc(O)c(O)c(Cl)c2)cc1
ZINC58402131	CCc1[nH]c(C(=O)Nc2cc(Cl)c(N)c(Cl)c2)c(C)c1C(=O)OC
ZINC58687804	Cc1ccccc1C(CC(=O)Nc1cccc2c1CCCC2)NC(N)=O
ZINC00584292	C/C(=N\NC(=O)CNc1ccc(C)cc1C)c1ccc(O)cc1O
ZINC62495168	CC[NH+](CC)c1ccc(CC2Oc3ccc(N)cc3NC2=O)cc1
ZINC62495169	CC[NH+](CC)c1ccc(CC2Oc3ccc(N)cc3NC2=O)cc1
ZINC64291264	CCCC(NC(N)=O)C(=O)NC(C)(C)c1ccc(Br)cc1
ZINC58406446	CC(NC(N)=O)C(=O)NCc1ccccc1-c1ccc(Cl)cc1
ZINC64873685	Nc1cccc(-c2nc(CCNc3ccc(Br)cc3)n[nH]2)c1
ZINC66135773	Cc1nc(N)nc(C(C)Oc2ccc(C(C)C)cc2)c1C(N)=O
ZINC67330594	NC(=O)NC(CC(=O)NCCc1ccccc1Cl)c1cccs1
ZINC67470024	O=C(NCC1(c2ccc(Cl)cc2)CC1)NNC(=S)NC1CCCC1
ZINC09052271	CCOC(=O)c1ccccc1NC(=O)COC(=O)C(NS(=O)(=O)c1ccc(F)cc1)C(C)O
ZINC09269636	COCCOc1ccccc1C(=O)NC(=S)Nc1ccc(S(=O)(=O)NCC2CCCO2)cc1
ZINC10588968	CCCCN(C(=O)COC(=O)COc1cc(C)cc(C)c1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC13211830	CCc1ccc(C(CNc2ccc(S(=O)(=O)NCCC(=O)[O-])cc2[N+](=O)[O-])[NH+](C)C)cc1
ZINC13212643	C[NH+](CCCNc1ccc(S(=O)(=O)Nc2ccccc2C(=O)[O-])cc1[N+](=O)[O-])Cc1ccccc1
ZINC14623732	CCCCN(C(=O)/C=C/c1ccc(OCC#N)c(OC)c1)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC14669843	CCCCn1c(N)c(N(CC(C)C)C(=O)/C=C/c2ccc(OCCC)c(OC)c2)c(=O)[nH]c1=O
ZINC14697682	CCCCCN(C(=O)c1cc(Cl)c(OC)c(OC)c1)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC15605725	CCCCCN(C(=O)Cc1ccc(N2CCCC2=O)cc1)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC18353298	CCOC(=O)C1=C(COC(=O)c2c(C)[nH]c(C(=O)OCC)c2C)NC(=O)NC1c1ccco1
ZINC20167556	CCOC(=O)CC1=C(C(=O)OCC)C2(C(=O)O1)C(C(=O)OCc1ccccc1)=C(N)Nc1ccccc12
ZINC20176197	CCOc1ccc(/C=N/Nc2nc(SCC(=O)Nc3nnc(SCC(C)C)s3)n[nH]2)cc1
ZINC20424891	O=C(CSc1n[nH]c(N/N=C/c2ccc(OCc3ccc(F)cc3)o2)n1)NCc1ccccc1Cl
ZINC20424921	COc1ccccc1CNC(=O)CSc1n[nH]c(N/N=C/c2ccc(OCc3ccc(F)cc3)o2)n1
ZINC21056796	CCOc1cc(C(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc(OCC)c1OCC
ZINC21083398	CCC(C)Sc1nnc(NC(=O)CSc2n[nH]c(N/N=C(\C)c3ccc(OC)cc3)n2)s1
ZINC21125371	CCCCN(C(=O)CSc1nc(C2CC2)n(-c2ccccc2)n1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC21126746	COCCNC(=O)NC(=O)COC(=O)c1cc([N+](=O)[O-])ccc1NCc1ccccc1Cl
ZINC14156169	COc1ccccc1CNC(=NC(=S)Nc1cc(OC)c(OC)c(OC)c1)Nc1nc(C)cc(C)n1
ZINC22059911	C=CCOC(=O)C1OC(OC(=O)C(C)(C)CCCOc2cc(C)ccc2C)C(O)C(O)C1O
ZINC22068847	CCOC(=O)c1ccsc1NC(=O)CSc1nnc(COc2ccc(C(C)C)cc2)n1N
ZINC22977470	COC(=O)C1=C(CSc2nnc(C3CC3)n2CCC(N)=O)N(C2CC2)C(=O)NC1c1ccccc1
ZINC23643539	CC(OC(=O)c1cc([N+](=O)[O-])ccc1NCCO)C(=O)Nc1ccc(OC(F)F)c(Cl)c1
ZINC24577394	CCOc1ccccc1OCC(=O)NNC(=O)C(NS(=O)(=O)c1ccc(C)cc1)C(C)C
ZINC28684544	Cc1ccc(S(=O)(=O)NC(CC(C)C)C(=O)OCC(=O)NC(=O)NCc2ccco2)cc1
ZINC32971957	C=CCOc1ccc(/C=C/C(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc1
ZINC32972020	CCCCOc1ccc(C(=O)N(C)CC(=O)N(CC(C)C)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)cc1
ZINC35023415	Cc1cc(C(=O)C2=C([O-])C(=O)N(CC[NH+](C)C)C2c2ccc(OCC(N)=O)cc2)ccc1OC(C)C
ZINC36203868	CCCCN(C(=O)COC(=O)/C=C/c1cccc(OC)c1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC23080067	Cc1cccc(OCC(=O)OCC(=O)N(CC(C)C)c2c(N)n(Cc3ccccc3)c(=O)[nH]c2=O)c1C
ZINC12869081	CCCCCN(C(=O)CCC(=O)OC(C)C(=O)c1ccccc1)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC39517102	CCCCCN(C(=O)CCc1c(C)nc(SC)nc1C)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC39547315	CCOC(=O)c1sc(N)c(C#N)c1COC(=O)C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OC
ZINC45727308	CCCCn1c(N)c(N(Cc2ccco2)C(=O)COc2ccccc2C(C)CC)c(=O)[nH]c1=O
ZINC45874397	O=C(COC(=O)c1cc([N+](=O)[O-])ccc1NCCO)NCC1(N2CCOCC2)CCCCC1
ZINC58996145	CCOC(=O)c1c(NC(=O)CSc2n[nH]c(N/N=C/c3ccc(OC)cc3)n2)sc2c1CCCC2
ZINC59005371	C=CCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C/c3ccc(N(C)C)cc3)n2)s1
ZINC59005553	CCN(CC)c1ccc(/C=N/Nc2nc(SCC(=O)Nc3ccccc3[N+](=O)[O-])n[nH]2)cc1
ZINC59005588	CCN(CC)c1ccc(/C=N/Nc2nc(SCC(=O)NCc3cc(OC)cc(OC)c3)n[nH]2)cc1
ZINC59014715	C=CCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C/c3ccc(OCC)cc3)n2)s1
ZINC59018889	CCOC(=O)c1c(NC(=O)CSc2n[nH]c(N/N=C/c3ccccc3OC)n2)sc2c1CCCC2
ZINC59310924	CCCCSc1nc2ccc(NC(=O)CSc3n[nH]c(N/N=C/c4cnn(C)c4)n3)cc2s1
ZINC59438365	COc1cc(C(=O)NC(=S)NCCNc2ccc([N+](=O)[O-])cc2Cl)cc(OC)c1OC
ZINC59844157	C=CCSc1ccccc1NC(=O)CSc1n[nH]c(N/N=C/c2ccccc2[N+](=O)[O-])n1
ZINC59890321	CCC/C(C)=N/Nc1nc(SCCC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)n[nH]1
ZINC59892306	CCOC(=O)c1c(NC(=O)CCSc2n[nH]c(N/N=C(\C)CC(C)C)n2)sc2c1CCC2
ZINC16682491	CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OCC(=O)N/N=C/c2ccc(SC)cc2)c(OC)c1
ZINC60390292	CCCCCN(C(=O)CCC(=O)OCCc1ccccc1)c1c(N)n(CCCC)c(=O)[nH]c1=O
ZINC62572072	CC(C)CN(C(=O)COC(=O)COc1ccc(C#N)cc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC62575456	CCCN(C(=O)COC(=O)COc1ccc(Cl)cc1C)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC20324636	CCc1sc2ncnc(NCC[NH3+])c2c1-c1ccc(C)cc1
ZINC20372422	Cc1ccc(NS(=O)(=O)Cc2ccc(C[NH3+])cc2)c(F)c1
ZINC27666054	CC(C)(CO)[NH2+]CC(O)COCC12CC3CC(CC(C3)C1)C2
ZINC27666055	CCC(CO)[NH2+]CC(O)COCC12CC3CC(CC(C3)C1)C2
