ZINC06680090	CCNC(=O)c1cc(S(=O)(=O)NCC(=O)[O-])c(C)s1
ZINC62925080	CCCC1(C(=O)[O-])CCN(C(=O)N(C)CC(N)=O)C1
ZINC19978905	CC(C)C(NC(=O)NC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC20294149	NC(=O)C1CCCN1S(=O)(=O)CC(=O)[O-]
ZINC22115248	CC1NC(=O)NC2=C1C(=O)N(CCCC(=O)[O-])C2
ZINC29050868	Cc1ccc[nH+]c1NC(P(C)(=O)[O-])P(C)(=O)[O-]
ZINC01839390	C[NH+](C)CC/N=C/c1c([O-])nc([O-])[nH]c1=O
ZINC36946913	O=C1CCC(C(=O)NC2(C(=O)[O-])CCCC2)N1
ZINC36980991	CC1CCC(NC(=O)C2=NNC(=O)CC2)(C(=O)[O-])CC1
ZINC37365885	O=C(NC1(C(=O)[O-])CCCC1)c1ccc[nH]c1=O
ZINC37456344	Cc1ccc(NC(=O)C(=O)NC2(C(=O)[O-])CCCC2)cc1
ZINC37456646	Cc1cc(C)c(C(=O)NC(C)(C(=O)[O-])C2CC2)c(=O)[nH]1
ZINC37457107	CCC1CCC(NC(=O)C2=NNC(=O)CC2)(C(=O)[O-])CC1
ZINC37835136	NC(=O)CC1CCN(C(=O)/C=C/C(=O)[O-])CC1
ZINC38000360	CNC(=O)NC(=O)C(C)S(=O)CC(=O)[O-]
ZINC03108112	N/N=C1/C(=O)C=C(S(=O)(=O)[O-])c2ccccc21
ZINC39098220	COc1cc(S(=O)(=O)[O-])cc(O)c1O
ZINC12505667	N#Cc1c([O-])nc(N)nc1N1CCOCC1
ZINC40532884	O=C([O-])C1CC(O)CN1C(=O)NC1CCS(=O)(=O)C1
ZINC40578248	CC1CN(C(=O)NCC(=O)NCC(=O)[O-])C(C)CO1
ZINC40579032	CC(=O)NCCNC(=O)N1CSCC1C(=O)[O-]
ZINC40580112	CC(C)NC(=O)CNC(=O)N1CSCC1C(=O)[O-]
ZINC40589385	CC(C)C(NC(=O)NC1CCOCC1)C(=O)[O-]
ZINC40910094	CC(C)(NC(=O)c1ccc2[nH]ncc2c1)C(=O)[O-]
ZINC40911710	CC(C)(NC(=O)NC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC41034112	CC1CCCC(NC(=O)c2ccc([N+](=O)[O-])[nH]2)(C(=O)[O-])C1
ZINC41034549	CC1CCCC(NC(=O)CN2C(=O)CNC2=O)(C(=O)[O-])C1
ZINC41034799	CC1CCCC(NS(=O)(=O)c2cn[nH]c2)(C(=O)[O-])C1
ZINC41035110	CC1CCCC(Nc2c[nH]nc2[N+](=O)[O-])(C(=O)[O-])C1
ZINC41036202	CNC(=O)CN(C)C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC42275027	NC(=O)C1CCCN(C(=O)N(CC(=O)[O-])C2CC2)C1
ZINC43428507	O=C([O-])CNC(=O)CNC(=O)N1CCOC2CCCC21
ZINC44712493	COc1cc(CC(C)(O)S(=O)(=O)[O-])ccc1O
ZINC44882284	CC1(NC(=O)NCCC(=O)[O-])CCS(=O)(=O)C1
ZINC44887377	CC(NC(=O)CN1C(=O)CNC1=O)c1nnn[n-]1
ZINC44927319	CC(=O)Nc1nc(C(=O)NCc2nnn[n-]2)cs1
ZINC44934073	CC1(NC(=O)NC(=O)CCC(=O)[O-])CCS(=O)(=O)C1
ZINC44975921	CC1CCC(NC(=O)NCC2CCCOC2)(C(=O)[O-])CC1
ZINC45139143	CC1(C)CC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC45139293	CC1(C)CC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC49103292	CNC(=O)C(C)NC(=O)N1CC(OC)CC1C(=O)[O-]
ZINC49228062	CCNC(=O)C(C)NC(=O)N1CSCC1C(=O)[O-]
ZINC43589507	O=C([O-])CCC1CCCN(C(=O)c2c[nH]c(=O)[nH]c2=O)C1
ZINC50222461	CNS(=O)(=O)c1ccc(/C([O-])=N/C2=NC(=O)CN2)cc1
ZINC50291851	CNC(=O)C(C)NC(=O)C1(C(=O)[O-])CC1
ZINC50376588	COC1CCCC1NC(=O)NC1(C(=O)[O-])CCC(C)CC1
ZINC50779398	CNc1ccc(C(=O)NCc2nnn[n-]2)cn1
ZINC53041336	Cc1ccc(CNC(=O)NC2(C(=O)[O-])CCCC2)o1
ZINC54524810	O=C(NC1CCS(=O)(=O)CC1)NC(C(=O)[O-])C1CC1
ZINC58914189	CC(C)(NC(=O)NCC1CCOC1)C(=O)[O-]
ZINC61844994	O=S(=O)([N-]c1nnc[nH]1)c1cn[nH]c1
ZINC64292370	CS(=O)(=O)C1NC(/C([O-])=N/c2ncn[nH]2)=C2C=CC=CN21
ZINC00236594	O=[N+]([O-])c1cccc(NC2OCC(O)C(O)C2O)c1
ZINC03595742	CC1CCCCC12NC(=O)N(CC(=O)NC(N)=O)C2=O
ZINC12348756	O=C1CCCC2=C1C(c1ncc[nH]1)c1c(O)n[nH]c1N2
ZINC13603351	Cc1cc([N+](=O)[O-])ccc1NC1OCC(O)C(O)C1O
ZINC11736879	CNS(=O)(=O)c1cc(N)c2[nH]c(=O)oc2c1
ZINC09689614	O=c1nc(N/N=C/c2ccc(O)cc2O)cn[nH]1
ZINC20298405	NS(=O)(=O)c1ccc(NC(=O)c2ccc(=O)[nH]c2)cc1
ZINC26438673	NNC(=O)c1cc(-c2ccc3c(c2)OCCO3)n[nH]1
ZINC35118599	O=C(Cc1cc(=O)[nH]c(=O)[nH]1)NC1CCC(O)CC1
ZINC36262169	[NH3+]C1CCC2CN(C(=O)c3cc(=O)[nH]c([O-])n3)CC2C1
ZINC37073626	Cc1n[nH]c(C)c1CNc1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC13125787	O=C1NC(=O)/C(=C/c2ccc(/C=C3/NC(=O)NC3=O)cc2)N1
ZINC40166079	NNC(=O)CN1C(=O)NC2(CCCCC2)C1=O
ZINC40214562	NS(=O)(=O)c1ccc(NC(=O)C2CCC(=O)N2)cc1
ZINC40338382	Cc1cccc(C(=O)N2CCN(S(N)(=O)=O)CC2)c1N
ZINC40380981	NS(=O)(=O)c1ccccc1NC(=O)c1ccc[nH]c1=O
ZINC14266586	O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(=O)[nH]c1
ZINC40444633	Cc1cc(C(N)=O)ccc1NC(=O)C1=NNC(=O)CC1
ZINC40563785	O=C(NNC(=O)C1CC1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC40832592	NC(=O)c1ccc(F)c(NC(=O)C2=NNC(=O)CC2)c1
ZINC41665255	CC(=O)Nc1ccc(Nc2n[nH]c(=O)[nH]c2=O)cc1
ZINC42393400	CNC(=O)C1CCCN1c1cc2nc[nH]c(=O)c2cc1N
ZINC42806516	CS(=O)(=O)c1cc(N)cc(C(=O)Nc2cc[nH]n2)c1
ZINC44748943	Cc1cc(N)ccc1C(=O)N1CCN(S(N)(=O)=O)CC1
ZINC44877836	CNC(=O)C1CCCCN1C(=O)C(C)/C(N)=N/O
ZINC44882720	CC1(NC(=O)C(C)(C)/C(N)=N/O)CCS(=O)(=O)C1
ZINC45722671	Cc1c(NC(=O)N2CCNC(=O)C2)cccc1C(N)=O
ZINC45728913	NC(=O)Cc1ccc(NC(=O)N2CCNC(=O)C2)cc1
ZINC48421033	NC(=O)Nc1ccc(C(=O)NC2CCS(=O)(=O)C2)cc1
ZINC48732788	Cc1cc(C)nc(NNC(=O)c2n[nH]c(=O)[nH]2)n1
ZINC48950276	CNC(=O)NNC(=O)c1cccc2[nH]ncc12
ZINC48950300	CNC(=O)NNC(=O)C1(NC(C)=O)CCCCC1
ZINC49206653	CC(=O)NNC(=O)Nc1ccc(NC(C)=O)c(Cl)c1
ZINC49956917	O=C(Nc1ccc(N2CCNC2=O)cc1)c1c[nH]c(=O)[nH]1
ZINC50242948	[NH3+]C1CCN(S(=O)(=O)c2c[nH]c(C(=O)[O-])c2)C1
ZINC50306199	Cc1[nH]nc(C(=O)N2CCC(N3CCNC3=O)CC2)c1N
ZINC50324143	CNC(=O)C1CCCCN1C(=O)c1[nH]nc(C2CC2)c1N
ZINC51147792	NNc1nc(Cn2ccc(=O)[nH]c2=O)nc2sccc12
ZINC53096334	O=c1[nH]nc(NC2(CO)CCCCC2)c(=O)[nH]1
ZINC54432847	O=C(Cc1cc(=O)[nH]c(=O)[nH]1)Nc1n[nH]c2ccccc12
ZINC57354172	O=C1c2ccccc2C2(O)Nc3nsnc3NC12O
ZINC59435040	[NH3+]c1cc2c(cc1NCc1nnn[n-]1)OCCO2
ZINC61090071	NC(=O)C1CCCN(C(=O)Cn2cc(N)ccc2=O)C1
ZINC61591577	NS(=O)(=O)c1cccc(-n2c(=O)[nH][nH]c2=S)c1
ZINC61592323	Cn1c(Sc2cc3nc[nH]c(=O)c3cc2N)n[nH]c1=O
ZINC61639172	NNc1ccc(Cl)c(CN2C(=O)CNC2=O)n1
ZINC62100422	Nc1cc2c(cc1N1CCNC(=O)CC1)NC(=O)CO2
ZINC62778483	O=c1[nH]c2ccc(C(O)c3cn[nH]c3)cc2[nH]c1=O
ZINC62810966	CNC(=O)C1CCN(C(=O)c2n[nH]cc2N)CC1
ZINC62812083	CC1(NC(=O)c2n[nH]cc2N)CCS(=O)(=O)C1
ZINC05024942	CC1(C)CC2(CCO1)NNC(=O)C1C(=O)NNC(=O)C12
ZINC05748759	CC1(O)OC(C)(C2(C)OC(C)(O)C(C)(O)O2)OC1(C)O
ZINC01602292	CNC(=O)Nc1ccc(S(=O)(=O)NC(=O)NC)cc1
ZINC05183642	NS(=O)(=O)c1ccc(Nc2cn[nH]c(=O)n2)cc1
ZINC06512316	NNC(=O)C(=O)C1CC(c2ccc(Cl)cc2)=NNC1=O
ZINC06566417	Cc1noc(N)c1C1(O)C(=O)Nc2ccc([N+](=O)[O-])cc21
ZINC13361322	O=C(NCc1cccc(F)c1)Nc1c[nH]c(=O)[nH]c1=O
ZINC20354524	CNc1c(N)n(Cc2ccco2)c(=O)[nH]c1=O
ZINC25854051	NC(=O)N1CCCC(C(=O)NNC(=O)C2CCCC2)C1
ZINC29150657	NC(=O)Nc1cccc(NC(=O)c2cc[n+]([O-])cc2)c1
ZINC35247871	NC(=O)N1CCCC(C(=O)Nc2cn[nH]c2)C1
ZINC35382980	Nc1cc2c(=O)[nH]cnc2cc1N1CCNC(=O)C1
ZINC35453628	Nc1cc2c(cc1Sc1nccc(=O)[nH]1)NC(=O)CO2
ZINC36165389	Cc1n[nH]c(C)c1C(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC36733724	Cc1n[nH]c(C)c1NC(=O)Cc1cc(=O)[nH]c(=O)[nH]1
ZINC37818273	Nc1ccc(C(=O)N2CCC3(CC2)NC(=O)NC3=O)cc1
ZINC37841935	Cc1n[nH]c(C)c1C(=O)N1CCCC(CNC(N)=O)C1
ZINC05183942	CC(NNC(=O)c1c[nH]c(=O)[nH]c1=O)=C1C=CC(=O)C=C1
ZINC40382120	Cc1cc(S(N)(=O)=O)ccc1NC(=O)C1CCC(=O)N1
ZINC41547008	Cc1ccc2c(c1)NC(=O)C(C)(C(=O)NCC(N)=O)O2
ZINC42414223	NC(=O)N1CCCC(C(=O)Nc2cc[nH]n2)C1
ZINC44528498	[NH3+]CC1CCCN(C(=O)c2cc(=O)[nH]c([O-])n2)C1
ZINC44791435	CNC(=O)C1CCCN1C(=O)C1(/C(N)=N/O)CCCCC1
ZINC44867043	CC(=O)NNC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
ZINC44877699	CNC(=O)C1CCCN1C(=O)C(C)/C(N)=N/O
ZINC44882749	CC(C(=O)NC1(C)CCS(=O)(=O)C1)/C(N)=N/O
ZINC44932122	CC(NC(=O)C1([NH3+])CCCCC1)c1nnn[n-]1
ZINC44987960	Cc1noc(CNc2cc3c(cc2N)NC(=O)CC3)n1
ZINC44987977	Cc1noc(CNc2cc3nc[nH]c(=O)c3cc2N)n1
ZINC47320929	NC(=O)NCC1CCCN(C(=O)Nc2nncs2)C1
ZINC48836167	Cc1oc(CNC(=O)N2CCC([NH3+])CC2)cc1C(=O)[O-]
ZINC48909950	NS(=O)(=O)c1ccc(NC(=O)N2CCNC(=O)C2)cc1
ZINC48960838	O=C(NNC1CCS(=O)(=O)C1)Nc1cn[nH]c1
ZINC50324065	Cc1nn(C)c(C)c1NC(=O)c1[nH]nc(C2CC2)c1N
ZINC50324702	CC1(NC(=O)c2[nH]nc(C3CC3)c2N)CCS(=O)(=O)C1
ZINC51118793	CC1(NC(=O)c2cccc(NN)n2)CCS(=O)(=O)C1
ZINC51121705	Cc1cc(NC(=O)c2ccc(NN)nn2)n(C)n1
ZINC51122028	NNc1ccc(Cl)c(C(=O)N2CCNC(=O)C2)n1
ZINC51147559	NNc1nc(CN2C(=O)CNC2=O)nc2sccc12
ZINC51147713	Cc1nn(C)c(NN)c1CN1C(=O)NC2(CCCC2)C1=O
ZINC52518596	O=C(CC1NC(=O)NC1=O)NC1CCCCNC1=O
ZINC53105836	CC1CCCC(CO)(NC(=O)c2cc(=O)[nH]c(=O)[nH]2)C1
ZINC50657157	Cc1n[nH]c(C)c1[N-]S(=O)(=O)c1ccc(N)[nH+]c1
ZINC56375364	CNC(=O)NNC(=O)Cc1n[nH]c(=O)c2ccccc12
ZINC45956810	[NH3+]C1CCN(Cc2cc([O-])[nH]/c(=N\[N+](=O)[O-])n2)C1
ZINC59883683	NC(=O)Nc1ccc(C(=O)N2CCNC(=O)CC2)cc1
ZINC62811475	CS(=O)(=O)NC1CCCN(C(=O)c2n[nH]cc2N)C1
ZINC62948138	[NH3+]CC1CCN(C(=O)Nc2cncc(C(=O)[O-])c2)C1
ZINC63229041	CC(NC(N)=O)C(=O)N1CC(=O)Nc2ccccc21
ZINC63337620	Cc1cc(C)c(S(N)(=O)=O)cc1C(=O)Nc1nc[nH]n1
ZINC03595745	CC1CCCCC12NC(=O)N(CC(=O)NC(N)=O)C2=O
ZINC04357816	Cc1ccc([N+](=O)[O-])cc1NC1OCC(O)C(O)C1O
ZINC01593419	O=c1[nH]cc(SSc2c[nH]c(=O)[nH]c2=O)c(=O)[nH]1
ZINC05798719	Cc1cc([N+](=O)[O-])ccc1NC1OCC(O)C(O)C1O
ZINC09694453	COc1ccc(C2(O)C(=O)NC(=O)NC2=O)c(O)c1
ZINC13361306	CC(=O)c1cccc(NC(=O)Nc2c[nH]c(=O)[nH]c2=O)c1
ZINC13603354	Cc1cc([N+](=O)[O-])ccc1NC1OCC(O)C(O)C1O
ZINC19259059	Nc1ccc(F)c(NC(=O)CN2C(=O)CNC2=O)c1
ZINC19645037	Cc1c(C(N)=O)sc2ncn(CC(N)=O)c(=O)c12
ZINC06022543	CC(=O)Nc1ccc(NC=C2C(=O)NC(=O)NC2=O)cc1
ZINC20000407	NNc1ccc(S(=O)(=O)N2CCNC(=O)C2)cn1
ZINC32598041	Cc1nn(C)cc1C(C)Nc1nc(N)nc2[nH]ncc12
ZINC37073630	O=c1[nH]c2ccc(NCc3cc[nH]n3)cc2[nH]c1=O
ZINC37552196	[NH3+]CC#Cc1cccc(NC(=O)c2cc([N+](=O)[O-])c[n-]2)n1
ZINC00110497	O=C(CN1C(=O)NC2NC(=O)NC21)NN=C1CCCC1
ZINC08665105	O=C1NC(=O)/C(=C\c2ccc(/C=C3/NC(=O)NC3=O)cc2)N1
ZINC40338384	Cc1cccc(N)c1C(=O)N1CCN(S(N)(=O)=O)CC1
ZINC40382119	Cc1cc(S(N)(=O)=O)ccc1NC(=O)C1CCC(=O)N1
ZINC44593426	Cn1nccc1NC(=O)c1n[nH]c2ccc(N)cc12
ZINC44785426	CC(C)(C(=O)NC1CCS(=O)(=O)CC1)/C(N)=N/O
ZINC44877839	CNC(=O)C1CCCCN1C(=O)C(C)/C(N)=N/O
ZINC44977273	[NH3+]CC#Cc1ccc(C(=O)NCc2nnn[n-]2)cc1F
ZINC45953611	NC(=O)C1CC(=O)N(c2ccc(S(N)(=O)=O)cc2)C1
ZINC48512918	NC(=O)c1ccc(F)c(NC(=O)N2CCNC(=O)C2)c1
ZINC48950379	CNC(=O)NNC(=O)c1cc2c([nH]c1=O)CCCC2=O
ZINC48950492	CNC(=O)NNC(=O)c1ccc2c(c1)CCC(=O)N2
ZINC48950632	CNC(=O)NNC(=O)c1cccc(N2CCNC2=O)c1
ZINC49155327	CC(=O)NNC(=O)Nc1cc2c(cc1Cl)NC(=O)CO2
ZINC49425247	CNC(=O)NNC(=O)c1ccc(-c2ccco2)[nH]c1=O
ZINC49467611	CC(C)NC(=O)NNC(=O)c1c[nH]c(=O)c(Cl)c1
ZINC50306118	Cc1[nH]nc(C(=O)N2CCCC(NS(C)(=O)=O)C2)c1N
ZINC51096350	Cc1cnc(NC(=O)c2ccc(NN)nn2)s1
ZINC51118789	CC1(NC(=O)c2ccc(NN)nn2)CCS(=O)(=O)C1
ZINC53066576	O=C(NC1(CO)CCCC1)c1cc(=O)[nH]c(=O)[nH]1
ZINC53074539	O=C(NC1(CO)CCCCC1)c1cc(=O)[nH]c(=O)[nH]1
ZINC53110037	CC1CCCC(CO)(Nc2n[nH]c(=O)[nH]c2=O)C1
ZINC37519208	Cc1n[nH]c(C)c1S(=O)(=O)[N-]c1ccc(N)[nH+]c1
ZINC57354173	O=C1c2ccccc2C2(O)Nc3nsnc3NC12O
ZINC58082148	NC(=O)C1CCCN(C(=O)C2CCN(C(N)=O)CC2)C1
ZINC21056632	NC(Cc1cnc[nH]1)C1=NC(=C2C=CC(=O)C=C2)NO1
ZINC61090330	NC(=O)C1CCCN1C(=O)Cn1cc(N)ccc1=O
ZINC61671031	Nc1cc2c(cc1NC(=O)C1CCOCC1)NC(=O)CO2
ZINC62100016	Nc1ccc2[nH]nc(C(=O)N3CCNC(=O)CC3)c2c1
ZINC62101359	N/C(=N/O)C1(C(=O)N2CCNC(=O)CC2)CCCC1
ZINC62777975	NS(=O)(=O)c1ccc(NC(=O)c2cn[nH]c2)c(F)c1
ZINC62779784	NS(=O)(=O)c1ccc(F)c(NC(=O)c2cc[nH]n2)c1
ZINC62811474	CS(=O)(=O)NC1CCCN(C(=O)c2n[nH]cc2N)C1
ZINC62811528	CC(=O)NC1CCCN(C(=O)c2n[nH]cc2N)C1
ZINC63188114	O=C(Nc1ccc2c(c1)CCN2)c1c[nH]c(=O)[nH]c1=O
ZINC64403618	CNC(=O)/C=C1/CSC(NC(=O)c2ccc[nH]c2=O)N1
ZINC03897446	O=[N+]([O-])c1cccc(NC2OCC(O)C(O)C2O)c1
ZINC03187066	N#Cc1c(-c2ccco2)c(C#N)c(=O)n(N)c1N
ZINC01606451	O=C(Nc1c(O)[nH]c(=O)[nH]c1=O)C(Cl)(Cl)Cl
ZINC04946626	CC(=O)Nc1c(NN=C(C)C)[nH]c(=O)[nH]c1=O
ZINC01655778	CC(C)C1(C(=O)NN)OC2(O)CCCCCN2C1=O
ZINC03090885	Cc1ccccc1NNC=C1C(=O)NC(=O)NC1=O
ZINC12657755	Cc1ccc([N+](=O)[O-])cc1NC1OCC(O)C(O)C1O
ZINC12970904	NS(=O)(=O)c1ccc2c(c1)NC(=O)CC(=O)N2
ZINC05400089	CCn1c(=O)n(CC)c2cc3[nH]c(=O)c(NN)nc3cc21
ZINC06161142	NNc1nc(N2CCOCC2)c2[nH]cnc2n1
ZINC09360180	O=C1NC(=S)N=C([O-])/C1=C\NNC(=O)c1ccccc1
ZINC09360180	O=C1NC(=S)N=C([O-])/C1=C/NNC(=O)c1ccccc1
ZINC19442288	O=C(Nc1cccc2c([O-])n[nH]c(=O)c12)C1CSC[NH2+]1
ZINC20354545	CNc1c(N)n(-c2ccc(OC)cc2)c(=O)[nH]c1=O
ZINC24152025	O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc[nH]c1=O
ZINC28969006	O=C1NC(=S)NC(=O)C1=CNc1ccc2cn[nH]c2c1
ZINC35431171	[NH3+][N-]S(=O)(=O)c1ccc2c(c1)NC(=O)CO2
ZINC36165388	NS(=O)(=O)c1cccc(NC(=O)c2cn[nH]c2)c1
ZINC36738617	Nc1cc2c(cc1NC(=O)c1ccoc1)NC(=O)CO2
ZINC37730751	Cc1[nH]ncc1S(=O)(=O)[N-]c1ncc(C#CC[NH3+])s1
ZINC37730761	Cc1[nH]ncc1S(=O)(=O)[N-]c1cccc(C#CC[NH3+])n1
ZINC37934349	Cn1cnnc1Sc1cc(N)cc(S(N)(=O)=O)c1
ZINC39334529	CC1=C(C2NNC3SC(N)=NN32)C(C)N=N1
ZINC40329220	Cn1cc(N)cc1C(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC40826768	NC(=O)c1cc(NC(=O)C2=NNC(=O)CC2)c(F)cc1F
ZINC40827239	NC(=O)c1cc(NC(=O)C2=NNC(=O)CC2)ccc1F
ZINC43706764	[NH3+]C1CCCCC1NC(=O)N1CCOC(C(=O)[O-])C1
ZINC44785375	N/C(=N/O)C1(C(=O)N2CCCC(CO)C2)CCOCC1
ZINC44791424	CNC(=O)C1CCCN1C(=O)C(C)(C)/C(N)=N/O
ZINC44791522	CNC(=O)C1CCCCN1C(=O)C1(/C(N)=N/O)CCCC1
ZINC45817663	Cc1nc2c(O)c3nc(C)[nH]c(=O)c3c(O)c2c(=O)[nH]1
ZINC47646214	O=C1CN(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)CCN1
ZINC48949249	CNC(=O)NNC(=O)c1ccc2c(c1)NC(=O)CS2
ZINC48949321	CNC(=O)NNC(=O)c1ccc2c(c1)NC(=O)C(C)S2
ZINC48950035	CNC(=O)NNC(=O)c1ccc2c(c1)NC(=O)CO2
ZINC48960840	O=C(NNC1CCS(=O)(=O)C1)Nc1cn[nH]c1
ZINC49164638	CCNC(=O)NNC(=O)c1cnc2[nH]nc(C)c2c1
ZINC49165756	CCNC(=O)NNC(=O)c1ccc2c(c1)OCC(=O)N2
ZINC49499662	O=C(CC1NC(=O)NC1=O)NC1CCCNC1=O
ZINC50306107	CNC(=O)C1CCCCN1C(=O)c1n[nH]c(C)c1N
ZINC50703186	Cc1n[nH]c(C)c1NC(=O)c1ccc(N)nn1
ZINC51147722	CC1(C)NC(=O)N(Cc2nnsc2NN)C1=O
ZINC58401497	NC(=O)NCc1ccc(C(=O)N2CCNC(=O)C2)cc1
ZINC44382214	O=C([O-])c1c[nH]c(C2(NC(=O)N3CC[NH2+]CC3)CCC2)n1
ZINC42489489	CNC(=O)C1CCN(C(=O)C/C(N)=N/O)CC1
ZINC51122005	NNc1cc(C(=O)N2CCNC(=O)C2)c2ccccc2n1
ZINC62100022	Nc1c(C2CC2)n[nH]c1C(=O)N1CCNC(=O)CC1
ZINC62101363	N/C(=N/O)C1(C(=O)N2CCNC(=O)CC2)CCCCC1
ZINC62779793	NS(=O)(=O)c1cc(F)cc(NC(=O)c2cn[nH]c2)c1
ZINC62876622	CC1(C(=O)[O-])CCC[NH+](CC(=O)NC(N)=O)C1
ZINC66740753	COc1ccc2c(c1)NC(=O)C21NC(=O)c2n[nH]c(C)c2N1
ZINC02141426	O=C(CNC(=O)Nc1cccc(Cl)c1Cl)N/N=C/c1cccc(O)c1
ZINC09154332	Cc1cccc(NC(=O)Nc2nc3ccc(S(N)(=O)=O)cc3s2)c1
ZINC12403369	O=C(NNC(=O)c1ccc(NC(=O)C2CCCCC2)cc1)NC1CCCCC1
