ZINC00112261	Cc1cc(C)c(C(=O)Nc2nnc(C(C)C)s2)c(C)c1
ZINC06750965	CC1=C(c2ccc(C)cc2)S(=O)(=O)N=C1Nc1cc(C)cc(C)c1
ZINC08284608	C/C(=N\Nc1ncnc2sc(C)c(C)c12)c1ccccc1Cl
ZINC00453243	Cc1ccc(Nc2nc(-c3c(C)nc4ccccn34)cs2)c(C)c1
ZINC10024473	O=c1[nH]c(SCC2CCCCO2)nc2sc3c(c12)CCCC3
ZINC10421403	Cc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4o3)cc2)s1
ZINC05587719	Cc1ccc(Nc2nc(-c3c(C)nc4sccn34)cs2)c(C)c1
ZINC15600219	Cc1ccc(NC(=O)/C=C/c2cc(Cl)c3c(c2)OCO3)c(F)c1
ZINC19789541	CCC1CCCC[NH+]1Cc1c([O-])c(Cl)cc2c(C)cc(=O)oc12
ZINC20060340	CC1CCN(C2=C(NC3CCCC3)C(=O)c3ccccc3C2=O)CC1
ZINC20182049	Cc1ccc(Nc2c(-c3ccsc3)nc3ncccn23)cc1Cl
ZINC21051151	CCCC1c2cccn2CCN1C(=O)Nc1ccc(C)cc1Cl
ZINC21669015	Cc1ccoc1C(=O)Nc1ccccc1-c1nc2ccccc2s1
ZINC24826861	COc1cccc2sc(NC(=O)c3csc4ccccc34)nc12
ZINC24990143	CC1CCc2c(sc3nc(SCC4CCCO4)[nH]c(=O)c23)C1
ZINC28715073	Cc1cccc2sc(NC(=O)c3occc3-c3ccccc3)nc12
ZINC29765917	CC(=O)c1ccc(C(=O)Nc2nc3c(C)ccc(C)c3s2)s1
ZINC30836365	Cc1cc(C)c(NS(=O)(=O)c2cc(C)cc3cccnc23)c(C)c1
ZINC36278103	CC1CCc2c(sc3nc(Cl)nc(NCc4ccco4)c23)C1
ZINC37131388	O=[N+]([O-])c1ccc(NC2Cc3ccccc3C2)c(Br)c1
ZINC37140100	O=[N+]([O-])c1cc(Br)ccc1NC1Cc2ccccc2C1
ZINC39881192	CSc1ncc(C(=O)Nc2ccc(C)c(Cl)c2)c(Cl)n1
ZINC39881195	CSc1ncc(C(=O)Nc2cc(Cl)ccc2C)c(Cl)n1
ZINC40227140	O=[N+]([O-])c1ccc(NC2CCc3cc(Br)ccc32)cc1
ZINC40227142	O=[N+]([O-])c1ccc(NC2CCc3cc(Br)ccc32)cc1
ZINC40858048	Cc1cc(C)c(-c2ccnc(Nc3ccccc3C#N)n2)c(C)c1
ZINC41394158	CC(C)n1c(NC2CCCC2)nc2sc3c(c2c1=O)CCCC3
ZINC02919357	CC(C)c1ccc(C2CC(c3ccccc3F)n3ncnc3N2)cc1
ZINC02919356	CC(C)c1ccc(C2CC(c3ccccc3F)n3ncnc3N2)cc1
ZINC02500103	CC(C)c1ccc(C2CC(c3cccs3)n3ncnc3N2)cc1
ZINC02500100	CC(C)c1ccc(C2CC(c3cccs3)n3ncnc3N2)cc1
ZINC36635513	Cc1ccc(NC2CC(=O)N(c3c(C)cc(C)cc3C)C2=O)c(C)c1
ZINC60291559	Cc1cc(C)c(S(=O)(=O)Nc2ccc3scnc3c2)c(C)c1
ZINC62374858	O=C(Nc1ccc(OC(F)F)cc1)N1CC2CC3CC(C2)CC1C3
ZINC62527513	Cc1c(C(=O)N(C)c2cccc(C(C)C)c2)[nH]c2c1C(=O)CCC2
ZINC06556638	CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=C/Nc1cc(C)ccc1C
ZINC06556638	CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=C\Nc1cc(C)ccc1C
ZINC38827283	Cc1ccc([N-]C2=NC(=O)/C(=C/C3=c4ccccc4=[NH+]C3)S2)cc1
ZINC65812657	COc1ccc(NC(=O)c2cc3ccc(C)cc3nc2C)c(Cl)c1
ZINC00201205	Cc1ccc(-c2nc3ccc(Cl)cn3c2Nc2ccc(F)cc2)o1
ZINC00426780	Cc1ccn2c(Nc3ccccc3C)c(-c3ccc(C)o3)nc2c1
ZINC00313953	Cc1ccccc1Nc1nc(-c2cc3ccccc3oc2=O)cs1
ZINC00411207	Cc1ccc(CSc2nnc3c(n2)[nH]c2c(C)cc(C)cc23)cc1
ZINC00567897	COc1cc2ccccc2cc1C(=O)Nc1nc2c(C)cccc2s1
ZINC04121608	COc1cccc2sc(Nc3nc4c(s3)CC(C)CC4)nc12
ZINC04137652	COc1cccc2sc(Nc3nc4c(F)cccc4s3)nc12
ZINC00186138	Cc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1ccco1
ZINC02472006	Cc1ccc(C2CC(c3ccc(C(C)C)cc3)n3ncnc3N2)cc1
ZINC01502488	CC(C)(C)c1ccc(-c2n[nH]cc2-c2nc3ccccc3o2)cc1
ZINC04331352	COc1ccc(C)c2sc(NC(=O)c3ccc4ccccc4c3)nc12
ZINC04597407	Cc1ccccc1Nc1c(-c2ccc(Cl)s2)nc2cnccn12
ZINC04632330	Cc1ccc2nc(-c3ccccn3)c(Nc3ccc(Cl)cc3)n2c1
ZINC00441322	CC(C)Oc1ccc(-c2nc3sc4c(c3c(=O)[nH]2)CCCC4)cc1
ZINC05626702	Cc1c(O)ccc2c(CSc3ccc4ccccc4n3)cc(=O)oc12
ZINC05589097	Cc1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1C
ZINC06614463	Cc1cccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)c1C
ZINC08642193	O=C1OC(/C=C\c2ccccc2)=N/C1=C\c1c(O)ccc2ccccc12
ZINC08864608	Cc1ccc(S(=O)(=O)Nc2nc3c(C)c(Cl)ccc3s2)cc1
ZINC10156572	Cc1ccc(Nc2ncc3c(n2)CC(c2ccc(C)cc2)CC3=O)cc1
ZINC07499023	Cc1ccc(-c2nc3ncccn3c2Nc2ccc(C)cc2C)cc1
ZINC07499068	Cc1ccc(-c2nc3ncccn3c2Nc2cc(C)cc(C)c2)cc1
ZINC05357176	Cc1ccc2[nH]c(SCc3cc(=O)oc4c(C)c(C)ccc34)nc2c1
ZINC13941007	CCN1C(=O)/C(=C\c2ccccc2O)S/C1=N\c1ccc(C)cc1
ZINC14244874	O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cc2c(cc1Cl)OCO2
ZINC15671984	CC1=C(c2ccc(C)c(C)c2)S(=O)(=O)N=C1Nc1ccc(C)cc1C
ZINC05488624	Cc1cc(C)c2[nH]c3nc(SCc4ccc(Cl)cc4)nnc3c2c1
ZINC20672000	Cc1ccc(Nc2nn(-c3ccccc3)c3c2C(=O)CC(C)C3)cc1C
ZINC20697784	Cc1ccc([N+](=O)[O-])c2c1NC(c1ccc(C(C)C)cc1)C1CC=CC21
ZINC20900383	CCCC1c2ccc(C)n2CCN1C(=O)Nc1cccc2c1CCCC2
ZINC22740001	CC(C)c1cccc(NC(=O)c2cc3c(nc4sccn43)s2)c1
ZINC28495611	N#C/C(=C\c1ccc(-c2ccccc2Cl)o1)c1nc2ccccc2[nH]1
ZINC03983305	CCN1C(=O)/C(=C/c2ccccc2O)S/C1=N\c1ccc(C)cc1
ZINC37131249	O=[N+]([O-])c1ccc(NC2CCCc3ccccc32)c(Br)c1
ZINC37131250	O=[N+]([O-])c1ccc(NC2CCCc3ccccc32)c(Br)c1
ZINC00319112	CCc1sc(-c2cc3ccc(O)cc3oc2=O)nc1-c1ccccc1
ZINC01208025	Cn1cccc1/C=N/NC(=O)c1sc2cc(Cl)ccc2c1Cl
ZINC15933940	Cn1c2ccccc2c2cc(/C=N/NC(=O)c3ccccc3F)ccc21
ZINC38797254	O=C1N/C(=N/c2ccccc2Cl)S/C1=C\C1=c2ccccc2=[NH+]C1
ZINC39921094	Cc1ccc(-c2c(Nc3ccccc3)oc3cc(C)oc(=O)c23)cc1
ZINC38613336	O=C1N/C(=N\c2ccc(Cl)cc2)S/C1=C\C1=c2ccccc2=[NH+]C1
ZINC41310695	CC(C)c1ccc2oc(C(=O)Nc3nc4c(s3)CCCC4)cc2c1
ZINC41393974	CCn1c(NC2CCCCCC2)nc2sc3c(c2c1=O)CCCC3
ZINC02605578	COc1ccc(Cl)cc1Nc1ncnc2sc3c(c12)CCCC3
ZINC00431247	Cc1ccc(N/C=C2/N=C(c3cccc4ccccc34)OC2=O)c(C)c1
ZINC06468954	COc1ccc(/N=N/c2cc(Cl)cc(Br)c2O)cc1
ZINC59261018	O=C(N/N=C/c1ccc2ccc3cccc4ccc1c2c34)c1cccnc1
ZINC60135575	COc1cc(Cl)ccc1C(=O)Nc1nc2ccc(Cl)cc2s1
ZINC12621386	CCOc1ccccc1C1Nc2ccccc2-c2nc3ccccc3n21
ZINC12462719	Cc1cccc(/N=C2\NC(=O)/C(=C\c3ccc(N(C)C)cc3)S2)c1
ZINC12462719	Cc1cccc(/N=C2/NC(=O)/C(=C\c3ccc(N(C)C)cc3)S2)c1
ZINC04614628	CC1CC(NC(=O)C2C3CCC(C3)C2C(=O)[O-])CC(C)(C)C1
ZINC08274372	O=C([O-])c1cccc(NC(=O)c2cc3c(s2)CCCC3)c1
ZINC06714944	CC1=C(C)CC(C(=O)Nc2ccc(C)cn2)C(C(=O)[O-])C1
ZINC13171411	O=C(Nc1cc2ccccc2cc1C(=O)[O-])c1ccc(Cl)nc1
ZINC13187585	O=C(Nc1ccc(Cl)cc1C(=O)[O-])c1cc2c(s1)CCC2
ZINC13304751	O=C([O-])c1ccc(F)cc1NC(=O)c1csc2c1CCCC2
ZINC13370715	CC12CCC3C4CCCC(C)(C(=O)[O-])C4CCC3(C/C1=N\O)C2
ZINC13857426	Cc1ccc(C)c(NC(=O)C2C3C=CC(C4CC34)C2C(=O)[O-])c1
ZINC16953457	O=C([O-])/C=C\C(=O)Nc1cc(Cl)c(Cl)cc1Cl
ZINC04973644	O=c1[nH]c([O-])nc2c1sc1nc(-c3cccs3)ccc12
ZINC19845047	O=C([O-])c1cccnc1Nc1ccccc1Br
ZINC20333558	CC1CCc2c(sc(NC(=O)C(C)(C)C)c2C(=O)[O-])C1
ZINC20594645	O=C([O-])CCc1nc2sc3c(c2c(=O)[nH]1)CCCCCC3
ZINC20800684	CC(C)c1ccc(C2CC(=O)c3cc(C(=O)[O-])c(=O)[nH]c3C2)cc1
ZINC24545025	Cc1nc(-c2ccccc2)nc2sc3c([O-])[nH]c(=S)nc3c12
ZINC33421242	C/C(C(=O)[O-])=C(\C)C(=O)Nc1ccc(Br)cc1C
ZINC34714594	Cc1cc(C2CC(C(=O)[O-])CN(C(=O)NC(C)C)C2)ccc1F
ZINC35186103	O=C([O-])c1ccc(C(=O)Nc2nc3ccccc3s2)cc1
ZINC35397961	Cc1ccc2c(c1C)N/C(=C1/C=CC=CC1=O)C=C2C(=O)[O-]
ZINC18166313	O=C1/C(=C\c2ccccc2O)N=C([S-])N1Cc1ccco1
ZINC35895993	Cc1cc(C2CCC(C(=O)[O-])CN2C(=O)NC(C)C)ccc1F
ZINC36087602	O=C([O-])C1C2C=CC(C2)C1C(=O)Nc1cccc2c1CCCC2
ZINC09421959	Oc1ccccc1-c1nnc([S-])n1-c1cccc2ncccc12
ZINC37245214	O=C([O-])c1c[nH]cc1-c1cc(Br)c2c(c1)OCO2
ZINC37277756	Cc1cccc(C2CCC(C(=O)[O-])CN2C(=O)NC(C)C)c1
ZINC37418865	Cc1cc(C(=O)Nc2cc(C(=O)[O-])ccc2C)c(C)s1
ZINC37430556	O=C([O-])c1ccc(NC(=O)c2csc(Br)c2)cc1
ZINC00044141	CC1(C(=O)[O-])CCC(C(=O)NC2CCCCCC2)C1(C)C
ZINC17720671	CSc1ccccc1C(=O)Nc1nc([O-])c2ccccc2n1
ZINC40114075	Cc1ccc(C)c([N-]C2=NC(=O)/C(=C/c3c(C)n[nH]c3C)S2)c1
ZINC40114076	Cc1ccc([N-]C2=NC(=O)/C(=C/c3c(C)n[nH]c3C)S2)c(C)c1
ZINC40116809	O=C1NC(c2cccc3ccccc23)C(C(=O)c2ccccc2)=C1[O-]
ZINC42435608	CC(C)c1[nH]c(-c2ccccc2Br)nc1C(=O)[O-]
ZINC48530200	N#C/C(C(=O)c1ccn[nH]1)=C(\[O-])c1ccc(Cl)cc1Cl
ZINC49188075	Cc1ccc(C(C)NC(=O)N2CCCC(C(=O)[O-])C2)s1
ZINC49391195	N#C/C(=C/c1ccc(O)c(Cl)c1)C(=O)Nc1nccs1
ZINC15018381	CCc1cccc2c1NC(=O)/C2=C1/SC(=S)N=C1[O-]
ZINC09368923	Cc1ccc([N-]C2=NN/C(=C3/C=Nc4ccccc43)CS2)cc1
ZINC57608223	Cc1cc(C)c(CC(=O)Nc2nnc([S-])s2)c(C)c1
ZINC61563773	Cc1cc(C(=O)Nc2cc(F)c(F)cc2C(=O)[O-])c(C)s1
ZINC61620051	Cc1ccc(-c2ncc(C(=O)Nc3ncccc3[O-])s2)c(C)c1
ZINC62348608	Cc1cc(C(=O)Nc2cc(C)c(C)c(C(=O)[O-])c2)sc1C
ZINC62827966	CC1CCC(N(C)C(=O)Nc2sccc2C(=O)[O-])CC1
ZINC62846677	CCC1(C(=O)[O-])CCN(C(=O)NC2CCCC(C)C2)CC1
ZINC62873077	CCC1(C(=O)[O-])CCCN(C(=O)NC2CCC(C)CC2)C1
ZINC62873696	CCC1(C(=O)[O-])CCCN(C(=O)NC2CCCC(C)C2)C1
ZINC62924310	CCC1(C(=O)[O-])CCN(C(=O)Nc2cc(C)cc(C)c2)C1
ZINC63147884	CC1CCC(CNC(=O)N2CCCC(C)(C(=O)[O-])C2)CC1
ZINC12446574	Cc1cc(C(F)(F)F)nc2sc3c(=O)[nH]c([O-])nc3c12
ZINC19802044	CC1=C(C#N)C(c2ccc(O)cc2)C2=C([O-])CC(C)(C)CC2=N1
ZINC19802044	CC1=C(C#N)C(c2ccc(O)cc2)C2=C(CC(C)(C)CC2=O)N1
ZINC01751061	Cc1cccc(/C=C/C(=O)Nc2ncc(Cc3cccc(Cl)c3Cl)s2)c1
ZINC04181010	C/C(=N/NC(=O)Cc1ccc(Br)c2ccccc12)c1ccc(Br)s1
ZINC03426843	CC1CCc2c(sc(NC(=O)CCl)c2C(=O)c2ccc(C(C)(C)C)cc2)C1
ZINC01779976	CCCCc1ccc(Nc2ncnc3ccc(I)cc23)cc1
ZINC02820245	Cc1ccc(/C=C/C(=O)Nc2ncc(Cc3cc(Cl)ccc3Cl)s2)cc1
ZINC02840245	O=C1NC(=S)S/C1=C/c1cc(Cl)cc(Cl)c1OCc1ccc(Cl)c(Cl)c1
ZINC01819019	CC(C)(C)SCC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc21
ZINC02061747	CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)Nc1ccc(I)cc1
ZINC08711924	Cc1cc(Br)c(NC(=O)COc2cc(Cl)ccc2Cl)c(Br)c1
ZINC09057846	Cc1ccc(N/C=C(\C#N)c2nc(-c3ccc(Cl)c(Cl)c3)cs2)c(Br)c1
ZINC09199357	CC(C)(C)c1ccc(-c2nnc(SCc3ccc(Br)cc3)[nH]2)cc1
ZINC09596800	CCSc1ccc(CC(=O)Nc2nc3c(s2)-c2cccc4cccc-3c24)cc1
ZINC09763598	COc1cc(C2Nc3cc(Cl)cc(Cl)c3C3C=CCC32)cc(Br)c1OC
ZINC09969775	O=C(Nc1ccc(Br)cc1F)c1cc2sccc2n1Cc1ccc(Cl)cc1
ZINC12372385	Cc1oc(C23CC4CC(CC(C4)C2)C3)cc1C(=O)NCC12CC3CC(CC(C3)C1)C2
ZINC12484652	Cc1ccccc1C(=O)Nc1sc(C)c(C)c1C(=O)c1ccc(Br)cc1
ZINC03241329	Oc1ccc(/N=C/c2ccccc2Br)cc1/N=C/c1ccccc1Br
ZINC12622097	C/C(=N\Nc1ncc(C(F)(F)F)cc1Cl)c1ccc(Br)cc1Br
ZINC13957607	O=C(Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1)c1sc2ccccc2c1Cl
ZINC14272980	O=C(/C=C/c1ccc(-c2ccc(Cl)cc2Cl)o1)Nc1ccc(Br)cc1Cl
ZINC14400625	Cc1cc(OC(C)C(=O)Nc2ccc(I)cc2)cc(C)c1Cl
ZINC14464543	CCN(C(=O)c1cccc2c1NC(c1cccc3ccccc13)C1CC=CC21)c1ccccc1
ZINC14477153	CC(C)CCOc1ccc2c(c1)C1C=CCC1C(c1cccc(Cl)c1Cl)N2
ZINC14667493	CC(C)Oc1ccc(Br)cc1C(=O)Nc1ccc(I)cc1
ZINC20352807	COc1c(Br)cc(Br)cc1/C=C/C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC20711746	CC(C)CCOc1ccc2c(c1)C1C=CCC1C(c1cccc(Cl)c1Cl)N2
ZINC20750273	Clc1cccc(Cl)c1C1Nc2ccc(OCC3CCCO3)cc2C2C=CCC21
ZINC21254247	CSc1ccc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(C(C)(C)C)cc2)C3)cc1
ZINC21595645	Cc1cc(NC(=O)C(C)Oc2ccc(Cl)cc2Cl)cc(C)c1I
ZINC21595646	Cc1cc(NC(=O)C(C)Oc2ccc(Cl)cc2Cl)cc(C)c1I
ZINC25394794	Oc1ccc2cc(Br)ccc2c1CN1CCN(c2cccc(C(F)(F)F)c2)CC1
ZINC32119065	COc1c(Br)cc(Br)cc1/C=C/C(=O)NC1C2CC3CC(C2)CC1C3
ZINC33595098	O=C(Nc1ccccc1I)c1ccc(-c2ccccc2C(F)(F)F)o1
ZINC12914457	O=C(CN1CCc2sccc2C1c1cccs1)Nc1cccc(Cl)c1Cl
ZINC37297780	Cc1cc(I)ccc1NC1CCCOc2cc(Br)ccc21
ZINC39127047	c1ccc(/N=C2\OC(c3ccccc3)C(c3ccccc3)=C2Nc2ccccc2)cc1
ZINC39528085	IC1CN(c2ccc(Cc3ccccc3)cc2Cc2ccccc2)CCN1
ZINC36639254	O=C(Nc1ncc(Cc2ccc(Br)c(Cl)c2)s1)c1ccccc1Cl
ZINC40217024	O=C(Nc1cc(Cl)cc(Br)c1OC(F)F)c1ccc(Br)s1
ZINC40943539	Cc1ccc(NC(=O)COc2cc(C)c(Cl)c(C)c2Br)c(Br)c1
ZINC41012346	CC(C)c1ccc(/C=C/C(=O)Nc2nc(-c3ccc4c(c3)CCCC4)cs2)cc1
ZINC41649302	C#CCOc1ccc(Br)cc1CNc1ccc(C)c(I)c1
ZINC01854210	Oc1c(Br)cc(Cl)cc1/C=N/c1cc(C(F)(F)F)ccc1N1CCCCC1
ZINC59225619	Brc1ccccc1/N=C(\Nc1ccccc1Br)SC1C=CCCC1
ZINC59377006	Brc1ccc(NCn2cnc(-c3ccccc3)c2-c2ccccc2)cc1
ZINC59387188	CSc1nc2ccc(/N=C/c3cc(Br)cc(Br)c3O)cc2s1
ZINC59502998	CC(C)(C)c1ccc(-c2n[nH]c(SCc3cccc(Br)c3)n2)cc1
ZINC59503669	CC(C)(C)c1cc(Br)cc(Br)c1OC(=O)Nc1ccc(Cl)cc1
ZINC65001524	Cc1cc(C)c(C)c(OCC(=O)Nc2ccc(C(C)(C)C)cc2Br)c1
ZINC65001834	Cc1cc(C)cc(OC(C)C(=O)Nc2ccc(C(C)(C)C)cc2Br)c1
ZINC04176260	O=C(Nc1nc2c(cc3c4c(cccc42)CC3)s1)c1cccs1
ZINC04331533	O=C(Nc1nc2c(F)cccc2s1)c1ccccc1Br
ZINC00996032	N#Cc1c(NC(=O)c2cc(F)c(F)cc2Cl)sc2c1CCCC2
ZINC00224074	Cc1cc2c(Nc3ccc(Br)cc3C)ncnc2s1
ZINC05276598	CC12CCCC1C1CC(O)C3CC4(CCC3(C)C1CC2)OCCO4
ZINC05750423	Fc1ccc(C2=CN3C(c4ccc(Cl)cc4)=CSC3=NN2)cc1
ZINC02524288	CN(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)c2ccccc12
ZINC08061970	O=C(Nc1nc2ccccc2s1)c1ccc(F)cc1Br
ZINC07488883	O=c1[nH]c(/C(Cl)=C/c2cccc(F)c2)nc2sc3c(c12)CCC3
ZINC09460187	O=C(Nc1nc2c(s1)CCC2)c1cc2c(s1)CCCCC2
ZINC06315544	O=c1[nH]c(/C(Cl)=C/c2ccc(F)cc2)nc2sc3c(c12)CCC3
ZINC10916771	O=C(Nc1nc2c(Cl)c(Cl)ccc2s1)C1CCCC1
ZINC05587529	Cc1cc(NC(=O)c2ccccc2Br)c2ccccc2n1
ZINC01004371	Cc1cccnc1NC(=O)c1cccc2c(Br)cccc12
ZINC13281330	Oc1c(Cl)cc(Cl)cc1/C=N/c1ccc2cccnc2c1
ZINC15585854	O=C(Nc1nc2ccc(Cl)cc2s1)c1ccc(Cl)cc1F
ZINC15830892	CSc1ccc(-c2nc([S-])c3c(n2)Oc2ccc(C)cc2C3)cc1
ZINC15992239	Cc1ccc(Cl)cc1NC(=O)c1cc(Cl)nc(Cl)c1
ZINC16267966	Cc1cc(Br)c(Nc2nc(Cl)ncc2F)cc1C
ZINC16605180	Cc1ccc(NC(=O)c2sc3cccc(F)c3c2Cl)nc1
ZINC20133124	Cc1cc(Cl)cc2sc(NC(=O)C(C)(C)Br)nc12
ZINC20133148	Cc1cc(Cl)c2nc(NC(=O)C(C)(C)Br)sc2c1
ZINC20303827	Cc1ccc(-c2csc3[nH]c(C(C)Cl)nc(=O)c23)c(C)c1
ZINC24023360	O=C(Nc1cccc2ncccc12)c1cc2c(F)cccc2s1
ZINC31093445	Cc1ccc(NC(=O)c2ccc(Br)s2)c2cccnc12
ZINC35678449	O=C(Nc1cccc(Br)n1)c1cccc(Cl)c1Cl
ZINC37129226	Clc1cc(Cl)c2nsnc2c1NC1CCc2ccccc21
ZINC37313466	Brc1ccc2c(c1)C(Nc1ccc3c(c1)CCO3)CCO2
ZINC37539035	C=C1C2CCC3C4(C)CCCC(C)(C(=O)OC)C4CCC3(C2)C1O
ZINC03426950	Cc1ccc(NC(=O)c2ncc(Cl)c(Cl)c2Cl)cc1C
