ZINC06447457	Cn1c(=O)c2[nH]c(CC[NH3+])nc2n(C)c1=O
ZINC56956198	Cc1cn2c(nc1=[NH2+])OC1C(O)C(CO)OC12
ZINC14988304	Cn1nnc(-c2ccc(O)c(N)c2)n1
ZINC61918961	Cc1nnc(N2CCCOCC2)c(C(N)=[NH2+])c1C
ZINC62100021	[NH3+]C1CC1C(=O)N1CCNC(=O)CC1
ZINC62249989	CN(Cc1[nH+]ccn1C)c1c[nH]nc1N
ZINC62252513	CC(CN1CCn2cc[nH+]c2C1)/C(N)=N/O
ZINC62798419	[NH3+]C1CCc2c(OCC3CNC(=O)O3)cccc21
ZINC63177212	[NH3+]C1CCCC1Nc1nccn(C2CC2)c1=O
ZINC03874671	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O
ZINC04252704	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O
ZINC04349372	O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC04349559	CC1OC(Cc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O
ZINC04349676	O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12
ZINC04349680	O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12
ZINC05386603	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCCO)ccc(NCCCO)c21
ZINC05811537	COc1cc(/C=C/c2cc(O)cc(C3OC(CO)C(O)C(O)C3O)c2)ccc1O
ZINC05937745	CC(C)C(NC(N)=O)C(=O)OCC(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC04221777	CC(NC(=O)C1=CC(NS(=O)(=O)c2cccs2)C(O)C(O)C1)C(N)=O
ZINC08952754	CC1OC(OC2C(=O)c3c(O)cc(O)cc3OC2c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
ZINC13424725	O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC12542410	Cc1ccc(Nc2nc(N)nc(CSCc3nc(N)nc(N)n3)n2)cc1
ZINC14858111	O=C(OC1C=C(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1
ZINC01089867	OCC1OC(Oc2cccc(O)c2CCCc2ccc(O)cc2)C(O)C(O)C1O
ZINC19990407	OCC1OC(Nc2ccc(NC3OC(CO)C(O)C3O)cc2)C(O)C1O
ZINC14951114	O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC21036112	NNc1nnc(SCC(=O)Nc2cc(Cl)cc(Cl)c2)n1N
ZINC21036191	C=CCSc1nnc(NC(=O)CSc2nnc(NN)n2N)s1
ZINC31156039	CC(CCc1ccc(O)cc1)OC1OC(COC2OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC31163907	CCCc1c(O)ccc(OC2OC(CO)C(O)C(O)C2O)c1CO
ZINC31167834	CC(C)CCC1(O)C(=O)C(C)(C)C(OC2OC(CO)C(O)C(O)C2O)C(C)(C)C1O
ZINC31167994	COc1cc2oc(=O)ccc2cc1C(O)C(O)C(C)(C)OC1OC(CO)C(O)C(O)C1O
ZINC35455019	CCCCCCOC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O
ZINC35455270	O=C(OC1C=C(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1
ZINC35455273	O=C(OC1C=C(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12)c1ccc(O)cc1
ZINC35465943	CC1=C(C(=O)OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)C(C)(C)CCC1
ZINC03850729	COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(O)c(C)c(O)c3c(O)c2C(=O)C1O
ZINC35636391	[N-]=[N+]=Nc1ccc(CCC(=O)c2c(O)cc(O)cc2OC2OC(CO)C(O)C(O)C2O)cc1
ZINC36227900	O=c1c2cc(O)c(O)cc2oc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c12
ZINC31159351	CC1OC(Oc2ccc(C3Oc4cc(O)cc(O)c4C(=O)C3O)cc2O)C(O)C(O)C1O
ZINC31158986	CC(O)CCCc1cc(O)cc(OC2OC(CO)C(O)C(O)C2O)c1
ZINC12311574	NS(=O)(=O)c1ccc(N/N=C/c2ccc(O)c(O)c2O)c([N+](=O)[O-])c1
ZINC31160527	C=CC(C)(CCC(O)C(C)(C)O)OC1OC(CO)C(O)C(O)C1O
ZINC31160523	C=CC(C)(CCC(O)C(C)(C)O)OC1OC(CO)C(O)C(O)C1O
ZINC31160519	C=CC(C)(CCC(O)C(C)(C)O)OC1OC(CO)C(O)C(O)C1O
ZINC41301736	COCCCNc1nc(N)c([N+](=O)[O-])c(Nc2sc3c(c2C(N)=O)CCC3)n1
ZINC43193621	OCC1OC(OC2C(CO)OC(OCCCC3CCCCC3)C(O)C2O)C(O)C(O)C1O
ZINC43193622	OCC1OC(OC2C(CO)OC(OCCCC3CCCCC3)C(O)C2O)C(O)C(O)C1O
ZINC43328758	CNc1ccc(O)c2c1CC1CC3C([NH+](C)C)C(=O)C(C(N)=O)=C([O-])C3(O)C(=O)C1C2=O
ZINC43465421	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c12
ZINC43765265	OCC1OC(Nc2ccc(NC3OC(CO)C(O)C3O)cc2)C(O)C1O
ZINC44166798	O=C(OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12)c1ccc(O)cc1
ZINC44166813	O=C(OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12)c1ccc(O)cc1
ZINC04042227	OCC1OC(Nc2ccc(-c3ccc(NC4CC(O)C(CO)O4)cc3)cc2)CC1O
ZINC58834888	Nc1cc(=O)[nH]c(SCc2nnc(CSc3nc(N)cc(=O)[nH]3)n2N)n1
ZINC30691119	C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc([N+](=O)[O-])c4CC3CC12
ZINC61807257	NC(=O)CN(CC(N)=O)S(=O)(=O)c1c(Cl)cc(N)cc1Cl
ZINC39945404	NC(=O)C1C2=C(CCC2)SC1NC(=O)CSc1n[nH]c(N)n1
ZINC16952445	CSc1nc(NC2OC(CO)C(O)C(O)C2O)c(Cl)c(=O)[nH]1
ZINC05415683	[NH3+]CC(=O)N1CCN(C(=O)C2CCCCC2)C(C(=O)NC2CCCNC2=O)C1
ZINC11463738	CCC[NH+](CCC(=O)NC(N)=O)CC(=O)Nc1ccc(F)c(F)c1F
ZINC12756028	CC[NH+](CC(=O)Nc1sccc1C(N)=O)CC(=O)Nc1c(F)cccc1F
ZINC14923303	COc1ccc(Cl)cc1NC(=O)C[NH+](C)C(C)C(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC15707446	CC(C)NC(=O)CCC1CNC(=O)C2CC(NC(=S)Nc3ccc(-n4cccn4)cc3)C[NH+]12
ZINC20231117	CC(N)C(=O)Oc1cccc(C(=O)OCc2ccccc2)c1C(=O)C[NH3+]
ZINC20465794	CC(C)NC(=O)NCC1OC(CO)C(O)C1[NH+](C)CCc1ccccc1
ZINC22589464	NC(=O)c1cc(C(O)C[NH2+]CC2COc3ccccc3O2)ccc1OCc1ccccc1
ZINC22592675	Cc1ccc(C)c(NC(=O)CC([NH2+]CCN2CC[NH2+]CC2)C(=O)[O-])c1
ZINC26842467	CCC[n+]1c(N)c(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc2c(=O)n3ccccc3nc21
ZINC30499841	CCC(=O)Nc1ccc(C(C)[NH2+]C(C)C(=O)NC(=O)NC2CCCC2)cc1
ZINC31467718	CCNC(=O)NC(=O)C[NH+](CC(=O)NC(=O)NCC)C(C)c1ccccc1
ZINC34786307	CCc1c(C)sc(NC(=O)N2CC[NH+](CC(=O)Nc3ccccc3)CC2)c1C(N)=O
ZINC08952763	CSCCC([NH3+])C(=O)N1CCC(C(=O)NC(C)C(=O)Nc2ccc(C(C)C)cc2)CC1
ZINC19324417	CCCC12CN3CC(CCC)(C[NH+](C1)C3C(O)C(O)C(O)CO)C2=O
ZINC19324426	CCCC12CN3CC(CCC)(C[NH+](C1)C3C(O)C(O)C(O)CO)C2=O
ZINC23248541	C=CCNC(=O)C[NH+]1CCN(CC(=O)Nc2sccc2C(N)=O)CC1
ZINC39599499	COc1ccc2[nH]cc(CCNC(=O)C3CN(C(=O)C4C=C(C)N(C)N4)CC34CC[NH2+]CC4)c2c1
ZINC41488538	Cc1c(NC(=O)C(=O)NCc2ccccc2C[NH+](C)C(C)C)cccc1C(N)=O
ZINC44254936	NC(=O)CC([NH3+])c1ccc(OCCCN2C(=O)c3ccccc3C2=O)cc1
ZINC45697702	C[n+]1c(NNC(=O)Nc2ccc(OCC(N)=O)cc2)sc2ccccc21
ZINC46982884	C[NH+](CCCNC(=O)NNC(=O)Nc1ccccc1)CC(F)(F)F
ZINC47964378	CC[NH+](CC)C(CNC(=O)C(=O)Nc1sccc1C(N)=O)c1ccccc1
ZINC47970531	CCC(CC)C(CNC(=O)C(=O)Nc1sccc1C(N)=O)[NH+]1CCCC1
ZINC48095745	C[NH+](C)C(CNC(=O)Nc1ccccc1OCCC(N)=O)c1ccc(F)cc1
ZINC48743420	C[NH+](C)C(CNC(=O)C(=O)Nc1ccccc1CC(N)=O)c1cccs1
ZINC48827147	COc1ccccc1C(CNC(=O)C(=O)Nc1ccccc1CC(N)=O)[NH+](C)C
ZINC49254367	C[NH+](C)Cc1ccccc1CNC(=O)C(=O)Nc1ccccc1CC(N)=O
ZINC49789951	COc1ccccc1C(CNC(=O)NNC(=S)NC1CCCC1)[NH+](C)C
ZINC13493128	Cc1[nH+]c(N)ccc1CNC(=O)Cn1c(C)cnc(NCC(C)c2ccccc2)c1=O
ZINC13781855	Cc1[nH+]c(N)ccc1CNC(=O)Cn1c(C)cnc(NC(C)Cc2ccccc2)c1=O
ZINC54440398	CC(c1ccccc1)[NH+]1CCC(NC(=O)Nc2ccccc2OCCC(N)=O)C1
ZINC56624087	CC[NH+](CC)C(C)CNC(=O)NNC(=O)Nc1ccc(Br)cc1
ZINC56709177	Cc1cc(OCC(N)=O)ccc1NC(=O)NCCCn1cc[nH+]c1C
ZINC56710726	Cc1cc(OCC(N)=O)ccc1NC(=O)NCC(c1cccs1)[NH+](C)C
ZINC57373863	CC(NC(=O)NCCCCn1cc[nH+]c1)c1ccc(NC(=O)NC2CC2)cc1
ZINC59501638	NC(=[NH2+])N/N=C/c1ccc(N2CCN(Cc3ccccc3)CC2)c([N+](=O)[O-])c1
ZINC62730080	COCC[NH2+]Cc1cc(Br)ccc1OCC(=O)NC(N)=O
ZINC63375124	CSCCC([NH3+])C(=O)N1CCC(C(=O)NC(CC2=c3ccccc3=[NH+]C2)C(=O)[O-])CC1
ZINC64137915	NC(=O)CSC1NN=C(SCC(=O)NCCC2=c3ccccc3=[NH+]C2)S1
ZINC64886126	CC(C)(C)c1ccc2cc(C(=O)NNC(=O)NCCCn3cc[nH+]c3)[nH]c2c1
ZINC65408777	CC[NH+](CC)C(CNC(=O)Nc1ccccc1CC(N)=O)c1ccco1
ZINC65609210	CC(CNC(=O)NCCCc1cc(N)n(-c2ccccc2)n1)[NH+](C)C
ZINC66174363	CCC(C)[NH+](C)CCNC(=O)NCCc1ccc(S(N)(=O)=O)cc1
ZINC66595885	CCCC[NH+]1CCCCC1CNC(=O)NCc1ccc(S(N)(=O)=O)s1
ZINC67397649	Cc1cc(OCC(N)=O)ccc1NC(=O)C(=O)NC(C)C[NH+]1CCCC(C)C1
ZINC67452224	COc1cc(C[NH2+]Cc2c[nH]nc2-c2cccs2)ccc1OCC(N)=O
ZINC67469299	CNS(=O)(=O)c1cccc(C(C)NC(=O)NCCC[NH2+]C2CCCCC2)c1
ZINC67628215	CC1CC[NH+](CC(O)CNC(=O)NCCNC(=O)C2CCCCC2)CC1
ZINC67629859	CC1CC[NH+](CC(O)CNC(=O)NCC(=O)NCC(F)(F)F)CC1
ZINC05345775	CCCCN1C(=O)C2C(C)[NH2+]C3(C(=O)Nc4c(C)cccc43)C2C1=O
ZINC02018385	COc1cc2c(cc1O)C1Cc3ccc(O)c(OC)c3C[NH+]1CC2
ZINC06857670	COc1ccc(C2N=C(O)c3c(sc4c3CC[NH+](C)C4)N2)cc1OC
ZINC10342047	CC1Cc2cc(S(N)(=O)=O)ccc2N1C(=O)C[NH+]1CCc2sccc2C1
ZINC12292116	Cc1cccc(C2(O)CC[NH+](CC(O)c3ccc4c(c3)OCCO4)CC2)c1
ZINC12329335	Cc1ccc2c(c1)C(O)CC1(CC[NH+](CC(O)c3ccc4c(c3)OCCO4)CC1)O2
ZINC12484075	OC1C([NH2+]Cc2ccc(F)cc2)C2COC(O2)C1N1CCOCC1
ZINC24900144	N#Cc1ccccc1NC(=O)NC(=O)C[NH+]1CCc2sccc2C1
ZINC26421692	[NH3+]CCn1ncc2c(=O)n(Cc3ccc(Br)cc3)cnc21
ZINC31947084	N#Cc1c(NC(=O)CCC(=O)N2CC[NH2+]CC2)sc2c1CCC2
ZINC31934787	CC1CCc2c(sc3nc(C[NH2+]CC4CCCO4)[nH]c(=O)c23)C1
ZINC35380994	CC(C)CNC(=O)C1CSC2(CCN(C(=O)C3CCCC3)CC2)[NH2+]1
ZINC35740268	Cc1cc(N)[n+](/C(=N\c2cccc(Cl)c2)Nc2cccc(C#N)c2)s1
ZINC35774808	CC1COCCN1C(C[NH3+])c1cc(Br)c2c(c1)OCO2
ZINC36266871	CN(C1C[NH2+]CC1O)S(=O)(=O)c1cccc(Br)c1
ZINC36331882	O=C(C[NH2+]C1CCS(=O)(=O)CC1)Nc1ccc(Br)cc1
ZINC36869535	CN(c1c(N)c[nH+]c2ccc(Br)cc12)C1CCS(=O)(=O)C1
ZINC37053185	CN(C1CC[NH+](C)CC1)S(=O)(=O)c1c(N)cc(Cl)cc1Cl
ZINC37711344	C[NH2+]Cc1cc(Cl)cc(Cl)c1OC1CS(=O)(=O)CC1O
ZINC00898438	COc1cc2c(cc1O)-c1c(O)c(OC)cc3c1C(C2)[NH+](C)CC3
ZINC36273081	C[NH+]1CCN(Cc2c(-c3cccs3)nc3ccc(N)cn23)CC1
ZINC03831110	CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2[NH+](C)C1
ZINC39975342	CCN1C(N)=C(C#N)C(C2=CC3=c4ccccc4=[NH+]C3C=C2)C2=NC(C)OC21
ZINC39981147	NC(=O)CSC1=NC2[NH+]=c3ccc(Br)cc3=C2N=N1
ZINC40320482	Nc1cc(S(=O)(=O)N2CC[NH+]3CCCC3C2)c(Cl)cc1F
ZINC40337179	C[NH+](C)CC1CCN(S(=O)(=O)c2ccc(N)cc2Cl)CC1
ZINC40633005	COc1c(Br)cc(Cl)cc1NC(=O)C1CC(OC)C[NH2+]1
ZINC40740996	COc1ccc(S(=O)(=O)NC2CC3CCC(C2)[NH2+]3)cc1Cl
ZINC42100402	O=C1Nc2c(Br)cccc2C1[NH2+]CC1CCS(=O)(=O)C1
ZINC43283304	CC([NH3+])C(Sc1nnnn1C)c1ccc(Br)s1
ZINC43290256	CC([NH3+])C(Sc1nnnn1C)c1cc(Br)cs1
ZINC49175873	C[NH+]1CCCC(NC(=O)c2n[nH]c(C3CC3)c2Br)C1
ZINC09485414	[NH2+]=C1SC2CS(=O)(=O)CC2N1/N=C/c1c[nH]c2ccccc12
ZINC51924566	CC1CCCCC1NC(=O)NC(=O)CN1CCC([NH+]2CCCC2)CC1
ZINC53205762	CN(C1CCC[NH+](C)C1)S(=O)(=O)c1cc(Br)ccc1N
ZINC54200438	Cc1ccc2ccc(C(Nc3cc[nH+]cc3)c3ccncc3)c(O)c2n1
ZINC48623002	O=c1c2c([nH]c3cc(C4CCCC[NH2+]4)nn13)CCN(Cc1cccs1)C2
ZINC40334983	CN(Cc1[nH+]ccn1C)S(=O)(=O)c1c(Cl)cc(N)cc1Cl
ZINC55888317	CC1CCCC(C)N1C(=O)CNc1ccccc1[NH+]1CCC(O)CC1
ZINC15064410	COc1cc2c(cc1CN1CCC([NH+]3CCC(O)CC3)C(O)C1)CCC2
ZINC20791269	Nc1n[nH]c2[nH+]c(N3CCCCC3)c3c(c12)CCN(Cc1ccccc1)C3
ZINC63737457	O=S(=O)([N-]c1cccc(C2C=c3ccccc3=[NH+]2)c1)c1c[nH+]c[nH]1
ZINC64182231	Cc1ccc(S(N)(=O)=O)cc1C(=O)N1CC=C(C2=c3ccccc3=[NH+]C2)CC1
ZINC64961003	O=c1c(C2[NH+]=C(c3ccc(C(F)(F)F)cc3)NO2)c[nH]c2ccc(F)cc12
ZINC65216898	CC1=NN2C(NC(C)C2CNC(=O)CC2=c3ccccc3=[NH+]C2)S1
ZINC65396847	Cc1cc(N2CCN(Cc3cnc(N)nc3)CC2)[nH+]c2cc3c(cc12)CCC3
ZINC65426137	OCc1ccc(C[NH+]2CCC(c3ccc4c(c3)OCO4)C(O)C2)o1
ZINC65967635	CC(C(=O)N1CCCC(C(N)=O)C1)[NH+]1CC2CC3CC(C2)CC1C3
ZINC66187591	CC[NH+]1CCCC(NC(=O)N2CCC(NC(=O)C3CCC3)CC2)C1
ZINC67513854	Cc1cc(C)c2[nH]c(=O)c(C[NH+]3CCC4(CC3)CNC(=O)C4)cc2c1
ZINC04027809	COC(=O)C1Cc2c([nH]c3ccccc23)C(c2cccc(Br)c2)[NH2+]1
ZINC04539056	C[NH+]1CCc2c(sc3c2C(=O)NC(c2ccc(Br)cc2)N3)C1
ZINC04592669	COc1ccc(C2NC(=O)c3c(sc4c3CC[NH+](C)C4)N2)cc1Br
ZINC04730167	COc1ccc(C2=NC(c3ccccc3C)[NH2+]C(c3ccccc3O)C2)cc1
ZINC05027373	Oc1ccc(Br)cc1C1CC(c2ccccc2)=NC(c2ccco2)[NH2+]1
ZINC01624591	C[NH+](C)Cc1cc(/C(=C(\C#N)c2ccccc2)c2ccc(O)cc2)ccc1O
ZINC06808782	COc1ccc(C2=NC(c3sccc3C)[NH2+]C(c3ccccc3O)C2)cc1
ZINC12241760	Cn1cc(C(O)C[NH+]2CCC(O)(c3ccc(C(F)(F)F)cc3)CC2)c2ccccc21
ZINC12292233	COc1ccc(C2(O)CC[NH+](CC(O)c3ccc(C)c(C)c3)CC2)cc1
ZINC12293367	OC(C[NH+]1CCC2(CC1)CC(O)c1ccc3ccccc3c1O2)c1ccccc1
ZINC12293432	COc1ccc2c(c1)C(O)CC1(CC[NH+](CC(O)c3ccc(C)cc3)CC1)O2
ZINC12293492	Cc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2ccccc2O3)cc1C
ZINC12293584	COc1ccc2c(c1)OC1(CC[NH+](CC(O)c3ccc4ccccc4c3)CC1)CC2O
ZINC12330253	COc1ccc2c(c1)OC1(CC[NH+](CC(O)c3ccc4c(c3)CCCC4)CC1)CC2O
ZINC12361306	Cc1cccc(C2(O)CC[NH+](CC(O)c3ccc4c(c3)CC(C)O4)CC2)c1
ZINC14979738	Cc1cccc(CN2CCCC(O)(C[NH2+]C3Cc4ccccc4C3)C2=O)c1
ZINC15071390	O=C1N(Cc2ccc(F)c(F)c2)CCCC1(O)C[NH2+]C1CCCCCC1
ZINC16577314	Cc1cc(Br)ccc1S(=O)(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC16694828	Cc1cccc2c(=O)[nH]c(C[NH2+]C(C)c3cc(F)c(Cl)cc3Cl)nc12
ZINC17003739	CC(=O)C1CCC2C3CC([NH+](C)C)C4(O)CC(O)CCC4(C)C3CCC12C
ZINC19219276	Cc1ccc2c(c1)C(O)CC1(CC[NH+](CC(O)c3ccc4c(c3)CC(C)O4)CC1)O2
ZINC19971299	Cc1cc(C([NH3+])c2ccccc2I)cc([N+](=O)[O-])c1
ZINC20432469	[NH3+]C1CCCCN1S(=O)(=O)c1c(Cl)cc(Br)cc1Cl
ZINC22673130	CC1(C)Cc2c(sc(NC(=O)Cc3cccs3)c2C#N)C(C)(C)[NH2+]1
ZINC23402519	CC(C)[NH+]1CCc2c(sc3c2C(O)=NC(c2ccccc2Cl)N3)C1
ZINC23478726	NC(=O)c1ccc(C2CCC[NH+]2Cc2cc(=O)n3c4c(cccc24)CCC3)s1
ZINC25680313	CC(C(=O)Nc1cc(F)ccc1F)[NH+]1CC=C(c2ccc(O)cc2)CC1
ZINC26116849	O=C(C[NH+]1CCC(C(O)c2ccccc2)CC1)NC1CCCc2ccccc21
ZINC04744007	Cc1ccc(NC(=O)c2cc3cc(Br)ccc3oc2=[NH2+])cc1
ZINC13740423	Cc1cc[nH+]c(N2CCN(CCc3c(C)n4c5c(cc(N)cc35)CCC4)CC2)c1
ZINC35571896	CC[NH2+]C(c1ccc(Br)o1)c1cc2c(cc1Cl)NC(=O)C2
ZINC02500531	N#CC1=C2[NH+]=C(N)c3ccccc3N2C2=C(C(=O)CCC2)C1c1ccc(Cl)cc1
ZINC37989208	COc1c(Br)cc(Br)cc1C[NH2+]Cc1c[nH]nc1C
ZINC20080557	C[NH+]1CCc2c(sc3c2C(=O)NC(c2ccc(-c4cccc(Cl)c4)o2)N3)C1
ZINC39466475	O=P1(Cc2ccccc2)N[NH+]2CC3C=C(O)C(Cc4ccccc4)=CC3CC2CO1
ZINC40177399	COc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(I)cc1
ZINC40445918	COc1cc(C[NH2+]C(C)c2sc(C)nc2C)cc(Br)c1O
ZINC40518844	Cc1nc(C)c(C(C)[NH2+]CC(=O)Nc2ccc(Br)cc2)s1
ZINC40749845	[NH3+]C1CC2CCC(C1)N2S(=O)(=O)c1c(Cl)cc(Br)cc1Cl
ZINC44166575	COc1ccccc1C1CSCC(C(=O)NC(C)c2cccc3ccccc23)[NH2+]1
ZINC44166584	COc1ccccc1C1CSCC(C(=O)NC(C)c2cccc3ccccc23)[NH2+]1
ZINC51363203	CCn1c(=O)oc2cc(C([NH3+])c3ccccc3I)ccc21
ZINC59040259	CC(NC(=O)Nc1ccc(N2CCCC2)[nH+]c1)c1cccc(Br)c1
ZINC19674038	N/C(=[NH+]\C1CCCCC1)SCc1cc(=O)oc2cc3c(cc12)CCC3
ZINC13122994	CC(C)NC(=O)c1cnn2c1NC(c1cccs1)CC2C(F)(F)F
ZINC63280848	Brc1ccc(C2=NN3C(NNC3C3C=c4ccccc4=[NH+]3)S2)cc1
ZINC64085869	CNC(=O)c1ccccc1NC(=O)CC1=c2cc(Br)ccc2=[NH+]C1C
ZINC64166365	NC(=O)c1ccc(C2CCCN2CC2[NH+]=c3ccccc3=C2Cl)s1
ZINC65298173	COc1cccc(C2CC(c3ccc(Cl)cc3)=NC3(CC[NH+](C)CC3)N2)c1O
ZINC65409601	CC1=C(C[NH+]2CNC(c3ccccc3)C2c2ccc(C#CCO)cc2)C(C)N=N1
ZINC04223163	Cc1ccccc1NC(=O)CC1[NH2+]C2CCCCC2NC1=O
ZINC04223165	Cc1ccccc1NC(=O)CC1[NH2+]C2CCCCC2NC1=O
ZINC08395490	Cc1ccc(NC(=O)CC(C)[NH2+]C2CCC(O)CC2)c(C)c1
ZINC00542039	O=C(CC1[NH2+]CCNC1=O)Nc1cccc(Cl)c1Cl
ZINC00542040	O=C(CC1[NH2+]CCNC1=O)Nc1cccc(Cl)c1Cl
ZINC09041421	O=C1Nc2ccccc2C1C1[NH2+]CCc2c1[nH]c1ccccc21
ZINC20224449	Cc1ccc(C)c(S(=O)(=O)Nc2ccc(CC[NH3+])cc2)c1
ZINC28510237	Cc1ccc2nc(Nc3nc(CC(C)[NH3+])cs3)sc2c1
ZINC35148890	CC([NH2+]Cc1ccc(-c2nc3ccccc3s2)o1)C(N)=O
ZINC35266497	CCC(C)C([NH3+])C(=O)Nc1nnc(-c2ccc(C)cc2)s1
ZINC35344329	CC1CCCC[NH+]1CCCNc1ccc2scnc2c1N
