CHEMBL372171	O=c1[nH]c(Oc2ccccc2)nc2c1ncn2CCCCO
CHEMBL53835	O=c1[nH]c(Nc2ccc(Br)cc2)nc2nc[nH]c12
CHEMBL46821	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Oc4c(Cl)cccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL558983	N#CC1(c2ccccc2)CC[NH+](CCCCn2cnc3c(=O)[nH]c(Nc4ccccc4)nc32)CC1
CHEMBL152338	C=CCn1cnc2c(=O)[nH]c(Nc3ccccc3)nc21
CHEMBL290528	CCc1cn(C2OC(CNC(=O)C3c4ccccc4S(=O)(=O)c4ccccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL10165	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1/C=C/Br
CHEMBL45424	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Sc4ccccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL289553	CCc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O
CHEMBL418258	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Oc4ccccc43)C(O)C2F)c(=O)[nH]c1=O
CHEMBL42389	CCc1cn(C2OC(CNC(=O)C3c4ccccc4Oc4c(OC)cccc43)C(O)C2F)c(=O)[nH]c1=O
