CHEMBL323994	O=C1Nc2ccc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1
CHEMBL162	C[NH2+]C1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL162	CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL1093749	CNS(=O)(=O)c1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)cc1
CHEMBL1082023	Cc1cc(-c2cccc3nc(Nc4ccc(N5CC[NH+](C)CC5)cc4)oc23)ccc1C(=O)N1CCOCC1
CHEMBL1082023	Cc1cc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)oc23)ccc1C(=O)N1CCOCC1
CHEMBL1093191	COc1cc(-c2cnc3cccc(-c4ccc(CC(=O)N5CCOCC5)cc4)c3n2)cc(OC)c1OC
CHEMBL382752	O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCCC1
CHEMBL1093468	COc1cc(-c2cnc3cccc(-c4ccc(CC(=O)N5CCS(=O)(=O)CC5)cc4)c3n2)cc(OC)c1OC
CHEMBL233969	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)NCCCN1CCOCC1)n2C)c1ccccc1
CHEMBL233969	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)NCCC[NH+]1CCOCC1)n2C)c1ccccc1
CHEMBL1087268	Cc1cnc(Nc2cc(N3CC[NH+](C)CC3)[nH+]c(NC(C)c3ccc(F)cn3)n2)s1
CHEMBL1087268	Cc1cnc(Nc2cc(N3CC[NH+](C)CC3)nc(NC(C)c3ccc(F)cn3)n2)s1
CHEMBL1078720	CC[NH+](CC)CCCOc1ccc(Nc2nccc(-c3ccc(C(=O)NCC#N)cc3)n2)cc1
CHEMBL391492	CONC(=O)c1cc2c(NC(C)c3ccccc3)nc(-n3c[nH+]c4ccncc43)nc2n1C
CHEMBL1078866	C[NH+]1CCN(Cc2cccc(Nc3nccc(-c4ccc([N-]S(C)(=O)=O)cc4)n3)c2)CC1
CHEMBL1078866	CN1CC[NH+](Cc2cccc(Nc3nccc(-c4ccc([N-]S(C)(=O)=O)cc4)n3)c2)CC1
CHEMBL1078689	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc1
CHEMBL1078688	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3cccc(C[NH+]4CCC(O)CC4)c3)n2)cc1
CHEMBL375076	CC(Nc1nccc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL191003	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
CHEMBL221376	CC(Nc1cc(-c2cnn(C)c2)nc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL578974	c1ccc(-c2ncnc3[nH]ccc23)cc1
CHEMBL583105	Clc1cnc2[nH]cc(-c3ccccc3)c2c1
CHEMBL557844	COCC(C)Nc1cc(-c2ccoc2)nc(-n2c[nH+]c3ccncc32)n1
CHEMBL218439	C[NH+]1CCN(c2cc(Oc3ccccc3Cl)nc(-n3c[nH+]c4ccncc43)n2)CC1
CHEMBL218439	CN1CCN(c2cc(Oc3ccccc3Cl)nc(-n3c[nH+]c4ccncc43)n2)CC1
CHEMBL375296	CC(Nc1cc(N2CC[NH+](C)CC2)nc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL375296	CC(Nc1cc(N2CCN(C)CC2)nc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL1081975	COc1cc(Nc2nc3cccc(-c4ccc5ncccc5c4)c3o2)cc(OC)c1OC
CHEMBL1081977	COc1cc(Nc2nc3cccc(-c4ccc([N-]S(C)(=O)=O)cc4)c3o2)cc(OC)c1OC
CHEMBL1089833	COc1cc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)cc(OC)c1OC
CHEMBL1089833	COc1cc(-c2cnc3cccc(-c4ccc(C[NH+]5CCS(=O)(=O)CC5)cc4)c3n2)cc(OC)c1OC
CHEMBL1093119	Cc1cc(-c2cnc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3n2)ccc1C(=O)N1CCOCC1
CHEMBL1089773	C[NH+]1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1
CHEMBL1089773	CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1
CHEMBL200832	C[NH+](C)CCNC(=O)c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1
CHEMBL568790	CC(C)Nc1cc(-c2c(N)nn3cccnc23)ncn1
CHEMBL1079690	O=C(NCc1ccco1)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
CHEMBL1079523	N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n(Cc5c(F)cccc5F)c4n3)c2c1
CHEMBL510641	Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1
CHEMBL510641	Cc1nc(C)c(-c2ccc3n[nH]c(N)c3c2)s1
CHEMBL510641	Cc1nc(C)c(-c2ccc3[nH+][nH]c(N)c3c2)s1
CHEMBL220585	CC(Nc1ccnc(-n2cnc3cnccc32)n1)c1ccccc1
CHEMBL220483	COc1ccc(-c2cc(NC(C)c3ccccc3)nc(-n3c[nH+]c4ccncc43)n2)cc1OC
CHEMBL221029	CC(Nc1ccnc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL222027	CC(Nc1cc(-c2ccoc2)nc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL583895	CC(Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1
CHEMBL595397	COC(=O)CC1Nc2ccccc2-c2ccnc3[nH]cc1c23
CHEMBL392998	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(/C([O-])=N/S(=O)(=O)c1ccccc1)n2C)c1ccccc1
CHEMBL482189	CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3[nH+][nH]c(N)c3c2)c(Cl)c1
CHEMBL482189	CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3n[nH]c(N)c3c2)c(Cl)c1
CHEMBL482189	CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3[nH]nc(N)c3c2)c(Cl)c1
CHEMBL570229	Nc1nn2cccnc2c1-c1cc(NC2CCc3ccccc32)ncn1
CHEMBL576486	Nc1nn2cccnc2c1-c1cc(N2CCOCC2)ncn1
CHEMBL520947	Nc1[nH][nH+]c2ccc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)cc12
CHEMBL520947	Nc1[nH]nc2ccc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)cc12
CHEMBL520947	Nc1n[nH]c2ccc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)cc12
CHEMBL568815	Nc1nn2cccnc2c1-c1cc(OCc2ccc(F)cc2)ncn1
CHEMBL570192	Cc1cc(Nc2nc(OC(C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1
CHEMBL570192	Cc1cc(Nc2nc(OC(C)c3ccc(F)cn3)c(C#N)nc2C)[nH]n1
CHEMBL569957	CCCN(CC(F)(F)F)C(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1
CHEMBL582808	Nc1nn2cccnc2c1-c1cc(N2CCCC2c2ccc(F)cc2)ncn1
CHEMBL205098	COc1cc(Nc2ncc3ccn(-c4ccccn4)c3n2)cc(OC)c1OC
CHEMBL589633	O=C1NC(c2ccc(O)cc2F)c2c[nH]c3nccc(c23)-c2ccccc21
CHEMBL568788	Cc1cc(Nc2cnc(C#N)c(NC(C)c3ccc(F)cn3)n2)n[nH]1
CHEMBL568788	Cc1cc(Nc2cnc(C#N)c(NC(C)c3ccc(F)cn3)n2)[nH]n1
CHEMBL386637	C[NH+](C)C1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1
CHEMBL1080322	O=c1[nH]c2cnc(-n3cnc4ccc(Cl)cc43)nc2n1C1CCOCC1
CHEMBL574738	CC[NH+]1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
CHEMBL574738	CCN1CC[NH+](Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
CHEMBL535	CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL1088856	COc1cc(-c2cnc3cccc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2)cc(OC)c1OC
CHEMBL1088857	COc1cc(-c2cnc3cccc(-c4ccc(CN5CCOCC5)c(F)c4)c3n2)cc(OC)c1OC
CHEMBL1092925	C[NH+]1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1
CHEMBL1092925	CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1
CHEMBL1078229	N#CCNC(=O)c1ccc(-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1
CHEMBL576475	Nc1nn2cccnc2c1-c1cc(NCc2ccccn2)ncn1
CHEMBL569739	CCN(Cc1ccncc1)c1cc(-c2c(N)nn3cccnc23)ncn1
CHEMBL221959	CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12
CHEMBL1092063	Cc1cc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)ccc1C(=O)N1CC[NH+](C)CC1
CHEMBL1092063	Cc1cc(-c2cnc3cccc(-c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2)ccc1C(=O)N1CCN(C)CC1
CHEMBL221037	CC(Nc1cc(N2CCC(O)C2)nc(-n2c[nH+]c3ccncc32)n1)c1ccccc1
CHEMBL1078971	C[NH+]1CCN(Cc2ccc(Nc3nccc(-c4ccc([N-]S(C)(=O)=O)cc4)n3)cc2)CC1
CHEMBL1078971	CN1CC[NH+](Cc2ccc(Nc3nccc(-c4ccc([N-]S(C)(=O)=O)cc4)n3)cc2)CC1
CHEMBL21156	CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1
CHEMBL21156	CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1
CHEMBL1092926	Fc1cc(-c2cccc3ncc(-c4cnn(C5CC[NH2+]CC5)c4)nc23)cc(F)c1CN1CCOCC1
CHEMBL559626	CC/C(=C(/CC)c1ccc(O)c(C[NH+](CC)CC)c1)c1ccc(O)c(C[NH+](CC)CC)c1
CHEMBL604038	Oc1ccc(C2Nc3ccccc3-c3ncnc4[nH]cc2c34)c(F)c1
CHEMBL1078889	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2)cc1
CHEMBL1078889	CS(=O)(=O)[N-]c1ccc(-c2ccnc(Nc3ccc(C[NH+]4CCS(=O)(=O)CC4)cc3)n2)cc1
CHEMBL578194	CC(Nc1nc(Nc2cc(C3CC3)[nH]n2)cnc1C#N)c1ccc(F)cn1
CHEMBL578194	CC(Nc1nc(Nc2cc(C3CC3)n[nH]2)cnc1C#N)c1ccc(F)cn1
CHEMBL571118	COC(=O)C1CCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1
CHEMBL591096	Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1F
CHEMBL272424	O=c1[nH]ccc2c3[nH]c(-c4c(F)cccc4Cl)nc3c3ccc(F)cc3c12
CHEMBL1080159	Cc1cc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)ccc1C(=O)N(C)C
CHEMBL375205	CC(Nc1cc(-c2ccoc2)nc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1
CHEMBL1087398	CC(Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)n1)c1ccc(F)cn1
CHEMBL1087398	CC(Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)[nH+]1)c1ccc(F)cn1
CHEMBL257167	NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O
CHEMBL233151	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)c1ccccc1
CHEMBL233151	CC(Nc1nc(-n2c[nH+]c3ccncc32)nc2c1cc(C(=O)N1CC[NH+](C)CC1)n2C)c1ccccc1
CHEMBL1077841	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCSCC4)cc3)n2)cc1
CHEMBL1078934	C[NH+]1CCN(c2ccc(Nc3nccc(-c4ccc(C(=O)NCC#N)cc4)n3)cc2)CC1
CHEMBL1078934	CN1CCN(c2ccc(Nc3nccc(-c4ccc(C(=O)NCC#N)cc4)n3)cc2)CC1
CHEMBL1081443	COc1cc(Nc2nc3cccc(-c4ccccn4)c3o2)cc(OC)c1OC
CHEMBL572878	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1
CHEMBL572878	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1
CHEMBL495727	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1
CHEMBL495727	O=C(Nc1cn[nH]c1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1
CHEMBL604578	OCCCCC1=Nc2ccccc2-c2ncnc3[nH]cc1c23
CHEMBL584052	O=C1Nc2ccccc2-c2ccnc3[nH]cc(c23)C1c1ccc(O)cc1
CHEMBL603048	Oc1ccc(C2=Nc3ccccc3-c3ncnc4[nH]cc2c34)c(Cl)c1
CHEMBL583030	Nc1nn2cccnc2c1-c1cc(NCc2cccnc2)ncn1
CHEMBL376885	C[NH+]1CCN(c2cc(Nc3ccccc3Cl)nc(-n3c[nH+]c4ccncc43)n2)CC1
CHEMBL376885	CN1CCN(c2cc(Nc3ccccc3Cl)nc(-n3c[nH+]c4ccncc43)n2)CC1
CHEMBL221912	COCC(C)Nc1ccnc(-n2cnc3ccc(C#N)cc32)n1
CHEMBL1088030	Cc1cnc(Nc2cc(N3CCOCC3)nc(NC(C)c3ncc(F)cn3)n2)s1
CHEMBL1088030	Cc1cnc(Nc2cc(N3CCOCC3)[nH+]c(NC(C)c3ncc(F)cn3)n2)s1
CHEMBL1088029	COc1cc(Nc2ncc(C)s2)nc(NC(C)c2ncc(F)cn2)n1
CHEMBL1087898	Cc1cnc(Nc2cncc(NC(C)c3ncc(F)cn3)n2)s1
CHEMBL570002	Cc1cc(Nc2cnc(C#N)c(NC(C)c3ncc(F)cn3)n2)n[nH]1
CHEMBL570002	Cc1cc(Nc2cnc(C#N)c(NC(C)c3ncc(F)cn3)n2)[nH]n1
