CHEMBL274513	Cc1c(C)c2ccc(OCc3cc(C4CC4)on3)cc2oc1=O
CHEMBL457235	CC(C1CCCCC1)N(C)C(=O)c1cc2ccccc2n1C
CHEMBL274029	COc1ccc2c(C)c(C)c(=O)oc2c1
CHEMBL502021	O=C(NCc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL17078	N#CCCN1N=C(c2ccc(OCc3cccc(Cl)c3)cc2)OCC1=O
CHEMBL18153	Cc1c(C)c2ccc(OCc3ccccn3)cc2oc1=O
CHEMBL453369	Cn1c(N/N=C(/C=C/c2cccc(Cl)c2)c2ccccc2)nc2ccccc2c1=O
CHEMBL79928	CNC(=O)c1ccc2c(c1)C(=O)c1ccc(C(=O)NC)cc1S2(=O)=O
CHEMBL450824	C[NH+](CCCc1ccccc1)Cc1cc2ccccc2[nH]1
CHEMBL570731	COc1cccc(-c2cc3cc(C)ccc3oc2=O)c1
CHEMBL597373	c1ccc(COc2ccc(C3C[NH2+]CCS3)cc2)cc1
CHEMBL597372	CCCCOc1ccc(C2C[NH2+]CCS2)cc1
CHEMBL374335	C[NH+](Cc1ccccc1)Cc1ccc[nH]1
CHEMBL374335	CN(Cc1ccccc1)Cc1ccc[nH]1
CHEMBL472080	O=C(NC1CCCCC1)c1cc2ccccc2oc1=O
CHEMBL1213718	COc1cccc(-c2csc(N/N=C3\CCCC3C)n2)c1
CHEMBL269538	COc1ccc2c(c1)[nH]c1c(C)[nH+]ccc12
CHEMBL6857	Brc1cccc2c3c([nH]c12)CNCC3
CHEMBL6857	Brc1cccc2c3c([nH]c12)C[NH2+]CC3
CHEMBL130217	NC(=O)/C=C1\CCc2c(F)cc(F)cc21
CHEMBL1213841	COc1cccc(-c2csc(NN=C3CCCCCC3)n2)c1
CHEMBL31059	CC([NH3+])Cc1ccc2c(c1Cl)CCN2
CHEMBL544509	NC/C(=C/F)c1cccc(C(F)(F)F)c1
CHEMBL544509	[NH3+]C/C(=C/F)c1cccc(C(F)(F)F)c1
CHEMBL1213777	CCC(CC)=NNc1nc(-c2cccc(OC)c2)cs1
CHEMBL488075	C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCCC3
CHEMBL601205	Cc1ccc2c(c1)OC(c1ccccc1)CC2=O
CHEMBL57286	C=CC[NH3+]
CHEMBL513549	O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O
CHEMBL52887	COc1ccc2c(c1)C(=O)c1ccc(-c3nnn(C)n3)cc1S2(=O)=O
CHEMBL17092	N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O
CHEMBL425113	CC(C1CCCCC1)N(C)C(=O)c1ccc[nH]1
CHEMBL258420	C#CCN(C)Cc1ccnc2c(O)cccc12
CHEMBL598393	CCCCOc1ccc(C2CNC(=O)CS2)cc1
CHEMBL598394	O=C1CSC(c2ccc(OCc3ccccc3)cc2)CN1
CHEMBL19004	Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O
CHEMBL45069	C#CCNCc1cc2cc(OCc3ccccc3)ccc2[nH]1
CHEMBL45069	C#CC[NH2+]Cc1cc2cc(OCc3ccccc3)ccc2[nH]1
CHEMBL171809	C/C(c1ccc[nH]1)=[N+](/C)Cc1ccccc1
CHEMBL333304	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccc[nH+]1
CHEMBL333304	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
CHEMBL489720	COc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1
