ZINC04219119	O=C([O-])c1c[nH]c2cc(Br)c(Br)cc12
ZINC62148405	Cc1cc2cc/c(=N\S(=O)(=O)C3CCCC3)cc-2[nH]c1[O-]
ZINC62827482	Cc1sc(NC(=O)N2CCCC(C)C2)c(C(=O)[O-])c1C
ZINC62827487	Cc1sc(NC(=O)N2CCCCCC2)c(C(=O)[O-])c1C
ZINC62827501	Cc1sc(NC(=O)N2CCCCC2)c(C(=O)[O-])c1C
ZINC62827621	Cc1sc(NC(=O)N2C(C)CCCC2C)c(C(=O)[O-])c1C
ZINC62827630	Cc1sc(NC(=O)N2CC(C)CC(C)C2)c(C(=O)[O-])c1C
ZINC62828026	O=C([O-])c1ccsc1NC(=O)N1CCC2CCCCC2C1
ZINC62828027	O=C([O-])c1ccsc1NC(=O)N1CCC2CCCCC2C1
ZINC62828031	O=C([O-])c1ccsc1NC(=O)N1CCCC2CCCCC21
ZINC62828841	Cc1sc(NC(=O)N2CCCC(C)C2C)c(C(=O)[O-])c1C
ZINC62828861	Cc1sc(NC(=O)N2CCC(C)CC2C)c(C(=O)[O-])c1C
ZINC62842924	CC1CCCC(NC(=O)N2CCC(C)(C(=O)[O-])CC2)C1C
ZINC64056795	CC1(C)CCC(NC(=O)c2cccnc2[S-])c2ccccc21
ZINC65363421	O=C1CC(c2ccc(Cl)cc2)c2snc(C(=O)[O-])c2N1
ZINC66054229	O=C([O-])c1c(F)c(I)nc2[nH]ccc12
ZINC66054420	[O-]c1c(Cl)c(I)nc2[nH]ccc12
ZINC35812109	CC12CCC(=O)NC1=CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC35812113	CC12CCC(=O)NC1=CCC1C2CCC2(C)C(C(=O)[O-])CCC12
ZINC04523119	Cc1cc(N)ccc1/N=N/c1cccc(S(=O)(=O)[O-])c1C
ZINC17020727	OC1COC(n2cnc3c([S-])ncnc32)CC1O
ZINC19754365	CC(=O)Nc1sc2c(c1C(N)=O)C(C(=O)[O-])CCC2
ZINC20736440	NS(=O)(=O)c1ccc(-n2c([S-])nnc2C2CCCO2)cc1
ZINC35111919	O=C(NC1CCC(O)CC1)c1ccc(-c2nnn[n-]2)cc1
ZINC35609673	O=C(c1cc([O-])[nH]c(=O)c1)N1CCN(CCO)CC1
ZINC35648480	O=C(NC1CCC(O)CC1)c1cc([O-])[nH]c(=O)c1
ZINC35764121	O=C([O-])C1CCCCC1C(=O)Nc1cn[nH]c1
ZINC37455887	O=C1CCC(C(=O)Nc2sc3c(c2C(=O)[O-])CCC3)=NN1
ZINC37516593	NC(=O)C1CCCN(C(=O)C2CC2C(=O)[O-])C1
ZINC04301469	Oc1n[nH]c2c1CC1CC2Cc2[nH]nc(O)c21
ZINC37629270	CC1(C)OC2OC(C(O)C(=O)[O-])C(O)C2O1
ZINC37692610	Cc1[nH]c(=O)nc(SC2CS(=O)(=O)CC2O)c1C(=O)[O-]
ZINC38025249	NC(=O)N1CCCC(C(=O)N2CCCCC2CC(=O)[O-])C1
ZINC39248218	CC1=NN=CC1NC(=O)C1C(C(=O)[O-])CNN1C
ZINC40327435	Cc1sc([N-]S(=O)(=O)c2cn(C)nc2N)c(C#N)c1C
ZINC40532969	O=C(NC1CCS(=O)(=O)C1)NC1(C(=O)[O-])CCCCCC1
ZINC40548756	COC1CC(C(=O)[O-])N(C(=O)NC2CCC(O)CC2)C1
ZINC40551881	CC(O)C(NC(=O)N1C(C)CCCC1C)C(=O)[O-]
ZINC40572110	CC1CCC(NC(=O)NC2CCCC(C)C2)(C(=O)[O-])CC1
ZINC40582563	CC(NC(=O)N1CCCC(CO)C1)C(=O)[O-]
ZINC40589137	CC(O)C(NC(=O)N1CCOC(C)(C)C1)C(=O)[O-]
ZINC40603741	CC(O)C(NC(=O)N1CCCC1C)C(=O)[O-]
ZINC13974666	Cc1ncc2c(c1O)COC2(O)C(F)(F)P(=O)([O-])O
ZINC40911958	CC1CCCCC1NC(=O)NC(C)(C)C(=O)[O-]
ZINC41033295	O=C([O-])C1(Nc2ncnc3[nH]cnc23)CCCCCC1
ZINC41035840	CC1CCCC(NC(=O)NC2CCCC2)(C(=O)[O-])C1
ZINC42357394	Cc1n[nH]cc1CNC(=O)N1CCC(C(=O)[O-])CC1
ZINC42407112	CC(NC(=O)N1CCCCC1C(N)=O)C(=O)[O-]
ZINC44925707	Nc1c(NCc2nnn[n-]2)ccc2scnc12
ZINC44976032	O=C([O-])C1CC(O)CN1C(=O)NCC1CCCOC1
ZINC45648737	O=C([O-])C1CC(O)CN1C(=O)NCC1CC=CCC1
ZINC45648789	O=C([O-])C1CC(O)CN1C(=O)NCC1CC=CCC1
ZINC48858722	CC1CCC(NC(=O)N2CCCCC2CO)(C(=O)[O-])CC1
ZINC49123846	CCC1CCCCC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC49493292	O=C(Nc1nc[nH]n1)c1ccc(-c2cccs2)[nH]c1=O
ZINC50659504	Nc1ccc(S(=O)(=O)[N-]c2cnccn2)cn1
ZINC51990585	O=C(NC1CCCCC1O)c1cc([O-])[nH]c(=O)c1
ZINC54304846	NC(=O)C1CCCCN1C(=O)N1CCCC(CC(=O)[O-])C1
ZINC54456876	CC1CCCCC1(NC(=O)NC1CC1)C(=O)[O-]
ZINC17991309	CC1CC(C)C([O-])=C(C(=N)CC2CC(=O)NC(=O)C2)C1=O
ZINC61177520	CN(C(=O)NC1CCCCC1O)C(C)(C)C(=O)[O-]
ZINC61713194	O=C([O-])C(NC(=O)N1CCC(O)C1)C1CCCCC1
ZINC62118620	O=C([O-])C1CCN(C(=O)Cc2cc(=O)[nH]c(=O)[nH]2)C1
ZINC62135828	CNC(=O)C(C)NC(=O)N1CCC(C(=O)[O-])C1
ZINC62831627	Nc1ccc(-n2nnnc2C2CCCC2)c(C(=O)[O-])c1
ZINC62875066	CNC(=O)C(C)NC(=O)N1CCCC(C)(C(=O)[O-])C1
ZINC62913451	CC(NC(N)=O)C(=O)N1CCC(C)(C(=O)[O-])C1
ZINC62925311	CC(NC(=O)N1CCC(C)(C(=O)[O-])C1)C(N)=O
ZINC62933847	CC1(C(=O)[O-])CCN(C(=O)NCc2cn[nH]c2)C1
ZINC04623284	O=C([O-])c1ccc(Cl)c2c1C1C=CCC1C(c1ccccn1)N2
ZINC04623285	O=C([O-])c1ccc(Cl)c2c1C1C=CCC1C(c1ccccn1)N2
ZINC04831220	CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)[O-]
ZINC04831222	CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)[O-]
ZINC13303389	CC(C)C1(O)C=C2C(=O)CC3C(C)(C(=O)[O-])CCCC3(C)C2CC1
ZINC13303394	CC(C)C1(O)C=C2C(=O)CC3C(C)(C(=O)[O-])CCCC3(C)C2CC1
ZINC13303397	CC(C)C1(O)C=C2C(=O)CC3C(C)(C(=O)[O-])CCCC3(C)C2CC1
ZINC05238823	CC(C)(C)c1ccc(-c2nc(=S)[nH]c([O-])c2C#N)cc1
ZINC19891321	CC12CC(=O)C3C(CCC4CC(O)CCC43C)C1CCC2C(=O)[O-]
ZINC05730262	Cc1cc([O-])c(C2=NCCSC(c3ccccc3O)C2)c(=O)o1
ZINC20427116	CC1=C(C(=O)[O-])C(c2ccc(Cl)cc2)n2nc(C)nc2N1
ZINC20427120	CC1=C(C(=O)[O-])C(c2ccc(Cl)cc2)n2nc(C)nc2N1
ZINC17208946	Cc1cc(C)cc(N2C(=O)C(=Cc3ccc[nH]3)C([O-])=NC2=S)c1
ZINC22115418	CC(C)(C)OC(=O)N1CCC2(CC1)[N-]C1(CCCCC1)C(=O)N2
ZINC22115434	CC(C)(C)OC(=O)N1CCC2(CC1)[N-]C1(CCCCCC1)C(=O)N2
ZINC31991456	CN1CCCc2cc(-c3[nH]nc4cccc(C(=O)[O-])c34)ccc21
ZINC32796534	CC1CCCC(NC(=O)c2ccc3c([O-])n(C)c(=S)nc3c2)C1
ZINC32802181	Cn1cc([O-])[nH]/c1=N\C(=O)c1ccc(C2SCCCS2)cc1
ZINC04624405	O=C1CC(c2ccccc2)c2c([O-])nc3nc4ccccc4n3c2N1
ZINC17028474	O=C1N=C([O-])/C(=C\c2c[nH]c3ccccc23)C(=O)N1C1CCCCC1
ZINC09484196	[O-]c1nc2sc3c(c2c2nc(-c4ccc(O)cc4)nn12)CCC3
ZINC36721606	O=C([O-])c1nn(-c2ccccc2I)cc1O
ZINC00352236	Cc1cccc(N2C([S-])=C(C#N)C(=O)NC2c2cccs2)c1
ZINC02891911	CC1=C/C(=C2/C(=O)NC(=O)N=C2[O-])C=C(C(F)(F)F)N1C(C)C
ZINC18062281	CC(C)c1nc2sc3c([O-])[nH]c(=S)nc3c2c2c1CCC2
ZINC04035837	Cc1c(C(=O)[O-])[nH]c2c1C(=O)CC(c1ccccc1)C2
ZINC39458464	Cc1c(Cc2ccccc2)c2c(n1[O-])-c1[nH]ccc(=O)c1C(=O)CC2
ZINC14499371	C=CC1(C)C=C2C(=O)CC3C(C)(C)CCCC3(C(=O)[O-])C2(O)CC1
ZINC39887071	Cc1cccc(N2C([S-])=C(C#N)C(=O)NC23CCC(C)CC3)c1
ZINC39887121	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2ccc(C)o2)cc1
ZINC39887143	Cc1cccc(N2C([S-])=C(C#N)C(=O)NC2c2ccc(C)o2)c1
ZINC40119674	CC(C)(C)C1CCc2sc(C(=O)Nc3nnn[n-]3)cc2C1
ZINC43254256	Cc1cc(C2C3C(=O)N=C([O-])C3ON2C(C)(C)C)cc(C)c1O
ZINC43254258	Cc1cc(C2C3C(=O)N=C([O-])C3ON2C(C)(C)C)cc(C)c1O
ZINC43460801	O=C([O-])C1CCCCC1c1nc2ncc(Br)cc2[nH]1
ZINC43460804	O=C([O-])C1CCCCC1c1nc2ncc(Br)cc2[nH]1
ZINC45574531	CC1CCc2sc(C(=O)Nc3ncccc3[O-])cc2C1
ZINC13260544	O=C([O-])C1CCCN(C(=O)c2ccc3[nH]c4c(c3c2)CCCC4)C1
ZINC00141965	O=c1[nH]c([O-])nc2c1sc1nc(C3CC3)cc(C(F)(F)F)c12
ZINC51348137	CNC(=O)/C(C#N)=C(/[O-])c1cc2c(s1)CCC(C)C2
ZINC04973633	O=c1[nH]c([O-])nc2c1sc1nc3c(c(C(F)(F)F)c12)CCC3
ZINC09045197	Cc1cc(C)c(N2C(=O)N=C([O-])C(=Cc3ccc[nH]3)C2=O)c(C)c1
ZINC16689978	CC1CCCCC1NC(=O)c1c([O-])n2ccccc2nc1=O
ZINC62135025	O=C([O-])C1CCN(C(=O)Nc2ccc(Br)cc2)C1
ZINC62824548	O=C([O-])c1cc(I)ccc1N1CCNC1=O
ZINC62828318	CC1c2ccsc2CCN1C(=O)Nc1sccc1C(=O)[O-]
ZINC06946109	Cc1ccc(C(=O)Nc2nc[nH]n2)cc1I
ZINC09015793	N#CC1=C([S-])N(c2ccccc2)C(c2cccs2)NC1=O
ZINC09015793	N#CC1=C([S-])N(c2ccccc2)C(c2cccs2)N=C1O
ZINC65335471	CC1=C2C(=N)N(c3ccc(Cl)c(C)c3)C([S-])N=C2N=N1
ZINC65351616	N#Cc1cc(-c2cc(O)cc(C(=O)[O-])c2)ccc1Cl
ZINC04205400	CNC(=O)/C(C#N)=C/c1c(Oc2cccc(C)c2)nc2ccccn2c1=O
ZINC02236110	Cc1nc2oc3c(NCc4ccco4)ncnc3c2c2c1COC(C)(C)C2
ZINC02352771	CCC(C)NC(=O)c1nc2c3c4c(sc3nc(C)n2n1)COC(C)(C)C4
ZINC02793611	Cc1c(-c2ccnc3cc(C(=O)NC4CCCCCC4)nn23)cnn1C
ZINC07004232	Cc1noc2ncnc(N3CCCC(C(=O)NC4CCCCCC4)C3)c12
ZINC12133419	CC(=O)N1CCc2cc(NC(=O)c3ccc([N+](=O)[O-])cc3Cl)ccc21
ZINC12184189	CC1CCc2c(sc3ncn4c(=O)n(CC(=O)NC5CCCC5)nc4c23)C1
ZINC12184222	Cc1nc2sc3c(c2c2nn(CC(=O)NC(C)(C)C)c(=O)n12)CCC(C)C3
ZINC13696072	CC(=O)N1CCc2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3Cl)cc21
ZINC19657383	O=C(Nc1ccc(-c2cn3nc4c(nc3n2)CCCC4)cc1)c1cscn1
ZINC21274904	O=[N+]([O-])c1ccc(N2CCN(c3ccc(O)cc3)CC2)c2ccncc12
ZINC24739553	Cc1nc(C)c2c(C)c(C(=O)Nc3cccc(-c4nnco4)c3)sc2n1
ZINC29706416	Cc1cnc(C(=O)Nc2ccc(Cl)c(-c3nnc4n3CCCCC4)c2)cn1
ZINC29767524	CNC(=O)C1CN(C(=O)c2nc(-c3ccccc3)oc2C)c2ccccc2O1
ZINC35870208	O=C(NCc1cccnc1)C1Cc2cc([N+](=O)[O-])ccc2N2CCCCC12
ZINC36616106	Cc1cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C)n(C2CCCC2)n1
ZINC06807240	Cc1ccc(NC(=O)C2CCCN2c2nn3c(=O)cc(C)nc3s2)cc1
ZINC39591987	Cc1ccc(C2=CC(c3nnc4n3NC(c3ccccn3)S4)N=N2)cc1
ZINC40814375	Cc1c(C(=O)N2CCCCC2C)oc2c1/C(=N/NC(=O)c1ccco1)CCC2
ZINC44417038	O=C1CC(c2noc(-c3n[nH]c4ccccc34)n2)CN1c1ccc2c(c1)CCC2
ZINC44423832	Cc1ccc(N2CC(c3noc(-c4n[nH]c5ccccc45)n3)CC2=O)cc1F
ZINC49416253	CC1Oc2ccccc2OC1C(=O)Nc1cccc2ccc(-n3ccnc3)nc12
ZINC54056024	Cc1ccc(-n2nnnc2N2CCCC(c3nc4ccccc4[nH]3)C2)cc1
ZINC56731064	Cc1nc(-c2cccc(NC(=O)N3CCN(c4nccs4)CC3)c2)oc1C
ZINC56934671	Cc1nc(-n2nnc(C(=O)Nc3ccc(Cl)nc3)c2C)sc1C
ZINC58092497	COC(=O)c1ccc2[nH]c3c(c2c1)CN(C(=O)/C=C/c1cnccn1)CC3
ZINC24465133	CCc1c(C(=O)Nc2cnc3c(c2)c(C)nn3C)cnn1-c1ccccc1
ZINC47374594	CC(C)n1ncc2cc(C(=O)Nc3nc4c(s3)C(=O)CC(C)(C)C4)cnc21
ZINC32091896	COc1ccc(-n2nc(C)c3c2N=C(O)CC3c2ccccc2Cl)nn1
ZINC32091896	COc1ccc(-n2nc(C)c3c2NC(=O)CC3c2ccccc2Cl)nn1
ZINC64391168	Cc1ccc(C)c(C2=CC(C3NC(c4ccc5c(c4)OCO5)=NO3)N=N2)c1
ZINC64530275	O=C(Nc1ccccc1-n1cccn1)N1CCCN(c2nccs2)CC1
ZINC65272529	O=C(Nc1ccc(N2CCN(c3ccccc3)C2=O)nc1)C1CCOC1
ZINC65283185	Cc1scc2nc(C(=O)Nc3ccc4c(c3)OCO4)nc(N3CCCC3)c12
ZINC51335351	COc1c(C)cnc(CNC(=O)N2CCN(c3nccs3)CC2)c1C
ZINC65507270	COc1cc(C2CC(=O)Nc3c2c(C(C)(C)C)nn3C)cc2c1OCO2
ZINC66248196	CN1CCc2[nH]/c(=N/S(=O)(=O)c3cnn(-c4ccccc4)c3)sc2C1
ZINC66272773	O=C(Nc1cccc(-n2cnnn2)c1)c1cnc(-c2cccs2)s1
ZINC66376052	Cn1cc(-c2ncc(C(=O)Nc3ccc4c(c3)OC(C)(C)O4)s2)cn1
ZINC66470546	Cc1nnnn1-c1ccc(F)c(NCC(=O)N2CCCc3ccccc32)c1
ZINC66669806	O=C(Nc1cccnc1-n1cncn1)N1CCC(Cc2ccccc2)CC1
ZINC66803183	Cc1cccc2nc(C(=O)Nc3ccc(-c4nnc5n4CCCC5)cc3)cn12
ZINC66956816	COC1CCCN(C(=O)Nc2ccc(-c3nnc4n3CCCC4)cc2)C1
ZINC66975218	Cc1cnc(-c2cccc(NC(=O)N3CCN(C(=O)C4CCC4)CC3)c2)o1
ZINC67015067	Cc1cc(NC(=O)N2CCCN(C(=O)C(C)(C)C)CC2)n(C(C)(C)C)n1
ZINC67052695	Cc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc(F)c(N2CCCC2=O)c1
ZINC67062843	O=C(CNC(=O)N1CCCC1c1cccc2c1OCCO2)N1CCCCC1
ZINC67555729	CC1CN(C(=O)Nc2cccnc2-n2cccn2)CC(c2ccccc2)O1
ZINC67566847	CC1CN(C(=O)Nc2ccc(-n3cccn3)nc2)CC(c2ccccc2)O1
ZINC67590319	CC1CN(C(=O)NCCc2nnc3ccccn23)CC(c2ccccc2)O1
ZINC67590321	CC1CN(C(=O)NCCc2nnc3ccccn23)CC(c2ccccc2)O1
ZINC04064286	CC12C(=O)N(c3ccc(C(=O)[O-])cc3)C(=O)N1CCc1c2[nH]c2ccccc12
ZINC04614477	O=C([O-])c1nn2c(c1Cl)NC(c1cccs1)CC2C(F)(F)F
ZINC05723752	CC12CC/C(=N/OCC(=O)[O-])C=C1CCC1C2CCC2(C)C(O)CCC12
ZINC04804154	Cc1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)[O-])ccc23)c(C)c1
ZINC12821858	O=C([O-])c1sccc1S(=O)(=O)NC1CCSc2c(F)cccc21
ZINC13429532	O=C(Nc1cc2c(cc1C(=O)[O-])OCCO2)c1cc2c(s1)CCCC2
ZINC17196198	Cc1ccc2c([C@H]3Cc4ccccc4N3C(=O)C=CC(=O)[O-])c(C)[nH]c2c1
ZINC08974083	CCN(CC)c1ccc2cc(-c3c([O-])[nH]c4ccccc4c3=O)c(=O)oc2c1
ZINC20900806	CC(=O)Nc1ccc([N-]C2=NS(=O)(=O)C(c3ccc(C)cc3)=C2C)cc1
ZINC22109422	COc1c(Br)cc(Br)cc1CNc1nnn[n-]1
ZINC28382199	[S-]c1nnc(-c2[nH]nc3c2CCC3)n1/N=C/c1ccccc1Br
ZINC35422976	CC12CC/C(=N/OCC(=O)[O-])C=C1CCC1C2CCC2(C)C(O)CCC12
ZINC08725284	O=C(CSc1nc2ncc(Cl)cc2[n-]1)NC1CCOc2ccccc21
ZINC13693019	N#Cc1ccc(C2CC(=O)Nc3c2c([O-])nc2nc4ccccc4n32)cc1
ZINC37300670	Cc1cc/c(=N/S(=O)(=O)c2ccc(Br)c(C(=O)[O-])c2)[nH]c1
ZINC37374390	C/C(=N\O)c1ccccc1[N-]S(=O)(=O)c1ccc(Br)s1
ZINC37436952	CC(O)c1ccc(S(=O)(=O)[N-]c2ncc(Br)s2)cc1
ZINC04386165	CCc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3c2c([O-])nc2nc(C)nn32)cc1
ZINC38549895	CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)[O-])O1
ZINC38556389	[S-]C1=NNC(C2N=NC3=C2CCC3)N1/N=C/c1ccccc1Br
ZINC39449881	CSC1CC(=O)c2c(c3ncc(Cl)cc3c(=O)n2-c2ccccc2[O-])N1
ZINC39465196	O=P1([O-])NN2CCc3cc(Cc4ccccc4)c(Br)cc3C2CO1
ZINC39850578	CC12CCC(C(=O)Nc3sc4c(c3C(=O)[O-])CCCC4)(CC1=O)C2(C)C
ZINC40144086	Cc1ccc(C2CCCC3(C2)NC(=O)C(C#N)=C([S-])N3c2ccccc2)o1
ZINC41114859	O=C([O-])c1ccc(NC(=O)c2cc(Br)c(Br)s2)nc1
ZINC43736550	C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)[O-])CCC4(C)C3CCC21C
ZINC43736780	CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)[O-])O1
ZINC48440714	CC(=O)Nc1cccc([N-]S(=O)(=O)c2sccc2Br)c1
ZINC54465940	N#C/C(C(=O)NC1CCCC1)=C(/[O-])C1CC(c2ccc(Cl)s2)=NO1
ZINC20418750	CSC1=NC(C)=C(C(=O)Nc2ccccc2C)C(c2ccc(C)o2)[N-]1
ZINC55042541	[O-]/C(=N\c1nc(C2CCCCC2)n[nH]1)N1CCCCC1c1ccccc1
ZINC46330158	Cc1ccc(C(=O)NC2CC3CCC2(C)C3(C)C)cc1[N-]S(C)(=O)=O
ZINC36358648	O=C([O-])c1ccc(C2CC(O)=Nc3c2ncn3-c2ccc(Cl)cc2)cc1
ZINC36358648	O=C1CC(c2ccc(C(=O)[O-])cc2)c2ncn(-c3ccc(Cl)cc3)c2N1
ZINC12851330	O=C(Nc1ccc(N2CCc3sccc3C2)nc1)c1cccnc1[S-]
ZINC62674212	Cc1ccc(/C([O-])=N/S(=O)(=O)c2cc(C(C)(C)C)ccc2C)c(=O)[nH]1
ZINC62823999	Cc1ncsc1C(=O)Nc1ccc(I)cc1C(=O)[O-]
ZINC62872975	CC1(C(=O)[O-])CCCN(C(=O)Nc2ccccc2I)C1
ZINC39730949	CCSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccc(O)cc1
ZINC39950391	COc1c(F)c(F)cc2c1N(C1CC1)CC(C(=O)NC1=CC3=CC=NC3C=C1)=C2[O-]
ZINC63811272	O=C(c1ccc2c([O-])[nH]c(=S)nc2c1)N1CCCC1Cc1cccc(F)c1
ZINC07990174	[O-]c1nc(SC2Cc3ccccc3C2O)nc2c1cnn2-c1ccccc1
ZINC13682445	Cc1ccccc1-n1nc(C)c2c1N=C(O)CC2c1ccc(C(=O)[O-])cc1
ZINC13682445	Cc1ccccc1-n1nc(C)c2c1NC(=O)CC2c1ccc(C(=O)[O-])cc1
ZINC35477146	O=c1cc(CNc2ccc(F)cc2)nc2nc(-c3ccc(F)cc3)[n-]n12
ZINC65258676	Cc1cc([N-]S(=O)(=O)c2cc3n(c2)CCCNC3=O)ccc1Cl
ZINC07379712	O=C(N[N-]S(=O)(=O)c1ccc(Cl)s1)c1cc2c(s1)CCC2
ZINC66249710	Cc1ccc(-c2csc([N-]S(=O)(=O)c3c[nH]c4ncccc34)n2)s1
ZINC66254552	CSc1sc([N-]S(=O)(=O)c2cc3c(cc2F)NC(=O)CC3)nc1C
ZINC26929509	CCn1c([O-])c2ccc(C(=O)Nc3ccccc3SC)cc2nc1=S
ZINC67029309	COC(=O)C1=NC(=S)NC(c2cnc(-c3ccccc3)s2)/C1=C(\C)[O-]
ZINC67342956	CSC(C)c1cccc(NC(=O)c2cnn3c2nc([O-])c2ccccc23)c1
ZINC05135018	Cn1c(C(=O)N2CCC(C(=O)[O-])CC2)cc2sccc21
ZINC22160685	Cn1cc(Cl)cc1C(=O)N1C(C(=O)[O-])CC2CCCCC21
ZINC32111834	CC1CCN(c2nc(C(=O)[O-])cc(C3CC3)n2)CC1
ZINC32111836	CC1CCN(c2nc3c(c(C(=O)[O-])n2)CCC3)CC1
ZINC32111838	O=C([O-])c1nc(N2CCCCCC2)nc2c1CCC2
ZINC33268058	CCn1cc2nc([S-])n(C3CCCC3)c(=O)c2n1
ZINC35295467	Cc1cc(C)c(S(=O)(=O)N2CCC2)cc1C(=O)[O-]
ZINC35779467	O=C([O-])c1cn(-c2ccncc2)nc1-c1cccs1
ZINC37383840	O=C([O-])c1ccsc1N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC37561766	O=C([O-])C1CCC(N2C(=O)CC3(CCCCC3)C2=O)CC1
ZINC37828000	Cn1cccc1C1CCCCCN1C(=O)/C=C/C(=O)[O-]
ZINC37832979	O=C([O-])c1ccccc1C(=O)N1CCOC2CCCCC21
ZINC37832980	O=C([O-])c1ccccc1C(=O)N1CCOC2CCCCC21
ZINC04437596	Cn1c(C(=O)N2CCCC(C(=O)[O-])C2)cc2sccc21
ZINC39680399	CC1=NC2C=CC(C(=O)N3CCCC(C(=O)[O-])C3)=CC2=C1C
ZINC35145797	CN1CCN(C(=O)C2(C)CCC(C)(C(=O)[O-])C2(C)C)CC1
ZINC41344541	CC(C)(C)c1cc2nc(C(=O)[O-])cc(C3CC3)n2n1
ZINC41887122	Cc1cc(C)n(C2(C(=O)[O-])CCCC(C)C2)c(=O)n1
ZINC41887130	Cc1cc(C)n(C2(C(=O)[O-])CCCC(C)C2)c(=O)n1
ZINC43702299	CC1CCc2sc(C(=O)N3CCOC(C(=O)[O-])C3)cc2C1
ZINC43702301	CC1CCc2sc(C(=O)N3CCOC(C(=O)[O-])C3)cc2C1
ZINC44260995	N#Cc1cccc([N-]S(=O)(=O)c2cncc(F)c2)c1
ZINC44591607	Cc1ccoc1C(=O)N1CCc2sccc2C1C(=O)[O-]
ZINC44592034	Cc1ccc(C#N)c(N2CCc3sccc3C2C(=O)[O-])n1
ZINC45956245	[S-]c1cc(-c2cccnc2)nc(-c2cnccn2)n1
ZINC48530168	Cc1ccsc1/C([O-])=C(\C#N)C(=O)C1COCCO1
