ZINC03897368	S=C1NCCOCCNC(=S)NCCOCCN1
ZINC61916759	CC1CN(c2ccc(S(N)(=O)=O)cc2N)CCCO1
ZINC04096947	O=C1c2c(O)cc(O)cc2OC(c2cc(O)c(O)c(O)c2)C1O
ZINC62874573	CC1(C(=O)[O-])CCCN(C(=O)NC2CCCCC2[NH3+])C1
ZINC04026726	O=C([O-])C1=C(CO)OC2(O)c3ccccc3C(=O)C12O
ZINC04062213	CC12CCC3c4ccc(O)cc4/C(=N/OCC(=O)[O-])CC3C1CC(O)C2O
ZINC04546421	O=C([O-])C1OC(Oc2cccc3cccnc23)C(O)C(O)C1O
ZINC04016167	Nc1cccc2c1C(=O)c1ccc(S(=O)(=O)[O-])c(O)c1C2=O
ZINC04523145	Cc1cc(C)c(/N=N/c2cc(C)c(N)cc2N)c(S(=O)(=O)[O-])c1
ZINC01868878	O=C([O-])C1Cc2[nH]cnc2C(c2cc([N+](=O)[O-])ccc2[O-])[NH2+]1
ZINC08575891	O=C([O-])C1OC(Oc2cccc3cccnc23)C(O)C(O)C1O
ZINC15205714	O=C([O-])C1OC(Oc2c[nH]c3ccc(Br)cc23)C(O)C(O)C1O
ZINC19597194	O=C1NC(=O)C(=CNc2ccc(C(=O)[O-])c(O)c2)C(=O)N1
ZINC19811908	Cn1cc([O-])[nH]/c1=N\C(=O)c1cc(N)ccc1Cl
ZINC19861659	NC(=O)C12C(=O)N=C([O-])C1(C(=O)O)C21CCCCC1
ZINC21819225	NC(=O)NC(=O)Cn1cnc2cc(C(=O)[O-])ccc21
ZINC22067225	O=C([O-])C1OC(Oc2nc(Cl)c(Cl)cc2Cl)C(O)C(O)C1O
ZINC31164070	CC1(C)CCCC2(C)C1C(O)C=C(CO)C2(O)C(=O)[O-]
ZINC33726973	CCOC(=O)N1CCC2(CC1)C(C#N)=C(N)NC([S-])=C2C(N)=O
ZINC25174847	CN1N=C([NH-])/C(=N\Nc2ccc(C(=O)[O-])cc2)C1=[NH2+]
ZINC06088010	NC1=NC=N/C1=C1/[N-]C(C(=O)NCC(F)(F)F)=CO1
ZINC36829145	O=c1ccc(S(=O)(=O)[N-]c2ccc3[nH]c(=O)[nH]c3c2)c[nH]1
ZINC37930435	Nc1ccc(NC2CCS(=O)(=O)C2)cc1C(=O)[O-]
ZINC39291251	O=C([O-])/C(=C\c1cc(O)cc(O)c1)c1ccc(O)cc1
ZINC39450286	O=C1CC(O)Nc2c1n([O-])c(=O)c1cc(O)cnc21
ZINC40322545	N#Cc1ccsc1[N-]S(=O)(=O)c1ccc(O)c(N)c1
ZINC40543525	NS(=O)(=O)c1ccc(NC(=O)N2CSCC2C(=O)[O-])cc1
ZINC41027061	Nc1cc(=O)[nH]c(Sc2ncc(C(=O)[O-])cc2Cl)n1
ZINC42439253	CC1CCC(C(N)=O)CN1C(=O)NC(=O)/C=C/C(=O)[O-]
ZINC42439584	CC1CCC(C(N)=O)CN1C(=O)NC1(C(=O)[O-])CCCC1
ZINC43760821	CC1(C)C2CCC1(C)C(OC1OC(C(=O)[O-])C(O)C(O)C1O)C2
ZINC44883126	CC1(Nc2ccc(C(=O)[O-])cc2N)CCS(=O)(=O)C1
ZINC44925925	Nc1ccc(NCc2nnn[n-]2)c(Br)c1
ZINC48837975	Nc1ccccc1NC(=O)C1CC=CCC1C(=O)[O-]
ZINC48847348	O=C(Nc1ccc(O)cc1C(=O)[O-])NC1CCS(=O)(=O)C1
ZINC50018365	NC(=O)C1CCCN(c2cc(C(=O)[O-])c(N)cc2F)C1
ZINC50018929	Nc1cc(F)c(NC2CCS(=O)(=O)C2)cc1C(=O)[O-]
ZINC50032458	NC(=O)C1CCCCN1c1cc(C(=O)[O-])c(N)cc1F
ZINC50032472	CNC(=O)C1CCCCN1c1cc(C(=O)[O-])c(N)cc1F
ZINC50439470	Cc1cc(N)c([N-]S(=O)(=O)c2cn[nH]c2)cc1C
ZINC51067635	Nc1cc(=O)[nH]c(Sc2cccc(C(=O)[O-])n2)n1
ZINC52012036	O=C(Nc1ccc(C(=O)[O-])cc1O)NC1CCCCC1O
ZINC52012270	CC1CCCC(NC(=O)NC2CCCCC2O)(C(=O)[O-])C1
ZINC55168747	Nc1nc(C(=O)N2C(C(=O)[O-])CC3CCCCC32)n[nH]1
ZINC55174743	Cc1nc(N)sc1C(=O)NC1(C(=O)[O-])CCC(C)CC1
ZINC18127742	Cc1cc([O-])nc(/N=C/c2c([O-])nc(=S)[nH]c2[O-])n1
ZINC59293797	N#CC1=C(N)N2C(=O)C(CC(=O)[O-])SC2=C(C#N)C1c1ccc(O)cc1
ZINC61591143	NS(=O)(=O)c1ccc(Cn2c([S-])n[nH]c2=O)cc1
ZINC61721509	CC1(C)C(C(=O)[O-])C1C(=O)Nc1c[nH]c(=O)[nH]c1=O
ZINC08767370	COc1cc(C2C/C(=C3/C(=O)N(C)C(=O)N=C3[O-])NN2)ccc1O
ZINC08767370	COc1cc(C2C/C(=C3\C(=O)N=C([O-])N(C)C3=O)NN2)ccc1O
ZINC62322400	Cc1cc2c(ccc(=O)n2CC(=O)NN)c(C)c1C(=O)[O-]
ZINC63006630	Nc1cc(=O)[nH]c(Sc2c(F)cc(C(=O)[O-])cc2F)n1
ZINC63824007	COc1ccc(C2CC(=O)NC3C2=C(C)NN3c2ccc([O-])nn2)cc1O
ZINC67181460	Cc1ccsc1C(=O)NNC(=O)c1ccc2c([O-])[nH]c(=S)nc2c1
ZINC00174716	O=C1Nc2ccccc2C1(O)C1(O)C(=O)Nc2ccccc21
ZINC03895825	Nc1ccc2c(c1)OCCOCCOc1ccc(N)cc1OCCO2
ZINC03897369	S=C1NCCOCCNC(=S)NCCOCCOCCN1
ZINC04096779	CC12CCC(O)CC1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO
ZINC00421468	Cc1ccc2[nH]c(=O)c(C3C(C#N)=C(N)Oc4[nH]nc(C)c43)cc2c1
ZINC00146421	CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1
ZINC04234540	NC(=O)N1NC(c2cccs2)CC1(O)C(F)(F)F
ZINC04357814	OC1COC(Nc2ccc(Br)cc2)C(O)C1O
ZINC00112786	N#CC1=C(N)Oc2c(oc(CO)cc2=O)C12C(=O)Nc1ccccc12
ZINC00300244	CC1(C)Cc2c(sc3nc(NN)nc(NN)c23)CO1
ZINC01558472	Oc1cc(O)c2c(c1)OC(O)(c1ccc(O)c(O)c1)C(O)O2
ZINC05482174	CC1(C)Nc2ccccc2C2=C1SC(=C(C(N)=O)C(N)=O)C2=S
ZINC01573791	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)cc2)C1O
ZINC02144271	NS(=O)(=O)c1ccc2c(c1)C(=O)c1cc(S(N)(=O)=O)ccc1-2
ZINC01628084	Cc1c(N)c(S(N)(=O)=O)cc(S(N)(=O)=O)c1Cl
ZINC05036970	NS(=O)(=O)c1ccc(N2C(=O)Nc3ccccc3N2O)cc1
ZINC06527186	N#CC1C(N)=NC(S)=C(C(N)=O)C1c1cccs1
ZINC08617606	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO
ZINC14437962	Cc1c(O)cc2c(c1O)C(=O)C(O)C(c1cc(O)c(O)c(O)c1)O2
ZINC22130306	N#CC1=C([NH3+])N=C([S-])C(C(N)=O)C1c1cccs1
ZINC15086117	OC1COC(Nc2ccc(Br)cn2)C(O)C1O
ZINC24717556	COc1ccc2c(c1O)CNCC2c1ccc(O)c(O)c1
ZINC28976085	O=C1NC(=S)NC(=O)C1=CNc1ccc2c(c1)C(=O)NC2=O
ZINC33683483	CC(=O)C1(O)CCC2C3CC(O)C4(O)CC(O)CCC4(C)C3CCC21C
ZINC06056824	CN1N=C([NH-])/C(=N\Nc2cccc(Cl)c2Cl)C1=[NH2+]
ZINC36371099	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO
ZINC36372055	CC(=O)C1(O)CCC2C3CC(O)C4(O)CC(O)CCC4(C)C3CCC21C
ZINC33957368	NC(=O)N/N=C1/CC2C3C/C(=N\NC(N)=O)C4C3CC2C14
ZINC36926767	CC1CN(c2ccc(S(N)(=O)=O)cc2N)CC(C)O1
ZINC37550775	[NH3+]CC#Cc1ccccc1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC00664300	N#CC1=C(N)Oc2c(oc(CO)cc2=O)C12C(=O)Nc1ccc(Cl)cc12
ZINC01481839	CCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1
ZINC38337263	CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3O
ZINC39280365	Cc1ccc(C2=CC(C3NNC(S)N3N)N=N2)cc1
ZINC39280369	NN1C(S)NNC1C1C=C(c2ccc(F)cc2)N=N1
ZINC39359536	N#CC1=C([NH3+])[N-]C2=NC(N)=NC(=O)C2C1c1ccc(F)cc1
ZINC40287682	CC1(C)Cc2c(sc3c2c(N)nc(=O)n3CC(N)=O)CO1
ZINC40313457	NC(=O)C1CN(C(=O)c2sccc2N)c2ccccc2O1
ZINC29477570	C=CC1(C)CC(=O)C2(O)C(C)(O1)C(O)C(O)C1C(C)(C)CCC(O)C12C
ZINC44559684	CC12CCC(O)CC1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO
ZINC44932441	CC1(n2nnnc2-c2ccc(N)cc2N)CCS(=O)(=O)C1
ZINC51730444	CC1CCN(c2cc(N)cc(S(N)(=O)=O)c2)C(C)C1
ZINC13081045	Cc1n[nH]c2c1C(c1cc([N+](=O)[O-])ccc1O)C(C#N)=C(N)O2
ZINC55575862	Nc1nc(N2CCC3(CC2)NC(C2CC2)=NC3=O)c2cn[nH]c2n1
ZINC57354170	O=C1c2ccccc2C2(O)Nc3nsnc3NC12O
ZINC20898948	COc1ccc(C2C/C(=C3\C(=O)NC(=S)N(C)C3=O)NN2)cc1O
ZINC61916758	CC1CN(c2ccc(S(N)(=O)=O)cc2N)CCCO1
ZINC15568940	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO
ZINC66740621	Cc1[nH]nc2c1NC1(NC2=O)C(=O)Nc2cc3c(cc21)OCCCO3
ZINC67268320	CC1CCC(C(N)=O)CN1C(=O)C1CCC2(CC1)NC(=O)NC2=O
ZINC05276752	CC12CCC3C(CCC4(O)CC(O)CCC34CO)C1CCC2C(=O)[O-]
ZINC06091168	O=C([O-])C1OC(Oc2nc(Cl)c(Cl)cc2Cl)C(O)C(O)C1O
ZINC04523115	Cc1cc(/N=N/c2ccc(S(=O)(=O)[O-])cc2)c(N)cc1N
ZINC09350098	O=c1[nH]c([S-])nc2c1C(c1c(O)[nH]c(=S)[nH]c1=O)c1ccccc1O2
ZINC09886064	CC12CCC3c4ccc(O)cc4/C(=N/OCC(=O)[O-])CC3C1CCC2(O)O
ZINC13417694	Cc1c(C(=O)[O-])sc2ncn(CC(=O)NC(N)=O)c(=O)c12
ZINC17375751	Nc1ccccc1OC1OC(C(=O)[O-])C(O)C(O)C1O
ZINC21508724	Cc1cnc([N-]S(=O)(=O)c2ccc(O)c(N)c2)s1
ZINC22048742	Nc1ccc(OC2OC(C(=O)[O-])C(O)C(O)C2O)cc1
ZINC25497868	O=C([O-])c1cc(Nc2[nH]c(=O)cc([O-])[nH+]2)ccc1O
ZINC31167883	C=C1C2CCC3C4(C)CC(O)CC(C(=O)[O-])(C(=O)O)C4CCC3(C2)C1O
ZINC05634108	CCOC(=O)N1CCC2(CC1)C(C#N)=C(N)NC([S-])=C2C#N
ZINC33827291	Nc1ccc(SC2OC(C(=O)[O-])C(O)C(O)C2O)cc1
ZINC16949030	CN1N=C(N)/C(=N/Nc2ccc(Cl)cc2O)C1=O
ZINC36283825	Cc1nc([O-])sc1S(=O)(=O)Nc1ccc(N)cc1
ZINC01507957	Cc1n[nH]c(C)c1N/C(O)=C1/C(=O)N=c2ccccc2=C1[O-]
ZINC06364960	CC(C)C(C)NC(=O)C1=CO/C(=C2/N=CN=C2N)[N-]1
ZINC39593265	Oc1ccc(/C=N/N2C([S-])=NNC2C2N=NC3=C2CCC3)c(O)c1
ZINC39612938	NC(=S)SC1NN=CN1C(=O)c1ccc([O-])nn1
ZINC39945216	CC1(C)C2CCC1(C)C(OC1OC(C(=O)[O-])C(O)C(O)C1O)C2
ZINC35465391	CC1(C)CC2C(C1)C1(C)CC1(C(=O)[O-])C(O)(CO)C2O
ZINC09694454	CCCc1[nH]nc(O)c1C1(O)C(=O)NC(=O)N=C1[O-]
ZINC13974666	Cc1ncc2c(c1O)COC2(O)C(F)(F)P(=O)([O-])O
ZINC40816222	CC1c2cc(O)c(O)cc2CCN1C(=O)c1cc([O-])[nH]c(=O)c1
ZINC42413787	Cc1c(N)cc(S(=O)(=O)[N-]c2cc[nH]n2)cc1Cl
ZINC42413841	Nc1cc(Cl)c(F)c(S(=O)(=O)[N-]c2ccn[nH]2)c1
ZINC43741490	CC12CCC3c4ccc(O)cc4/C(=N/OCC(=O)[O-])CC3C1CC(O)C2O
ZINC44167091	Nc1ccc(OC2OC(C(=O)[O-])C(O)C(O)C2O)cc1
ZINC44559576	CC12CCC3c4ccc(O)cc4/C(=N/OCC(=O)[O-])CC3C1CC(O)C2O
ZINC44925151	CC(Nc1ncc(Br)cc1N)c1nnn[n-]1
ZINC44925855	Nc1cc(Br)cnc1NCc1nnn[n-]1
ZINC45112288	CC(C)(NC(=O)N1C(C(=O)[O-])CC2CCCCC21)C(N)=O
ZINC50032475	CNC(=O)C1CCCCN1c1cc(C(=O)[O-])c(N)cc1F
ZINC05881821	O=C1NC(=O)c2cc([N-]S(=O)(=O)c3ccc4[nH]c(=O)[nH]c4c3)ccc21
ZINC50918664	O=C([O-])CC(=O)Nc1cc2[nH]c(=O)[nH]c2cc1Br
ZINC51088666	NNc1ncc(Br)cc1/C([O-])=N/c1nncs1
ZINC52011739	O=C(NC1CCCCC1O)NC1(C(=O)[O-])CCCCC1
ZINC52011743	O=C(NC1CCCCC1O)NC1(C(=O)[O-])CCCCC1
ZINC52011811	CC1CCC(NC(=O)NC2CCCCC2O)(C(=O)[O-])CC1
ZINC52011833	O=C(NC1CCCCC1O)NC1(C(=O)[O-])CCCCCC1
ZINC05677113	CC1(N/C([S-])=N/c2n[nH]c(=S)[nH]2)CCS(=O)(=O)C1
ZINC54554305	Nc1cc(=O)[nH]c(Sc2ccc(C(=O)[O-])cc2F)n1
ZINC55168748	Nc1nc(C(=O)N2C(C(=O)[O-])CC3CCCCC32)n[nH]1
ZINC16983299	CCOC1=C/C(=C2/NN=C3[N-]NC(=S)N3N2)C=CC1=O
ZINC36295814	Cc1[nH]c(=O)sc1S(=O)(=O)[N-]c1ccc(F)c(N)c1
ZINC44925493	Nc1cc(Br)ccc1NCc1nnn[n-]1
ZINC61593024	Cn1c(Sc2ccc(N)cc2C(=O)[O-])n[nH]c1=O
ZINC61856601	N/C(=N/O)c1ccc(Sc2nccc([O-])n2)cc1Cl
ZINC62828477	O=C(Nc1sccc1C(=O)[O-])Nc1cccc2cn[nH]c12
ZINC00629569	Cc1nn(-c2ccccc2)c2c1C(c1ccc(Cl)c(Cl)c1)C(C#N)=C(N)O2
ZINC04525413	Cc1sc2c(c1C)C(=O)NC(c1cccc(OC(=O)c3cccs3)c1)N2
ZINC04525808	O=C(NNC(=O)c1sc2ccccc2c1Cl)c1ccc(Br)o1
ZINC00883414	O=C1CC(c2cccs2)CC2=C1C(c1ccc3c(c1)OCO3)Nc1ccccc1N2
ZINC01117334	CCSc1nc(=O)c2c([nH]1)NC1=C(C(=O)CC(C)(C)C1)C2c1cccs1
ZINC04973620	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccnc2)cc1
ZINC05188533	Cc1ccc(N2CC(NC(=O)Nc3ccc(Br)c(C)c3)CC2=O)cc1C
ZINC05600591	COc1ccc(C2NC(=O)NC(c3ccccc3)=C2c2ccc3ccccc3n2)cc1
ZINC05600596	CN(C)c1ccc(C2NC(=O)NC(c3ccccc3)=C2c2ccc3ccccc3n2)cc1
ZINC05603913	N#CC1=C(N)OC2C(C(C(F)(F)F)=NN2c2ccccc2)C1c1ccc(F)cc1
ZINC05603928	N#CC1=C(N)OC2C(C(C(F)(F)F)=NN2c2ccccc2)C1c1ccc(F)cc1
ZINC03258655	Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(Br)c(C)c2)cc1
ZINC12139955	CN1C(=O)NC(c2ccccc2Cl)C(C(=O)c2cccs2)C1(O)C(F)(F)F
ZINC14460864	Cc1cc([N+](=O)[O-])cc2c1NC(c1cc(Br)ccc1O)C1CC=CC21
ZINC14460866	Cc1cc([N+](=O)[O-])cc2c1NC(c1cc(Br)ccc1O)C1CC=CC21
ZINC15730465	CCc1cccc(C)c1NS(=O)(=O)c1ccc2c(c1)NC(=O)CC(C)S2
ZINC15733757	Cc1cc2c3c([nH]c2cc1S(=O)(=O)NCc1cccs1)CC(C)(C)CC3=O
ZINC05408296	CCCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3cccc(Cl)c3Cl)C2C1
ZINC02719206	O=C1CCCC2=C1C(c1cccs1)c1c([nH]c(SCc3ccccc3)nc1=O)N2
ZINC20503231	CNC(=O)CN1c2ccccc2NC2=C(C(=O)CC(C)(C)C2)C1c1cccs1
ZINC20701200	Cc1ccc([N+](=O)[O-])c2c1NC(c1cc(Cl)cc(Cl)c1O)C1CC=CC21
ZINC28051958	Cc1ccc(C2CC(=O)C3=C(C2)Nc2onc(C)c2C3c2ccc(O)cc2)cc1
ZINC33127542	CC(C)C(NC(=O)Nc1ccccc1Br)C(=O)N1CCc2ccccc21
ZINC33809948	C=CCSc1nc2c(c(=O)[nH]1)C(c1ccccc1F)C1=C(CCCC1=O)N2
ZINC33810399	CC(C)Sc1nc2c(c(=O)[nH]1)C(c1ccccc1F)C1=C(CC(C)(C)CC1=O)N2
ZINC34971001	CC(NC(=O)Nc1cccc(Br)c1)C(=O)N1CC2(C)CC1CC(C)(C)C2
ZINC35146679	NC(=O)C1C(c2ccccc2)C(C(=O)c2ccco2)C2c3ccccc3C=CN12
ZINC35937807	O=C1NC2(CCN(C(=O)CCC3CCCC3)CC2)Nc2ccc(Cl)c(Cl)c21
ZINC39324550	CC(=O)N1CC2=C(OC(N)=C(C#N)C2c2ccccc2)/C(=C/c2ccccc2)C1
ZINC00664433	N#CC1=C(N)Oc2n[nH]c(-c3cccs3)c2C1c1ccc(F)c(Br)c1
ZINC39325016	CCc1ccc(C2C3CN(Cc4ccccc4)CC=C3C(C#N)=C(N)C2(C#N)C#N)cc1
ZINC39855682	Cc1c(C(=O)Nc2ccc(Br)cc2)oc2c1/C(=N/O)CC(C)(C)C2
ZINC39868766	CNC(=O)c1c(NC(=O)c2cc(Cl)c(OC)c(Cl)c2)sc2c1CCCC2
ZINC40723107	Nc1c(Sc2ccc(Cl)cc2)ncnc1N1CCN(c2ccc(F)cc2)CC1
ZINC42015248	Nc1cc(-c2nnnn2-c2ccc(Br)cc2F)ccc1Br
ZINC42015265	Cc1ccc(-n2nnnc2-c2ccc(Br)c(N)c2)c(Br)c1
ZINC02114336	O=C1N/C(=N/c2ccccc2C(F)(F)F)S/C1=C1\C(=O)Nc2ccc(F)cc21
ZINC45626251	Nc1ccc(Br)c(-c2nnnn2-c2ccc(Cl)cc2Cl)c1
ZINC49121960	Cc1c(N)cccc1-c1nnnn1-c1cc(Br)ccc1Br
ZINC49741030	Cc1cc(S(=O)(=O)Nc2ccc3c(c2)C2(CCCCC2)C(=O)N3)ccc1F
ZINC12348177	CC(C)c1ccc(C2C3=C(CCCC3=O)Nc3nn(-c4ccccc4)c(O)c32)cc1
ZINC12348177	CC(C)c1ccc(C2C3=C(CCCC3=O)Nc3[nH]n(-c4ccccc4)c(=O)c32)cc1
ZINC04678926	CCOc1cc(C2C3=C(CC(C)(C)CC3=O)NC3=C2C(=O)c2ccccc23)ccc1O
ZINC06752921	CCCN1C(=O)c2[nH]nc(-c3ccccc3O)c2C1c1ccc(Br)cc1
ZINC01504464	Oc1ccc(F)cc1C1=NNC(c2cc(Br)cc3c2OCOC3)C1
ZINC04406886	Cc1sc2nc(C(C)Sc3nc4cc(Cl)ccc4[nH]3)[nH]c(=O)c2c1C
ZINC15746420	O=C1N/C(=N\N=C\c2ccccc2O)SC1Cc1ccc(Cl)cc1Cl
ZINC58611158	Cc1sc2nc(C(C)Sc3nc4cc(F)c(F)cc4[nH]3)[nH]c(=O)c2c1C
ZINC00806324	N#CC1=C(N)Oc2[nH]nc(-c3cccs3)c2C1c1ccc(Cl)c(Cl)c1
ZINC05490067	CSc1ccc(C2C(C#N)=C(N)Oc3[nH]nc(-c4ccccc4Cl)c32)cc1
ZINC44919060	COc1ccc(C2CC(O)=Nc3c(-c4ccc(Cl)cc4)nsc32)cc1O
ZINC44919060	COc1ccc(C2CC(=O)Nc3c(-c4ccc(Cl)cc4)nsc32)cc1O
ZINC00753443	CCOc1ccccc1C1C(C#N)=C(N)Oc2c1c(=O)[nH]c1ccccc21
ZINC00469956	COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CCC3)c(Cl)c1O
ZINC04868607	Nc1ccc(NC(=O)c2cc3c(s2)CCC3)cc1[N+](=O)[O-]
ZINC02654435	Cc1ccc(C)c(S(=O)(=O)N/N=C/c2cccc(O)c2O)c1
ZINC06556820	Cc1ccc(-c2n[nH]c(=S)n2/N=C/c2ccc(O)c(O)c2)cc1
ZINC07946152	Cc1ccc(S(=O)(=O)N/N=C/c2cccc(O)c2O)cc1
ZINC08921789	NS(=O)(=O)c1ccc(NC(=O)N2CCC3CCCCC3C2)cc1
ZINC10128086	Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(=O)[nH]c(=O)c32)s1
ZINC12414549	Cc1cc(C)c(NC(=O)C2Nc3cc(C)ccc3S(=O)(=O)N2)c(C)c1
ZINC13639782	Cc1cc([N+](=O)[O-])cc2c1NC(c1ccc(O)cc1O)C1CC=CC21
ZINC16260566	CC1CC1c1ccc(/C=C/C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)o1
ZINC18199481	CC(C)c1ccc(C2C3=C(CCCC3=O)Nc3[nH]c(=O)[nH]c(=O)c32)cc1
ZINC19974019	Nc1nonc1NC1CC(=O)CC(c2ccc(Cl)cc2)C1
ZINC06420758	Cc1ccc(-c2[nH]nc3c2C(c2ccncc2)C(C#N)=C(N)O3)cc1
ZINC28814060	CCOC(=O)NNC(=O)c1cc(Br)ccc1O
ZINC32106539	CCOC(=O)C1C(c2ccccc2)C2C([O-])=N[NH2+]C2CC1(C)O
ZINC06747597	COc1ccc(S(N)(=O)=O)cc1C(=O)NC1CCCCC1
ZINC35576204	NNc1nn2c(=O)c3c4c(sc3nc2c2ccccc12)CCCC4
ZINC36900794	CCOc1ccc(N)cc1S(=O)(=O)/N=c1\[nH]cc(C)s1
