ZINC01027075	Cc1nnc(CSc2nnc3n(N)cnn23)o1
ZINC45030103	O=C([O-])C1CC=CCC1C(=O)Nc1ncnc2nc[nH]c12
ZINC48868640	Cc1cccc(/C([O-])=N/S(=O)(=O)N(C)C)c1[N+](=O)[O-]
ZINC48868696	CN(C)S(=O)(=O)/N=C(\[O-])c1cccc([N+](=O)[O-])c1
ZINC48869365	O=[N+]([O-])C1CC1/C([O-])=N/S(=O)(=O)N1CCCC1
ZINC49065670	N#C/C(=C/c1cc2c(cc1[N+](=O)[O-])OCCO2)C(=O)[O-]
ZINC49450450	O=C(c1n[nH]c([O-])n1)N1CCCC(N2CCNC2=O)C1
ZINC49515464	O=[N+]([O-])c1cc(/C([O-])=N/S(=O)(=O)C2CCOCC2)cs1
ZINC50649765	Nc1cc([N+](=O)[O-])cc(F)c1S(=O)(=O)[N-]c1ccncc1
ZINC54051206	CC(C(=O)[O-])N(C)C(=O)c1cc([N+](=O)[O-])cn1C
ZINC56214149	CN(CC(=O)/N=C1/N=C([O-])CN1)c1cnccn1
ZINC56935166	Cc1n[nH]c(C)c1N1CCN(C(=O)c2ccc([O-])nn2)CC1
ZINC57768069	CC1Oc2cc([N+](=O)[O-])ccc2N(C(C)(C)C(=O)[O-])C1=O
ZINC59366384	O=[N+]([O-])c1ccc(NS(=O)(=O)[O-])c([N+](=O)[O-])c1
ZINC61685921	Nc1nc2sccn2c1S(=O)(=O)[N-]c1cnoc1
ZINC61937395	CC1CN(C(=O)Nc2cnn(CC(=O)[O-])c2)CCCO1
ZINC63244232	O=[N+]([O-])c1cnn(C/C([O-])=N/c2ncn[nH]2)c1
ZINC52770563	CC(C)n1ncc2cc(/C([O-])=N/S(=O)(=O)N(C)C)cnc21
ZINC65374175	Cc1ncnc2c1ncn2-c1ccc([N-]S(C)(=O)=O)nc1
ZINC65459980	CC1=C(C(NC(=O)c2ccc3c(c2)OCO3)C(=O)[O-])C(C)N=N1
ZINC01720620	N#CC(C#N)=NNc1ccc(S(=O)(=O)[O-])cc1
ZINC22159530	CC1CN(S(=O)(=O)c2c[nH]c(C(=O)[O-])c2)CC(C)O1
ZINC36584721	COCc1[n-]n2c(=N)c(C#N)nnc2c1-c1ccccc1
ZINC36621287	Cc1nn(C)c(C)c1/C=C/C(=O)c1c([O-])[nH]c(=O)sc1=O
ZINC36732428	Cc1ccc/c(=N/S(=O)(=O)c2c(C)oc(C)c2C(=O)[O-])[nH]1
ZINC37552566	Cc1noc(C)c1S(=O)(=O)[N-]c1cccc(C#CCO)n1
ZINC37791392	Cn1cc([N-]S(=O)(=O)c2cn[nH]c2)ccc1=O
ZINC37856313	Cc1[nH]c(=O)sc1S(=O)(=O)[N-]c1ccn(C)n1
ZINC37926339	Cc1cc([N-]S(=O)(=O)c2sc(=O)[nH]c2C)no1
ZINC38063241	O=C([O-])C1CCCN(C(=O)NCC2COCCO2)C1
ZINC38063242	O=C([O-])C1CCCN(C(=O)NCC2COCCO2)C1
ZINC39709981	N#CC1=C(c2cccc([N+](=O)[O-])c2)C(C#N)C(=S)N=C1[NH-]
ZINC40478925	CNC(=O)C1CCCN(c2nc3ncnc([O-])c3s2)C1
ZINC41048756	CN(C)S(=O)(=O)/N=c1/ccc(C(=O)[O-])c[nH]1
ZINC41681663	CC1CN(C(=O)NC(=O)CCC(=O)[O-])CC(C)(C)O1
ZINC43428174	O=C([O-])CCC(=O)NC(=O)N1CCOC2CCCC21
ZINC44343516	CC(NC(=O)c1ccnc(Cl)c1)c1nnn[n-]1
ZINC45578473	O=C(Nc1ncn[nH]1)C1CCN(C(=O)C2CC2)CC1
ZINC48006727	Cc1nnc(/N=C(\[O-])C(=O)NN2C(C)CCCC2C)s1
ZINC48723445	CN(Cc1nc2ccccc2s1)C(=O)c1n[nH]c([O-])n1
ZINC48733927	Cc1nn(CC(=O)Nc2ncn[n-]2)c(C)c1Cl
ZINC48916549	CCC1COC(C)CN1C(=O)NC(=O)/C=C/C(=O)[O-]
ZINC49104329	CC(NC(=O)N1CCCC(C(=O)[O-])C1)C(=O)N(C)C
ZINC49349419	CC(c1ccncc1)N(C)C(=O)c1n[nH]c([O-])n1
ZINC49515662	Cc1cc(/C([O-])=N/S(=O)(=O)C2CCOCC2)[nH]n1
ZINC49548813	COC1CC(C(=O)[O-])N(C(=O)Nc2nc3c(s2)CCC3)C1
ZINC50682200	CN1N=C(/C([O-])=C(\C#N)C(=O)NC2CCCCC2)CCC1=O
ZINC51036953	O=C([O-])C1(Sc2ncnc3[nH]cnc23)CCOCC1
ZINC54302516	O=C([O-])CC1CCCN(C(=O)NC2CCS(=O)(=O)C2)C1
ZINC56214199	CC(Sc1nncs1)C(=O)/N=C1/N=C([O-])CN1
ZINC56214374	CCCC(=O)N1CCCC(C(=O)/N=C2/N=C([O-])CN2)C1
ZINC45571159	CN1CCC(/C([O-])=N/c2nc(C(F)(F)F)n[nH]2)CC1=O
ZINC26263430	Cc1cccc(N2CC(/C([O-])=N/c3ncn[nH]3)CC2=O)c1C
ZINC29666959	Cc1ccc(N2CC(/C([O-])=N/c3ncn[nH]3)CC2=O)c(F)c1
ZINC42334785	O=C([O-])C1(Sc2nc(=O)cc[nH]2)CCS(=O)(=O)CC1
ZINC59442880	Cc1cc(C)n(C(=O)CSC2=NNC(C)(C)C([O-])=N2)n1
ZINC61823845	CC1(C)CCN(C(=O)Nc2cnn(CC(=O)[O-])c2)CC1
ZINC20356037	Cc1cccn2c(=O)c(C(=O)NCC3CCCO3)c([O-])nc12
ZINC62842463	CC1(C(=O)[O-])CCN(C(=O)c2ccc3[nH]nnc3c2)CC1
ZINC62842724	CC1(C(=O)[O-])CCN(C(=O)NC2CCS(=O)(=O)C2)CC1
ZINC62868935	CC1(C(=O)[O-])CCCN(C(=O)c2ccc3[nH]nnc3c2)C1
ZINC62873778	CNC(=O)CN(C)C(=O)N1CCCC(C)(C(=O)[O-])C1
ZINC62874280	CC1(C(=O)[O-])CCCN(C(=O)NCC2COCCO2)C1
ZINC62925082	CNC(=O)CN(C)C(=O)N1CCC(C)(C(=O)[O-])C1
ZINC62925645	CC1(C(=O)[O-])CCN(C(=O)NC2CCS(=O)(=O)CC2)C1
ZINC62925914	CC1(C(=O)[O-])CCN(C(=O)NCC2COCCO2)C1
ZINC62925916	CC1(C(=O)[O-])CCN(C(=O)NCC2COCCO2)C1
ZINC62933952	CNC(=O)C1CCCCN1C(=O)N1CCC(C)(C(=O)[O-])C1
ZINC65382143	O=C([O-])C1=CC2CN(C(=O)C3=CC4N=CC=C4C=C3)CCN2N1
ZINC36714187	Cc1cnc(C(=O)Nc2n[n-]c(C(F)(F)F)n2)cn1
ZINC00485671	O=C([O-])C1C2C=CC3(CN(c4cccc([N+](=O)[O-])c4)C(=O)C13)O2
ZINC05567085	N#CCC(=O)N/N=C/c1cc(Br)cc([N+](=O)[O-])c1[O-]
ZINC03213276	CN1C(=O)/C(=C/c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2[O-])SC1=S
ZINC02916552	O=C1C2C3C=CC(CC3)C2C(=O)N1/N=C/c1cc([N+](=O)[O-])ccc1[O-]
ZINC00897702	O=C([O-])/C=C/C(=O)Nc1nnc(-c2ccc3c(c2)OCO3)s1
ZINC16676056	O=C1C2C3C=CC(CC3)C2C(=O)N1/N=C/c1cc([N+](=O)[O-])ccc1[O-]
ZINC04344204	Cc1nc([O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2n1
ZINC16994248	Cc1nc2nc(CSc3nnnn3-c3ccccc3)cc([O-])n2n1
ZINC06093393	O=C1N=C([O-])C(O)N1/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1
ZINC26273351	Cc1cc(C(=O)Nc2nc(C#N)c(C#N)[n-]2)ccc1[N+](=O)[O-]
ZINC32097987	Cc1noc(C)c1S(=O)(=O)[N-]c1cnc2c(cnn2C(C)C)c1
ZINC16430086	O=[N+]([O-])c1c(/C=C/c2ccco2)nc2ncnn2c1[O-]
ZINC35179993	CN(c1ccc([N+](=O)[O-])cc1C(=O)[O-])C1CCS(=O)(=O)C1
ZINC35577432	O=C([O-])c1ccc[nH]/c1=N\S(=O)(=O)c1cccc([N+](=O)[O-])c1
ZINC38107447	O=S(=O)([N-]c1ccccc1-n1cnnn1)c1cnc(Cl)s1
ZINC39001366	COC1=CC=C2C3=NC([O-])N(/N=C/c4cccn4C)C(=O)C3=NC2C1
ZINC39165112	O=C1N=C([N-]S(=O)(=O)c2ccc3ccccc3c2)N=C2N=CN=C12
ZINC39165113	Cc1cc(C)c(S(=O)(=O)[N-]C2=NC(=O)C3=NC=NC3=N2)cc1C
ZINC39381060	CSc1nnc2n(/N=C\c3cc([N+](=O)[O-])ccc3[O-])cnn12
ZINC39462617	Cc1ccc(C(=O)OC(C)C(=O)/N=C2\[N-]C=NC3=NC=NC32)cc1O
ZINC41670438	O=C([O-])c1ccc(=O)n(Cc2cc([N+](=O)[O-])cc3c2OCOC3)c1
ZINC41727758	N#C/C(=C\c1cccc(O)c1)C(=O)Nc1nnn[n-]1
ZINC41916012	O=C([O-])C1(n2cnc([N+](=O)[O-])n2)CCCCCC1
ZINC44343885	CC(NC(=O)/C=C/c1cnn(C)c1)c1nnn[n-]1
ZINC44885775	CC(NC(=O)c1ccc2[nH]cnc2c1)c1nnn[n-]1
ZINC44886695	CC(NC(=O)/C=C/c1ccnn1C)c1nnn[n-]1
ZINC44930371	CC(NS(=O)(=O)N1CCCC1)c1nnn[n-]1
ZINC44930546	CC(NS(=O)(=O)c1cccnc1)c1nnn[n-]1
ZINC44931410	CC(Nc1ccc2cc([N+](=O)[O-])ccc2n1)c1nnn[n-]1
ZINC44973942	CC1=NN(c2ccc(C(=O)c3c([O-])n(C)c(=O)n(C)c3=O)cc2)CC1
ZINC48427007	O=[N+]([O-])c1ccc(/C([O-])=N/S(=O)(=O)c2cccs2)o1
ZINC48748871	CC(C)(C)c1nnc(NC(=O)c2n[nH]c([O-])n2)s1
ZINC48942229	CS(=O)(=O)[N-]c1nnc(NC(=O)c2scnc2Cl)s1
ZINC49266156	CC1CN(/C([O-])=C(\C#N)C(=O)c2cccc([N+](=O)[O-])c2)CC(C)O1
ZINC49514447	Cc1nn(C)c(Cl)c1S(=O)(=O)/N=C(\[O-])c1cnn(C)c1
ZINC52120688	CC(Nc1cc(F)ccc1[N+](=O)[O-])c1nnn[n-]1
ZINC04049966	N#C/C(=C\c1ccncc1)c1n[n-]c(Cn2cncn2)n1
ZINC57624882	O=[N+]([O-])c1ccc(/C=C/C([O-])=N/c2ncn[nH]2)cc1
ZINC29389745	CS(=O)(=O)N1CCC(/C([O-])=N/c2nc(C(F)(F)F)n[nH]2)CC1
ZINC61844861	CS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)[N-]c2nnc[nH]2)c1
ZINC31819269	Cc1nn(-c2ccc([O-])nn2)c2c1C(c1cccc(O)c1)CC(O)=N2
ZINC31819269	Cc1nn(-c2ccc([O-])nn2)c2c1C(c1cccc(O)c1)CC(=O)N2
ZINC62868455	CC1(C(=O)[O-])CCCN(C(=O)c2ccc([N+](=O)[O-])[nH]2)C1
ZINC18054357	Cc1nc2nc(N3C(=O)C4CC=CCC4C3=O)nn2c([O-])c1Cl
ZINC39029661	COc1ccc(OC)c(N2C(=O)/C(=C/C3C=CC=N3)C(=O)N=C2[O-])c1
ZINC57683848	O=C(Nc1cc(-c2cccc([N+](=O)[O-])c2)n[nH]1)C1CCCO1
ZINC25003244	Cc1c(C(C)NC(=O)c2cnn(-c3ccc([O-])nn3)c2C)cnn1C
ZINC08580959	CN(C)c1c([N+](=O)[O-])cc2[n-]c(O)nc2c1[N+](=O)[O-]
ZINC08580959	CN(C)c1c([N+](=O)[O-])cc2[nH]c([O-])nc2c1[N+](=O)[O-]
ZINC65610930	Cc1cc(C(=O)N(C2CC2)C2CC([O-])=NC2=O)c2c(C)nn(C)c2n1
ZINC32356456	CCC1CN(C(=O)c2cnn(-c3ccc([O-])nn3)c2C)CCO1
ZINC66323570	Cc1ccc(/N=c2\c([O-])c(-c3c(N)n(C)c(=O)n(C)c3=O)c2=O)cc1
ZINC19507143	CC(O)C(NC(=O)c1ccc2[nH]cnc2c1)C(=O)[O-]
ZINC19507147	CC(O)C(NC(=O)c1ccc2[nH]cnc2c1)C(=O)[O-]
ZINC19978905	CC(C)C(NC(=O)NC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC20304979	CC(O)C(NC(=O)c1ccc2c(c1)OCCO2)C(=O)[O-]
ZINC20304982	CC(O)C(NC(=O)c1ccc2c(c1)OCCO2)C(=O)[O-]
ZINC22163707	CC1CCCCC1(NC(=O)NCC(=O)N(C)C)C(=O)[O-]
ZINC22163711	CC1CCCCC1(NC(=O)NCC(=O)N(C)C)C(=O)[O-]
ZINC34261517	Cc1cccc(C2C3C(=O)N=C([O-])C3ON2CC(N)=O)n1
ZINC36724458	CN(CC(=O)[O-])C(=O)N1CCCC(C(N)=O)C1
ZINC36946901	O=C1NC(C(=O)NC2(C(=O)[O-])CCCC2)CS1
ZINC36972065	CC(=O)Nc1ccc(C(=O)NC(C(=O)[O-])C(C)O)s1
ZINC36977442	O=C(NC(CO)C(=O)[O-])c1cnc2n(c1=O)CCS2
ZINC36978721	O=C1CCC(C(=O)NC2(C(=O)[O-])CCCCC2)=NN1
ZINC37431593	CC(O)C(NC(=O)C1CC(=O)N(C2CCCC2)C1)C(=O)[O-]
ZINC37432005	Cc1c(C(=O)NC(C(=O)[O-])C(C)O)cnc2ncnn12
ZINC37432373	CC(O)C(NC(=O)C1CCCN(C(N)=O)C1)C(=O)[O-]
ZINC37449789	CCC(C)C(NC(N)=O)C(=O)N1CC(O)CC1C(=O)[O-]
ZINC37538526	CC(O)C(NC(=O)c1cccc(NC=O)c1O)C(=O)[O-]
ZINC37731961	CN(CC(N)=O)S(=O)(=O)c1[nH]ncc1C(=O)[O-]
ZINC37431389	CC(C)C(=O)N1CCCC(C(=O)NC(C(=O)[O-])C(C)O)C1
ZINC37431688	CC(C)C(=O)N1CCC(C(=O)NC(C(=O)[O-])C(C)O)CC1
ZINC37431690	CC(C)C(=O)N1CCC(C(=O)NC(C(=O)[O-])C(C)O)CC1
ZINC40532961	O=C(NC1CCS(=O)(=O)C1)NC1(C(=O)[O-])CCCC1
ZINC40532967	CC(NC(=O)NC1CCS(=O)(=O)C1)(C(=O)[O-])C1CC1
ZINC40578526	CC(NC(=O)NC1(C(=O)[O-])CCCC1)C(N)=O
ZINC40589349	O=C([O-])C1CC(O)CN1C(=O)NC1CCOCC1
ZINC40591333	CC(O)C(NC(=O)N(C)C1CCS(=O)(=O)C1)C(=O)[O-]
ZINC41034022	CC1CCCC(NC(=O)C2CCC(=O)N2)(C(=O)[O-])C1
ZINC41034594	CC(=O)NC(C)C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC41036171	CC1CCCC(NC(=O)NCC(=O)N(C)C)(C(=O)[O-])C1
ZINC41036278	CC(=O)NCCNC(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC41036279	CC(=O)NCCNC(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC42439769	CC1CCC(C(N)=O)CN1C(=O)NC(CCO)C(=O)[O-]
ZINC42440259	CC(C)N(CC(N)=O)C(=O)N1CC(O)CC1C(=O)[O-]
ZINC43508658	O=C1NC(C(=O)NC2(C(=O)[O-])CCSC2)CS1
ZINC43511606	Cc1n[nH]c(C)c1S(=O)(=O)NC1(C(=O)[O-])CCSC1
ZINC44511270	O=C([O-])C1CC(O)CN1C(=O)NCCC1CCCO1
ZINC45013101	CC1CCCC(NC(=O)NCCC(=O)N(C)C)(C(=O)[O-])C1
ZINC45013103	CC1CCCC(NC(=O)NCCC(=O)N(C)C)(C(=O)[O-])C1
ZINC45013104	CC1CCCC(NC(=O)NCCC(=O)N(C)C)(C(=O)[O-])C1
ZINC49502946	CC(CN1CCOCC1)NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC50376665	COC1CCCC1NC(=O)NC(C(=O)[O-])C(C)O
ZINC54524810	O=C(NC1CCS(=O)(=O)CC1)NC(C(=O)[O-])C1CC1
ZINC61176100	CC1CCC(C(N)=O)CN1C(=O)N(C)C(C)(C)C(=O)[O-]
ZINC61176102	CC1CCC(C(N)=O)CN1C(=O)N(C)C(C)(C)C(=O)[O-]
ZINC61176107	CC1CCC(C(N)=O)CN1C(=O)N(C)C(C)(C)C(=O)[O-]
ZINC61937622	NC(=O)CCC(NC(=O)N1CCCOCC1)C(=O)[O-]
ZINC62172597	Cc1ccc2c(c1)C(O)C([NH+](CC(=O)[O-])CC(=O)[O-])CO2
ZINC62174731	O=C([O-])C[NH+](CC(=O)[O-])C1COc2c(F)cccc2C1O
ZINC65748077	O=C(OC1OC(C(=O)[O-])C(O)C(O)C1O)c1cccnc1
ZINC04556595	O=C([O-])C1OC(Oc2c[nH]c3ccccc23)C(O)C(O)C1O
ZINC05225545	O=C([O-])C1OC(Oc2c[nH]c3cc(Cl)ccc23)C(O)C(O)C1O
ZINC04804117	O=S(=O)([O-])c1ccc(/N=N/c2c(O)cc(O)cc2O)cc1
ZINC03878523	Nc1ccc(Nc2ccc([N+](=O)[O-])cc2S(=O)(=O)[O-])cc1
ZINC09310695	Nc1nonc1C(=O)N/N=C/c1cccc([N+](=O)[O-])c1[O-]
ZINC13073363	Cc1ccc(S(=O)(=O)N2CC(C(N)=O)Oc3ccccc32)cc1C(=O)[O-]
ZINC13251491	NC(=O)C1CC(O)CN1S(=O)(=O)c1ccc(F)c(C(=O)[O-])c1
ZINC17285800	OCC1OC(n2cnc3c([S-])nc(F)nc32)C(O)C1O
ZINC19827100	Cc1cc(-c2n[nH]c(=S)n2/N=C/c2ccc(C(=O)[O-])cc2)n[nH]1
ZINC19827100	Cc1cc(-c2nnc([S-])n2/N=C/c2ccc(C(=O)[O-])cc2)[nH]n1
ZINC04095079	COc1cc(C(c2c([O-])n[nH]c2C)c2c(O)n[nH]c2C)ccc1O
ZINC12654308	C/C(=N\Nc1ncnc([O-])c1[N+](=O)[O-])c1ccc(N)cc1
ZINC30691296	Nc1ncnc2c1nc(Cl)n2C1OC2COP(=O)([O-])OC2C1O
ZINC06007501	CS(=O)(=O)N1[N-]C(=N)/C(=N/Nc2ccc(Br)cc2)C1=[NH2+]
ZINC28249500	CCOc1ccc(S(=O)(=O)/N=c2/nc3nc[nH]c3c([O-])[nH]2)cc1
ZINC36283995	Nc1cccc(NS(=O)(=O)c2ccc([O-])c([N+](=O)[O-])c2)c1
ZINC36368056	Cc1cc([N+](=O)[O-])cc(C2NC(C(=O)[O-])Cc3c2[nH]c2ccccc32)c1O
ZINC37556169	NNc1nc2sccn2c1S(=O)(=O)[N-]c1ccc(Cl)cn1
ZINC19229588	Cc1n[nH]c([O-])c1C(c1ccc([N+](=O)[O-])cc1)c1c(C)[nH][nH]c1=O
ZINC19866314	Cc1n[nH]c([O-])c1C(c1cc([N+](=O)[O-])ccc1O)c1c(C)[nH][nH]c1=O
ZINC37905096	Cc1ccc(NS(=O)(=O)c2cnc([O-])[nH]c2=O)c(C)c1N
ZINC16949213	Cc1ccccc1N/N=C1/C(=N)[N-]N(S(C)(=O)=O)C1=[NH2+]
ZINC39322184	NC(=O)NC(=O)c1nc2c(nc1[O-])C=CC1=NSNC12
ZINC39453384	O=C1CC(O)Nc2c1n([O-])c(=O)c1cc3c(O)cccc3nc21
ZINC39482396	O=S(=O)([O-])Nc1ccc(-c2ccccc2O)cc1N1CC[NH2+]C([O-])C1
ZINC39560097	CC1C(O)C(O)C2=C(C(=O)[O-])C(O)CCC2C12CC(c1ccoc1)OC2=O
ZINC39560099	CC1C(O)C(O)C2=C(C(=O)[O-])C(O)CCC2C12CC(c1ccoc1)OC2=O
ZINC40385115	Cc1[nH]ncc1S(=O)(=O)[N-]c1ccc(S(N)(=O)=O)cc1F
ZINC40385145	NS(=O)(=O)c1ccc(F)c([N-]S(=O)(=O)c2cn[nH]c2)c1
ZINC40385182	Cc1[nH]ncc1S(=O)(=O)[N-]c1cc(F)ccc1S(N)(=O)=O
ZINC43221770	CCC(C)C1(C(=O)[O-])[NH2+]C(c2ccc3c(c2)OCCO3)C2C([O-])=NC(=O)C21
