ZINC01615674	CC(O)C(NC(=O)c1cnc2ccccc2n1)C(=O)[O-]
ZINC37418971	CNC(=O)c1cc(S(=O)(=O)NC(C)C(=O)[O-])cn1C
ZINC37432160	CC(O)C(NC(=O)c1cn(C)c2ccccc12)C(=O)[O-]
ZINC37433678	O=C([O-])Cc1csc(NC(=O)CN2C(=O)CNC2=O)n1
ZINC37732094	O=C([O-])c1c[nH]nc1S(=O)(=O)N1CCCC(CO)C1
ZINC38082999	O=C([O-])c1c[nH]nc1S(=O)(=O)NCC1CCS(=O)(=O)C1
ZINC39162246	O=c1[nH]cc(S(=O)(=O)[N-]C2=NC3=CCC=CC3=N2)c(=O)[nH]1
ZINC39777119	[NH-]C1=NC(=O)C2=NC(N3CCOCC3)N(COCCO)C2=N1
ZINC40577096	Cn1cc(NC(=O)NC2(C(=O)[O-])CCCCCC2)cn1
ZINC40819054	Cc1cc(C)n2c(CNC(=O)c3cc([O-])[nH]c(=O)c3)nnc2n1
ZINC41034631	Cc1n[nH]c(C)c1C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC43570362	CC(O)C(NC(=O)c1ccc([N+](=O)[O-])cc1F)C(=O)[O-]
ZINC44747643	Cc1cc([N+](=O)[O-])ccc1C(=O)NC(C(=O)[O-])C(C)O
ZINC44882251	CC1(NC(=O)NC2(C(=O)[O-])CCCC2)CCS(=O)(=O)C1
ZINC44934073	CC1(NC(=O)NC(=O)CCC(=O)[O-])CCS(=O)(=O)C1
ZINC44976875	CC(O)c1ccc(S(=O)(=O)NCc2nnn[n-]2)cc1
ZINC44977337	O=S(=O)(NCc1nnn[n-]1)c1cccc(C#CCO)c1
ZINC44977358	O=S(=O)(NCc1nnn[n-]1)c1ccc(C#CCCO)cc1
ZINC48818891	Cc1cc(C(=O)Nc2nnc([N-]S(C)(=O)=O)s2)[nH]n1
ZINC49047949	CC(C(=O)[O-])S(=O)(=O)N1C(=O)c2cccc(N)c2C1=O
ZINC49080555	CC1CCCC(NC(=O)NCCn2cccn2)(C(=O)[O-])C1
ZINC49539586	Cc1ncc(CNC(=O)NC2(C(=O)[O-])CCCC2)s1
ZINC50016130	O=C(NC(CO)C(=O)[O-])c1cc(F)c(F)cc1[N+](=O)[O-]
ZINC50398374	O=C(NC1CCC(C(=O)[O-])CC1)NC1CCCNC1=O
ZINC50603908	CC(C)(NC(=O)NCC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC52012270	CC1CCCC(NC(=O)NC2CCCCC2O)(C(=O)[O-])C1
ZINC50222802	O=C(CNC(=O)c1ccc(F)cc1)/N=C1/N=C([O-])CN1
ZINC16038902	O=C([O-])C(CO)Nc1ncnc2sc3c(c12)CCC3
ZINC60604325	CN(C)C(=O)CNC(=O)c1ccc2c([O-])[nH]c(=S)nc2c1
ZINC60863173	CN1C(=O)C(=CNc2cccc3c(=O)[nH]nc([O-])c23)C(=O)N(C)C1=O
ZINC59171414	O=C1Oc2ccccc2C(=O)/C1=C\NC(CO)C(=O)[O-]
ZINC13123861	CC(=O)Nc1ccc(NC(=O)C2CC(=O)Nc3ncnn32)cc1
ZINC61984172	CC(O)C(NC(=O)N(C)c1ccc(C#N)cc1)C(=O)[O-]
ZINC61984175	CC(O)C(NC(=O)N(C)c1ccc(C#N)cc1)C(=O)[O-]
ZINC61984266	CC(O)C(NC(=O)N(C)c1cccc(C#N)c1)C(=O)[O-]
ZINC62868469	CC1(C(=O)[O-])CCCN(C(=O)c2c[nH]c(=O)[nH]c2=O)C1
ZINC62924702	CC1(C(=O)[O-])CCN(S(=O)(=O)c2c[nH]c(=O)[nH]c2=O)C1
ZINC12428266	N#Cc1c(SCC(N)=O)sc2c([O-])cc(=O)[nH]c12
ZINC06094355	Nc1c(S(=O)(=O)[O-])cc2c3c(cccc13)C(=O)NC2=O
ZINC03191756	NS(=O)(=O)c1cc(O)c2c(S(=O)(=O)[O-])cccc2c1
ZINC02474446	NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(C(=O)[O-])N2
ZINC13460188	O=C1CC(=O)Nc2cc(S(=O)(=O)N3CCC(C(=O)[O-])CC3)ccc2N1
ZINC19423891	Cc1cc(C(=O)NC(C(=O)[O-])C(C)O)c2ccccc2n1
ZINC19470415	CC(C)C(NC(=O)c1cc(=O)[nH]c2ccccc12)C(=O)[O-]
ZINC02099551	O=C(NCCCO)c1c([O-])n2c3c(cccc3c1=O)CC2
ZINC35098665	O=C([O-])CNC(=O)CNC(=O)c1cnc2ccccc2n1
ZINC13528783	[NH-]S(=O)(=O)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1
ZINC36746163	Cc1nc(=O)n(CCS(N)(=O)=O)c(C)c1CC(=O)[O-]
ZINC36978715	Cc1cc(C)c(C(=O)NC2(C(=O)[O-])CCCCC2)c(=O)[nH]1
ZINC37373396	CC(O)C(NC(=O)c1cc([N+](=O)[O-])ccc1F)C(=O)[O-]
ZINC37374787	O=C([O-])C(CO)NS(=O)(=O)c1cccc2nsnc12
ZINC37431715	Cc1cc2ncc(C(=O)NC(C(=O)[O-])C(C)O)c(C)n2n1
ZINC37451603	CSc1nc(C)nc(C)c1C(=O)NC(CO)C(=O)[O-]
ZINC37456956	CC(NC(=O)c1cc([N+](=O)[O-])c[nH]c1=O)(C(=O)[O-])C1CC1
ZINC37732095	O=C([O-])c1c[nH]nc1S(=O)(=O)N1CCCC(CO)C1
ZINC37789828	Cn1cc([N-]S(=O)(=O)c2[nH+][nH]cc2C(=O)[O-])ccc1=O
ZINC08685895	Cc1nnc(SCC(=O)NNC(=O)CC#N)nc1[O-]
ZINC38030159	Cc1n[nH]c(C)c1CC(=O)Nc1cnn(CC(=O)[O-])c1
ZINC39351897	[NH-]C1=NC(SCC(=O)Nc2ncccn2)=NC2N=CN=C12
ZINC39480955	Cc1ccc(NS(=O)(=O)[O-])c(N2CCNC(Cl)C2)c1
ZINC40385250	Cn1cc(S(N)(=O)=O)c([N-]S(=O)(=O)N2CCCC2)n1
ZINC40658939	O=C(NNc1ncnc([O-])c1[N+](=O)[O-])c1ccncc1
ZINC40659086	O=C(NNc1ncnc([O-])c1[N+](=O)[O-])c1ccccn1
ZINC41031353	Cc1ccc([N+](=O)[O-])cc1C(=O)NC(C(=O)[O-])C(C)O
ZINC41035882	CC1CCCC(NC(=O)Nc2cccnc2)(C(=O)[O-])C1
ZINC41036202	CNC(=O)CN(C)C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC42305166	O=C([O-])CN(C(=O)NCC(=O)N1CCNCC1)C1CC1
ZINC42345678	Cn1cc(S(=O)(=O)/N=C(\[O-])c2ccco2)cc1C(N)=O
ZINC33893526	Cc1cccc(C2C3C(=O)N=C([O-])C3ON2CC(N)=O)c1
ZINC43508652	O=C1NC(C(=O)NC2(C(=O)[O-])CCSC2)CS1
ZINC43511158	O=C(Nc1ccc([N+](=O)[O-])cc1)NC1(C(=O)[O-])CCSC1
ZINC43511216	O=C(Nc1cccc([N+](=O)[O-])c1)NC1(C(=O)[O-])CCSC1
ZINC44886133	CCC1(C)NC(=O)N(CC(=O)NC(C)c2nnn[n-]2)C1=O
ZINC44927455	CCC1(C)NC(=O)N(CC(=O)NCc2nnn[n-]2)C1=O
ZINC44928118	Cc1nc(-c2c[nH]c(C(=O)NCc3nnn[n-]3)c2)cs1
ZINC44928305	O=C(CNC(=O)c1cccc(F)c1)NCc1nnn[n-]1
ZINC44928368	Cc1nc(C)c(CCC(=O)NCc2nnn[n-]2)c(=O)[nH]1
ZINC44977361	O=S(=O)(NCc1nnn[n-]1)c1cccc(C#CCCO)c1
ZINC49052254	CC(C(=O)[O-])S(=O)(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC49502994	CC(NC(=O)NC(C(=O)[O-])C(C)O)c1ccc(F)cc1
ZINC50397483	O=C([O-])Cn1cc(S(=O)(=O)NC2CCCNC2=O)cn1
ZINC51584461	CCc1nnc(/N=C(\[O-])N2CCOC(C(N)=O)C2)s1
ZINC18173719	Cc1cc(C(=O)N/N=C/c2ccc(S(=O)(=O)[O-])o2)[nH]n1
ZINC44930427	Cc1[nH]c(=O)sc1S(=O)(=O)NC(C)c1nnn[n-]1
ZINC00207607	Cc1cc(C)nc([N-]S(=O)(=O)c2c(C)[nH]c(=O)[nH]c2=O)n1
ZINC61836614	CC(CC(=O)[O-])CC(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC61875512	Cc1ccc2cccc(NC(=O)NC(C)(C)C(=O)[O-])c2n1
ZINC39959284	CC(O)CNC(=O)C1[N-]C(C2=CC=CC3N=CC=C23)=NO1
ZINC03871108	Nc1ccn(C2OC(CCl)C(O)C2O)c(=O)n1
ZINC04010936	Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1
ZINC04083751	Cc1ccccc1OC1OC(CO)C(O)C(O)C1O
ZINC05004949	O=c1[nH]c2ccccc2n1C1OC(CO)C(O)C1O
ZINC09970407	COC1(C)OC(C)(CO)C(C)(O)C(C)(O)C1(C)O
ZINC09970409	COC1(C)OC(C)(CO)C(C)(O)C(C)(O)C1(C)O
ZINC11736975	Nc1cc(S(=O)(=O)NC2CC2)cc2oc(=O)[nH]c12
ZINC15156370	CNC(=O)NC(=O)C(C)Sc1nnc(N)s1
ZINC15156373	CNC(=O)NC(=O)C(C)Sc1nnc(N)s1
ZINC16662521	Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1
ZINC17214048	COc1cc(CO)c(C2OC(CO)C(O)C2O)c(OC)c1
ZINC20354545	CNc1c(N)n(-c2ccc(OC)cc2)c(=O)[nH]c1=O
ZINC22054400	CC1OC(n2cc(Cl)c(N)nc2=O)C(O)C1O
ZINC22054403	CC1OC(n2cc(Cl)c(N)nc2=O)C(O)C1O
ZINC35651344	NC(=O)C1CCN(C(=O)c2cc(N)ccc2F)CC1
ZINC35652999	OCC1OC(Sc2ccccc2)C(O)C(O)C1O
ZINC36745864	Nc1cccc2c1C(=O)N(CCS(N)(=O)=O)C2=O
ZINC36746192	Cc1c(C)n(CCS(N)(=O)=O)c2ncnc(N)c12
ZINC37052777	NC(=O)C1CCCN1S(=O)(=O)c1cc(N)ccc1F
ZINC37569452	NS(=O)(=O)CCNC(=O)c1cc(C#CCCO)ccc1F
ZINC37745276	[NH3+]CC#Cc1ccc([N-]S(=O)(=O)c2cn[nH]c2)c(F)c1
ZINC37749630	Cn1c(N)c(NCc2ccc(C#N)cc2)c(=O)[nH]c1=O
ZINC39915805	Cn1c(SC2OC(CO)C(O)C(O)C2O)nc2ccccc21
ZINC40322622	N#Cc1ccsc1[N-]S(=O)(=O)c1c[nH+][nH]c1N
ZINC40332039	CC(c1ccncc1)N(C)C(=O)c1ccc(N)cc1N
ZINC40418809	CCn1c(N)c(N2CCCC(CO)C2)c(=O)[nH]c1=O
ZINC40479560	[NH3+]C1(C(=O)NC2(C(=O)[O-])CCCCC2)CCCCC1
ZINC40506050	Nc1cc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
ZINC40887507	CNC(=O)NC(=O)C(C)Oc1ccc(N)cc1C#N
ZINC41083932	NC(=O)c1cc(N2CCS(=O)(=O)CC2)ccc1N
ZINC41158491	Cn1cc(CNC(=O)c2c[nH]c3cc(N)ccc23)cn1
ZINC42193021	CC(C(N)=O)S(=O)(=O)c1nc2cc(N)ccc2o1
ZINC42471489	NNc1ccc(S(=O)(=O)N2CCCC(O)C2)cn1
ZINC44783336	N/C(=N/O)C1(C(=O)NCc2ccco2)CCOCC1
ZINC44784186	CC(C)(C(=O)NC1CCS(=O)(=O)C1)/C(N)=N/O
ZINC45011896	Cc1nccc(CNS(=O)(=O)c2ccc(NN)cc2)n1
ZINC48380205	CC1CC(Sc2nc(N)cc(N)c2C#N)C(=O)O1
ZINC48380209	CC1CC(Sc2nc(N)cc(N)c2C#N)C(=O)O1
ZINC49144816	O=C(NNC(=O)c1c[nH]c(=O)c(Cl)c1)NC1CC1
ZINC49692558	Nc1cc(N2CCS(=O)CC2)cc(S(N)(=O)=O)c1
ZINC02568984	CC1CC(C(F)(F)F)n2ncc(C(=O)NN)c2N1
ZINC57218400	CC1(c2ccc(S(N)(=O)=O)cc2)NC(=O)NC1=O
ZINC57218504	CC1(c2cccc(S(N)(=O)=O)c2)NC(=O)NC1=O
ZINC36227335	NC1C(=O)Nc2cc(N3CCCC(CO)C3)ccc21
ZINC57658364	CC(C)(NS(=O)(=O)c1ccc2c(c1)CC(=O)N2)C(N)=S
ZINC36194478	NC1C(=O)Nc2cc(N3CCC(CO)CC3)ccc21
ZINC51036690	NC1C(=O)Nc2cc(Sc3ncnc4nc[nH]c34)ccc21
ZINC62775382	Nc1ccc(-n2nccc2NC(=O)c2cn[nH]c2)cc1
ZINC62779777	NS(=O)(=O)c1ccccc1NC(=O)c1cc[nH]n1
ZINC63188114	O=C(Nc1ccc2c(c1)CCN2)c1c[nH]c(=O)[nH]c1=O
ZINC04513757	Nc1ncnc2c1ncn2C1OC(C(=O)[O-])C(O)C1O
ZINC04513760	Nc1ncnc2c1ncn2C1OC(C(=O)[O-])C(O)C1O
ZINC05085593	Nc1ncnc2c1ncn2C1CC2COP(=O)([O-])OC2C1O
ZINC05274055	O=c1ccn(C2OC3COP(=O)([O-])OC3C2O)c(=O)[nH]1
ZINC03156870	CC1(NC(=O)Nc2n[nH]c(C(=O)[O-])n2)CCS(=O)(=O)C1
ZINC02321181	O=C1NC(=O)C(=Cc2ccc(S(=O)(=O)[O-])o2)C(=O)N1
ZINC12405090	Nc1ncnc2c1ncn2C1OC(CO)C2OP(=O)([O-])OC21
ZINC12652117	O=C([O-])/C=C/c1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O
ZINC12652120	O=C([O-])/C=C/c1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O
ZINC04824678	Nc1ncnc2c1ccn2C1OC2COP(=O)([O-])OC2C1O
ZINC16385652	O=[N+]([O-])c1ccc([O-])c(/C=N\C2C(O)OC(CO)C(O)C2O)c1
ZINC16545996	O=c1ccn(C2OC(CO)C3OP(=O)([O-])OC32)c(=O)[nH]1
ZINC12350008	O=c1nc([O-])c2ncn(C3OC(CO)C(O)C3O)c2[nH]1
ZINC17174204	O=C([O-])CNC(=O)CNC(=O)c1ncnc2nc[nH]c12
ZINC34781865	O=C1N=C2Oc3cc(O)ccc3C(c3c([O-])[nH]c(=O)[nH]c3=O)C2C(=O)N1
ZINC36972279	Cc1nc(=O)[nH]c(C)c1CC(=O)NC(C(=O)[O-])C(C)O
ZINC37367494	Cc1n[nH]c(C)c1S(=O)(=O)NC(C)(C(=O)[O-])C1CC1
ZINC37417791	Cc1[nH]c(=O)sc1S(=O)(=O)NC(C(=O)[O-])C(C)O
ZINC37431598	Cc1cc(C)n2nc(C(=O)NC(C(=O)[O-])C(C)O)nc2n1
ZINC37431707	Cc1nn(C)c2ncc(C(=O)NC(C(=O)[O-])C(C)O)cc12
ZINC37431897	CC(O)C(NC(=O)c1cnc2sccn2c1=O)C(=O)[O-]
ZINC37432334	Cc1nn(C)c(Cl)c1/C=C/C(=O)NC(C(=O)[O-])C(C)O
ZINC37432335	Cc1nn(C)c(Cl)c1/C=C/C(=O)NC(C(=O)[O-])C(C)O
ZINC37432438	CC(O)C(NC(=O)C(C)n1cnc2ccccc21)C(=O)[O-]
ZINC37834373	O=C1NC(=O)C2(CCN(C(=O)C3CC3C(=O)[O-])CC2)N1
ZINC01651870	Nc1ccc(S(=O)(=O)NCCS(=O)(=O)[O-])cc1
ZINC08694877	CNC(=O)c1nc[nH]c1N/N=C1/C(=O)NC(=O)N=C1[O-]
ZINC39777831	CC1OC(Nc2ccc(S(=O)(=O)[O-])c([N+](=O)[O-])c2)C(O)C(O)C1O
ZINC39795778	CSC1N=C2C(=O)N=C([NH-])N=C2N1C1OC(CO)C(O)C1O
ZINC40520586	C#CCNC(=O)NC(Cc1ccc(O)c(O)c1)C(=O)[O-]
ZINC40532968	CC(NC(=O)NC1CCS(=O)(=O)C1)(C(=O)[O-])C1CC1
ZINC40584157	Cc1ccc[nH+]c1NCC(P(=O)([O-])O)S(=O)(=O)[O-]
ZINC40909654	Cn1cc(S(N)(=O)=O)cc1C(=O)NC(C)(C)C(=O)[O-]
ZINC40910037	Cc1oc2nc[nH]c(=O)c2c1C(=O)NC(C)(C)C(=O)[O-]
ZINC44882245	CC1(NC(=O)NC(C)(C)C(=O)[O-])CCS(=O)(=O)C1
ZINC44963491	CN1C(=O)C(OC2OC(C(=O)[O-])C(O)C(O)C2O)CC1c1cccnc1
ZINC49080559	CC1CCCC(NC(=O)NCCn2cccn2)(C(=O)[O-])C1
ZINC50253075	Cc1nc(S(=O)(=O)NC(C(=O)[O-])C(C)O)cn1C
ZINC50603925	CC(NC(=O)NCC1CCS(=O)(=O)C1)(C(=O)[O-])C1CC1
ZINC50672791	Nc1cc([N+](=O)[O-])ccc1S(=O)(=O)NCc1nnn[n-]1
ZINC50672806	CNc1nc2sccn2c1S(=O)(=O)NCc1nnn[n-]1
ZINC55211062	N=c1c2ncn(C3OC(CO)C(O)C3O)c2ncn1[O-]
ZINC36025327	N=c1c2ncn(C3OC(CO)C(O)C3O)c2ncn1[O-]
ZINC61126000	O=C([O-])C[NH+]1CCCN(C(=O)c2cc(=O)[nH]c([O-])n2)CC1
ZINC61843551	Cn1c2nc(-n3cnc(C(N)=S)n3)nc-2c([O-])n(C)c1=O
ZINC61893975	Cc1onc2c(=O)n(CC(=O)NC(N)=O)nc(C(=O)[O-])c12
ZINC62316464	CNC(=O)Cn1nnc(S(=O)(=O)CC(=O)[O-])c1N
ZINC63215732	O=C(Cc1cc(=O)[nH]c(=O)[nH]1)Nc1nccnc1C(=O)[O-]
ZINC36366864	NC(=O)CSc1sc2c([O-])cc(=O)[nH]c2c1C(N)=O
ZINC64033173	COC1C(O)C(CO)OC1N1CN=C2C(=O)N=C([NH-])N=C21
ZINC03213168	O=C([O-])CN1C(=O)/C(=C/c2ccc(O)c(O)c2)SC1=S
ZINC01701069	N#C/C(=C\c1c(S(=O)(=O)[O-])sc2ccccc12)C(N)=O
ZINC11757487	COc1cc(C2C=C(C(=O)[O-])NC(=O)N2)cc(OC)c1OC
ZINC05532622	O=C([O-])C(Cc1c[nH]cn1)/N=C/c1c(O)ccc2ccccc12
ZINC16482122	O=C(CC1(C(=O)[O-])CCCCC1)NNC(=O)c1ccccn1
ZINC16905035	NN1C(=O)/C(=C/c2ccccc2OCC(=O)[O-])SC1=S
ZINC16996483	O=C(N/N=C/c1cccnc1)c1c([O-])[nH]c2ccccc2c1=O
ZINC32260899	Cn1c([O-])c2ccc(C(=O)NNC(=O)C3CCCO3)cc2nc1=S
ZINC05375895	O=c1[nH]cc(S(=O)(=O)NCc2ccccc2Cl)c(=O)[nH]1
ZINC33327120	CSc1cccc(NS(=O)(=O)c2cnc([O-])[nH]c2=O)c1
ZINC09044928	C=CCN1C(=O)/C(=C/c2ccc(O)c(O)c2)C([O-])=NC1=S
ZINC35390812	Cc1[nH]c(=O)sc1S(=O)(=O)NC(C(=O)[O-])C(C)(C)C
ZINC36964225	Nc1ccc(S(=O)(=O)[N-]Cc2ccncc2)cc1[N+](=O)[O-]
ZINC36983561	Cc1[nH]c(=O)sc1S(=O)(=O)NC1(C(=O)[O-])CCCC1
ZINC37456668	Cc1ccc(C(=O)NCC(=O)NC(C)(C(=O)[O-])C2CC2)s1
ZINC37456669	Cc1ccc(C(=O)NCC(=O)NC(C)(C(=O)[O-])C2CC2)s1
ZINC37552563	Cc1n[nH]c(C)c1S(=O)(=O)[N-]c1cccc(C#CCO)n1
ZINC37590805	Cc1nnsc1C(=O)NC1(c2nc(C(=O)[O-])c[nH]2)CCC1
ZINC37791356	O=c1[nH]ccn1-c1ccc([N-]S(=O)(=O)c2cn[nH]c2)cc1
ZINC13233295	COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1
ZINC15913583	Cn1c([O-])c(C(=O)NNC(=O)c2ccccc2F)c(=O)c2ccccc21
ZINC39480990	Cc1ccc(NS(=O)(=O)[O-])c(N2CCNC(I)C2)c1
ZINC40267130	O=C([O-])CNC(=O)N1CCc2nc[nH]c2C1c1cccc(F)c1F
ZINC40348972	Cn1cc([N-]S(=O)(=O)c2ccc(N)cc2C#N)ccc1=O
ZINC40349200	Cn1cc(S(=O)(=O)[N-]c2ccc3nccnc3c2)c(N)n1
ZINC40385152	NS(=O)(=O)c1ccc(F)c([N-]S(=O)(=O)C(F)F)c1
ZINC40385439	NS(=O)(=O)c1cc(F)cc([N-]S(=O)(=O)C(F)F)c1
ZINC40533002	O=C(NC1CCC(C(=O)[O-])CC1)NC1CCS(=O)(=O)C1
ZINC41036352	CC1CCCC(NC(=O)Nc2ncc(Br)s2)(C(=O)[O-])C1
ZINC33887920	N#Cc1ccc(C2[NH2+]C(CC3CCCCC3)(C(=O)[O-])C3C([O-])=NC(=O)C23)cc1
ZINC44883033	CC(NS(=O)(=O)c1cccc(C#CCO)c1)c1nnn[n-]1
ZINC44934685	CC(NS(=O)(=O)c1ccc2c(c1)CCCN2)c1nnn[n-]1
ZINC47477715	CC(NC(=O)c1cnc2nc([O-])[nH]c(=O)c2c1)c1ccccn1
ZINC48961679	CNC(=O)c1cc(Cl)ccc1[N-]S(=O)(=O)c1cn[nH]c1
ZINC05304219	O=C1NC([O-])=C2C(=NC(=O)C2(O)C(F)(F)F)N1Cc1ccco1
ZINC50350881	Nc1ccc([N-]S(=O)(=O)C2CCS(=O)(=O)CC2)cc1
ZINC50649765	Nc1cc([N+](=O)[O-])cc(F)c1S(=O)(=O)[N-]c1ccncc1
ZINC51350116	CNC(=O)/C(C#N)=C(\[O-])CN1C(=O)NC2(CC(C)CC(C)(C)C2)C1=O
ZINC51606070	Cc1noc(C)c1S(=O)(=O)[N-]c1ccc(CC(N)=S)cc1
