ZINC13547300	N#Cc1sc(=S)n(-c2ccc(F)cc2)c1N
ZINC23071923	CC1CN(C2CCCCCC2N)CC(C)O1
ZINC19258684	CC1CN(C2CCCCCCC2N)CCO1
ZINC53167947	Cc1ncn(-c2c(N)ccc(F)c2F)c1C
ZINC54189768	CCC1CCCN1C(=O)c1cccc(F)c1N
ZINC54189771	CCC1CCCN1C(=O)c1cccc(F)c1N
ZINC57352823	CCCC1Sc2ccc(N)cc2N(C)C1=O
ZINC36232401	CC1(C)CN(C2CCCCCC2N)CCO1
ZINC36232402	CC1(C)CN(C2CCCCCC2N)CCO1
ZINC58004474	CCc1nc(-c2sc(N)nc2C)cs1
ZINC58103321	CC(O)c1cc(F)cc2c1NC(=O)C2(C)C
ZINC61589764	Nc1c(Br)cnn1C1CCCSC1
ZINC62053858	N#Cc1ccc(SC2CCOCC2)c(N)c1
ZINC58107337	CC1C(=O)Nc2c(F)cc(C(O)C(C)C)cc21
ZINC39706427	NC1N=NC=C1c1ccc(Br)cc1
ZINC63072331	CC1(C)CCCN1c1cc(C(N)=S)ccn1
ZINC63074961	CC1(C)CCCN1C(=O)c1cc(F)c(N)c(F)c1
ZINC00297785	NC1=NN2C(=CSC2c2ccccc2)S1
ZINC01263596	CC1(C)Cc2c(sc3ncnc(N)c23)CS1
ZINC01039596	NS(=O)(=O)c1cc(Cl)c(Br)s1
ZINC01039597	NS(=O)(=O)c1sc(Cl)cc1Br
ZINC06183908	CC1(Nc2ccc(Cl)cc2)NC(=O)CS1
ZINC04240530	Nc1ccc(Cn2cnc(Cl)c2Cl)cc1
ZINC11727856	CC(O)c1cc2cc(C(C)(C)C)ccc2[nH]c1=O
ZINC11727857	CC(O)c1cc2cc(C(C)(C)C)ccc2[nH]c1=O
ZINC00091231	Cc1cc(S(N)(=O)=O)c(Cl)cc1Cl
ZINC00160572	Cc1cc(Cl)cc(Cl)c1S(N)(=O)=O
ZINC04973361	Cc1cc(-c2csc(N)n2)c(C)n1C(C)C
ZINC19402167	Nc1ccccc1CN1C(=O)Cc2ccccc21
ZINC19411884	Nc1ccc(=O)n(Cc2ccc(Cl)s2)c1
ZINC20100258	CC1CCc2sc3[nH]c(=S)[nH]c(=O)c3c2C1
ZINC20358035	Nc1ncc(Br)cc1-n1cccc1
ZINC31862642	Cc1nc2scc(-c3ccc(N)cc3)n2c1C
ZINC32105928	CC12CC3(C)CC(C)(C1)CC(C(=O)NO)(C2)C3
ZINC35342371	Cc1nc2cc(N(C)C(C)C)c(N)cc2s1
ZINC36222374	Cc1ccc(C(=O)Nc2ccc(=S)[nH]c2)cc1
ZINC37083762	Cc1cccc(C(=O)N(C)C2CCCC2)c1N
ZINC37083765	Cc1c(N)cccc1C(=O)N(C)C1CCCC1
ZINC37548864	CC1CC1C(=O)Nc1ccc(C#CCO)cc1F
ZINC37548865	CC1CC1C(=O)Nc1ccc(C#CCO)cc1F
ZINC38032488	CC(c1ccco1)N1CCc2c(N)cccc2C1
ZINC38032489	CC(c1ccco1)N1CCc2c(N)cccc2C1
ZINC38053533	NC(=S)c1ccccc1-n1cc(Cl)cn1
ZINC40304984	CCC1CCCN(C(=O)c2sccc2N)C1
ZINC40305950	CCC1CCCN1C(=O)c1cc(N)c(C)s1
ZINC40305951	CCC1CCCN1C(=O)c1cc(N)c(C)s1
ZINC40456256	Nc1cnc(Sc2cc(F)ccc2F)nc1
ZINC41637043	C#Cc1cccc(NC(=O)c2cc(Cl)c[nH]2)c1
ZINC42405929	Cn1cc(Sc2c(N)cccc2Cl)cn1
ZINC43408204	NC(=S)c1cc2c(nc1N1CCCC1)CCC2
ZINC43519218	CC(C#N)Sc1nc2ccc(N)cc2s1
ZINC43519221	CC(C#N)Sc1nc2ccc(N)cc2s1
ZINC43984802	C[NH2+]C1CCCCC1N1CCOC2CCCC21
ZINC49007560	CC1CCCC(N(C)C(=O)c2ccccc2N)C1
ZINC37967171	CCNC(=O)C1=C2CCCCCC2SC1=N
ZINC50472036	Nc1cnccc1Sc1ccc(Cl)cn1
ZINC50472039	Cc1cc(C#N)ccc1Sc1ccncc1N
ZINC37442329	N=C1C=CC(c2nc3c(F)cccc3[nH]2)S1
ZINC51728490	CC1CCN(C(=O)Cc2ccccc2N)C(C)C1
ZINC51729023	Cc1sc(C(=O)N2CCC(C)CC2C)cc1N
ZINC54404769	Nc1ccn(-c2ccccc2Br)n1
ZINC36232422	CC1(C)CN(C2CCCCCCC2N)CCO1
ZINC58004467	Cc1nc(N)sc1-c1csc(C(C)C)n1
ZINC42450592	CCC1COC(C)CN1C1CCCCCC1N
ZINC62951884	Nc1cc(F)c(F)cc1C(=O)N1CCC2(CCCC2)CC1
ZINC62988452	N/C(=N\c1cccc2cccnc12)c1ccccc1
ZINC66055379	O=C1NCNc2cc(Br)c(Cl)cc21
ZINC00683053	O=C(Nc1cccc2cccnc12)c1cccc(I)c1
ZINC00514172	O=C(Nc1ccccc1Br)c1ccc(Br)o1
ZINC01614766	O=C1C(Br)CCC1C(O)(C(F)(F)F)C(F)(F)F
ZINC05749893	Fc1cccc(NC2=NCC(CI)S2)c1
ZINC03326616	Cc1csc(NC(=O)c2cc(Br)c(Br)s2)n1
ZINC06649172	O=C(NC1CCSc2ccccc21)c1nc(Cl)ccc1Cl
ZINC07988755	O=C(Nc1ccc(Br)cc1F)c1cccc2cccnc12
ZINC12620287	O=C(NC1CCSc2ccc(Cl)cc21)c1ccc(Br)o1
ZINC12886003	O=C(NC1CCc2ccccc21)c1csc(-c2ccsc2)n1
ZINC15305054	Cc1ccc(C(=O)Nc2cccc(I)c2)o1
ZINC16299430	O=C(CSc1ccc(F)c(F)c1)NC1CCSc2ccc(Cl)cc21
ZINC18134086	O=C(NC1CCSc2ccccc21)c1ccc(Br)s1
ZINC20551019	Cc1cc(Br)cc(C)c1NC(=O)c1cnc(Cl)c(Cl)c1
ZINC21838637	Cc1ccc(SC(C)C(=O)NC2CCCc3ccccc32)cc1
ZINC24343693	O=C(CSc1ccc2c(c1)CCC2)NC1CCSc2ccc(F)cc21
ZINC30728992	O=C(NCC1CC1)c1ccc(I)c(Br)c1
ZINC34937983	O=C(Nc1ccc(Br)cn1)c1cc(F)ccc1Br
ZINC35150468	O=C(c1cc(Br)c(Br)s1)N1CCCC(CO)C1
ZINC37437245	O=C(Nc1ncc(Br)s1)c1cc(F)cc(Br)c1
ZINC38001619	CC(NC1CCS(=O)(=O)C1)c1ccc(Br)s1
ZINC38001621	CC(NC1CCS(=O)(=O)C1)c1ccc(Br)s1
ZINC39506697	OC1CN(Br)C2(CCC(I)C2)C1
ZINC39507263	OC1CN(I)C2(CCC(Br)C2)C1
ZINC40236610	CNC(c1cncc(Br)c1)c1ccc(Br)s1
ZINC40247254	OC(c1ccc2c(c1)OCCO2)c1ccccc1I
ZINC40276575	O=C1Cc2cc(C(Cl)c3cncc(Br)c3)c(Cl)cc2N1
ZINC40283924	O=C1Cc2cc(C(Br)C3Cc4ccccc4O3)ccc2N1
ZINC40544535	Cc1[nH]cc(I)c(=O)c1I
ZINC41069490	O=C(NCc1cc(Br)ccc1F)c1ccnc(F)c1
ZINC42240235	O=C(NCCc1ccsc1)c1ccccc1I
ZINC45936748	Cc1ccc2c(c1)SC(C(=O)Nc1cccc(C#Cc3ccccn3)c1)C2
ZINC48665310	Cc1ccc(C(=O)NCc2cc(F)cc(Br)c2)cn1
ZINC49280693	C=C(Br)CNC(=O)C1(c2ccccc2F)CCCC1
ZINC49376936	O=C(NCc1cc(F)ccc1Br)c1sccc1C1CC1
ZINC49510668	Cc1cc(C(C)n2c(=S)[nH]c3sccc3c2=O)c(C)s1
ZINC49569220	CC(c1cccc(Br)c1)n1c(C2CC2)n[nH]c1=S
ZINC50285597	CCc1nc(CNc2c(C)cc(Br)cc2C)cs1
ZINC54790202	Cc1nccc(CNc2cccc(I)c2)n1
ZINC55203626	OC(Cc1c(Cl)cccc1Cl)c1ccc2c(c1)OCCO2
ZINC55203628	OC(Cc1c(Cl)cccc1Cl)c1ccc2c(c1)OCCO2
ZINC33226104	O=C(Nc1ccncc1)c1ccc(Cl)c(I)c1
ZINC59364034	CC(Sc1ccccc1Cl)C(=O)NC1CCSc2c(F)cccc21
ZINC01084891	ICC1C[NH+]=C(Nc2nc3ccccc3s2)S1
ZINC50044647	CC1CCCC(NC(=O)c2cc(Br)cnc2Cl)C1
ZINC61120201	O=C(Nc1cc(F)c(F)c(F)c1)c1cncc(Br)c1
ZINC61367699	O=C(NC1CCCc2sccc21)c1cc(F)ccc1Br
ZINC61489552	CCC(Br)C(=O)NC1CCSc2ccc(Cl)cc21
ZINC62361011	O=C1CCc2cc(C(Br)c3cscn3)ccc2N1
ZINC66358939	O=C(NC1CCSCC1)C1(c2cccc(C(F)(F)F)c2)CC1
ZINC41819855	O=S(=O)(NCC#Cc1ccccc1)C1=Cc2ccccc2CC1
ZINC00655248	CC(NC(=O)c1cc(Br)c(Br)s1)c1ccncc1
ZINC02752882	Cc1ccc(/C=N/NC(=O)C2(C)CC2(Br)Br)s1
ZINC01639620	C=CCN1C(=O)/C(=C/c2c[nH]c3ccc(Br)cc23)SC1=S
ZINC01213886	O=C(Nc1nc(-c2ccccc2)cs1)C1=C(Cl)C2C=CC=CC2S1
ZINC09753710	O=C(CSC1=NCCS1)Nc1c(F)cc(F)cc1Br
ZINC14429671	O=C(Nc1ccccc1I)c1ccc(Cl)nc1
ZINC20133580	O=C(CCCCl)Nc1nc2c(F)cc(Br)cc2s1
ZINC28060228	O=S(=O)(NCc1ccc(Br)s1)c1ccc(F)c(F)c1
ZINC28060361	Cc1cc(S(=O)(=O)NCc2ccc(Br)s2)c(C)s1
ZINC28060373	O=S(=O)(NCc1ccc(Br)s1)c1ccc2c(c1)CCC2
ZINC30444827	Cc1ccc(S(=O)(=O)NCc2csc(Br)c2)s1
ZINC30793221	O=C(NC(c1ccccc1)c1ccccn1)c1csc(Br)c1
ZINC32097196	O=C(c1cccc(Br)c1)N(Cc1ccc2[nH]ccc2c1)C1CC1
ZINC32436448	O=S(=O)(NCc1csc(Br)c1)c1cccc(Cl)c1F
ZINC32479629	CC(NC(=O)c1ccc(Cl)c(I)c1)c1ccncc1
ZINC32986552	O=C(Nc1ccccc1SC(F)F)c1cncc(Br)c1
ZINC33742214	CC(=O)OC1CC2C(Br)C1NC2(C(F)(F)F)C(F)(F)F
ZINC36793577	CC(C)N(CCO)C(=O)c1cc(Br)c(Br)s1
ZINC36955260	CS(=O)(=O)c1ccc(Cl)c(NCc2ccc(Br)s2)c1
ZINC37051910	Cn1ncc2c1CCCC2Nc1ccc(I)cc1
ZINC37051914	Cn1ncc2c1CCCC2Nc1ccccc1I
ZINC37139336	Cc1nc(C(C)Nc2cc(Br)ccc2N(C)C)c(C)s1
ZINC37576027	O=S(=O)(NCc1cccc(F)c1)c1ccc(F)cc1Br
ZINC37763340	CS(=O)(=O)c1cccc(NCc2cc(Br)ccc2F)c1
ZINC02320603	CCOP(=O)(c1c(F)c(F)c(F)c(F)c1F)C1(O)CCCCC1
ZINC40270864	O=C1CCc2cc(C(Cl)c3cncc(Br)c3)ccc2N1
ZINC40286428	O=C1COc2ccc(C(Br)c3c(F)cccc3F)cc2N1
ZINC41874809	C[NH+](C1CCSC1)C(C)(C(=O)[O-])c1cc(F)c(Cl)cc1Cl
ZINC44731464	Cc1cc(C(C)NC(=O)c2cccc(I)c2)c(C)o1
ZINC45292968	O=C(CC12CC3CC(CC(Br)(C3)C1)C2)NCc1ccccn1
ZINC48112651	CC(NC(=O)c1ccc(Cl)cc1I)C1CCCO1
ZINC48112656	CC(NC(=O)c1cc(Cl)ccc1I)C1CCCO1
ZINC48444509	Cc1nc(C)c(C(C)NC(=O)c2cccc(I)c2)s1
ZINC48671476	O=S(=O)(NCc1cc(Br)cs1)c1cc(F)cc(F)c1
ZINC48671501	O=S(=O)(NCc1cc(Br)cs1)c1cc(F)ccc1F
ZINC48671511	O=S(=O)(NCc1cc(Br)cs1)c1ccc(F)c(F)c1F
ZINC48817287	O=S(=O)(NCc1ccc(Br)cc1)c1ccc2c(c1)CCC2
ZINC48867199	Cc1cc(F)ccc1S(=O)(=O)NCc1ccccc1Br
ZINC49281282	C=C(Br)CNC(=O)/C=C/c1ccc2ccc(Cl)cc2n1
ZINC49466969	CC(C)(C)c1ncc(C(=O)NCc2csc(Br)c2)s1
ZINC49470749	O=S(=O)(NCc1csc(Br)c1)c1c(F)cc(F)cc1F
ZINC50045671	CC(Cc1ccsc1)NC(=O)c1cc(Br)cnc1Cl
ZINC42112014	CNC1C(=O)N(Cc2ccccc2Br)c2c(Cl)cccc21
ZINC43676646	CNC1C(=O)N(Cc2sccc2Br)c2c(F)ccc(Cl)c21
ZINC61863134	O=C(NCc1cc(Br)ccc1F)c1ccc(Br)cn1
ZINC61873379	CC(NC(=O)c1ccc(Br)cn1)c1ccccc1Br
ZINC63057615	CNc1ccc(C(=O)N(C)Cc2cc(Br)cs2)cc1C
ZINC64898068	O=C(NC1CCSc2c(F)cccc21)c1ccc(Cl)nc1Cl
ZINC67217068	CC(NCc1ccccc1I)C(=O)N1CCCCC1
ZINC67248721	Clc1cccc2c1OCCC2NCc1csc(-c2ccsc2)n1
ZINC08623011	CCC(CC)c1cc(C2C[NH+]3CCC2CC3CNC(=O)c2ccccc2)nc(-c2ccncc2)n1
ZINC08911561	Cc1ccc(NC(=O)C2CC[NH+](Cc3cnn(-c4ccccc4)c3-n3cccc3)CC2)c(C)c1
ZINC09251634	CC(CNC(=O)C1CC[NH+](Cc2cnn(-c3ccccc3)c2-n2cccc2)CC1)c1ccccc1
ZINC03375966	CC(Sc1nnc(C(C)[NH+](C)C)n1-c1ccc(Cl)cc1)C(=O)Nc1cccc(Cl)c1
ZINC03375967	CC(Sc1nnc(C(C)[NH+](C)C)n1-c1ccc(Cl)cc1)C(=O)Nc1cccc(Cl)c1
ZINC09101005	CCc1ccc(NC(=O)C(C)Sc2nnc(C(C)[NH+](C)C)n2-c2ccc(Cl)cc2)cc1
ZINC09101089	Cc1cc(Cl)ccc1NC(=O)CSc1nnc(C(C)[NH+](C)C)n1-c1ccc(Cl)cc1
ZINC09465904	CC(OC(=O)C1CCN(c2ccc(C(F)(F)F)c[nH+]2)CC1)C(=O)Nc1ccc(F)cc1Cl
ZINC09506914	COc1cc(C[NH+](C)C(C)c2nc3scc(-c4ccccc4)c3c(=O)[nH]2)ccc1OC(F)F
ZINC09548022	C[NH+](Cc1ccccc1N1CCCCC1)CN1C(=O)NC(C)(c2ccc3ccccc3c2)C1=O
ZINC12278432	COc1ccc(C[NH+](C)Cc2nc(NCc3cccs3)c3ccccc3n2)c2cccnc12
ZINC12915317	CCc1ccc(N(C(C)=O)c2nc(C[NH+](C)CC(=O)Nc3c(C)cc(C)cc3C)cs2)cc1
ZINC13039881	CCOC(=O)c1sc2nc(C(C)[NH+](C)Cc3ccc(Cl)cc3Cl)[nH]c(=O)c2c1C
ZINC14537725	CCn1nc(C(=O)N2CCCCCC2)c2c1CCC([NH2+]CCc1nc(-c3ccccc3)cs1)C2
ZINC15006902	Cc1cc(C)n(CCCn2cnc3sc4c(c3c2=O)CCC([NH2+]CCC2=CCCCC2)C4)n1
ZINC20180746	C[NH+](CCCNC(=O)CN1C(=O)/C(=C/c2ccccc2F)Oc2ccccc21)C1CCCCC1
ZINC22242315	C[NH+](CCOc1ccccc1Cl)CC(=O)N1c2ccccc2NC(=O)CC1C(F)(F)F
ZINC23819396	CCOC(=O)c1sc2nc(C(C)[NH+](C)Cc3cccc(Cl)c3Cl)[nH]c(=O)c2c1C
ZINC24228455	Cc1ccc(C)c(NC(=O)C(C)Sc2nnc(C(C)[NH+](C)C)n2-c2ccc(Cl)cc2)c1
ZINC24576418	COc1cc(/C=C/C(=O)Nc2ccc(N3CC[NH+](C)CC3)c(C)c2)cc(Cl)c1OC(C)C
ZINC25714640	Cc1ccc(S(=O)(=O)N2CC[NH+](CC(=O)NC(c3ccccc3)c3cccs3)CC2)c(C)c1
ZINC30282331	Cc1ccc2sc(N(Cc3ccccc3)C(=O)C[NH+]3CCC(NC(=O)C4CC4)CC3)nc2c1C
ZINC31050244	CC(C)CC(NC(=O)C1CCC[NH+](Cc2nc(-c3ccccc3Cl)no2)C1)c1ccccc1
ZINC33131375	C[NH+](CCCNC(=O)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl)C1CCCCC1
ZINC33131378	C[NH+](CCNC(=O)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl)C1CCCCC1
ZINC35173699	Cc1ccc(-c2nnc(SCC(=O)NCC[NH+](C)C)n2-c2ccc(Cl)c(Cl)c2)cc1
ZINC36213574	Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)NCC2CC[NH+](C(C)c3ccccc3)C2)o1
ZINC38546269	COc1cccc(C(c2cc(C)sc2NC(=O)c2ccco2)[NH+]2CCC(C)CC2)c1OC
ZINC38546356	CCOC(=O)C1CC[NH+](C(c2ccc(F)cc2)c2cc(C)sc2NC(=O)c2ccco2)CC1
ZINC38546361	CCOC(=O)C1CC[NH+](C(c2ccccc2F)c2cc(C)sc2NC(=O)c2ccco2)CC1
ZINC38563880	CC(C)c1ccc(C2=NC(C(=O)NCCCN3CCOCC3)=CC3=c4ccccc4=[NH+]C23)cc1
ZINC40322728	Cc1ccc(S(=O)(=O)c2ccc(C(=O)NCC(c3ccc(C(C)C)cc3)[NH+](C)C)o2)cc1
ZINC40930626	Cc1ccc(-c2noc(C[NH+]3CCC(C(=O)NCc4ccc(C(F)(F)F)cc4)CC3)n2)cc1
ZINC40931807	O=C(NCCC1=CCCCC1)C1CC[NH+](Cc2nc(-c3cccc(C(F)(F)F)c3)no2)CC1
ZINC40960848	Cc1ccccc1/C=C/C(=O)NC1CC[NH+](Cc2nc(-c3cccc(C(F)(F)F)c3)no2)CC1
ZINC40961113	Cc1ccccc1CC(=O)NC1CC[NH+](Cc2nc(-c3ccc(C(F)(F)F)cc3)no2)CC1
ZINC41251339	Cc1cccc(CNC(=O)C2CC[NH+](Cc3nc(-c4ccc(C(F)(F)F)cc4)no3)CC2)c1
ZINC43527853	CCC(CC)c1cc(C2C[NH+]3CCC2CC3CNC(=O)c2ccccc2)nc(-c2ccncc2)n1
ZINC45547711	COC(=O)C(c1ccccc1Cl)N1CC[NH+](CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1
ZINC29145552	CC(C)c1cccc(NC(=O)CSc2nnc(C(C)[NH+](C)C)n2-c2ccc(Cl)cc2)c1
ZINC29145558	CC(C)c1cccc(NC(=O)CSc2nnc(C(C)[NH+](C)C)n2-c2ccc(Cl)cc2)c1
ZINC46539190	C[NH+](Cc1ccccc1NC(=O)CN(c1cccc(Cl)c1)S(C)(=O)=O)C1CCCCC1
ZINC58775550	CC1CC[NH+](C(CNC(=O)c2cnn(-c3ccc(C(F)(F)F)cn3)c2C(C)C)C(C)C)CC1
ZINC60155713	Cc1ccc(C(CNC(=O)c2cnn(-c3ccc(C(F)(F)F)cn3)c2C(C)C)[NH+](C)C)cc1
ZINC63385911	C=C(C)COc1ccc2c(c1C)OC(=O)C(CC(=O)NC(C)CC1=c3ccccc3=[NH+]C1)C2C
ZINC63486318	C=C(C)COc1ccc2c(c1C)OC(=O)C(CC(=O)NCCC1=c3cc(F)ccc3=[NH+]C1)C2C
ZINC63901324	N#Cc1ccc(COC(=O)C(CC2=c3ccccc3=[NH+]C2)NC(=O)c2ccccc2Cl)cc1
ZINC63941340	O=C(Nc1ccc(OCc2ccccc2)cc1)C1CC(=O)N(CCC2=c3cc(F)ccc3=[NH+]C2)C1
ZINC64215660	O=C(CN1C(=O)c2ccccc2C1=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC64343379	CN(CC(=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1)S(=O)(=O)c1cccs1
ZINC03840960	CC(C(=O)N1CCSCC1)C1CCC2(C)Cc3sc(NC(=O)C[NH+](C)C)nc3C(C)C2C1O
ZINC04260375	N#Cc1cccc(NC(=O)Nc2ccc3n(c2=O)CC2CC3C[NH+](Cc3ccc(F)cc3)C2)c1
ZINC08583925	COc1cc(NC(=O)NC(C)c2c(-n3cccc3)sc3c2CC[NH+](C)C3)cc(OC)c1
ZINC09135461	CN1CCCc2cc(C(CNC(=O)C(=O)Nc3cccc(C(F)(F)F)c3)[NH+](C)C)ccc21
ZINC12201196	O=C(CC1C(=O)NCC[NH+]1Cc1c(F)cccc1Cl)NCc1ccc2ncccc2c1
ZINC14733458	Cn1nc(C(=O)NCc2ccncc2)c2c1CCC([NH2+]CC1(c3ccccc3)CCCC1)C2
ZINC32033236	O=C(Cc1cn2ccccc2[nH+]1)Nc1cccc(S(=O)(=O)Nc2ccccc2Cl)c1
ZINC34717013	Cc1ccsc1C[NH+]1CCC(NC(=O)c2nccnc2NC(=O)C2CCCCC2)CC1
ZINC35105336	CCC(C)NC(=O)C1CSC2(CCN(S(=O)(=O)c3c(C)cc(C)cc3C)CC2)[NH2+]1
ZINC35375157	CCC(C)NC(=O)C1CSC2(CCN(S(=O)(=O)c3ccc(Br)cc3)CC2)[NH2+]1
ZINC39595600	CC(CNC(=O)C1CN(C(=O)c2ccccc2C(F)(F)F)CC12CC[NH2+]CC2)Oc1ccc(F)cc1
ZINC39596090	CC(CNC(=O)C1CN(C(=O)c2cccc(Cl)c2F)CC12CC[NH2+]CC2)Oc1ccc(F)cc1
ZINC39596092	CC(CNC(=O)C1CN(C(=O)c2cccc(Cl)c2F)CC12CC[NH2+]CC2)Oc1ccc(F)cc1
ZINC39609110	O=C(NC1CCCC1OCc1ccccc1)C1CN(C(=O)C2CC=CCC2)CC12CC[NH2+]CC2
ZINC39629787	CC(C)C(Oc1ccccc1)C(=O)N1CC(C(=O)NCc2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39629795	CC(C)C(Oc1ccccc1)C(=O)N1CC(C(=O)NCc2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39633676	Cc1cc(C(=O)N2CC(C(=O)NC3CCCCCC3)C3(CC[NH2+]CC3)C2)n(C(C)(C)C)n1
ZINC39636026	CC1CCCCC1NC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CC[NH2+]CC2
ZINC39636027	CC1CCCCC1NC(=O)C1CN(C(=O)c2cccnc2Oc2ccccc2)CC12CC[NH2+]CC2
ZINC39637422	Cc1cc(C(=O)N2CC(C(=O)NC3CCCC(C)C3C)C3(CC[NH2+]CC3)C2)n(C(C)(C)C)n1
ZINC39637431	CCn1nc(C)c(Br)c1C(=O)N1CC(C(=O)NC2CCCC(C)C2C)C2(CC[NH2+]CC2)C1
ZINC39637443	COc1ccc(OC)c(C(=O)N2CC(C(=O)NC3CCCC(C)C3C)C3(CC[NH2+]CC3)C2)c1
ZINC39637444	COc1ccc(OC)c(C(=O)N2CC(C(=O)NC3CCCC(C)C3C)C3(CC[NH2+]CC3)C2)c1
ZINC39637719	COc1ccc(C(=O)N2CC(C(=O)NCCc3cccc(F)c3)C3(CC[NH2+]CC3)C2)cc1C(F)(F)F
ZINC39665460	Cc1ccccc1CC(=O)N1CC(C(=O)NCC(C)Oc2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39665461	Cc1cccc(CC(=O)N2CC(C(=O)NCC(C)Oc3ccccc3)C3(CC[NH2+]CC3)C2)c1
ZINC39665483	CC(CNC(=O)C1CN(C(=O)c2c(F)ccc(Cl)c2F)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39666406	CC(CNC(=O)C1CN(C(=O)c2ccc(F)cc2F)CC12CC[NH2+]CC2)Oc1ccccc1Cl
ZINC39666421	CC(CNC(=O)C1CN(C(=O)c2cc(F)cc(F)c2)CC12CC[NH2+]CC2)Oc1ccccc1Cl
ZINC39667123	COc1c(C(=O)N2CC(C(=O)NCCc3ccc(C)cc3C)C3(CC[NH2+]CC3)C2)csc1Cl
ZINC39667544	Cc1cccc(CNC(=O)C2CN(C(=O)C(C)Oc3ccccc3)CC23CC[NH2+]CC3)c1C
ZINC39672203	CCC(CC)C(=O)N1CC(C(=O)NCc2ccc3c(c2)CCCN3C)C2(CC[NH2+]CC2)C1
ZINC39672311	Cc1cccc(CC(=O)N2CC(C(=O)NCc3ccc4c(c3)CCCN4C)C3(CC[NH2+]CC3)C2)c1
ZINC39673426	Cc1cccc(CC(=O)N2CC(C(=O)NCc3ccc(OC(F)F)cc3)C3(CC[NH2+]CC3)C2)c1
ZINC39673521	CCCC(C)NC(=O)C1CN(C(=O)c2cccc3c2-c2ccccc2C3=O)CC12CC[NH2+]CC2
ZINC39677753	Cc1cccc(CC(=O)N2CC(C(=O)NCc3ccc(-c4ccccn4)s3)C3(CC[NH2+]CC3)C2)c1
ZINC39678559	O=C(NCc1cccc(OC(F)F)c1)C1CN(C(=O)c2csc3ccccc23)CC12CC[NH2+]CC2
ZINC39685102	CC1(C(=O)N2CC(C(=O)NCCOc3ccccc3F)C3(CC[NH2+]CC3)C2)CCCCC1
ZINC39694214	Cc1ccccc1CC(=O)N1CC(C(=O)NCc2cccc(-n3cccc3)c2)C2(CC[NH2+]CC2)C1
