ZINC04026895	O=CNC1C2CCCC1C1=C(CCCC1)C2
ZINC14458962	COc1cc(C2Nc3c(C)ccc([N+](=O)[O-])c3C3C=CCC32)ccc1O
ZINC15670040	Cc1cccc(C)c1NCc1cc([O-])n2nc(-c3ccccc3)nc2n1
ZINC16737911	NS(=O)(=O)c1ccc(Sc2ccc(F)cc2F)c([N+](=O)[O-])c1
ZINC19959212	CC1CCCC(N2CNC(=NS(=O)(=O)c3ccccc3)NC2)C1C
ZINC12816932	Cc1ccc2c(CSc3nc(N)c(C#N)cc3C#N)cc(=O)oc2c1C
ZINC23139390	Cc1cccc2c(=O)[nH]c(CSc3nc4sccc4c(=O)[nH]3)nc12
ZINC23704178	COc1cc(-c2c/c(=[NH+]\CC(=O)[O-])c3cc(C)cc(C)c3o2)ccc1O
ZINC23976843	O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1cccc2c1CCCC2
ZINC24152607	CN1CCc2nc(NC(=O)CNC(=O)c3ccccc3Cl)sc2C1
ZINC27029958	Cc1cc(C)n2c(Br)c(CSc3nnc(N)s3)nc2n1
ZINC32911827	COC(=O)c1c(N)sc2c1CCN(c1ncnc3sc(C)c(C)c13)C2
ZINC33140052	Cc1cccc(NC(=O)Nc2ccc3c(c2)CCN3S(C)(=O)=O)c1C
ZINC33810062	Cc1ccc(C2C3=C(CCCC3=O)Nc3nc(SC(C)C)[nH]c(=O)c32)o1
ZINC36701188	Cc1ccc(C(=O)Nc2ccc(N3CCCS3(=O)=O)cc2)c(O)c1
ZINC36701731	CC1Nc2ncnn2C(c2cccs2)C1C(=O)Nc1ccc(Cl)cc1
ZINC37844203	O=C(Nc1ccc(O)cc1[N+](=O)[O-])c1ccc(F)cc1Br
ZINC38814823	C/C(=N\NC(=O)C1N=NC2=C1CCc1ccccc12)c1ccccc1O
ZINC39358681	CCN(CC)c1ccc(C2C3=C(CCCC3=O)NC3N=NC(O)=C32)cc1
ZINC38613859	C/C(=N/NC(=O)C1=NN=C(c2ccc(C)s2)C1)c1ccccc1O
ZINC40687319	Cc1ccc2cccc(Oc3ncnc(N4CCc5ccccc54)c3N)c2n1
ZINC41303680	CCn1cnc2sc(C(=O)Nc3ccc(C)cc3O)c(C)c2c1=O
ZINC44450036	Cc1ccc(NC(=O)NC2CCCCC2N2C(=O)CSC2=O)cc1C
ZINC44818477	Cn1cc(C(=O)c2cc(F)ccc2O)cc1-c1nc2sccc2c(=O)[nH]1
ZINC46168879	N#Cc1ccc(NC(=O)CNc2ccc3c(c2)OCCO3)cc1Cl
ZINC48105098	Cc1nn(C)c2ncc(NC(=O)NC3CCCC(C(F)(F)F)C3)cc12
ZINC48105106	Cc1nn(C)c2ncc(NC(=O)NC3CCCC(C(F)(F)F)C3)cc12
ZINC14196818	CC1CCCC(NC(=O)NC(=O)CN2CCn3cccc3C2C)C1C
ZINC58982645	CC(c1ccccc1)N1CC(C(=O)N=c2[nH]c3ccccc3[nH]2)CC1=O
ZINC56913739	CC1=Nc2nc(-c3cccc(C)c3)nn2C(c2cccs2)C1C(N)=O
ZINC60212167	CC1CCc2c(C(=O)NNc3oc(C(C)C)nc3C#N)csc2C1
ZINC60367956	Cc1nc(NC2CCCCC2O)c2cnn(-c3cccc(Cl)c3)c2n1
ZINC13127167	CC1CC(c2ccccc2)n2nc(NC(=O)c3cccs3)nc2N1
ZINC13127165	CC1CC(c2ccccc2)n2nc(NC(=O)c3cccs3)nc2N1
ZINC65380528	CCn1cncc1-c1nc2c([nH]1)CC(c1ccc(Cl)cc1)CNC2=O
ZINC66635572	COC(=O)c1cccc(NC(=O)c2oc3ccc(F)cc3c2C)c1O
ZINC66929695	Cc1cc([N+](=O)[O-])ccc1C(=O)NCC1(O)CCCc2ccccc21
ZINC67028328	CC1=C(C(=O)Nc2ccc(C)cc2C)C(c2csnn2)NC(=S)N1C
ZINC67088883	CC1CCCCC12NC(=O)N(CC(=O)Nc1cccc(F)c1F)C2=O
ZINC67446059	CC(Nc1ccc2c(c1)OC(F)(F)O2)c1nc2ccccc2c(=O)[nH]1
ZINC01136385	COC(=O)C1=C(C)N(C)C(=O)NC1c1cc(O)ccc1Br
ZINC00143597	Nc1ncnc2c1c1nc3ccccc3nc1n2CCc1ccccc1
ZINC05283598	CC(=O)Nc1ccc2c(c1)C1C=CCC1C(c1cccc([N+](=O)[O-])c1)N2
ZINC08962266	CC1(C)COc2ccc(NS(=O)(=O)c3cccs3)cc2C(=O)N1
ZINC11175002	O=c1[nH]c2ccc(S(=O)(=O)Nc3cc(Cl)cc(Cl)c3)cc2o1
ZINC12347023	O=C1NC2=C(C(=O)N(Cc3ccco3)C2)C(c2ccc(Cl)c(Cl)c2)N1
ZINC12417076	CC1Oc2ccc(S(=O)(=O)NC3C4CC5CC(C4)CC3C5)cc2NC1=O
ZINC09836069	Nc1nc(SCc2cc(=O)n3ccccc3n2)nc2sccc12
ZINC14457065	COc1ccc(C2Nc3c(C)cc([N+](=O)[O-])cc3C3C=CCC32)cc1O
ZINC15427436	Cc1cc(C(=O)NNC(=O)c2oc3c(ccc4ccccc43)c2C)c(C)o1
ZINC15827742	O=C1NCCOc2ccc(S(=O)(=O)Nc3ccc(F)c(Cl)c3)cc21
ZINC19938933	O=c1[nH]c(=O)n(Cc2ccccc2Cl)c2c1CN(C1CCCCC1)CN2
ZINC12418631	CCC(C)N1CNc2c(c(=O)[nH]c(=O)n2-c2cccc(Cl)c2C)C1
ZINC20491717	Cc1cc(F)ccc1NS(=O)(=O)c1cc2c(cc1C)NC(=O)CO2
ZINC20680431	CC1CN(C(C)C(=O)NC(=O)NC23CC4CC(CC(C4)C2)C3)CC(C)O1
ZINC22827755	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccc(C)s2)NC(=S)N1C
ZINC23543822	CC(NC(=O)CN1C(=O)NC2(CCCCC2)C1=O)c1ccccc1F
ZINC27580887	Cc1ccc(OC(C)C(=O)Nc2ccc3c(c2)NC(=O)CO3)cc1C
ZINC30874830	CC1CCCCC1N1CNC(=NS(=O)(=O)c2ccc(Cl)cc2)NC1
ZINC30874961	CC1CCCCC1N1CNC(=NS(=O)(=O)c2ccc(F)cc2)NC1
ZINC32916621	O=C1CCCc2cc(S(=O)(=O)NC3CCOc4ccccc43)ccc2N1
ZINC34913562	COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1
ZINC04468651	CC(C)C(C)NC(=O)CN1C(=O)NC2(CCCc3ccccc32)C1=O
ZINC38742906	Fc1cccc(C2=NN3C(NNC3C3C=C(c4ccccc4)N=N3)S2)c1
ZINC38975810	CC1=CC(C2NNC(S)N2/N=C/c2ccc(Br)cc2)N=N1
ZINC38979398	CC1=CC(C2NNC(S)N2/N=C/c2cccc(Cl)c2Cl)N=N1
ZINC38980557	CC1=CC(C2NNC(S)N2/N=C/c2ccc(Cl)cc2Cl)N=N1
ZINC38980559	CC1=CC(C2NNC(S)N2/N=C/c2ccc(Cl)cc2Cl)N=N1
ZINC39466494	Cc1ccc(N2NC=C3C(NC(=O)C4=CN=NC4)CC(C)(C)CC32)cc1
ZINC39590747	C1=C(c2ccccc2)N=NC1C1NNC2SC(c3ccccc3)=NN21
ZINC40553557	Cc1noc(C(C)C)c1C(=O)NC(C)c1ccc2c(c1)CCC(=O)N2
ZINC40687318	Nc1c(Oc2cccc3cccnc23)ncnc1N1CCc2ccccc21
ZINC41303725	CCn1cnc2sc(C(=O)Nc3cc(C)ccc3O)c(C)c2c1=O
ZINC45068176	O=C(NNc1ccccc1[N+](=O)[O-])c1csc(Br)c1
ZINC46056938	Cc1ccc(-n2nc(C)c3c2NC(=O)CC3C(=O)c2ccc(O)cc2)c(C)c1
ZINC46088503	Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)NC(=O)C(C)(C)O3)cc1
ZINC47039815	Cc1ccc(/C=C(\C#N)C(=O)Nc2cccc(N3CCNC3=O)c2)cc1
ZINC49741281	COc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(C)(C)C(=O)N3)cc1
ZINC50060931	CC(NC(=O)Nc1ccc2c(c1)n(C)c(=O)n2C)c1ccc(F)c(Cl)c1
ZINC04436330	CCSc1nc2n(n1)C(c1ccc(O)cc1)C1=C(CC(C)(C)CC1=O)N2
ZINC52426044	CC(C)NC(=O)NC(=O)C(C)Sc1nc2cc(Cl)ccc2o1
ZINC09872506	Cn1cnnc1SCc1nc(N)c2c3c(sc2n1)CCCCC3
ZINC15823898	Cn1cc(C(=O)NNC(=O)c2nc(Cl)ccc2Cl)c2ccccc21
ZINC59313403	O=C(Nc1cc([N+](=O)[O-])ccc1O)c1ccc(Br)s1
ZINC60093496	CS(=O)(=O)N1CCc2cc(C(=O)Nc3cc(Cl)ccc3O)ccc21
ZINC26964164	O=C(NNC(=O)C12CC3CC(CC(Cl)(C3)C1)C2)c1ccc2c(c1)OCO2
ZINC40282911	COc1ccc(C2CC(O)=Nc3c2ncn3-c2ccccc2Cl)cc1O
ZINC40282911	COc1ccc(C2CC(=O)Nc3c2ncn3-c2ccccc2Cl)cc1O
ZINC64862424	CNC(=O)N1CCc2cc(S(=O)(=O)Nc3cc(C)cc(C)c3)ccc21
ZINC27271475	COc1cccc(C2C3CCCC=C3C(C#N)=C(N)C2(C#N)C#N)c1OC
ZINC66956645	O=C(Nc1ccc(-c2nnc3n2CCCC3)cc1)NC1CCSCC1
ZINC04515799	Cc1cc(C)c(NC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)c(C)c1
ZINC08961911	Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)NCC(C)O3)cc1
ZINC09458368	Cn1cc(C(=O)c2cc(F)ccc2O)cc1-c1nc2ccsc2c(=O)[nH]1
ZINC03592638	Cc1cccc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)c1C
ZINC08962284	CC1(C)COc2ccc(NS(=O)(=O)c3ccccc3)cc2C(=O)N1
ZINC11694930	CC1Nc2ncnn2C(c2cccs2)C1C(=O)Nc1ccc(Cl)cc1
ZINC12864652	Cc1cc(C)c(C)c(S(=O)(=O)N2CC(C(N)=O)Oc3ccccc32)c1C
ZINC13942504	COc1cc(Cl)cc(/C=C2/C(=O)NN(c3ccc(C)c(C)c3)C2=O)c1O
ZINC19535633	COC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1ccc(O)c(OC)c1
ZINC06009079	COc1ccc(C2C3=C(CCCC3=O)Nc3[nH]c(SC)nc(=O)c32)cc1
ZINC06009079	COc1ccc(C2C3=C(CCCC3=O)Nc3nc(SC)[nH]c(=O)c32)cc1
ZINC23129887	CC(Oc1ccccc1F)C(=O)Nc1ccc2c(c1)NC(=O)C(C)O2
ZINC23995940	CC1CCc2c(sc3nc(C(C)[NH+]4CCC(C(=O)[O-])CC4)[nH]c(=O)c23)C1
ZINC29283877	Cc1nc2ccccc2nc1SC(C)C(=O)NC(=O)NC(C)(C)C
ZINC32741224	Cc1c(C(=O)NCCc2ccc3c(c2)OCO3)[nH]c2c1C(=O)CCC2
ZINC16267095	Cc1cc(=O)c(C(c2ccccc2Cl)c2c(O)cc(C)oc2=O)c(O)o1
ZINC36701729	CC1Nc2ncnn2C(c2cccs2)C1C(=O)Nc1ccc(Cl)cc1
ZINC06873922	CC1CCCC(NS(=O)(=O)c2cc3c(cc2Cl)NC(=O)CO3)C1C
ZINC02426876	Cc1cc(C)n(-c2nc(NCCO)c3c4c(sc3n2)CCCC4)n1
ZINC36692955	Cc1cccc(C)c1NC(=O)CN1C(=O)NC2(CC(C)CC(C)(C)C2)C1=O
ZINC39737733	Cc1sc2nc(C(C)SC3NN=C4C=CC=CN43)[nH]c(=O)c2c1C
ZINC39961120	O=c1[nH]c(CN2c3ccccc3NC2c2cncs2)nc2ccccc12
ZINC40363023	Cc1ccc2nc(-c3ccco3)cc(C(=O)NC3CCCCNC3=O)c2c1
ZINC40778520	COc1ccc(NC(=O)C2(C)Oc3ccc(C)cc3NC2=O)cc1Cl
ZINC40801275	N#Cc1c(NC(=O)CC2Oc3ccccc3NC2=O)sc2c1CCCC2
ZINC41572334	Cc1cc(C)c2c([N-]S(=O)(=O)c3ccc4c(c3)CC(=O)N4)csc2[nH+]1
ZINC43844490	Cc1cc2cc(NC(=O)c3c(C)oc(-n4cccc4)c3C#N)ccc2[nH]1
