ZINC03458097	Cc1cc(C)cc(CN2C(=O)NC3(CCC(C)CC3)C2=O)c1
ZINC36359267	O=C1CC(c2ccc(F)cc2)c2ncn(-c3ccc(F)cc3)c2N1
ZINC17729858	O=C1CC(Nc2ccccc2)C(=O)N1c1ccccc1Cl
ZINC62242267	O=c1[nH]c2ccc(C(Br)C3CCCOC3)cc2o1
ZINC62497139	CN1C(=O)C(Cc2ccc(Cl)cc2)Oc2ccc(O)cc21
ZINC62818674	O=S(=O)(c1ccc(Cl)cc1)N1CCNCc2ccccc21
ZINC62946232	O=S(=O)(c1ccc(O)cc1)N1CCCc2ccccc2C1
ZINC63064009	O=S(=O)(c1cccc(F)c1)N1CCCc2cccc(O)c21
ZINC63503030	COC(=O)C1Nc2sc3c(c2C1n1cccc1)CCCC3
ZINC40284742	O=C1CC(c2cccs2)c2ncn(-c3cccc(F)c3)c2N1
ZINC40284742	OC1=Nc2c(ncn2-c2cccc(F)c2)C(c2cccs2)C1
ZINC44921654	OC1=Nc2c(cnn2-c2ccccc2)C(c2cccs2)SC1
ZINC44921654	O=C1CSC(c2cccs2)c2cnn(-c3ccccc3)c2N1
ZINC66132305	CC1CCCC2(C1)Nc1ccccc1C(=O)N2Cc1ccco1
ZINC66674684	CCN(C(=O)c1cc(F)cc2[nH]cnc12)C1CCCCC1C
ZINC67132614	[O-]c1nc(C[NH+]2CCCC3CCCCC32)nc2ccsc12
ZINC05002469	C/C(=N/NC(N)=S)c1cc2ccc1CCc1ccc(cc1)CC2
ZINC00405760	C=CCc1cccc(C2Nc3cccc4cccc(c34)N2)c1O
ZINC05439141	C=C1CCCC2(C)C(O)C=C3C(C)(CCC3(O)C(C)C)CC12O
ZINC06563960	CC(C)NC(=O)c1c(N)sc2c1CCC(C(C)(C)C)C2
ZINC06885180	Nc1sc2c(c1C(=O)NCc1ccccc1)CCCCC2
ZINC11731128	Nc1ccc2c(c1)CN(c1ccc(Nc3ccccc3)cc1)C2
ZINC14462644	CC(C)c1ccc(C2Nc3c(C(N)=O)cccc3C3C=CCC32)cc1
ZINC14473943	Cc1ccc(O)c2c1C1C=CCC1C(c1ccccc1O)N2
ZINC14544736	Oc1cccc2c1NC(c1c[nH]c3ccccc13)C1CC=CC21
ZINC20374732	Nc1cc2ccccc2cc1-c1nc2cc(Cl)ccc2[nH]1
ZINC20430466	CC(Nc1ccc(F)cc1Br)c1cc(O)ccc1O
ZINC20584867	COc1cc(Cl)c(C)cc1Nc1ccc(N)cc1Cl
ZINC34797553	Nc1ccc(-c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1
ZINC35343662	Nc1ccc2nc(Nc3ccc(Br)cc3Cl)ccc2c1
ZINC36737674	Nc1ccc(Cl)c(NC(=O)Cc2ccc(Br)cc2)c1
ZINC37944021	CC1CCCC(Nc2ccccc2Br)(C(N)=O)C1
ZINC37944103	NC(=O)C1(Nc2ccccc2Br)CCCCCCC1
ZINC40295290	CC1CCCC(NC(=O)c2cc(N)c(Cl)c(Cl)c2)C1C
ZINC40318806	Nc1cc(C(=O)NCC2Cc3ccccc32)cc(Cl)c1Cl
ZINC40357186	NC(=S)C1(NC(=O)c2ccc(Cl)c(Cl)c2)CCCCCC1
ZINC40713659	Nc1cc(Br)cnc1Nc1cc(F)cc(F)c1
ZINC40713719	Nc1cc(Br)cnc1Nc1cc(Cl)ccc1F
ZINC41564137	Cc1ccc(Cl)cc1Nc1ncc(Br)cc1N
ZINC42006656	[NH3+]CCSC1(C(=O)[O-])CCCCCCCCCCC1
ZINC42142095	Nc1ccc2nc(SCc3ccccc3Cl)[nH]c2c1
ZINC42880686	CC(NC(=O)c1csc2ccccc12)c1ccccc1N
ZINC43757348	CC12CCCCC1CCC1C2CCC2(C)C1CCC2(O)C(O)CO
ZINC44660788	Nc1cc(C(=O)NC2CC2c2ccccc2)cc(Cl)c1Cl
ZINC45622731	CC1CCCC(NC(=O)c2cc(N)ccc2Br)C1C
ZINC48855724	Nc1[nH]nc(-c2cc3ccccc3s2)c1-c1ccccc1
ZINC49128018	CC(Nc1ccc2ncccc2c1N)c1ccc(Cl)s1
ZINC50122366	CC(C)(C)N1C=[NH+]C(c2ccc(Br)cc2)C1=[NH2+]
ZINC50988415	CCC1=[NH+]C(c2ccc(Cl)c(Cl)c2)C(=[NH2+])N1C1CC1
ZINC50995181	CCC1=[NH+]C(c2c(F)cccc2Cl)C(=[NH2+])N1C(C)(C)C
ZINC51001178	CN1C(=[NH2+])C(c2ccc(Cl)cc2Cl)[NH+]=C1C(C)(C)C
ZINC51001456	Cc1cc(F)ccc1C1[NH+]=C(C(C)(C)C)N(C(C)C)C1=[NH2+]
ZINC51001918	C#CCN1C(=[NH2+])C(c2ccc(F)cc2F)[NH+]=C1C(C)(C)C
ZINC51002538	C#CCN1C(=[NH2+])C(c2ccc(Br)cc2)[NH+]=C1C1CCCC1
ZINC52202115	CCc1ccccc1C1[NH+]=C(C(C)(C)C)N(C2CC2)C1=[NH2+]
ZINC52860879	N/C(=N/O)c1cc(Cl)ccc1Sc1ccc(Cl)cc1
ZINC52907868	COC1CCCC1Nc1cccc(Cl)c1C(N)=S
ZINC57327638	NNc1nc2c(Cl)cc(Br)c(C(F)(F)F)c2s1
ZINC60280364	CCN1C(=[NH2+])C(c2ccc(Cl)cc2Cl)[NH+]=C1C1CC1
ZINC52069085	Cc1cc(Br)c(/N=C(\N)NC(C)(C)C)c(Br)c1
ZINC52069090	Cc1cc(Br)c(/N=C(\N)NC(C)C)c(Br)c1
ZINC61361007	Nc1ccc(NC2CCCc3sccc32)c2cccnc12
ZINC62152882	Nc1ccc(-c2nc3c(C(F)(F)F)cc(Cl)cc3[nH]2)cc1
ZINC62350781	Cc1cc(C(N)=O)ccc1NC1CC2CCC1(C)C2(C)C
ZINC62789761	Cc1cccc(Sc2cc(Cl)ccc2/C(N)=N/O)c1
ZINC62823082	Nc1cc(F)ccc1C(=O)NC1CC2CC1C1CCCC21
ZINC00662975	NC(=O)N/N=C/c1cc(Br)cc(I)c1O
ZINC01559495	NC(=O)NC(c1ccccc1)C(O)(c1ccccc1)c1ccccc1
ZINC16778023	NC(=O)c1c(N)n(C(=O)c2ccc(Br)cc2)c2ccccc12
ZINC00058310	N#CC1=C(N)SC(N)=C(C#N)C1c1ccc(Cl)c(Cl)c1
ZINC21011845	CCc1ccccc1NS(=O)(=O)c1ccc(O)c(N)c1
ZINC22782526	NC(=O)N/N=C(\C=C\c1ccccc1)C1(O)CCCCC1
ZINC13403226	N/N=C(C(=N\N)\c1ccc2ccccc2c1)/c1ccccc1
ZINC33494898	CC(C)CNc1c(Br)cc(Br)cc1C(=O)NN
ZINC35341238	CC1CCCC(Nc2cc3c(cc2N)NC(=O)CC3)C1C
ZINC35354302	Cc1ccc(NS(=O)(=O)c2ccc(NN)cc2)cc1C
ZINC35354486	Cc1ccc(NS(=O)(=O)c2ccccc2NN)c(C)c1
ZINC35354488	Cc1ccc(NS(=O)(=O)c2ccc(NN)cc2)c(C)c1
ZINC35355823	CC1CCCC(Nc2cc3c(cc2N)CCC(=O)N3)C1C
ZINC35383071	CC1CCCC(Nc2cc3nc[nH]c(=O)c3cc2N)C1C
ZINC35452858	CC1CCCC(Nc2cc3c(cc2N)OCC(=O)N3)C1C
ZINC35736690	CC(Nc1cc2c(cc1N)CCC(=O)N2)c1cccs1
ZINC35736704	CC(Nc1cc2c(cc1N)NC(=O)CC2)c1cccs1
ZINC36397252	CC(Sc1nc(N)cc(N)c1C#N)c1ccc(F)cc1
ZINC36057459	NC(N)=Nc1nc(-c2cc(Cl)ccc2Cl)cs1
ZINC36861730	CC(NC(=O)c1cc(N)c[nH]1)C12CC3CC(CC(C3)C1)C2
ZINC37177317	CC(NC(=O)c1ccc(Cl)cc1O)c1ccc(N)cc1
ZINC37193505	Cc1cc(N)ccc1SCc1nc(N)c2ccccc2n1
ZINC40371033	CCC(CC)(NC(=O)c1c(C)cc(C)cc1C)/C(N)=N/O
ZINC40481183	CCCC([NH3+])C(=O)Nc1c(Cl)cc(Cl)cc1C(=O)[O-]
ZINC41023641	CCCC1CCC(C#N)C(Sc2nc(N)cc(N)n2)C1
ZINC41087508	CC1CCC(C(C)C)C(OC(=O)c2cc(N)cc(N)c2)C1
ZINC42140176	NC(=O)c1cc(N)cnc1Sc1ccc2ccccc2c1
ZINC42860044	CC1CCCCC1CNc1cc2c(cc1N)NC(=O)CC2
ZINC42860070	CC1CCCCC1CNc1cc2nc[nH]c(=O)c2cc1N
ZINC42869770	CC1CCCCC1CNS(=O)(=O)c1ccccc1NN
ZINC44483946	NC(=S)C1(NC(=O)c2ccc(Br)cc2O)CCCC1
ZINC48834130	CC(Sc1nc(N)cc(N)c1C#N)c1ccc(Cl)cc1
ZINC49117605	CCC1CCCCC1NS(=O)(=O)c1ccc(O)c(N)c1
ZINC49529208	CCC(Nc1cc2c(cc1N)CCC(=O)N2)c1cccs1
ZINC51095260	CC(NC(=O)c1cnc(NN)c(Cl)c1)c1ccc(Cl)s1
ZINC51633781	CC(C)C(C(=O)NC1CCc2ccccc2C1)/C(N)=N/O
ZINC52334730	CC(Nc1cc2c(cc1N)OCC(=O)N2)C1CCCCC1
ZINC52839228	Nc1c(-c2c(F)cccc2F)nc(-c2ccccc2)n1N
ZINC52840007	CC(C)c1nc(-c2ccc(Br)cc2F)c(N)n1N
ZINC53007433	Cc1ccc(NN)c(C(=O)NC(C)c2cc(C)sc2C)c1
ZINC55024164	Cc1cc([O-])nc(SC(CC(N)=[NH2+])c2ccccc2)n1
ZINC55024166	Cc1cc([O-])nc(SC(CC(N)=[NH2+])c2ccccc2)n1
ZINC19326925	N=C1NC(Nc2cccc3ccccc23)=NC2(CCCC2)N1
ZINC19326925	[NH2+]=C1N=C(Nc2cccc3ccccc23)NC2(CCCC2)N1
ZINC61886236	N/C(=N/O)C1CCCC1NC(=O)c1cc(Cl)cc(Cl)c1
ZINC61886239	N/C(=N/O)C1CCCC1NC(=O)c1cc(Cl)cc(Cl)c1
ZINC62424689	Cc1cc(Cl)cc2c(-c3csc(N)n3)c(CO)[nH]c12
ZINC62824438	CC(C)(C)C([NH3+])C(=O)Nc1ccc(I)cc1C(=O)[O-]
ZINC62832833	CCC(NC(=O)c1c[nH]c2ccc(N)cc12)c1cccs1
ZINC63104590	CC1CCCC(CO)(Nc2nc3ccc(N)cc3s2)C1
ZINC63151350	CC1CCC(CNC(=O)C2(/C(N)=N/O)CCCCC2)CC1
ZINC04014197	N#CC1C(N)=NC(SCc2ccccc2)=C(C(N)=O)C12CCCCC2
ZINC01051143	N#CC1=C(N)Oc2cc(N)ccc2C1c1cccc(I)c1
ZINC02839620	Nc1cc(C(=O)C(=O)c2ccc(Br)c(N)c2)ccc1Br
ZINC09365446	Nc1nc(N)nc(CSCc2ccc(-c3ccccc3)cc2)n1
ZINC13640153	CCCNC(=O)c1cccc2c1NC(c1ccc(O)cc1O)C1CC=CC21
ZINC14473793	NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1O)N2
ZINC04574726	CC1=C(C(N)=O)C(c2ccc(OCC(C)C)cc2)NC(=S)N1
ZINC20396390	Cc1ccc(Cc2nnc(SCc3ccc(N)cc3)n2N)cc1
ZINC32201636	Nc1cccc(/C=C/C(=O)NCCc2c[nH]c3ccccc23)c1
ZINC33374673	N#CC1=C(N)C(C#N)(C#N)C(c2ccc(O)cc2O)C2CCCC=C12
ZINC33494881	CCCCNc1c(Cl)cc(Br)cc1C(=O)NN
ZINC33494959	Cc1cc(Br)c(NCCC(C)C)c(C(=O)NN)c1
ZINC35354713	NNc1ccccc1S(=O)(=O)Nc1cccc(Cl)c1F
ZINC04264776	CC(O)C1(O)CCC2C3CCC4(C)CC(O)CCC4(C)C3C(O)CC21C
ZINC37135455	Cc1ccc(S(N)(=O)=O)cc1NC(C)c1ccccc1O
ZINC37274375	NC(=O)c1ccc(COc2ccc(Br)cc2)c(N)c1
ZINC04713050	Nc1ccc(C2(c3ccc(N)cc3)OC(=O)c3ccccc32)cc1
ZINC39408847	Nc1ccc2c(c1)SC(SCc1nc3ccccc3[nH]1)N2
ZINC35454857	C=C(CCC1C(C)(O)CCC2C(C)(C)C(O)CCC12C)C(O)CO
ZINC40356784	Cc1ccc(O)c(C(=O)NC2(C(N)=S)CCC(C)CC2)c1
ZINC40356955	CC1CCC(NC(=O)c2ccc(Cl)cc2O)(C(N)=S)CC1
ZINC40361932	CCC(C)(NC(=O)NC12CC3CC(CC(C3)C1)C2)C(N)=S
ZINC40370647	CCCC(NC(=O)c1ccccc1I)/C(N)=N/O
ZINC08236372	CC1(C)CC(=O)C2=C(C1)Nc1[nH]c(=S)nc(N)c1C2c1ccc(F)cc1
ZINC08509079	Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(=S)nc(N)c32)s1
ZINC43554133	CC(NC(=O)CC1C(O)CCC2C(C)(CO)C(O)CCC12C)C(C)(C)C
ZINC43722182	CC(O)C1(O)CCC2C3CCC4(C)CC(O)CCC4(C)C3C(O)CC21C
ZINC43722191	CC(O)C1(O)CCC2C3CCC4(C)CC(O)CCC4(C)C3C(O)CC21C
ZINC44483944	CCCC(NC(=O)c1ccc(Br)cc1O)C(N)=S
ZINC44784420	N/C(=N/O)C1(C(=O)NCCc2cccs2)CCCCCC1
ZINC44784820	N/C(=N/O)C1(C(=O)Nc2c(F)cc(F)cc2Br)CCCC1
ZINC44786279	CC(NC(=O)C1(/C(N)=N/O)CCCC1)c1ccccc1Cl
ZINC44786298	CC(NC(=O)C1(/C(N)=N/O)CCCC1)c1ccc(Br)cc1
ZINC49147395	CC(NS(=O)(=O)c1ccc(NN)cc1)c1ccc(Cl)s1
ZINC49152800	CC(Cc1ccsc1)Nc1cc2c(cc1N)OCC(=O)N2
ZINC49152803	CC(Cc1ccsc1)Nc1cc2c(cc1N)OCC(=O)N2
ZINC49487950	Nc1cc(N)nc(SCc2csc(C3CCCC3)n2)n1
ZINC49560638	Cc1ccc(C(C)NS(=O)(=O)c2ccccc2NN)cc1
ZINC33362258	NC(N)=N/N=C/c1cccc(OCc2ccc(Cl)cc2)c1
ZINC19842676	NC(c1ccc2[nH]c(=O)[nH]c2c1)c1cc(F)ccc1Br
ZINC52839405	CCCc1nc(-c2cc(Br)ccc2F)c(N)n1N
ZINC53113487	CC1CCCC(CO)(NS(=O)(=O)c2cc(Br)ccc2N)C1
ZINC03149547	Nc1ccc(C(=O)N/N=C/c2c(O)ccc3ccccc23)cc1
ZINC48846866	CCC(NC1CCCCC1[NH3+])(C(=O)[O-])c1ccc(Cl)cc1
ZINC61089379	CC1CCCC(CO)(NC(=O)c2cc(N)c(F)cc2Br)C1
ZINC61884838	NC(=S)C1CCCC1NC(=O)c1ccc(Br)cc1O
ZINC06223167	Oc1ccc(/C=N/[NH+]=C(/[S-])NCc2ccccc2)c(O)c1
ZINC06223167	Oc1ccc(/C=N/NC(=S)NCc2ccccc2)c(O)c1
ZINC62785992	CCN(Cc1ccccc1N)c1cc(Cl)ccc1C(N)=O
ZINC62826921	CC([NH3+])(C(=O)Nc1c(Br)cccc1C(=O)[O-])C1CC1
ZINC00569419	NC(=S)Nc1ccc(/N=C/c2cc(Cl)ccc2O)cc1
ZINC01627394	Oc1ccc(Cl)cc1/C=N/N1CCCCCC1
ZINC00238709	CC1=NN(c2ccccc2)C(c2ccc(O)cc2)C1
ZINC05121017	CC1=NNC2c3ccccc3-c3ccccc3N2C1
ZINC05375401	O=C(NC1CCCCC1Cl)N1CCCCC1
ZINC02032025	OC1CCCCCCCCCCC12OCCO2
ZINC00041748	Cc1ccc(/N=C/c2ccccc2O)cc1C#N
ZINC08775344	CC1=C(Cl)C(Cl)(c2ccccc2)N(O)O1
ZINC09937191	Cc1ccc(-n2nc(C(C)C)cc2O)cc1C
ZINC16671985	O=C(Nc1nccs1)C1C2CC/C=C\CCC21
ZINC19840033	Cc1ccc(O)c(C(=O)N2CC(C)CC(C)C2)c1
ZINC19840069	Cc1ccc(C(=O)N2CC(C)CC(C)C2)c(O)c1
ZINC19916055	CC1CCCC(Nc2ccc3c(c2)OCCO3)C1
ZINC19978390	CC1CCCCC1Nc1ccc(Cl)nn1
ZINC05697297	Cc1[nH]/c(=N\N=C/c2ccc(F)cc2)sc1C
ZINC20985992	CC1CCC(=NNc2ccc3ccccc3n2)CC1
ZINC21520347	CC1CCCC(Nc2ccc(Cl)nn2)C1C
ZINC06556311	Cc1c(O)ccc2c(=O)c(-c3ccccc3)coc12
ZINC26443748	CC(C)(C)c1cc(=S)[nH]c(N2CCCCC2)n1
ZINC17302330	O/N=C\c1cc2c3c(c1)CCCN3CCC2
ZINC01511930	CN(C)C(=O)NC12CC3CCC(CC(C3)C1)C2
ZINC35279213	Cc1ccc2nc(C3Cc4ccccc4N3)oc2c1
ZINC35737614	CC1CC(Nc2cnn(C)c2)CC(C)(C)C1
ZINC12200808	Cc1cs/c(=N\N=C2/CCCCC2C)[nH]1
ZINC37674438	Oc1ccc(Oc2nc3ccccc3s2)cc1
ZINC37785423	Cn1cc(NC2CCCCCCC2)ccc1=O
ZINC02469631	CC(C)(C)NC1=CC(=O)OC12CCCCC2
ZINC37947680	Cc1nc(-c2ccc(C(C)C)cc2)[nH]c(=O)c1C
ZINC39127700	Cc1c(O)c(C)c2sc(N(C)C)nc2c1C
ZINC41297626	COc1ccccc1-c1nc2c(s1)CCCN2
ZINC43461720	CC1CCC(C(C)C)C(O)(c2cnn(C)c2)C1
ZINC44979157	CC1CCCC(c2nc(C(C)(C)C)cc(=O)[nH]2)C1
ZINC45008613	Cc1cc(O)c2c(c1)O/C(=C/c1ccccc1)C2=O
ZINC48765273	COC(=O)c1cccc2c3c([nH]c12)CCC(C)C3
ZINC49827896	C/C(=N\O)c1ccc(-c2ccccc2Cl)o1
ZINC49956993	N#Cc1cc2c(nc1NC1CCCC1)CCCC2
ZINC50852080	CNc1nc(-c2ccccc2)nc2c1CCCC2
ZINC26272965	OC1=C(c2ccccc2)C2=NCCN2C2=C1CCC2
ZINC03162481	O/N=C/c1cc(-c2ccccc2)oc1Cl
ZINC00176954	Cc1ccc(-n2c(C)cc(/C=N/O)c2C)cc1
ZINC57931246	C=C(C)CN1C(=O)C(C)Nc2cc(C)c(C)cc21
ZINC58007528	Oc1ccc2oc(-c3ccc(F)c(F)c3)nc2c1
ZINC58425377	CCC(C)C1COC(=O)C2(CCCCC2)N1
ZINC58425435	CCC1COC(=O)C2(CCC(C(C)(C)C)CC2)N1
ZINC60128004	O=C(NCC1CC=CCC1)N1CCCCCC1
ZINC62752988	CC1CC[NH+](C2CCCCCC2C(=O)[O-])C(C)C1
ZINC62756845	CC1(C)CC[NH+](C2CCCCCC2C(=O)[O-])CC1
ZINC00142053	O/N=C/c1ccc(-c2ccc(F)cc2F)o1
ZINC13113733	CC1(C)C/C(=N/O)c2cc3c(nc2C1)CCCC3
ZINC13113733	CC1(C)C/C(=N\O)c2cc3c(nc2C1)CCCC3
ZINC15443013	Oc1cc(F)c(/N=N/c2ccccc2)c(F)c1
ZINC67372221	CC1CCCC1Nc1ccc(Cl)c(C#N)n1
ZINC04585199	Cc1ccc(C(=O)c2c(N)c(C(N)=O)c3ccccn23)cc1
ZINC13636714	NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1)N2
ZINC13636720	NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1)N2
ZINC13636722	NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1)N2
ZINC16884128	NC1=NC(c2ccccc2O)C(c2ccccc2)C(O)=N1
ZINC16884132	NC1=NC(c2ccccc2O)C(c2ccccc2)C(O)=N1
ZINC04574753	COc1ccc2ccccc2c1C1NC(=S)NC(C)=C1C(N)=O
ZINC22124945	CCC(C)c1cccc2sc(NNC(N)=S)nc12
ZINC00397479	CC(C)(C)c1cc(C(O)CC(=O)NN)cc(C(C)(C)C)c1
ZINC01836282	CCCCCCCC1C(C#N)=C(N)SC(N)=C1C#N
ZINC35601300	CC(NCC(O)c1ccccc1)c1ccc(O)cc1O
ZINC36197402	CCN(Cc1ccccc1C)c1ccc(C(N)=O)cc1N
ZINC36226199	Nc1cc(Cl)cnc1NCCc1ccc(O)cc1
ZINC37042165	CC(CCc1ccc(O)cc1)NC(=O)c1ccc(N)cc1
ZINC37074844	CCC(Nc1ccc(CC(N)=O)cc1)c1ccccc1O
ZINC37125019	CCC(Nc1ccccc1CC(N)=O)c1ccc(O)cc1
ZINC37125192	Cc1ccc(O)c(C(C)Nc2ccccc2CC(N)=O)c1
ZINC37732762	Cc1cc(C(N)=O)ccc1N(C)Cc1cc(N)ccc1Cl
ZINC37944083	NC(=O)C(Nc1ccccc1Br)c1ccc(O)cc1
ZINC40361767	CCCCNC(=O)NC1(C(N)=S)CCCCCC1
ZINC40371363	CC(C)c1ccc(C(=O)NC(C)(C)/C(N)=N/O)cc1
ZINC41082239	NC(=O)c1cc(N2CCCc3ccccc32)ccc1N
ZINC44783912	CC(C)(C(=O)Nc1cccc2c1CCCC2)/C(N)=N/O
ZINC45513573	CCc1ccc(OCC(N)(C(N)=O)c2ccccc2)cc1
ZINC49525233	CC(Nc1c[nH]nc1N)c1ccc(Br)cc1
ZINC49572172	Nc1ccc(NC2CC[NH+]3CCCCC23)c(C(=O)[O-])c1
ZINC49978177	Cc1ccc(N(C)Cc2ccc(C(N)=O)cc2N)c(C)c1
ZINC50031416	CC(C)N(Cc1cccs1)c1cc(C(N)=O)c(N)cc1F
ZINC51096221	CC1CCCC(NC(=O)c2cnc(NN)c(Cl)c2)C1C
ZINC51096223	CC1CCCC(NC(=O)c2cnc(NN)c(Cl)c2)C1C
ZINC52859109	NC(=S)c1cc(Cl)ccc1NC1CCCNC1=O
ZINC53114988	CC1CCCC(CO)(Nc2ccc(N)c3ncccc23)C1
ZINC53333884	CCCc1ccc(Oc2ccc(N)cc2C(N)=O)cc1
ZINC54217590	CC(NC(=O)c1cccc(F)c1NN)c1cccs1
ZINC57899050	Cc1ccccc1COc1ccc(CCC(N)=O)cc1N
ZINC20271482	CC[NH+]1CCN(c2ccc([NH+](CC)CC)cc2N)CC1
ZINC48846714	Cc1ccc(C(C)(NC2CCCCC2[NH3+])C(=O)[O-])c(C)c1
ZINC48846755	CCC(NC1CCCCC1[NH3+])(C(=O)[O-])c1ccc(C)cc1
ZINC53113871	Nc1ccc(NC2(CO)CCCCC2)c2ncccc12
ZINC53114546	CC1CCCC(CO)(Nc2ccc(N)c3cccnc23)C1
ZINC07523924	Nc1nc(N)nc(CSc2c(Cl)cccc2Cl)n1
ZINC61846923	NC(=O)c1ccc(N2CCc3c(N)cccc3C2)cc1Cl
ZINC61886608	N/C(=N/O)C1CCCC1NC(=O)CC1CCCCC1
ZINC62100346	CC(C)CCCNc1cc2c(cc1N)NC(=O)CC2
ZINC62192203	CC(Cc1ccccc1)NC(=O)c1cccc(F)c1NN
ZINC62788497	NC(=S)c1ccc(Cl)cc1NC1CCCNC1=O
ZINC62995787	CC[NH+](CC)c1ccc(Nc2ccc(N)cc2C#N)cc1
ZINC63000882	Nc1ccc(NC(CO)c2ccccc2)c2ncccc12
ZINC63000933	Nc1c(NC(CO)c2ccccc2)ccc2ncccc12
ZINC63103740	CC(C)CC(CO)Nc1nc2ccc(N)cc2s1
ZINC04237041	CCCCCC(=O)Nc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCC[NH+](C)C
ZINC03807299	O=C(CNS(=O)(=O)c1ccc2ccccc2c1)NC(CCNc1cc[nH+]cc1)C(=O)N1CCCCC1
ZINC08790572	CCc1cccc2c1NC(=O)C21[NH2+]C(CC(N)=O)C2C(=O)N(CCc3ccc(OC)c(OC)c3)C(=O)C21
ZINC02440665	CSc1nc(NCCOCCO)c2sc3[nH+]c(N4CCOCC4)c4c(c3c2n1)CC(C)(C)OC4
