ZINC13807919	C[NH2+]C[C@H](O)c1cc(O)c(O)cc1F
ZINC37643655	CC[N@@H+]1CC[C@H](CNS(=O)(=O)c2c(Br)cc(N)cc2Br)C1
ZINC38576868	O=C(c1ccccc1)N1N[C@@H](c2cccnc2)N[C@@H]1[NH2+]CC1=CC2=CC=N[C@@H]2C=C1
ZINC39354231	CCc1cccc2c1=[NH+]CC=2C(=O)C(=O)N[C@@H]1S[C@H]2CCCC[C@H]2[C@@H]1C(N)=O
ZINC39597547	Cc1ccccc1C(=O)N1C[C@@H](C(=O)NCCc2c[nH]c3ccccc23)C2(CC[NH2+]CC2)C1
ZINC39597689	O=C(NCCc1c[nH]c2ccccc12)[C@@H]1CN(C(=O)C2CCC2)CC12CC[NH2+]CC2
ZINC39597802	Cc1ccc(F)cc1C(=O)N1C[C@@H](C(=O)NCCc2c[nH]c3ccccc23)C2(CC[NH2+]CC2)C1
ZINC39597888	Cc1ccc(C(=O)N2C[C@@H](C(=O)NCCc3c[nH]c4ccccc34)C3(CC[NH2+]CC3)C2)c(C)c1
ZINC39655779	Cc1ccc2[nH]cc(CCNC(=O)[C@@H]3CN(C(=O)C(C)C)CC34CC[NH2+]CC4)c2c1
ZINC39676423	O=C(NCCc1c[nH]c2ccc(Cl)cc12)[C@H]1CN(C(=O)C2CCC2)CC12CC[NH2+]CC2
ZINC39685699	Cc1ccccc1C(=O)N1C[C@@H](C(=O)N[C@H](C(=O)NC(C)(C)C)C(C)C)C2(CC[NH2+]CC2)C1
ZINC42398115	C[N@H+](CC(=O)Nc1ccc(N)cc1Br)Cc1cc(Br)cs1
ZINC44465408	CCOC(=O)c1c(SCc2ccccc2)sc2c(C[C@H]([NH3+])CO)c(C)nn12
ZINC44714390	Cc1[nH]c2ccc(C#N)cc2c1CCNC(=O)[C@@H]1CN(C(=O)C(C)C)CC12CC[NH2+]CC2
ZINC45511339	C[C@H](C(=O)Nc1sc2c(c1C(N)=O)CCC2)N1CC[NH+](Cc2ccccc2F)CC1
ZINC46943712	Cc1ccc(SCC(=O)NNC(=O)NC2CCN(c3cccc[nH+]3)CC2)cc1
ZINC48787911	[NH3+]Cc1cccc(Br)c1OCC(=O)Nc1ccccc1Br
ZINC50441535	C[NH2+][C@](C)(COc1c(Br)cc([N+](=O)[O-])cc1Br)C(N)=O
ZINC44737595	Cc1ccc2nc([C@H](C)NC(=O)[C@@H]3CN(C(=O)Cc4ccccc4C)CC34CC[NH2+]CC4)[nH]c2c1
ZINC44737601	Cc1ccc2nc([C@H](C)NC(=O)[C@H]3CN(C(=O)Cc4ccccc4C)CC34CC[NH2+]CC4)[nH]c2c1
ZINC27676759	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC[C@@H](c1cccs1)[NH+](C)C
ZINC27676763	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC[C@H](c1cccs1)[NH+](C)C
ZINC60369149	Cc1ccc(-n2nc(C(=O)NCCC[N@@H+]3CCC[C@H](C(N)=O)C3)c3c2CCC3)cc1
ZINC63162463	O=C(NC[C@H](c1ccco1)[NH+]1CCCCC1)Nc1cc(C(F)(F)F)c[nH]c1=O
ZINC63280974	CC(=O)N[C@@H]1Nc2ccc(C(=O)NCCC3=c4cc(F)ccc4=[NH+]C3)cc2S1
ZINC63926021	O=C(NNC(=O)C1=c2ccccc2=[NH+]C1)C1=CNN(c2ccccc2)[C@H]1C(F)(F)F
ZINC64109128	CC1=C(CC(=O)NNC(=O)C2=c3ccccc3=[NH+]C2)[C@H](C)N(c2ccc(F)cc2)N1
ZINC64717520	C[C@@H]1c2ccc(O)c(O)c2OC(=O)[C@H]1CC(=O)NCCC1=c2cc(F)ccc2=[NH+]C1
ZINC64717522	C[C@H]1c2ccc(O)c(O)c2OC(=O)[C@H]1CC(=O)NCCC1=c2cc(F)ccc2=[NH+]C1
ZINC66436448	COc1ccc2[nH]cc(C3CC[NH+](CC(=O)N[C@@H]4CCCCNC4=O)CC3)c2c1
ZINC08762992	COc1ccc2[nH]cc(CC[NH2+]C[C@H]3C(=O)O[C@@H]4CC5=CCC[C@@H](C)[C@@]5(C)[C@@H](O)[C@H]34)c2c1
ZINC08852694	CSc1nc(C)c(CCC(=O)NCCNc2[nH+]cc(C(F)(F)F)cc2Cl)c(=O)[nH]1
ZINC11526597	O=C(C[NH+]1CCC(NC(=O)C[C@H]2Sc3ccc(Cl)cc3NC2=O)CC1)Nc1ccccc1
ZINC12058379	O=C(C[C@H]1C(=O)NCC[N@@H+]1Cc1ccccc1C(F)(F)F)NCC1(O)CCCCC1
ZINC12058381	O=C(C[C@@H]1C(=O)NCC[N@H+]1Cc1ccccc1C(F)(F)F)NCC1(O)CCCCC1
ZINC13960038	O=C(NNC(=S)Nc1ccn(Cc2ccccc2F)n1)[C@H]1CCC[N@@H+](Cc2ccc(F)cc2)C1
ZINC14914364	COc1ccccc1N1CC[NH+]([C@H](C)C(=O)Nc2sc3c(c2C(N)=O)CCC3)CC1
ZINC19112463	O=C(NCCO)c1ccc(-c2csc3ccccc23)nc1N1CCC([N@@H+]2CCC[C@H](CO)C2)CC1
ZINC20287989	CC[NH+]1CCN([C@H](c2cccs2)[C@@H](C)NC(=O)C(=O)NCCc2c[nH]c3ccccc23)CC1
ZINC20392065	CC1(C)Cc2c(c(N3CCCC3)nc3sc4c(NCCCC[NH3+])ncnc4c23)CO1
ZINC20465480	OC[C@@H]1O[C@H](C[NH2+]C2CCCCC2)[C@H](N2CCN(c3cccc(C(F)(F)F)c3)CC2)[C@@H]1O
ZINC20690982	CC[NH+](CC)CCNC(=O)c1ccc2c(c1)[C@H]1C=CC[C@@H]1[C@@H](c1ccc(OC)c(O)c1)N2
ZINC30884056	COCCC(=O)N[C@H]1CC[C@]2(C)CC[C@@H]([C@H](C)C(=O)NCC[NH+]3CCCC3)[C@H](O)[C@H]2[C@@H]1C
ZINC33959557	O=C(NCCCC[C@H](C(=O)N/N=C/c1cccc(O)c1)[NH+]1CCCCC1)c1ccccc1
ZINC21548697	NC(=O)c1c(NC(=O)CN2CC[NH+](C/C=C/c3ccccc3)CC2)sc2c1CCCC2
ZINC34643824	CC(C)(C(=O)N[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@](C(N)=O)(C3)C2)[NH+]1CCN(c2ccc(C(F)(F)F)cn2)CC1
ZINC39331065	O=C(/C=C/[C@H]1CN(C[C@H](O)C[NH2+]CCc2c[nH]c3ccc(F)cc23)c2ccccc21)c1cccs1
ZINC39534483	CS[C@@H]1C[N@H+]([C@H](CNc2ccccc2O)c2ccc(S(=O)(=O)C(C)C)cc2)CCN1
ZINC39597621	O=C(NCCc1c[nH]c2ccccc12)[C@@H]1CN(C(=O)CCC2CCCC2)CC12CC[NH2+]CC2
ZINC39598902	COc1ccc2[nH]cc(CCNC(=O)[C@H]3CN(C(=O)c4ccccc4Cl)CC34CC[NH2+]CC4)c2c1
ZINC39598931	COc1ccc2[nH]cc(CCNC(=O)[C@H]3CN(C(=O)c4ccccc4C)CC34CC[NH2+]CC4)c2c1
ZINC39598981	COc1ccc2[nH]cc(CCNC(=O)[C@H]3CN(C(=O)c4c(F)cccc4F)CC34CC[NH2+]CC4)c2c1
ZINC39599376	COc1ccc2[nH]cc(CCNC(=O)[C@H]3CN(C(=O)[C@@H]4CC=CCC4)CC34CC[NH2+]CC4)c2c1
ZINC39631128	C[C@H](CCCC(C)(C)O)NC(=O)[C@@H]1CN(C(=O)c2ccc(Cl)cc2Cl)CC12CC[NH2+]CC2
ZINC39631791	Cc1ccc(F)cc1C(=O)N1C[C@@H](C(=O)N[C@H](C)CCCC(C)(C)O)C2(CC[NH2+]CC2)C1
ZINC39655973	CCOc1ccccc1C(=O)N1C[C@H](C(=O)NCCc2c[nH]c3ccc(C)cc23)C2(CC[NH2+]CC2)C1
ZINC39656023	Cc1ccc2[nH]cc(CCNC(=O)[C@H]3CN(C(=O)c4cccc(N(C)C)c4)CC34CC[NH2+]CC4)c2c1
ZINC39656167	CC[C@H](C)CC(=O)N1C[C@H](C(=O)NCCc2c[nH]c3ccc(C)cc23)C2(CC[NH2+]CC2)C1
ZINC39656169	CC[C@@H](C)CC(=O)N1C[C@@H](C(=O)NCCc2c[nH]c3ccc(C)cc23)C2(CC[NH2+]CC2)C1
ZINC39673940	CCC[C@@H](C)C(=O)N1C[C@@H](C(=O)NCCc2c(C)[nH]c3ccccc23)C2(CC[NH2+]CC2)C1
ZINC39674035	Cc1[nH]c2ccccc2c1CCNC(=O)[C@H]1CN(C(=O)c2cccc(N(C)C)c2)CC12CC[NH2+]CC2
ZINC39676458	CSCCC(=O)N1C[C@H](C(=O)NCCc2c[nH]c3ccc(Cl)cc23)C2(CC[NH2+]CC2)C1
ZINC39684252	Cc1ccccc1CC(=O)N1C[C@@H](C(=O)NCCc2c[nH]c3c(C)cccc23)C2(CC[NH2+]CC2)C1
ZINC39685807	CC(C)[C@H](NC(=O)[C@H]1CN(C(=O)c2cccc(Cl)c2F)CC12CC[NH2+]CC2)C(=O)NC(C)(C)C
ZINC39685809	Cc1ccc(C(=O)N2C[C@@H](C(=O)N[C@H](C(=O)NC(C)(C)C)C(C)C)C3(CC[NH2+]CC3)C2)c(F)c1F
ZINC39685881	CC[C@H](C)CC(=O)N1C[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C)C(C)C)C2(CC[NH2+]CC2)C1
ZINC39685898	Cc1ccsc1C(=O)N1C[C@H](C(=O)N[C@H](C(=O)NC(C)(C)C)C(C)C)C2(CC[NH2+]CC2)C1
ZINC39709365	CCc1cccc2c1=[NH+]CC=2C(=O)CS[C@@H]1NN[C@@H](c2ccc(C)cc2)[N@H+]1CC(=O)[O-]
ZINC12531703	CC1(C)C[C@H]([NH2+]C2CCOCC2)[C@@]2(CCC(=O)NCc3ccco3)CC[C@](C)(O)C[C@@H]12
ZINC40914612	CN(C)C(=[NH2+])c1csc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)c1
ZINC43193649	COc1cc2c(cc1OCCCN1CCOCC1)[C@H]([NH2+][C@@H]1CC[C@H](F)[C@H](Cl)C1)NCN2
ZINC43548350	CNc1[nH+]c2c(s1)C[C@@]1(C)CC[C@@H]([C@H](C)C(=O)NCCN3CCOCC3)[C@H](O)[C@H]1[C@@H]2C
ZINC43548353	CNc1[nH+]c2c(s1)C[C@@]1(C)CC[C@H]([C@H](C)C(=O)NCCN3CCOCC3)[C@@H](O)[C@H]1[C@@H]2C
ZINC44714398	CCC[C@@H](C)C(=O)N1C[C@H](C(=O)NCCc2c(C)[nH]c3ccc(C#N)cc23)C2(CC[NH2+]CC2)C1
ZINC49554808	C[C@H](CC[NH+](C)C)NS(=O)(=O)c1c(Br)cc(N)cc1Br
ZINC58491221	NS(=O)(=O)c1cccc(NC(=O)CC[N@H+]2CCc3sccc3[C@@H]2c2ccccc2)c1
ZINC63281563	C[C@@H](CC1=c2ccccc2=[NH+]C1)NC(=O)c1ccc2c(c1)S[C@@H](NS(C)(=O)=O)N2
ZINC63941183	Cc1ccc2c(c1)=C(CCN1C[C@H](C(=O)N[C@H]3NN[C@H](CC(C)C)S3)CC1=O)C[NH+]=2
ZINC64003394	CC1=C(C(=O)NCCC2=c3ccccc3=[NH+]C2)C[C@@H](C)N1Cc1ccc(S(N)(=O)=O)cc1
ZINC63363238	CC1=NN([C@@H]2Nc3ccccc3S2)C(=O)/C1=C(/C)NCCSCc1[nH]c[nH+]c1C
ZINC07158376	C[NH+](C)CC(C)(C)C[NH2+]CC(=O)Nc1cc(S(=O)(=O)N2CCCC2)ccc1Cl
ZINC08635557	S=C(NC[C@H]1C[C@@H]2CC[N@H+]1C[C@@H]2C[NH+]1CCOCC1)Nc1ccc(-n2cccn2)cc1
ZINC08931728	NC(=O)C1([NH+]2CCCCC2)CC[NH+]([C@@H]2CC(=O)N(CC(c3ccccc3)c3ccccc3)C2=O)CC1
ZINC09227417	O=C(NCCC[N@@H+]1CCc2ccccc2C1)c1cnn(-c2ccc(F)cc2)c1C1CC[NH2+]CC1
ZINC12373202	O[C@@H]1CCC[N@H+](CCC[NH2+]Cc2cn(-c3ccc(F)cc3)nc2-c2ccccc2Cl)C1
ZINC12441870	COc1ccc(-c2nn(-c3ccccc3)cc2C[NH2+]CCC[N@H+]2CCC[C@@H](O)C2)c(F)c1
ZINC13452332	C[C@H]1CCC[C@H](C)[NH+]1C[C@H](O)COc1ccc(OC[C@H](O)C[N@@H+]2[C@@H](C)CCC[C@H]2C)cc1
ZINC27345012	COCCCN[C@@H]1[NH+]=CNc2c1sc1[nH+]c(N3CCOCC3)c3c(c21)CC(C)(C)OC3
ZINC31231136	C[NH+](C)Cc1ccccc1NC(=O)c1cccc(C(=O)Nc2ccccc2C[NH+](C)C)n1
ZINC35424724	Cc1ccc(C[N@@H+]2CCC[C@H]2c2nc(-c3cc[nH+]c(N4CCC(C(N)=O)CC4)c3)no2)cc1
ZINC35838999	O=C(NCC1CCCCC1)c1coc(C[NH+]2CCN(C[C@H](O)C[NH+]3CCCCC3)CC2)n1
ZINC36729357	CCOC(=O)/[NH+]=c1/ccc2c(C[N@H+](Cc3ccc(C(N)=O)cc3)C3CC3)cc(O)oc-2c1
ZINC06239998	COc1ccc([C@H]2C[C@H](C(F)(F)F)N3NC=C(C(=O)NCCCn4cc[nH+]c4)C3=[NH+]2)cc1
ZINC38932822	COC(=O)[C@@H]1[NH+]=c2ccc(Cl)cc2=C1NC(=O)C[N@H+]1CCc2cc(O)c(OC)cc2[C@@H]1C
ZINC39608719	Cc1cc(C(=O)N2C[C@H](C(=O)N[C@@H]3CC[N@@H+](Cc4ccccc4)C3)C3(CC[NH2+]CC3)C2)c(C(F)(F)F)o1
ZINC39627084	CC[NH+](CC)CCNC(=O)[C@@H]1CN(C(=O)c2ccc(-c3ccccc3)o2)CC12CC[NH2+]CC2
ZINC39628100	O=C(NCC[NH+]1CCCCC1)[C@H]1CN(C(=O)c2cccnc2Oc2ccc(Cl)cc2)CC12CC[NH2+]CC2
ZINC39628181	COc1c(Cl)cc(C(=O)N2C[C@@H](C(=O)NCC[NH+]3CCCCC3)C3(CC[NH2+]CC3)C2)cc1Cl
ZINC39630533	C[NH+](C)CC(C)(C)CNC(=O)[C@H]1CN(C(=O)c2ccccc2Cl)CC12CC[NH2+]CC2
ZINC39630702	C[NH+](C)CC(C)(C)CNC(=O)[C@H]1CN(C(=O)c2cc(F)cc(C(F)(F)F)c2)CC12CC[NH2+]CC2
ZINC39630883	C[NH+](C)CC(C)(C)CNC(=O)[C@H]1CN(C(=O)c2cc(Cl)ccc2F)CC12CC[NH2+]CC2
ZINC39630982	C[NH+](C)CC(C)(C)CNC(=O)[C@H]1CN(C(=O)c2csc3ccccc23)CC12CC[NH2+]CC2
ZINC39634840	CCn1nc(C)c(Br)c1C(=O)N1C[C@@H](C(=O)NCC[NH+](C(C)C)C(C)C)C2(CC[NH2+]CC2)C1
ZINC39670046	Cc1ccn2cc(CNC(=O)[C@@H]3CN(C(=O)CCC4CCCC4)CC34CC[NH2+]CC4)[nH+]c2c1
ZINC39670485	CCOc1ccccc1C(=O)N1C[C@@H](C(=O)NCc2cn3cc(C)ccc3[nH+]2)C2(CC[NH2+]CC2)C1
ZINC39674716	CCC(CC)C(=O)N1C[C@H](C(=O)NCCC2=c3cc(C#N)ccc3=[NH+][C@@H]2C)C2(CC[NH2+]CC2)C1
ZINC39674762	C[C@H]1[NH+]=c2ccc(C#N)cc2=C1CCNC(=O)[C@H]1CN(C(=O)c2cccc(N(C)C)c2)CC12CC[NH2+]CC2
ZINC39683407	CCCC[NH+]1CCC(CNC(=O)[C@@H]2CN(C(=O)[C@@H](C)CCC)CC23CC[NH2+]CC3)CC1
ZINC39687510	CC(C)[C@H](Oc1ccccc1)C(=O)N1C[C@@H](C(=O)NC2CCN(c3cccc[nH+]3)CC2)C2(CC[NH2+]CC2)C1
ZINC39687556	CCCCC(=O)N1C[C@H](C(=O)NC2CCN(c3[nH+]cccc3C)CC2)C2(CC[NH2+]CC2)C1
ZINC39687619	Cc1ccc[nH+]c1N1CCC(NC(=O)[C@H]2CN(C(=O)[C@H](C)Oc3ccccc3)CC23CC[NH2+]CC3)CC1
ZINC39939847	OCC/[NH+]=C(\c1ccc(Cl)cc1)N1CCN(/C(=[NH+]/CCO)c2ccc(Cl)cc2)CC1
ZINC44163870	CCN(CC)c1ccc([C@@H]2CSC[C@@H](C(=O)NC3CC[NH+](Cc4ccccc4)CC3)[NH2+]2)cc1
ZINC35442280	O=C1NC[C@@H](CCC(=O)N2CCN(c3ccccc3)CC2)[N@@H+]2C[C@@H](NCc3ccc(F)cc3)C[C@@H]12
ZINC22936863	Cn1cc(CN[C@H]2C[C@H]3C(=O)NC[C@@H](CCC(=O)Nc4ccccc4)[N@@H+]3C2)c2ccccc21
ZINC19938904	CCC[NH+]1CCC(N2C[C@H]([NH2+]Cc3cc(C)ccc3C)C[C@H]2C(=O)NCCOC)CC1
ZINC39939410	O=C1[NH+]=c2ccc(S(=O)(=O)Nc3ccccc3C(=O)NCCC3=CCCCC3)cc2=[NH+]1
ZINC63506033	O=C(NCCc1c[nH+]c[nH]1)c1ccc(CN2c3[nH+]cccc3N[C@H]2SCc2ccc(F)cc2)cc1
ZINC63515324	CCOC(=O)C1=C(CS[C@H]2[NH+]=c3cccnc3=[NH+]2)NC(=O)N[C@H]1c1cc(C)ccc1C
ZINC63520783	CCOC(=O)C1=C(CSC2[NH+]=c3ccccc3=[NH+]2)NC(=O)N[C@H]1c1ccc(OC)cc1
ZINC63547132	COc1ccc2c(c1)=C(CCNC(=O)[C@@H]1C=C3[NH+]=C(c4ccco4)C=C(C(F)(F)F)N3N1)C[NH+]=2
ZINC53629616	O=C(NCCc1c[nH]c[nH+]1)[C@@H]1C=C2[NH+]=C(c3ccc(Cl)cc3)C=C(C(F)(F)F)N2N1
ZINC63694349	O=C(NCCC1[NH+]=c2ccccc2=[NH+]1)[C@@H]1C[C@H](c2ccccc2)N([C@@H]2CCS(=O)(=O)C2)N1
ZINC63980798	COC(=O)[C@@H]1[C@@H](NC(C)=O)c2cc(NC3CCC3)c[nH+]c2N1CCC1=c2ccccc2=[NH+]C1
ZINC63985562	COC(=O)[C@H]1[C@H](NC(C)=O)c2cc(NCC(C)C)c[nH+]c2N1CCC1=c2ccccc2=[NH+]C1
ZINC63994128	COC(=O)[C@@H]1[C@H](NC(C)=O)c2cc(N[C@H](C)CSC)c[nH+]c2N1CCC1=c2ccccc2=[NH+]C1
ZINC63994304	COC(=O)[C@@H]1[C@@H](NC(C)=O)c2cc(NC3CCSCC3)c[nH+]c2N1CCC1=c2ccccc2=[NH+]C1
ZINC64002134	COC(=O)[C@H]1[C@H](NC(C)=O)c2cc(NC(C)C)c[nH+]c2N1CCC1=c2ccccc2=[NH+]C1
ZINC64164328	CC(C)[C@@H](NC(=O)CS[C@@H]1N=NNN1c1ccccc1Cl)C1[NH+]=c2ccccc2=[NH+]1
ZINC64491430	CCN1C(=O)[C@@H]([NH+]2CCC(C(=O)NCCC3=c4cc(OC)ccc4=[NH+]C3)CC2)Nc2ccccc21
ZINC00354756	C[N@@H+]1CCc2nc3sc(C(N)=O)c(N)c3cc2C1
ZINC16399477	Oc1cccc([C@@H]2[NH2+]CCc3cc(O)c(O)cc32)c1
ZINC05881625	Cc1oc2ccc(CSC(N)=[NH2+])cc2c1CO
ZINC36256505	[NH3+][C@H]1C[C@H](NC(=O)c2cc(Cl)c(Cl)[nH]2)C1
ZINC36813020	Nc1c[nH+]c2ccc(Br)cc2c1NCCO
ZINC37481735	CN(C(=O)[C@@H]([NH3+])CC(N)=O)C1CCCCC1
ZINC37626495	CN(C(=O)[C@@H]([NH3+])CC(N)=O)C1CCCCCC1
ZINC36263267	[NH3+][C@H]1C[C@H]1NC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC39709524	Nc1ccc([C@@H]2[N-]C3=CC(=[NH2+])C=CC3=[NH+]2)cc1Cl
ZINC40999190	Nc1[nH][nH+]cc1Nc1ccc(OC(F)(F)F)cc1
ZINC41027839	C[C@@H](c1ccc(O)cc1O)[N@@H+]1CCC[C@H](N)C1
ZINC41117858	Cc1n[nH]cc1C[NH2+]Cc1cccc(O)c1O
ZINC42428353	CC(C)N(CC(N)=O)c1ccc(N)c2c[nH+]ccc12
