ZINC01637789	CCOP1(=O)CC(C)=C(Cl)C(OC)C1
ZINC39887397	CCc1ccccc1N1C([S-])=C(C#N)C(=O)NC1c1ccc(-c2ccccc2)o1
ZINC39887464	Cc1ccc(-c2ccc(C3NC(=O)C(C#N)=C([S-])N3c3cc(C)ccc3C)o2)cc1
ZINC39887517	Cc1ccc(-c2ccc(C3NC(=O)C(C#N)=C([S-])N3c3ccc(C)cc3C)o2)cc1
ZINC40144111	CCc1ccccc1N1C([S-])=C(C#N)C(=O)NC12CCCC(c1ccc(C)o1)C2
ZINC40147945	CCc1ccccc1N1C([S-])=C(C#N)C(=O)NC1c1ccc(-c2ccccc2F)o1
ZINC40147981	CCOc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2cccc3ccccc23)cc1
ZINC39898676	C=CCN1C(=O)c2n[nH]c(-c3cc(Cl)ccc3[O-])c2C1c1cccc(Cl)c1
ZINC39898676	C=CCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2C1c1cccc(Cl)c1
ZINC41753414	Cc1cc(NC(C)(C(=O)[O-])c2cccc(Br)c2)ccc1Br
ZINC09144936	O=C1CCCC2=C1C(c1cc(Br)ccc1O)C1=C([O-])c3ccccc3C1=N2
ZINC04194143	O=C1CCCC2=C1C(c1ccccc1)c1c([O-])nc(SCc3ccccc3)nc1N2
ZINC56051160	COC(=O)C1=NC(=S)NC(c2ccc(F)cc2)/C1=C(/[O-])c1ccccc1F
ZINC09317346	CCOc1ccc(C2N=C([S-])NC3=C2CCc2ccccc23)cc1Br
ZINC59502665	Oc1ccc(I)cc1/C=N/c1ccc2nc([S-])sc2c1
ZINC33910771	CC1(C(=O)[O-])CCC2C(CCC3CC(O)CCC32C)C1CC1=Nc2ccccc2C1=O
ZINC15015739	CCc1cccc2c1NC(=O)/C2=C1/S/C(=N\c2ccc(C)c(Cl)c2)NC1=O
ZINC20421372	CC1(C(=O)[O-])CCC2C(CCC3CC(O)CCC32C)C1CC1=Nc2ccccc2C1=O
ZINC12376183	O=c1[nH]c([O-])nc2c1sc1nc3c(c(C(F)(F)F)c12)CC(c1ccccc1)CC3
ZINC12376184	O=c1[nH]c([O-])nc2c1sc1nc3c(c(C(F)(F)F)c12)CC(c1ccccc1)CC3
ZINC04678926	CCOc1cc(C2C3=C(CC(C)(C)CC3=O)NC3=C2C(=O)c2ccccc23)ccc1O
ZINC12428273	O=c1cc([O-])c2sc3nc(C45CC6CC(CC(C6)C4)C5)cc(C(F)F)c3c2[nH]1
ZINC06204226	Cc1ccc(/C(=N\Nc2nc3ccccc3s2)C2=C([O-])c3ccccc3C2=O)cc1
ZINC64795765	O=C1CC(c2cccc(F)c2)c2sc(C(=O)[O-])c(-c3ccc(Cl)cc3)c2N1
ZINC64796161	Cc1ccc(-c2c(C(=O)[O-])sc3c2NC(=O)CC3c2cc(F)ccc2F)cc1
ZINC64797826	O=C1CC(c2c(F)cccc2F)c2sc(C(=O)[O-])c(-c3cccc(F)c3)c2N1
ZINC08783266	O=c1[nH]c([O-])nc2c1sc1nc(-c3ccccc3Cl)cc(C(F)(F)F)c12
ZINC04330641	CC(=O)N1CCc2c(sc(NC(=O)c3cc(C)ccc3C)c2C#N)C1
ZINC00807598	O=C(NCC1CCCO1)c1cc2cc(Cl)cc(Cl)c2oc1=O
ZINC04770303	O=C1CC(c2c(F)cccc2Cl)c2c(n3ccsc3nc2=O)N1
ZINC04944523	CSc1nc(=O)c2c(n1C)NC(=O)CC2c1cccc(Cl)c1Cl
ZINC02790093	O=C(Nc1c(F)c(F)cc(F)c1F)c1nn2cccnc2c1Cl
ZINC11639395	O=C(c1cc(Br)ccc1O)N1CCC2(CC1)OCCO2
ZINC13036276	Oc1cccc(C2=NN3C(C2)c2ccccc2OC3c2ccncc2)c1
ZINC13036278	Oc1cccc(C2=NN3C(C2)c2ccccc2OC3c2ccncc2)c1
ZINC15219592	O=C1Nc2cc(Cl)c(F)cc2/C1=N/N1C(=O)C(Cl)C1c1ccccc1
ZINC17026567	Cc1ccc(C)c(S(=O)(=O)Nc2ccc3c(c2)CCC(=O)N3C)c1
ZINC19902705	CC1CCc2c(sc(NC(=O)CN3CC(C)OC(C)C3)c2C#N)C1
ZINC22062493	CNC(=O)C1CCN(c2ncnc3sc4c(c23)CCC(C)C4)CC1
ZINC25694909	COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccncc1F
ZINC32943948	O=S(=O)(c1ccc2c(c1)NCCS2)N1CCOc2ccccc21
ZINC33045783	CCC1(C)NC(=O)N(/N=C/c2cc(Br)ccc2F)C1=O
ZINC17074319	Cc1nn(C)cc1Cn1c(=S)[nH]c2sc3c(c2c1=O)CCC(C)C3
ZINC36366386	O=C(Nc1nnc(C2CCCO2)s1)c1ccc(Cl)c(Cl)c1
ZINC12324326	Fc1cc(F)cc(Cc2n[nH]c(=S)n2-c2ccc3c(c2)OCO3)c1
ZINC37856699	CCC1c2ccsc2CCN1S(=O)(=O)c1sc(=O)[nH]c1C
ZINC01067766	COc1ccc(Cl)cc1C1CC(=O)Nc2cc3c(cc21)OCCO3
ZINC38680485	Cc1ccc(S(=O)(=O)Nc2cc3c4c(c2)CCN4C(=O)CC3)c(C)c1
ZINC38768421	O=C1CC(c2cccc3ccccc23)C2C(=O)N=C(c3ccccc3)N=C2N1
ZINC14189798	CC1CC(C)(C)CC2(C1)NC(=O)N(CN1CCc3sccc3C1)C2=O
ZINC41503508	Cc1c(C(=O)C(C#N)c2nc3ccccc3s2)[nH]c2c1C(=O)CCC2
ZINC44013828	CC1CCC(N(C)C(=O)Nc2ccc(C(=O)N3CCCC3)cc2)CC1
ZINC44393142	O=S1(=O)CC/C(=N/Nc2ccc3ccccc3n2)c2cc(F)ccc21
ZINC45705333	CC(NC(=O)C1CSC2(C)CCC(=O)N12)c1cc2ccccc2o1
ZINC45975968	O=C(Nc1ccc2c(c1)OCCCO2)N1CCCC1c1ccsc1
ZINC46490736	CC1CC1C(=O)Nc1ccc(C(=O)N2CCOC3CCCCC32)cc1
ZINC46707314	N#CC(C(=O)C1CC=CCC1)c1nc2sc3c(c2c(=O)[nH]1)CCCC3
ZINC47001578	CN(Cc1cccc2ccccc12)C(=O)NC1CCCc2c1cnn2C
ZINC48100683	CC1CCCN(C(=O)Nc2ccc(C(=O)N3CCCCC3C)cc2)C1
ZINC49203457	Cc1nc(NC(=O)N(C)Cc2ccc(Br)s2)oc1C
ZINC49206927	COc1cc(Br)cc(C)c1NC(=O)N1CCOC(C)C1
ZINC47033919	CC1CCCN(C(=O)NC2CCCc3c2cnn3Cc2ccccc2)C1
ZINC61722056	O=C(Cn1nc2c(cc1=O)CCCCC2)Nc1cc(F)c(F)c(F)c1
ZINC13570257	Cc1noc2c1C(c1cccnc1)C1=C(CC(c3ccccc3)CC1=O)N2
ZINC36352850	N#Cc1ccc(C2CC(O)=Nc3c2ncn3-c2ccccc2Cl)cc1
ZINC36352850	N#Cc1ccc(C2CC(=O)Nc3c2ncn3-c2ccccc2Cl)cc1
ZINC63187133	CNC(=O)c1ccc(S(=O)(=O)N2CCCC3CC(C)CCC32)cc1
ZINC63529051	Cc1c(C(=O)NCc2cccc(Cl)c2)oc2c1C1N=NC=C1CC2
ZINC40287888	Cn1c(=O)n(C)c2cc(CC3C(=O)Nc4cc(Cl)ccc43)ccc21
ZINC64202298	O=C(Nc1ccc2c(c1)OC1(CCCCC1)O2)C1C=CC=NC1=S
ZINC58217984	CC(c1cccc(Cl)c1)N(C)C(=O)NC1CCCc2c1cnn2C
ZINC64318812	CC1CCC2C(CCCN2C(=O)c2ccc3c(c2)NC(=O)CN3C)C1
ZINC64950668	O=S(=O)(c1ccccc1)N1CCC(c2c[nH]c3ncccc23)CC1
ZINC65398551	CC1(C)Cc2cccc(C3CC(=O)NCc4nc5ccccn5c43)c2O1
ZINC65507276	Cc1ccc2c(c1)NC(N1CCN(CC3=CC=CC4N=CC=C34)CC1)O2
ZINC65547746	CC(c1cc(F)ccc1F)N(C)C(=O)NC1CCCc2c1cnn2C
ZINC67353031	CC1CCCN(C(=O)Nc2cc(F)c(S(C)(=O)=O)c(F)c2)CC1
ZINC67531488	Cc1ccsc1-c1cccc(NC(=O)C(=O)N2CCOCC2C)c1
ZINC04128555	O=C([O-])C1C2C=CC(C2)C1C(=O)Nc1nncs1
ZINC04715306	O=C([O-])c1cc(=O)[nH]c2ccc([N+](=O)[O-])cc12
ZINC05094731	O=C([O-])C1C2CCC(C2)C1C(=O)Nc1nncs1
ZINC02771484	CC1(C(=O)Nc2nnn[n-]2)CC1(Cl)Cl
ZINC08411255	Cc1ccc([N+](=O)[O-])c2c1NC(C(=O)[O-])C1CC=CC21
ZINC12398365	CC(C)n1nc2[nH]c(=O)cc(C(F)F)c2c1C(=O)[O-]
ZINC19386422	O=C([O-])c1ccc(CN2C(=O)NC3(CCCC3)C2=O)o1
ZINC15109423	O=C([O-])C1=Nc2ncnn2C(c2ccc(O)cc2)C1
ZINC20218339	CC1CC(C)CN(C(=O)NC(=O)/C=C/C(=O)[O-])C1
ZINC20593120	O=C([O-])c1ccc2c(c1)[nH]c(=O)c(=O)n2CC1CCCO1
ZINC21953630	Cn1c2nc(C3CCCC3)nc(=S)c-2c([O-])[nH]c1=O
ZINC22147601	CC1CC1c1nc2n(C)c(=O)[nH]c([O-])c-2c(=S)n1
ZINC03153677	O=C1N=C([O-])/C(=C/c2ccc([N+](=O)[O-])s2)C(=O)N1
ZINC26274418	N#Cc1nc(NC(=O)C2CC=CCC2)[n-]c1C#N
ZINC32123984	O=c1cc(CP(=O)([O-])O)c2cc3c(cc2o1)OCO3
ZINC36232843	CC1(C)CN(C(=O)NC(=O)CCC(=O)[O-])CCO1
ZINC36778296	O=C([O-])c1ccc2c(c1)CCN2C(=O)c1cn[nH]c1
ZINC37516992	O=C([O-])C1CC1c1nc2cc3c(cc2[nH]1)OCCO3
ZINC37583190	C#CC(=O)Nc1ccc(C(=O)[O-])cc1[N+](=O)[O-]
ZINC00160102	S=c1nc2nc(N3CCOCC3)ncc2c([S-])[nH]1
ZINC38588582	O=C([O-])c1cccc([N-]C2=NC=NC3=NC=NC32)c1
ZINC38665047	[NH-]C1=NC(=O)C2=NC(I)=NC2=N1
ZINC39783582	CC1=C(C)C2C(=O)N=C3C(C(=O)[O-])=NNN3C2S1
ZINC40558247	Cc1oc(CNC(=O)N2CCSCC2)cc1C(=O)[O-]
ZINC41681663	CC1CN(C(=O)NC(=O)CCC(=O)[O-])CC(C)(C)O1
ZINC41682735	CC1CN(C(=O)NC(C(=O)[O-])C(C)(C)C)CC(C)(C)O1
ZINC41687992	CC(C)(Br)C(=O)Nc1nnn[n-]1
ZINC43428652	O=C([O-])CCNC(=O)N1CCOC2CCCCC21
ZINC43705694	O=C([O-])C1CN(C(=O)NCc2ccco2)CCO1
ZINC44154481	O=C([O-])c1[nH]nc(C(F)(F)F)c1[N+](=O)[O-]
ZINC44343049	Cc1cc(C(=O)NC(C)c2nnn[n-]2)sc1C
ZINC44931672	Cc1sc2ncnc(NCc3nnn[n-]3)c2c1C
ZINC48916549	CCC1COC(C)CN1C(=O)NC(=O)/C=C/C(=O)[O-]
ZINC49252929	CC1CCCCC1N(C)C(=O)c1n[nH]c([O-])n1
ZINC50376535	COC1CCCC1NC(=O)N1CCC(C(=O)[O-])CC1
ZINC50376536	COC1CCCC1NC(=O)N1CCC(C(=O)[O-])CC1
ZINC56214347	O=C1CNC(/N=C(\[O-])c2ccc(-c3cnco3)cc2)=N1
ZINC58386975	N#Cc1cccc(/C=C/C([O-])=N/c2ncn[nH]2)c1
ZINC61684492	O=S(=O)([N-]c1ccon1)c1cccc(C#CCO)c1
ZINC61721810	Cc1nn(C)c(C)c1NC(=O)C1C(C(=O)[O-])C1(C)C
ZINC61937662	O=C([O-])C1CCC(NC(=O)N2CCCOCC2)CC1
ZINC62136769	Cc1cnc(CNC(=O)N2CCC(C(=O)[O-])C2)cn1
ZINC62767302	CC1CCC(C(=O)[O-])C(Sc2n[nH]c(=O)n2C)C1
ZINC62869772	CCC1(C(=O)[O-])CCCN(C(=O)C2CSC(=O)N2)C1
ZINC62874282	CC1(C(=O)[O-])CCCN(C(=O)NCC2COCCO2)C1
ZINC62876118	CC1(C(=O)[O-])CCCN(C(=O)NCC2CCCOC2)C1
ZINC62924474	CC1(C(=O)[O-])CCN(C(=O)NCC2CCCO2)C1
ZINC62925174	CC(NC(=O)N1CCC(C)(C(=O)[O-])C1)C1CCCO1
ZINC04777047	Cc1cc(C)nc(N/N=C/C2=C([O-])CC(C)CC2=O)n1
ZINC63215565	O=C([O-])c1nccnc1NC(=O)C1CC=CCC1
ZINC04628790	CCC1CCc2c(sc(NC(=O)C3CCCCC3C(=O)[O-])c2C#N)C1
ZINC04628792	CCC1CCc2c(sc(NC(=O)C3CCCCC3C(=O)[O-])c2C#N)C1
ZINC04909679	O=C([O-])c1ccc(Nc2cnn(C34CC5CC(CC(C5)C3)C4)c(=O)c2Cl)cc1
ZINC05770123	O=[N+]([O-])c1cc(Br)c([O-])c(/C=C/c2ccc3cccc(O)c3n2)c1
ZINC06721379	COC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(C(=O)[O-])cc1)N2
ZINC13463197	O=C([O-])c1ccc(OS(=O)(=O)c2ccc3c(c2)CCCC3)cc1O
ZINC05626431	[S-]c1nnc(-c2cc(-c3ccccc3)n[nH]2)n1/N=C/c1ccccc1Cl
ZINC19827477	CC(C)(C)c1ccc(/C=N/n2c([S-])nnc2-c2[nH]nc3c2CCC3)cc1
ZINC06626699	Cc1nn(-c2ccccc2)c([O-])c1/C=N/Nc1cc(C)c2ccccc2n1
ZINC26980554	Cc1cccc(-c2nnc([S-])n2CC(=O)NC2CCCCC2C)c1
ZINC27516803	CC1CCc2sc3nc([O-])n4nc(-c5ccccc5O)nc4c3c2C1
ZINC27516804	CC1CCc2sc3nc([O-])n4nc(-c5ccccc5O)nc4c3c2C1
ZINC27516928	CC1CCc2c(sc3nc([O-])n4nc(-c5cccc(O)c5)nc4c23)C1
ZINC28463206	CC1CCc2oc3ccc(NS(=O)(=O)c4cccc(C(=O)[O-])c4)cc3c2C1
ZINC01235282	CC(C)c1ccc(/C=N\n2c([S-])nnc2-c2[nH]nc3c2CCC3)cc1
ZINC13407624	O=C1c2c([O-])c(Cl)c(Cl)c(O)c2C(=O)C2Cc3ccccc3CC12
ZINC13576948	N#Cc1c([O-])nc(Nc2nc3ccccc3s2)nc1-c1ccccc1
ZINC05626428	[S-]c1nnc(-c2cc(-c3ccccc3)n[nH]2)n1/N=C/c1ccc(Cl)cc1
ZINC06785885	Cc1ccccc1/C=N/n1c([S-])nnc1-c1cc(-c2ccccc2)n[nH]1
ZINC19900760	CC1=NC2=N/C(=N/c3ccc(C)cc3)NC(c3ccccc3)N2C([O-])=C1
ZINC38777029	COc1ccc(Cl)cc1N1C([S-])=NNC1C1C=C(c2ccccc2)N=N1
ZINC38966076	CC(C)c1ccc(/C=N/N2C([S-])=NNC2C2N=NC3=C2CCC3)cc1
ZINC39141075	[O-]C1=NC(=S)N=C2NC(c3ccccc3)=CC(c3ccccc3C(F)(F)F)C12
ZINC39167603	Cc1cc([O-])nc(SCC(=O)NC2SC3CCCCCCC3C2C#N)n1
ZINC39456534	COc1c2c(n([O-])c1C)-c1nc3ccccc3c(-c3ccccc3O)c1C(=O)CC2
ZINC39593209	CC(C)(C)c1ccc(/C=N/N2C([S-])=NNC2C2N=NC3=C2CCC3)cc1
ZINC40124661	O=C1NC(c2ccc(Cl)c(Cl)c2)C(C(=O)c2cc3ccccc3o2)=C1[O-]
ZINC39898618	C=CCN1C(=O)c2n[nH]c(-c3cc(Cl)ccc3[O-])c2C1c1ccccc1
ZINC39898618	C=CCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2C1c1ccccc1
ZINC39898625	C=CCN1C(=O)c2n[nH]c(-c3cc(Cl)ccc3[O-])c2C1c1ccc(F)cc1
ZINC39898625	C=CCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2C1c1ccc(F)cc1
ZINC44924286	O=c1[nH]nc(-c2nnc([S-])n2-c2cccc3ccccc23)c2ccccc12
ZINC17921263	C=CCn1c([O-])c(C(=O)Nc2nc(-c3ccccc3)cs2)c(=O)c2ccccc21
ZINC20028351	CSc1ccc(C2N/C(=N\c3ccccc3Cl)N=C3N=C(C)C=C([O-])N32)cc1
ZINC19921984	CC1=NC2=N/C(=N/c3cccc(C)c3)NC(c3ccccc3)N2C([O-])=C1
ZINC51653051	N#C/C(C(=O)NC1CCCC1)=C(/[O-])c1csc(-c2cccs2)n1
ZINC52538651	COC(=O)/C([O-])=C1/C(c2ccccc2F)=NC(=S)NC1c1cccc(C)c1
ZINC39789531	Cc1ccc2nc(SCc3cc(C(=O)[O-])cc4c3OCOC4)[nH]c2c1
ZINC09010086	CC1=NC2=NC(Nc3ccc(C)cc3)=NC(c3ccc(F)cc3)N2C([O-])=C1
ZINC57315551	CCOC(=O)c1c([O-])c2c(-c3ccc(Br)cc3)csc2[nH]c1=O
ZINC15405559	COC(=O)C1=C(C)/C(=C2/CSC([N-]c3ccc(Cl)c(Cl)c3)=NN2)N=C1C
ZINC62824901	CC1CCN(C(=O)Nc2ccc(I)cc2C(=O)[O-])C(C)C1
ZINC13125099	Oc1ccc(/N=N/c2n[nH]c(-c3ccc(Br)cc3)n2)cc1
ZINC13125099	Oc1ccc(/N=N/c2nc(-c3ccc(Br)cc3)n[n-]2)cc1
ZINC13692319	Cc1nn(-c2cccc(Cl)c2C)c2c1C(c1ccc(C(=O)[O-])cc1)CC(O)=N2
ZINC13692319	Cc1nn(-c2cccc(Cl)c2C)c2c1C(c1ccc(C(=O)[O-])cc1)CC(=O)N2
ZINC04613894	CC1=CC(c2ccccc2)N2N=C(/N=C([O-])/C=C/c3ccccc3)NC2=N1
ZINC04613894	CC1=Nc2nc(NC(=O)/C=C/c3ccccc3)nn2C(c2ccccc2)C1
ZINC09043902	CC12CCC3C(CCC4Cc5nc([O-])c(C#N)c(C#N)c5CC43C)C1CCC2O
ZINC63579825	O=c1[nH]c(-c2cccs2)ccc1-c1nc([O-])c2c3c(sc2n1)CSCC3
ZINC63753163	CC1=C(S(=O)(=O)[N-]c2ccc(C3Nc4ccc(C)cc4S3)cc2)C(C)N=N1
ZINC63753170	CC1=C(S(=O)(=O)[N-]c2ccc(C3Nc4ccc(C)cc4S3)cc2)C(C)N=N1
ZINC64790903	Cc1ccc(-c2nc3nc(CNc4ccc(F)cc4)cc(=O)n3[n-]2)cc1C
ZINC66004445	Cc1nc(C(C)C)sc1C(=O)/C(C#N)=C(/[O-])c1c(C)[nH]c2ccccc12
ZINC66004660	Cc1[nH]c2ccccc2c1/C([O-])=C(/C#N)C(=O)c1csc(-c2ccco2)n1
ZINC03908440	N#Cc1c(NC(=O)c2cc(-c3ccco3)on2)sc2c1CCCC2
ZINC04107338	O=C(Nc1nnc(-c2ccco2)o1)c1cc(Cl)sc1Cl
ZINC04787667	Cc1ccc(C)c(CN2C(=O)NC(C)(c3ccc4c(c3)OCO4)C2=O)c1
ZINC04956748	O=C1NC2(CCCC2)C(=O)N1Cc1cc2c(cc1Br)OCO2
ZINC05456618	Cc1cc(-c2nnc3n2N=C(c2ccccc2Cl)CS3)n[nH]1
ZINC05456618	Cc1cc(-c2nnc3n2N=C(c2ccccc2Cl)CS3)[nH]n1
ZINC05603540	O=C1Nc2ccccc2/C1=N\N=C\c1ccc(N2CCOCC2)cc1
ZINC00210229	O=[N+]([O-])c1cc(C[NH+]2CCc3ccccc3C2)c([O-])c2ncccc12
ZINC03592870	CC1Cc2ccccc2N1C(=O)CN1C(=O)NC2(CCCCCC2)C1=O
ZINC09044320	O=C1CCCC2=NC(Nc3nc4ccccc4o3)=NC3(CCCC3)C12
ZINC12032233	Cc1n[nH]c(C)c1S(=O)(=O)N1CCc2cc3cc(Cl)ccc3nc21
ZINC13041945	CC1(c2ccccc2)NC(=O)N(Cc2cn3cc(Cl)ccc3n2)C1=O
ZINC14900941	CN1CCN(C(=O)Cc2c[nH]c3ccccc23)c2nc3ccccc3nc21
ZINC15662332	CC1CCCCC1NC(=O)Cn1cnc2c(oc3ccccc32)c1=O
ZINC16958431	Cc1ccc2c(c1)[nH]c(=S)n2/C=C(\C#N)c1ccc([N+](=O)[O-])cc1
ZINC20637876	CCOc1ccccc1C1C(C#N)C(=O)Nc2nc3ccccc3n21
ZINC20909974	Cc1nc(C)c(-c2nc3c(cnn3C(C)c3ccccc3)[nH]2)nc1C
ZINC20997121	CCc1ocnc1C(=O)N1CCC(c2nc3ccc(C)cc3[nH]2)CC1
ZINC23043585	Cc1cc(C)n2ncc(C(=O)NC(C)c3cc4ccccc4o3)c2n1
ZINC24694994	O=C(c1n[nH]c2ccccc12)N1CCCC(c2nc3ccccc3o2)C1
ZINC26544745	CC1(C)OC(=O)C(C(c2cccnc2)c2c[nH]c3ccccc23)C(=O)O1
ZINC32959911	Cc1oc2ncnc(N3CCCC(C(=O)NC4CCCC4)C3)c2c1C
ZINC37131395	Cn1ncc2c1CCCC2Nc1ccc([N+](=O)[O-])cc1Br
ZINC38742384	CC(C)C1=CC(c2nnc3n2NC(c2ccccc2F)S3)N=N1
ZINC38743150	C1=C(c2ccccc2)N=NC1c1nnc2n1NC(c1cccs1)S2
ZINC39024354	Fc1ccc(C2=CC(C3=NN4C=Nc5ccccc5C4N3)N=N2)cc1
