ZINC19433863	CC([NH3+])C(=O)Nc1ccccc1C(=O)NC1CC1
ZINC40998935	[NH3+]C1CCCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC40998936	[NH3+]C1CCCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC40998937	[NH3+]C1CCCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC41631251	Nc1cc(-c2ccc(=O)[nH]n2)ccc1N1CC[NH2+]CC1
ZINC42427034	Cc1nnc(N2CCC(CC(N)=O)CC2)c(C[NH3+])c1C
ZINC44763555	CNC(=O)C(C)NC(=O)C1(C[NH3+])CCCCCC1
ZINC44763556	CNC(=O)C(C)NC(=O)C1(C[NH3+])CCCCCC1
ZINC48348940	Cc1ccc(C[NH2+]CC(=O)NC(N)=O)s1
ZINC48846816	CC(NC1CCCCC1[NH3+])(C(=O)[O-])c1cccc[nH+]1
ZINC49837070	Cc1ccccc1C(=O)NNC(=O)C([NH3+])C(C)C
ZINC04089828	N/[NH+]=C(/C[N+](=O)[O-])Nc1ccc(O)cc1F
ZINC50812459	NC(=O)C1CCC[NH+]1Cc1cc([N+](=O)[O-])ccc1N
ZINC50812460	NC(=O)C1CCC[NH+]1Cc1cc([N+](=O)[O-])ccc1N
ZINC51121138	NNc1ncccc1C(=O)NC1CC[NH+]2CCCCC12
ZINC51145872	NNc1ccc([N+](=O)[O-])cc1C[NH+]1CCCC(O)C1
ZINC51693745	[NH3+]C1CCC(Nc2c[nH]nc2[N+](=O)[O-])CC1
ZINC52000506	NC(=O)N1CCC([NH2+]C2CCCCC2O)CC1
ZINC54138817	C[NH+]1CCC(NC(=O)OC(C)(C)C)(/C(N)=N/O)CC1
ZINC55128386	CC(C)NC(=O)CNC(=O)C1C(C)CCCC1[NH3+]
ZINC55135133	NC(=O)C1CCCCN1C(=O)CC1CCC([NH3+])CC1
ZINC55135135	NC(=O)C1CCCCN1C(=O)CC1CCC([NH3+])CC1
ZINC55135154	CC1CCC([NH3+])CC1C(=O)N1CCCCC1C(N)=O
ZINC55146494	NC(=O)C1CCCN1C(=O)C1CCCC(CC[NH3+])C1
ZINC55146496	NC(=O)C1CCCN1C(=O)C1CCCC(CC[NH3+])C1
ZINC61612764	[NH3+]CC(C(=O)Nc1cc[nH]n1)c1ccccc1
ZINC61612765	[NH3+]CC(C(=O)Nc1cc[nH]n1)c1ccccc1
ZINC61617304	C[NH+]1CCC(NC(=O)C(/C(N)=N/O)c2ccccc2)C1
ZINC62900866	CCC1(C(=O)Nc2sccc2C(N)=O)CC[NH2+]C1
ZINC62900868	CCC1(C(=O)Nc2sccc2C(N)=O)CC[NH2+]C1
ZINC63092441	CC(CC(N)=[NH2+])N(C)c1ncnc2[nH]cnc12
ZINC63176547	[NH3+]C1CCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC63176549	[NH3+]C1CCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC63176551	[NH3+]C1CCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC63176554	[NH3+]C1CCCC1Nc1c[nH]nc1[N+](=O)[O-]
ZINC04279743	O=C1NC(c2ccc(O)cc2)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1
ZINC04279744	O=C1NC(c2ccc(O)cc2)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1
ZINC04279745	O=C1NC(c2ccc(O)cc2)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1
ZINC00623841	Cc1ccccc1C(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCC(C)C2
ZINC00623838	Cc1ccccc1C(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCC(C)C2
ZINC02167753	CNc1ccccc1C(=O)NNC(=O)Nc1ccc(F)cc1F
ZINC04833300	CSc1ccc(C2C(C(N)=O)C(=O)NC(O)(c3ccccc3)C2C#N)cc1
ZINC12377925	O=C1NC(c2ccc(O)cc2)C(C(=O)c2cccs2)C(O)(C(F)(F)F)N1
ZINC12563954	Cc1ccc(NC(C)C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)c(C)c1
ZINC15017018	CSc1ccc(C2C(C(N)=O)C(=O)NC(O)(c3ccccc3)C2C#N)cc1
ZINC15017020	CSc1ccc(C2C(C(N)=O)C(=O)NC(O)(c3ccccc3)C2C#N)cc1
ZINC15105996	CNC(=O)C1C(c2ccc(Br)cc2)c2c(O)n[nH]c2CC1(C)O
ZINC30982320	NC(=O)c1cc(-c2csc(NC(=O)c3ccc(F)cc3Cl)n2)c[nH]1
ZINC35145045	N=C1N=C(NC(O)C(Cl)(Cl)Cl)NC(C(Cl)(Cl)Cl)O1
ZINC37036621	Cc1nc(N)sc1SCC(=O)NC(=O)NC1CCCCC1
ZINC37496073	Cc1cc(S(N)(=O)=O)cc(NC(=O)c2cc(Br)c[nH]2)c1C
ZINC36709088	NC(=O)c1csc(NC(=O)Nc2ccccc2C(F)(F)F)n1
ZINC40069441	NC(=O)NC(CC(=O)NC1CCCCC1)c1ccc(Br)cc1
ZINC40218871	NS(=O)(=O)c1ccc(CCNC(=O)NC2CCCCC2)s1
ZINC40376779	CCC(NS(=O)(=O)c1cc(Cl)sc1Cl)/C(N)=N/O
ZINC40377129	N/C(CNS(=O)(=O)c1c(Cl)cc(Br)cc1Cl)=N\O
ZINC40377222	N/C(=N/O)C1(NS(=O)(=O)c2ccc(Cl)cc2)CCCCC1
ZINC40824437	CCC(C)NC(=O)c1oc2c(c1C)/C(=N/NC(N)=S)CCC2
ZINC40824464	Cc1c(C(=O)NC(C)(C)C)oc2c1/C(=N/NC(N)=S)CCC2
ZINC41070057	CC1CCCC(NS(=O)(=O)c2cc(Br)cnc2NN)C1
ZINC42015032	Nc1cc(N)cc(-c2nnnn2-c2cc(Cl)cc(Cl)c2)c1
ZINC44452569	NC(=O)NC(=O)c1c(NC(=O)c2ccc(Cl)cc2)sc2c1CCC2
ZINC45678994	Cc1ccc(CNC(=O)NNC(=O)Cc2c[nH]c3ccccc23)s1
ZINC45724932	NC(=O)Cc1ccccc1NC(=O)NCC1COc2ccccc2C1
ZINC47534711	CC(NC(=O)c1cc2ccccc2[nH]1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC47895306	CC(Sc1ccc(O)cc1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC48638294	NC(=O)c1cc(NC(=O)C(=O)NC2CCCCCCC2)ccc1F
ZINC18116993	CCCc1n[nH]c2c1C(c1c[nH]c3ccccc13)C(C#N)=C(N)O2
ZINC51122960	NNc1ccc(C(=O)Nc2c(Cl)cc(Br)cc2Cl)nn1
ZINC54156150	CC(CNS(=O)(=O)c1cc(Cl)cc(Cl)c1)/C(N)=N/O
ZINC54163164	CCC(C/C(N)=N/O)NC(=O)c1ccc(F)cc1Br
ZINC57003514	O=C(CNC(=O)NC1c2ccccc2CC1O)Nc1ccc(F)c(F)c1
ZINC21655319	NC(=O)CCSc1nnc(-c2ccc(Cl)cc2Cl)n1N
ZINC58903609	Cc1ccccc1C1C(C(N)=O)=C(N)Oc2c1c(C)nn2-c1ccccc1
ZINC59460847	NC(N)=NS(=O)(=O)c1ccc(/N=C/c2ccc(Br)cc2)cc1
ZINC61887980	N/C(=N/O)C1CCCC1NS(=O)(=O)c1ccc(Br)s1
ZINC61887982	N/C(=N/O)C1CCCC1NS(=O)(=O)c1ccc(Cl)s1
ZINC61887984	N/C(=N/O)C1CCCC1NS(=O)(=O)c1ccc(Cl)s1
ZINC64079723	O=C(NCCNC1Nc2ccccc2S1)c1ccc2[nH]cnc2c1
ZINC65191905	O=C(NCC1CC1)NNC(=O)c1[nH]c2ccc(Br)cc2c1Cl
ZINC66595883	CC1(CNC(=O)NCc2ccc(S(N)(=O)=O)s2)CCCC1
ZINC66951862	CNC(=O)c1ccc(NC(=O)NCC2(O)CCCc3ccccc32)cc1
ZINC66976334	CC(NC(=O)NCC1(O)CCCc2ccccc21)c1nc2ccccc2[nH]1
ZINC66976487	Cc1cc(C)c(CNC(=O)NCC2(O)CCCc3ccccc32)c(=O)[nH]1
ZINC67613996	O=C(NNC(=O)c1cc(Br)c[nH]1)NC1CC1c1ccccc1
ZINC08665439	C(/C=N/NC1=[NH+]CCCCN1)=N/NC1=[NH+]CCCCN1
ZINC26476579	[NH3+]CCN1CCC2(CC1)[NH2+]CCc1nc[nH]c12
ZINC31946769	CCC(=O)Nc1sc2c(c1C(=O)NCC[NH3+])CC[NH+](C)C2
ZINC32075930	CC(C)C(C(=O)N1CCC([NH3+])CC1)[NH+]1CCC(C(N)=O)CC1
ZINC36231522	NC(=[NH2+])c1ccc(C[NH+]2CCN(CCO)CC2)c(F)c1
ZINC37157750	CCCC1CCC(C[NH3+])C([NH+]2CCCC(C(N)=O)C2)C1
ZINC37158204	CCCC1CCC(C[NH3+])C([NH+]2CCC(C(N)=O)CC2)C1
ZINC37158214	CCC1CCC(C[NH3+])C([NH+]2CCC(C(N)=O)CC2)C1
ZINC37158883	CCCC1CCC(C[NH3+])C([NH+]2CCCC2C(N)=O)C1
ZINC37158893	CC1CCC(C[NH3+])C([NH+]2CCCC2C(N)=O)C1
ZINC37158895	CC1CCC(C[NH3+])C([NH+]2CCCC2C(N)=O)C1
ZINC39124197	c1cc2cc(c1)NCC[NH2+]CCC[NH2+]CCN2
ZINC39698145	[NH2+]=C1C=CC2=[NH+]C(c3ccccc3C3[N-]C4=CC(=[NH2+])C=CC4=[NH+]3)[N-]C2=C1
ZINC39702015	[NH2+]=C1C=CC2=[NH+]C(c3ccc(C4[N-]C5=CC(=[NH2+])C=CC5=[NH+]4)cc3)[N-]C2=C1
ZINC40431143	NC(=O)C1CC[NH+](C2CCCCCC2[NH3+])CC1
ZINC40750132	CC(C)(C)NC(=O)NC(=O)C[NH+]1C2CCC1CC([NH3+])C2
ZINC40810364	CC1(C)CC(NC(=O)CCC[NH3+])CC(C)(C)[NH2+]1
ZINC40810380	CC(C)C([NH3+])C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC40810431	CC1(C)CC(NC(=O)C2([NH3+])CCCC2)CC(C)(C)[NH2+]1
ZINC40810436	CCCCC([NH3+])C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC40810445	CC1(C)CC(NC(=O)C2CCC([NH3+])CC2)CC(C)(C)[NH2+]1
ZINC40925104	CC1(C)CC(NC(=O)C(C)(C)[NH3+])CC(C)(C)[NH2+]1
ZINC41029141	CC(C)NC(=O)NC(=O)C[NH+]1CCCC([NH3+])C1
ZINC42428226	CC1CCC(C(N)=O)C[NH+]1C1CCCCCC1C[NH3+]
ZINC42428230	CC1CCC(C[NH3+])C([NH+]2CC(C(N)=O)CCC2C)C1
ZINC42428527	NC(=O)C[NH+](C1CCCC1)C1CCCCC1C[NH3+]
ZINC42438599	CC1CCC(C(N)=O)C[NH+]1C1CCCCCC1[NH3+]
ZINC43291514	CC([NH3+])C([NH+]1CCCC(C(N)=O)C1)C(C)(C)C
ZINC43294059	CC([NH3+])C([NH+]1CCCCC1C(N)=O)C(C)(C)C
ZINC43365079	Cc1ccc(C(C(C)[NH3+])[NH+]2CCC(CC(N)=O)CC2)o1
ZINC44514220	[NH3+]CC1CC[NH+](CC(=O)NC(=O)NC2CCCCC2)CC1
ZINC44529897	[NH3+]CC1CCC[NH+](CC(=O)NC(=O)NC2CC2)C1
ZINC44558249	CC(C)CNC(=O)NC(=O)C[NH+]1CCCCC1C[NH3+]
ZINC44558426	C=CCNC(=O)NC(=O)C[NH+]1CCCCC1C[NH3+]
ZINC45277409	CC([NH3+])(CC[NH+]1CCCC1C1CCCC1)C(N)=O
ZINC45282333	CC([NH3+])(CN1CC[NH+](CC2CC2)CC1)C(N)=O
ZINC46171902	CC(=O)/[NH+]=c1/ccc2c(CSC(N)=[NH2+])cc(O)oc-2c1
ZINC48857292	CC(C(=O)Nc1ccccc1C[NH3+])[NH+]1CCCCC1CO
ZINC50247312	[NH3+]CC1CC[NH+](CC(=O)NC(=O)NC2CCCC2)C1
ZINC50248077	C=CCNC(=O)NC(=O)C[NH+]1CCC(C[NH3+])C1
ZINC50248862	[NH3+]CC1CC[NH+](CC(=O)NC(=O)NC2CCCCC2)C1
ZINC51016131	NC(=O)C1CCCC[NH+]1CC1(O)CC[NH2+]CC1
ZINC62453667	NC(=O)C([NH3+])CCN1CCC([NH+]2CCCCC2)CC1
ZINC62855689	CCC1(C(=O)NC2CC[NH+](CC(N)=O)CC2)CCC[NH2+]C1
ZINC62972995	NC(=O)CC([NH3+])C(=O)N1CCC([NH+]2CCCC2)C1
ZINC62972998	NC(=O)CC([NH3+])C(=O)N1CCC([NH+]2CCCC2)C1
ZINC63123920	CN(CC1CC[NH+](C)CC1)C(=O)C([NH3+])CC(N)=O
ZINC63180093	[NH3+]CCNC(=O)C1CCC[NH+](C2CCCC2O)C1
ZINC65396135	NC(=O)C1([NH+]2CCCCC2)CCN(C(=O)C23CNCC2C[NH2+]C3)CC1
ZINC67172255	CC(C)(C)OC(=O)C([NH3+])C1CCC(C[NH3+])CC1
ZINC19405393	CC([NH3+])c1ccccc1NC(=O)c1ccc(O)cc1
ZINC19405396	CC([NH3+])c1ccccc1NC(=O)c1ccc(O)cc1
ZINC19482391	NC(=[NH2+])c1cccnc1N1CCCCC1CCO
ZINC19971632	[NH3+]C(CC1CCCC1)c1ccc2c(c1)NC(=O)CC(=O)N2
ZINC20252145	[NH3+]C(CC1CCCCC1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC37020542	[NH3+]CCC(=O)Nc1cc2c(cc1Cl)NC(=O)C2
ZINC37032531	[NH3+]CCC(=O)Nc1cc2c(cc1F)CCC(=O)N2
ZINC37044387	[NH3+]C(C(=O)Nc1cccc2cn[nH]c12)c1ccccc1
ZINC37821549	CCC(C)C([NH3+])C(=O)N1CC(C(N)=O)CCC1C
ZINC37821550	CCC(C)C([NH3+])C(=O)N1CC(C(N)=O)CCC1C
ZINC37821552	CCC(C)C([NH3+])C(=O)N1CC(C(N)=O)CCC1C
ZINC40233677	NC(=O)C1CCN(C(=O)c2ccc(C#CC[NH3+])s2)CC1
ZINC40326617	Nc1ccc(C(=O)N2CC[NH+]3CCCCC3C2)c(N)c1
ZINC40468458	CCC(C)C([NH3+])C(=O)N1CC(C(N)=O)CCC1C
ZINC41030127	NS(=O)(=O)c1ccccc1N1CCCC([NH3+])C1
ZINC41030128	NS(=O)(=O)c1ccccc1N1CCCC([NH3+])C1
ZINC42427181	CC1CCC(C(N)=O)CN1C(C[NH3+])C(F)(F)F
ZINC42427182	CC1CCC(C(N)=O)CN1C(C[NH3+])C(F)(F)F
ZINC42427183	CC1CCC(C(N)=O)CN1C(C[NH3+])C(F)(F)F
ZINC42427184	CC1CCC(C(N)=O)CN1C(C[NH3+])C(F)(F)F
ZINC43405703	NC(=O)c1cc2c(nc1N1CCC([NH3+])CC1)CCC2
ZINC44473722	NC(C[NH3+])c1ccc(-c2nc3ccccc3s2)o1
ZINC45437510	CC([NH3+])(CCn1cc(Br)cn1)C(N)=O
ZINC48860488	N/C(=N/O)c1ccc(C[NH+]2CCCC2CO)c(F)c1
ZINC53714046	[NH3+]C(c1ccc2[nH]c(=O)c(=O)[nH]c2c1)C1CCCCCC1
ZINC54306414	NC(=O)C1CCC(NC(=O)CC2CCC[NH2+]C2)CC1
ZINC54340639	CC(C[NH3+])C(=O)N1Cc2ccccc2CC1C(N)=O
ZINC54340642	CC(C[NH3+])C(=O)N1Cc2ccccc2CC1C(N)=O
ZINC55091446	CC1CCCC([NH3+])C1C(=O)N1CCC(C(N)=O)CC1
ZINC55091451	CC1CCCC([NH3+])C1C(=O)N1CCC(C(N)=O)CC1
ZINC55091457	NC(=O)C1CCN(C(=O)CC2CCCC([NH3+])C2)CC1
ZINC55091610	NC(=O)C1CCCN(C(=O)CC2CCCC([NH3+])C2)C1
ZINC55125855	NC(=O)C1CCCN1C(=O)CC1CCC([NH3+])CC1
ZINC55129078	CC1C([NH3+])CCCC1C(=O)N(CC(N)=O)C(C)C
ZINC55129084	CC1CCCC(C(=O)N(CC(N)=O)C(C)C)C1[NH3+]
ZINC55129086	CC1CCCC(C(=O)N(CC(N)=O)C(C)C)C1[NH3+]
ZINC55129101	CC1CCCC([NH3+])C1C(=O)N(CC(N)=O)C(C)C
ZINC55129125	CCNC(=O)C(C)NC(=O)C1CCC(C)C([NH3+])C1
ZINC55129167	CCNC(=O)C(C)NC(=O)C1CC([NH3+])CCC1C
ZINC55129191	CCNC(=O)C(C)NC(=O)C1CCC([NH3+])CC1C
ZINC55145034	NC(=O)C1CCN(C(=O)C2CCCC(C[NH3+])C2)CC1
ZINC55145071	NC(=O)C1CCCN(C(=O)C2CCCC(C[NH3+])C2)C1
ZINC55161439	CC1CCC(C(N)=O)CN1C(=O)C1CCC(C[NH3+])CC1
ZINC57662538	Nc1cccc(C(O)CCN2CCC[NH2+]CC2)c1
ZINC61712300	[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)N1CCC(O)C1
ZINC62235137	[NH3+]C(c1cc2[nH]c(=O)[nH]c2cc1Br)C1CCCOC1
ZINC63013257	NC(=O)C(N)CC[NH+]1CCOc2ccccc2C1
ZINC63013258	NC(=O)C(N)CC[NH+]1CCOc2ccccc2C1
ZINC63024638	NS(=O)(=O)c1ccccc1CC([NH3+])c1ccccc1
ZINC67642115	[NH3+]C1CCC(NC(=O)c2cc(=O)c3cccc(F)c3[nH]2)C1
ZINC00968072	Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)CC2
ZINC00196760	CC(C)c1ccc(C2C(C#N)=C(N)Oc3cc(N)ccc32)cc1
ZINC02784359	NNC(=O)c1cc(I)ccc1O
ZINC05551873	CC1=C(C(N)=O)C(/C=C\c2ccccc2)NC(=S)N1
ZINC01600608	CC(C(=O)NN)C(Nc1ccccc1)c1ccccc1
ZINC01600609	CC(C(=O)NN)C(Nc1ccccc1)c1ccccc1
ZINC01600610	CC(C(=O)NN)C(Nc1ccccc1)c1ccccc1
ZINC08703367	Cc1cc2nc(-c3cc(N)c(C)c(N)c3)oc2cc1C
ZINC19875616	C#CCNC(c1ccccc1)c1ccc(O)c(O)c1O
ZINC20132532	CC(Nc1ccc2[nH]ccc2c1)c1ccc(O)cc1O
ZINC35341246	CC1CCCCC1Nc1cc2c(cc1N)NC(=O)CC2
ZINC35366991	Nc1ccc(C(O)CNC(=O)CC2CCCCC2)cc1
ZINC35599019	Nc1ccccc1CC(=O)NCC(O)c1ccccc1
ZINC35601299	CC(NCC(O)c1ccccc1)c1ccc(O)cc1O
ZINC37130494	Cc1ccc(NC(C)c2cc(O)ccc2O)c(C)c1O
ZINC37179042	CC(NC(=O)Nc1ccccc1F)c1ccccc1N
ZINC37671153	N#Cc1ccc(NCC(O)c2ccc(N)cc2)c(F)c1
ZINC37950118	Cc1ccccc1NC(C)(C(N)=O)c1ccc(O)cc1
ZINC39560067	C/C(=C\CO)C(O)CC1C(C)(O)CCC2C(C)(C)C(O)CCC12C
ZINC40305443	Nc1ccc(C(=O)N2CCCC3CCCCC32)c(N)c1
ZINC40361708	CCCNC(=O)NC1(C(N)=S)CCC(CC)CC1
ZINC44483950	CCC(C)(NC(=O)c1ccc(Br)cc1O)C(N)=S
ZINC44990489	CNC(=O)CC[NH2+]C1C2CCCC1C[NH+](C(C)C)C2
ZINC45064086	Nc1ccc(C(=O)N2CCCC2C2CCCC2)c(N)c1
ZINC48310806	O=C1NC(c2ccc(O)c(O)c2)Nc2cc(Cl)ccc21
ZINC48619667	Cc1cccc2c1C(=O)NC(c1ccc(O)c(O)c1)N2
ZINC49542243	CC(O)c1ccccc1NC(C)c1cc(O)ccc1O
ZINC50397317	Nc1ccc(NC2CCCNC2=O)c(C(F)(F)F)c1
ZINC51090088	NNc1ccc(Cl)cc1C(=O)Nc1ccc(Br)cc1F
ZINC51095262	CC(NC(=O)c1cc(Cl)ccc1NN)c1ccc(Cl)s1
ZINC51096225	CC1CCCC(NC(=O)c2cc(Cl)ccc2NN)C1C
ZINC51115471	CC(C)C(NC(=O)c1ccccc1NN)c1cccs1
ZINC51988886	Nc1ccc2sc(C(=O)NC3CCCCC3O)cc2c1
ZINC52838085	Nc1c(-c2ccc(F)c(Br)c2)ncn1N
ZINC53008011	CCC1CCCCC1NC(=O)c1cc(C)ccc1NN
ZINC53112010	CC1CCC(CO)(NC(=O)c2ccc(N)cc2F)CC1
ZINC53112085	Cc1cccc(N)c1C(=O)NC1(CO)CCCC(C)C1
ZINC53112101	CC1CCCC(CO)(NC(=O)c2ccc(N)cc2Cl)C1
ZINC53127680	CC1CCCC(CO)(NC(=O)C(N)Cc2ccccc2)C1
ZINC53127688	CC1CCCC(CO)(NC(=O)C(N)Cc2ccccc2)C1
ZINC53166943	NC(=O)CC1CCN(c2c(N)ccc(F)c2F)CC1
ZINC54217260	CCC1CCCCC1NC(=O)c1cccc(F)c1NN
ZINC59973024	Nc1cccc2cc(C(=O)NCc3cccs3)[nH]c12
ZINC59973051	Nc1cccc2cc(C(=O)NC3CCCCCC3)[nH]c12
ZINC61361320	CC(Nc1cc2c(cc1N)CC(=O)N2)c1ccsc1
ZINC62829172	Nc1cc(SC2CCCC2)cc(S(N)(=O)=O)c1
ZINC62832473	CC1CCCC(NC(=O)c2c[nH]c3ccc(N)cc23)C1
ZINC62998420	Nc1ccccc1CC(=O)NC(CO)c1ccccc1
ZINC63059371	Cc1cc(C(=O)Nc2ccc(F)cc2Br)ccc1NN
ZINC06275706	Cc1cc(Br)c(O)c(/C=N/c2ccc(NC(N)=S)cc2)c1
ZINC03839139	C=CCNC(=O)NC1CCN(C(=O)CC(C)(C)C)C1C(=O)NC(Cc1cccs1)C(N)=O
ZINC04349791	COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1OC1OC(CO)C(O)C(O)C1O
ZINC01721483	CC(=O)NC1Cn2c3c(c(COC(N)=O)c2C1O)C(=O)C(Nc1ccccc1)=C(C)C3=O
ZINC05766320	CSc1nc(NC2OC(CO)C(O)C(O)C2O)c(C(=O)CCl)c(=O)n1C
