ZINC02004002	CC(C)([NH3+])Cc1ccc(Br)cc1
ZINC43611296	Cc1cc(C([NH3+])c2ccc(C)c(F)c2)c(C)o1
ZINC49576460	Cc1cc(C([NH3+])c2cncc(F)c2)ccc1F
ZINC49711797	CC1CC([NH3+])CCN1c1ccc(Cl)c(Cl)c1
ZINC49962954	CC1CC(C)C[NH+](Cc2ccc(N)cc2Cl)C1
ZINC49962958	CC1CCCC(C)[NH+]1Cc1ccc(N)cc1Cl
ZINC50325513	[NH3+]C(C1=CCCCC1)c1cc2c(s1)CCCC2
ZINC50325679	[NH3+]C(C1=CCCCC1)c1ccc(Br)cc1F
ZINC50442846	CC1CCCC(C)[NH+]1Cc1ccc(Cl)cc1N
ZINC50870194	Cc1[nH+]c2c(F)cc(Cl)cc2c(N)c1C
ZINC50909922	Nc1ccc(Cl)c(C[NH+]2Cc3ccccc3C2)c1
ZINC55144096	CC1CC(OC2CCC([NH3+])CC2)CC(C)(C)C1
ZINC55144147	[NH3+]C1CCC(Oc2cc(Cl)cc(Cl)c2)CC1
ZINC57381067	Cc1cc(N)ccc1[NH+]1CC(C)CC(C)C1
ZINC40237975	Cc1cc(C([NH3+])c2cccs2)ccc1F
ZINC50868407	Cc1cc(N)c2cccc(I)c2[nH+]1
ZINC61847313	[NH3+]Cc1cnc(-c2ccc(F)cc2Cl)s1
ZINC62332467	[NH3+]C(c1ccc2c(c1)COC2)c1ccccc1F
ZINC62622808	CC([NH3+])C1CCCOc2ccc(C(C)(C)C)cc21
ZINC62785993	[NH3+]C(c1cncc(F)c1)c1ccc(Cl)cc1F
ZINC63071920	CC1(C)CCCN1c1c(F)cc(C[NH3+])cc1F
ZINC63077079	[NH3+]C1(c2cc(Cl)ccc2Cl)CCOCC1
ZINC01598042	CNC(=O)NC1CC2CCC1C2
ZINC02243130	Cc1c(N)cc(Br)cc1F
ZINC04992584	Cc1c(N)cccc1-n1c(C)ccc1C
ZINC00713272	Cc1cc(C)c2c(N)c(C)sc2n1
ZINC13222459	Cc1ccnc2nc(N)ccc12
ZINC15442795	Nc1nc2c(F)c(Cl)ccc2s1
ZINC01581331	Nc1c(Cl)ncnc1Cl
ZINC01682788	Nc1cc(Cl)nc(Cl)n1
ZINC01848629	CCC1(CC)CNC(=O)NC1
ZINC04343307	Nc1ccc(-n2cc(Cl)cn2)cc1
ZINC11757151	CCCn1ncc2ccc(N)cc21
ZINC12336608	CC(C)(C)c1nsc(N)n1
ZINC19779317	Nc1ccc(Cc2nccs2)cc1
ZINC19869410	Nc1noc2cccc(F)c12
ZINC20217319	CCC(C)n1nc(C)c(N)c1C
ZINC22177562	CC1CCCC(C)N1c1ccc(N)cc1
ZINC26439165	Cc1c(N)c(C(F)(F)F)nn1C
ZINC26512644	Cc1c(-c2ccsc2)noc1N
ZINC26516527	Cc1cnn(C2CCCCC2C)c1N
ZINC17173879	OC1CC/C=C\CC/C=C/CCC1O
ZINC08614784	Nc1nc2cccc(Cl)c2o1
ZINC34069152	CCC(=O)c1sc(N)nc1C
ZINC34939711	CC1CC1c1cc(N)on1
ZINC36286054	CCc1cn2c(N)cnc2s1
ZINC36916526	CCc1c(C2CC2C)noc1N
ZINC37910035	Cc1cc(N2CCCC2C)ccc1N
ZINC00225043	CN1C(=S)SC(C)(C)C1NO
ZINC38433817	O=C([O-])C1CC2CCCC1[NH2+]2
ZINC39053114	CC(C)=Cc1cnc(N)nc1
ZINC39113900	Cc1cnc2cc(N)cc(C)c2n1
ZINC39119782	N#Cc1cccc2cc(N)cnc12
ZINC40932288	Cc1nn(C(C)C2CC2)c(C)c1N
ZINC43665605	CCC(C)n1ncc(Cl)c1N
ZINC44713334	Nc1cc(F)cc2sc(Cl)nc12
ZINC39059368	Oc1cnc2[nH]ccc2c1F
ZINC39134061	CC1=NNC(O)(C(C)(C)C)C1
ZINC49474062	CC12CCC(c3c(O)n[nH]c31)C2(C)C
ZINC49582011	N#Cc1ccc2nccc(N)c2c1
ZINC49812206	Nc1cc(-c2ccc(Cl)s2)on1
ZINC04729628	C/C(=N\O)c1c(C)c[nH]c1C
ZINC51925450	Cc1ncn(-c2cccc(F)c2N)c1C
ZINC52066065	Cc1cc(Cl)cc2nc(N)oc12
ZINC52212897	Cc1c(C#N)c(N)n(C2CCC2)c1C
ZINC62498575	Nc1nc2cc(F)c(F)cc2o1
ZINC62520681	Cc1nc2c(C)c(C)c(N)c(C)c2o1
ZINC62524671	Cc1cc(N)c(C)c2c1OC(C)CN2C
ZINC62524711	Cc1cc(C)c2c(c1N)OC(C)CN2C
ZINC62524795	CN1CC(C)(C)COc2c(N)cccc21
ZINC62778737	OC(C1=CCCCC1)c1cn[nH]c1
ZINC65356815	CC1=C(C)C2N=CN=C2C=C1N
ZINC04023779	[NH3+]C12CCCC1C1CCC2C1
ZINC02140196	CC(C)=CCC(C)(C)C[NH3+]
ZINC01732011	CC(C)([NH3+])CBr
ZINC01296870	CC(C)CC1C(C[NH3+])C1(C)C
ZINC01296869	CC(C)CC1C(C[NH3+])C1(C)C
ZINC04028679	CC1CC(O)C2CCCCC2[NH2+]1
ZINC20511756	CCC(C)(C)OC1CCCCC1[NH3+]
ZINC20511760	CCC(C)(C)OC1CCCCC1[NH3+]
ZINC22223249	CC(C)(C)C1CCC([NH3+])(C#N)CC1
ZINC23069866	CCOC1CCCCCC1[NH3+]
ZINC13476782	CC1=CC(N)=[NH+]CC1C
ZINC26515522	CC1CCCC([NH2+]CCO)C1
ZINC32142164	N#CC1=C([NH3+])CC2CCCCC12
ZINC33610295	CC1CCCCC1(C)[NH3+]
ZINC36437674	CCc1cc(N)cc(CC)[nH+]1
ZINC37376645	CC(C)C1([NH3+])CCCC1
ZINC37376659	CCC1([NH3+])CCCCC1
ZINC37743360	CCCC1CCC(C[NH3+])CC1
ZINC38115460	CC(C)[NH2+]C1(CO)CCCCC1C
ZINC38115462	CC(C)[NH2+]C1(CO)CCCCC1C
ZINC38121142	C[NH2+]C1(CO)CCCCCCC1
ZINC39111585	[NH3+]C1CCCC1C1CCCC1
ZINC39111969	CC(C)(C)C1CC12C1CCC2[NH2+]N1
ZINC39134120	C1CCC2(CC1)N[NH2+]C1CC12
ZINC39136014	CC1=CC([NH3+])=C(C#N)C(C)(C)C1
ZINC41051390	CC(C)(C)C[NH2+]C1CCCC(O)C1
ZINC41051392	CC(C)(C)C[NH2+]C1CCCC(O)C1
ZINC41702166	Nc1c(Cl)c[nH+]c2ccccc12
ZINC42397749	CCCCC1CCCC1[NH3+]
ZINC42397765	CC(C)CCC1CCCC1[NH3+]
ZINC43735512	CC([NH3+])C1C2CCC3CC(C2)CC31
ZINC45809644	C=C1C2CCC([NH3+])(C2)C1(C)C
ZINC45809649	C=C1C2CCC([NH3+])(C2)C1(C)C
ZINC51690307	CC([NH3+])C1CC1C1CCCC1
ZINC52175849	CC([NH3+])C1CC1C1CCOCC1
ZINC52927419	[NH3+]C1CCCC1OC1CCCC1
ZINC53173462	COCC(C)([NH3+])C1CCCCC1
ZINC53753062	[NH3+]C1(CC2CCCO2)CCCCC1
ZINC53758183	CCC(C)([NH3+])Cc1ccsc1
ZINC54404900	CC1CCCC(C2([NH3+])CC2)C1
ZINC31996489	[NH3+]C1CCN(C2CCCCCC2)C1
ZINC57218826	[NH3+]C1CCCC2C1C2C(F)(F)F
ZINC39113552	CC(C)CC1CNC(C)C[NH2+]1
ZINC53757944	CC(C)CCC(C)(C)[NH3+]
ZINC60714027	[NH3+]C1CCCC1C1CCCC1
ZINC54634526	CC(C)(C[NH3+])CC1CCCC1
ZINC62990302	CC1CCCC(NC(=[NH2+])C2CC2)C1
ZINC62990303	CC1CCCC(NC(=[NH2+])C2CC2)C1
ZINC62992019	CC(C)(C)C(=[NH2+])NC1CC1(C)C
ZINC63077187	[NH3+]C1(C2CCCCC2)CCOCC1
ZINC02578546	CCOC(=O)c1sc(N)cc1C
ZINC13822374	CC(C)NC(=S)NC1CCCCC1C
ZINC13822376	CC(C)NC(=S)NC1CCCCC1C
ZINC00081475	CCOC(=O)c1c(N)sc(C)c1C
ZINC16681694	CCNC(=O)NCC1CC2CCC1C2
ZINC16857576	Cc1nc(N)nc(C)c1CCC(C)C
ZINC16921296	C=CCC(C(N)=O)/C(=C/CC)CCC
ZINC19091170	CCC(CC)n1nc(C)cc1N
ZINC19754157	CCC(C)Oc1ncccc1N
ZINC20039981	Cc1ccc(NCCO)c(Br)c1
ZINC20252533	CCCC(C)c1nc2cc(N)ccc2o1
ZINC20507691	CCC(C)(C)OCc1ccccc1N
ZINC20549743	CCC(C)SCc1ccc(OC)c(N)c1
ZINC12505223	S=C1N=NC(CCC2CCCC2)=N1
ZINC34978434	Cc1cc(N)ccc1SCc1ccco1
ZINC35321809	COCCSCc1cc(F)ccc1N
ZINC37687802	CC(O)CNc1ccc(F)c(F)c1
ZINC37689736	CSc1ccc(NC2CCCC2O)cc1
ZINC38040351	CCC(C)(C)Oc1c(F)cc(N)cc1F
ZINC38040427	CCC(C)Sc1c(F)cc(N)cc1F
ZINC39056735	CCCn1cc(N)cc1C(=O)Cl
ZINC40909175	CC1CCCC(OC(C)c2ccc(N)cc2)C1
ZINC41045935	Cc1ccc(N)cc1OCC1CCOC1
ZINC41046623	CC(C)(C)OC(=O)c1sccc1N
ZINC41048122	Cc1sc(C(=O)OC(F)F)cc1N
ZINC41211155	CCCc1ccc(-c2cnc(N)o2)cc1
ZINC42288420	CC(OC1CCCC1)c1ccc(N)cc1
ZINC42288426	CC1CCC(OC(C)c2ccc(N)cc2)CC1
ZINC43444142	OCCCNc1cccc(Cl)c1F
ZINC43541852	CCC(OCCCC(C)C)C(N)=S
ZINC43542940	CCC(C#N)Sc1ncccc1N
ZINC43667894	CCC(C)Cn1nc(C)c(Cl)c1N
ZINC45208069	CC1CCCCC1OCC(C)(N)C#N
ZINC45332529	CCCCSCCCC(C)(N)C#N
ZINC45365619	CC(C)(C)c1ccc(SCC(N)C#N)cc1
ZINC45806148	CCC1=CCCC(Cc2c[nH]c(=O)[nH]2)C1
ZINC50424489	CCC(C)Cn1ncc2ccc(N)cc21
ZINC50425008	CCC(C)CSc1sc(N)nc1C
ZINC51690799	CCC(C)c1nc(N)cc(C(C)C)n1
ZINC51787758	CCc1cccc(CC)c1NCC(O)CC
ZINC52755970	Nc1ncccc1CSc1ccccc1F
ZINC52852267	CC(C)CCn1cnc2cc(N)ccc21
ZINC53047024	CC(C)=CC(=O)NC1(CO)CCCC1
ZINC54497164	CSCc1nc(N)cc(C(C)C)n1
ZINC54825100	CC(CO)NC1CCCCCC1C#N
ZINC57434831	CCNC(=S)NC1CCCC(C)C1C
ZINC34516025	OCC(O)CCc1cccc2ccccc12
ZINC61640745	CC(C)SCc1nc(N)ccc1Cl
ZINC62668341	CCCNc1[nH]nc2c1CCCCC2
ZINC30750766	CCc1ccc(/C=C(/C#N)C(N)=S)s1
ZINC04277339	[NH3+]Cc1cc2cc(Br)ccc2o1
ZINC11606135	[NH3+]C(CCc1ccccc1Cl)c1ccccc1
ZINC11601799	[NH3+]C(Cc1cccs1)c1ccccc1Cl
ZINC19478423	[NH3+]C1CCN(c2ccc(F)c(F)c2F)CC1
ZINC26516454	CCC([NH3+])c1csc2ccccc12
ZINC33426958	Cc1ccc(Cl)cc1N1CCCC([NH3+])C1
ZINC33487167	C[NH+]1CCC(N)(c2ccc(Cl)cc2)CC1
ZINC34974840	CCC([NH3+])c1ccc(-c2c(F)cccc2F)s1
ZINC35751885	CC1CC([NH3+])c2cc(C(C)(C)C)ccc2S1
ZINC35754947	CC1COc2c(cccc2C(C)(C)C)C1[NH3+]
ZINC36889535	Cc1ccc(C([NH3+])CC(C)CC(C)(C)C)s1
ZINC36960427	CC1CC1C([NH3+])c1ccc(Br)cc1
ZINC36984522	Cc1ccccc1-c1ccc(C([NH3+])C2CC2)s1
ZINC38127546	[NH3+]C(Cc1ccsc1)c1c(F)cccc1F
ZINC36720543	CC(C)c1ccc2c(c1)C([NH3+])CC(C)(C)O2
ZINC41233397	Cc1cc(C)c2c(c1)C(C[NH3+])CC(C)(C)O2
ZINC42394967	C=CCC([NH3+])c1ccc(Br)cc1
ZINC43096401	CSC(C[NH3+])c1ccccc1Br
ZINC43125856	[NH3+]CC(Sc1ccccc1F)c1ccsc1
ZINC43125857	[NH3+]CC(Sc1ccccc1F)c1ccsc1
ZINC43126118	CCSC(c1ccsc1)C([NH3+])CC
ZINC43386014	CC([NH3+])C(Sc1cccs1)C(F)(F)F
ZINC44399298	[NH3+]CCCc1ccc(Br)c(F)c1F
ZINC44980703	CC1CCCC(C([NH3+])c2ccc(Cl)cc2)C1
ZINC49611240	CCCSCc1ccc(C#CC[NH3+])cc1F
ZINC49711736	CC1CC([NH3+])CCN1c1ccc(Cl)cc1
ZINC49712486	CC1CN(c2ccc(F)c(Cl)c2)CCC1[NH3+]
ZINC50327141	Cc1ccc(C([NH3+])C2=CCCC2)cc1F
ZINC51665116	CC#CCC([NH3+])c1cccc(Br)c1
ZINC52982802	Cc1ccc(F)c(C([NH3+])C2=CCCCCC2)c1
ZINC53818489	Cc1cccc(C([NH3+])Cc2ccc(Cl)s2)c1
ZINC54495002	CSCC([NH3+])c1ccc(Cl)c(Cl)c1
ZINC55193340	OC1(c2cccc(Cl)c2Cl)CC[NH2+]CC1
ZINC55227852	Cc1cc(C([NH3+])C2CCCC(C)C2)ccc1F
ZINC55237514	CC1CCCC(C([NH3+])c2ccc(F)c(F)c2)C1
ZINC40236163	CC(C)(C)C([NH3+])c1ccc(Br)s1
ZINC58250268	[NH3+]CCCSCc1c(F)cccc1Cl
ZINC61118409	Cc1cc(N2CCC([NH3+])C(C)C2)ccc1F
ZINC61120843	Cc1cc(-c2sc(C(C)[NH3+])cc2C)ccc1F
ZINC61122761	Cc1cc(N2C3CCC2CC([NH3+])C3)ccc1F
ZINC61330037	NC1CC[NH+](C2CCCc3sccc32)C1
ZINC61590661	Nc1cccc2c1CC[NH+](C1CCCSC1)C2
ZINC61590662	Nc1cccc2c1CC[NH+](C1CCCSC1)C2
ZINC62609713	Cc1ccc2c(c1C)OCCCC2(C)C[NH3+]
ZINC62619494	Cc1cc2c(c(C)c1Cl)C(C[NH3+])CCCO2
ZINC62621742	[NH3+]CC1CCCOc2c(Cl)cc(Cl)cc21
ZINC62773170	CC(C)(c1ccccc1)C([NH3+])c1ccccc1F
ZINC62835788	[NH3+]CC(SCC1CCCC1)c1ccsc1
ZINC63056016	Cc1cc(C([NH3+])C2=CCCCCC2)ccc1F
ZINC63772263	[NH3+]Cc1cc(Br)cnc1Cl
ZINC05885179	Cc1ccc(NS(C)(=O)=O)cc1S(=O)(=O)Nc1ccccc1Cl
ZINC05271559	Cc1ccc(S(=O)(=O)CC(=O)NNc2nc3c(C)cccc3s2)cc1
ZINC06842553	Cc1nnc(SCc2cn(-c3ccccc3)nc2-c2ccccc2)n1N
ZINC07418536	[O-]c1nc(SCc2ccc(Cl)c(Cl)c2)nc2c1cnn2CCO
ZINC07687518	CCN(Cc1ccc(Cl)s1)S(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC08503803	CC(Sc1n[nH]c(=O)n1C1CC1)C(=O)Nc1cc(Cl)ccc1Cl
ZINC08849448	O=C(CCCN1C(=O)NC2(CCCC2)C1=O)Nc1cccc2ccccc12
ZINC09814267	CC1CC(NC(=O)Cc2csc(NC(=O)c3ccco3)n2)CC(C)(C)C1
ZINC11212814	CCOC(=O)C1=C(C)NC(=S)NC1c1cc2c(cc1OC)CC(C)O2
ZINC11820630	CSc1ccc(NC(=O)NC(C)c2cnn(-c3ccccn3)c2C)cc1
ZINC21531481	CCc1ccccc1NS(=O)(=O)c1ccc(-c2ccc(=O)[nH]n2)s1
ZINC32575615	Cc1ccc(S(=O)(=O)N/N=C\c2c[nH]nc2-c2ccc(F)cc2)cc1C
ZINC02708611	O=S(=O)(NC1CCCCC1Sc1ncn[nH]1)c1ccc(Cl)cc1
ZINC34809807	CCC(C)CNC(=O)c1n[nH]c2c1CN(C(=O)c1sccc1C)CC2
ZINC23805863	CCOC(=O)/C(=C\c1cccc(O)c1)c1nc2sc(C)c(C)c2c(=O)[nH]1
ZINC03426065	Cc1ccc(Cl)c(NC(=O)CSc2n[nH]c(=O)n2C2CC2)c1Cl
ZINC38519655	Cn1nc(NC(=O)CCC2CCCC2)c2c1NC(=O)CC2c1ccccc1
ZINC38714449	C=CCNC(=O)Nc1ccc2c(c1)CN(S(=O)(=O)c1ccccc1)CC2
ZINC41572660	Cc1ccc2nc(NC(=O)C(C)NS(=O)(=O)c3ccccc3)sc2c1
ZINC09686857	COc1ccccc1[N-]S(=O)(=O)c1ccc(-c2[nH]nc(C)c2C)s1
ZINC48686734	COc1cc(OC)c(NC(=O)C(=O)NC2CCCC(C)C2C)cc1Cl
ZINC48728438	COc1ccccc1C(C)NC(=O)C(=O)Nc1ccc(C)c2ncccc12
ZINC49452365	Cc1ccnc(Nc2nc(CC(=O)Nc3nc(C)c(C)s3)cs2)c1
ZINC51231153	CCCC(C)NC(=O)C1CCCN(C(=O)Nc2cccc3cnccc23)C1
ZINC54509179	CC(NC(=O)Nc1ccc(-n2nccc2C(F)(F)F)cc1)C1CCCO1
ZINC55200078	Cc1c(NC(=O)Cn2cc3ccccc3n2)cccc1C(=O)NC(C)(C)C
ZINC55308572	Cc1n[nH]c(C)c1C(C)N(C)C(=O)CC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC56145559	CC(Nc1ccc(F)c(N2CCCC2=O)c1)C(=O)NC1(C#N)CCCCC1
ZINC58201116	O=C1CCCc2[nH]c(=O)c(C(=O)NCCOc3cccc4ccccc34)cc21
ZINC59640062	CNc1nc(N/N=C/c2ccc(N(C)C)c(Br)c2)ncc1F
ZINC60388927	O=C(CC1CCCCC1)Nc1cccc(S(=O)(=O)/N=C2/CCCN2)c1
ZINC60934215	O=C(Nc1nnc(SCc2cccs2)s1)c1ccc2[nH]cnc2c1
ZINC62092904	Cc1n[nH]c(C)c1S(=O)(=O)NCC1CCN(c2ccc(Cl)cc2)C1
ZINC63206662	CCCC(=O)Nc1cccc(NC(=O)C(=O)N2CCCCCCC2)c1C
ZINC63304275	CCNC(=O)C1(NC(=O)C2CCCN(C(=O)C(C)(C)C)C2)CCCCC1
ZINC63686250	CC1N=NC=C1CNC(=O)c1ccc2c(c1)OC(Cc1ccccc1F)N2
ZINC63937801	COC(=O)C1(NC(=O)c2ccc(-c3cccs3)[nH]c2=O)CCC(C)CC1
ZINC54902215	Cc1cccc(N(C)C(=O)C(=O)NCC(=O)Nc2ccc(Cl)cc2)c1C
ZINC03597127	CC(C)CC1NC(=O)N(CC(=O)Nc2ccc(Br)cc2)C1=O
ZINC66343208	O=C(NCc1cn2ccsc2n1)NCC1CCN(c2ccc(F)cc2)C1
ZINC66403142	Cc1csc(Sc2ccc(NC(=O)NCc3ccnn3C)cc2)n1
ZINC66623335	Cc1nc(CC(C)C)sc1C(=O)Nc1cnc(-c2cccc(O)c2)nc1
ZINC66678612	Cc1cc(C(=O)Nc2cc(F)ccc2OC(C)C)ccc1N1CCNC1=O
ZINC66774684	O=C(Cc1ccccc1F)NNC(=O)c1ccc(N2CCCCCC2)nc1
ZINC66922540	Cc1ccccc1-n1nc(C(=O)NC(C)C(=O)NC(C)(C)C)c2c1CCC2
ZINC67116555	COC(=O)C1=C(C(=O)c2ccco2)C(c2cc(C)cc(C)c2)NC(=S)N1
ZINC67234961	Cc1[nH]c2ccccc2c1C1=CCN(C(=O)CNC(=O)OC(C)(C)C)CC1
ZINC67416229	O=C(NCCNC(=O)N1CCOC(c2ccccc2F)C1)C1CCCC1
ZINC67487375	CC(NC(=O)Nc1ccc(OC(F)(F)F)cc1)C(=O)N1CCCCC1C
ZINC67487377	CC(NC(=O)Nc1ccc(OC(F)(F)F)cc1)C(=O)N1CCCCC1C
ZINC11967764	O=S(=O)(CC1CCC[NH2+]C1)c1ccc2c(c1)OCCO2
ZINC20775650	OC1C[NH+](Cc2nc3c(s2)CCCC3)CC1N1CCOCC1
ZINC21042270	CC([NH2+]C1CCS(=O)(=O)C1)c1ccc(-n2ccnc2)cc1
ZINC25755266	CNC(=O)C1CC[NH+](CC(=O)N2C(C)CCCC2C)CC1
ZINC31933929	CC(C)C(C(=O)N1CC[NH2+]CC1)n1cc(Cl)ccc1=O
ZINC37142206	COCC(=O)N1CCC([NH2+]C(C)c2nc(C)sc2C)CC1
ZINC37820516	O=C(C1CCC[NH2+]C1)N(CC1CCCO1)CC1CCCO1
ZINC38007945	Cn1cnnc1C[NH2+]C1CCOc2c(Cl)cc(Cl)cc21
ZINC38007946	Cn1cnnc1C[NH2+]C1CCOc2c(Cl)cc(Cl)cc21
ZINC38083382	Cc1nc2sccn2c1C[NH2+]CC1CCS(=O)(=O)C1
ZINC40672833	CCN(C(C)=O)c1nc(CNC2CCC[NH+](C)C2)cs1
ZINC41230952	C[NH+](C)CCNC(=O)C1CCCN(C(=O)C(F)(F)F)C1
ZINC42204299	Cc1nnc(SCC(=O)NC2CC[NH+](C3CC3)CC2)s1
ZINC44243377	C[NH+](C)CCNS(=O)(=O)c1cncc(Br)c1
ZINC45090148	O=S(=O)(CCN1CC[NH2+]CC1)N1CCCC1C1CCCC1
ZINC45117037	Cc1nn(C2CCS(=O)(=O)C2)c(C)c1C[NH2+]C1CC1(C)C
ZINC48563635	CC(C)C[NH+]1CCC(C(=O)NC2CCS(=O)(=O)C2)CC1
ZINC49078096	O=c1c2c3c(sc2[nH]c(=S)n1CCn1cc[nH+]c1)CCC3
ZINC51447588	CC[NH2+]Cc1cnc(N(C)C2CCS(=O)(=O)C2)c(Cl)c1
ZINC51447597	CN(c1ncc(C[NH2+]C2CC2)cc1Cl)C1CCS(=O)(=O)C1
ZINC52146132	O=C(OCC1CCOCC1)C1CCCN1C1CC[NH2+]CC1
ZINC52273223	Cc1nn(C2CCS(=O)(=O)C2)c(C)c1C[NH2+]C1CC1C
ZINC53443990	O=S1(=O)CCC([NH2+]CCN2CCOC3CCCCC32)C1
ZINC53443996	O=S1(=O)CCC([NH2+]CCN2CCOC3CCCCC32)C1
ZINC54998020	CC[NH2+]Cc1sc(N(C)C2CCS(=O)(=O)C2)nc1C
ZINC55083957	CC(C)CN1CCN(S(=O)(=O)CC2CCC[NH2+]C2)CC1
ZINC37653861	CCCN(CC(=O)N1CC(C)OC(C)C1)C1CC[NH2+]CC1
ZINC46858731	CC(=O)N1CCC(C(=O)NCC[NH+]2CCCCC2C)CC1
ZINC60555827	CC1CCC[NH+](C(C)CNC(=O)C2CC(=O)N(C3CC3)C2)C1
ZINC62383851	CC[NH+]1CCN(Cc2c(O)c(=O)cc(C)n2CC(C)C)CC1
ZINC62387729	Cc1cc(=O)c(O)c(CN(C)C2CC[NH+](C)CC2)n1C1CC1
ZINC62391010	COCCn1cc(O)c(=O)cc1C[NH+]1CC(C)CC(C)C1
ZINC62856618	CCOC(=O)C1CSCCN1C(=O)C1(C)CCC[NH2+]C1
ZINC62857408	CCCC1(C(=O)N(C)CC(=O)N2CCCC2)CCC[NH2+]C1
ZINC62858226	CCC1(C(=O)N2CCCCC2CC(=O)OC)CCC[NH2+]C1
ZINC62894545	CCC1(C(=O)N2CCN(CC3CCCO3)CC2)CC[NH2+]C1
ZINC62964975	CCNC1CCC2(CC1[NH+]1CCC(N(C)C)C1)OCCO2
ZINC62979789	CCC[NH2+]C1CCOCC1N1CCC(N2CCOCC2)C1
ZINC62984784	CCNc1ncc(C(=O)N2CCC([NH+](C)C)C2)cc1Cl
ZINC63155807	O=S(=O)(CC1CCCO1)N1CCCC1C1CCC[NH2+]C1
ZINC63198240	O=C(CC1CCS(=O)(=O)C1)N1CCC(C2CCC[NH2+]2)CC1
ZINC63198242	O=C(CC1CCS(=O)(=O)C1)N1CCC(C2CCC[NH2+]2)CC1
ZINC63478279	O=C(NCCCN1CCCC1=O)C1C=c2cc(F)ccc2=[NH+]1
ZINC63693432	CCN1CC(C(=O)NCC2CCC[NH+](C(C)C)C2)CC1=O
ZINC63779442	CNc1snc(C)c1C(=O)N1CC[NH+](CC2CC2)CC1
ZINC58380062	C[NH+](C)C1(CNC(=O)CC2CCS(=O)(=O)C2)CCCC1
ZINC65238893	O=C(NC1CCS(=O)(=O)C1)c1cc2c(s1)C[NH+](C1CC1)C2
ZINC66475804	CC1CC[NH+](CC(O)CN2CCN(C(=O)C(C)C)CC2)CC1
ZINC66946602	C[NH+](C)CC1CCCCN1C(=O)c1c[nH]c(=O)c(Cl)c1
ZINC67417334	CC(=O)NCC1CCC[NH+](CC(=O)N2CC(C)CC(C)C2)C1
ZINC04395161	N#Cc1c(SCC[NH+]2CCCC2)nc2c(c1C(F)(F)F)CCCCC2
ZINC04717913	COCC[NH+](Cc1ccccc1F)Cc1cccn1Cc1ccccc1C
ZINC00277306	CCOc1ccccc1N1CC[NH+](Cc2c(F)cccc2F)CC1
ZINC03682108	C=CCOc1ccccc1C[NH+]1CCN(c2ccccc2C)CC1
ZINC02823394	CC1C[NH+](CCOCCSc2ccc(Cl)cc2)CC(C)O1
ZINC02893737	C=CCOc1ccccc1C[NH+]1CCN(c2cccc(C)c2C)CC1
ZINC04988625	CCC[NH+](Cc1cc(Br)c(OC)cc1OC)CC1CC1
ZINC05841210	CC[NH+]1CCC(CCOC)(CN2c3ccccc3Sc3ccccc32)C1
