CHEMBL355330	Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCC1
CHEMBL55592	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1
CHEMBL1169881	Cc1ccc(C(=O)Nc2ccc(OC3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL24828	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CC[NH+](C)CC1
CHEMBL364955	COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CC[NH+](C)CC5)cc4)sc23)c(Cl)cc1Cl
CHEMBL364955	COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(C[NH+]5CCN(C)CC5)cc4)sc23)c(Cl)cc1Cl
CHEMBL259084	O=C([O-])c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
CHEMBL259084	O=C([O-])c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=[NH+]C3)cc1
CHEMBL20252	Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL205723	Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL205723	Cc1ccc(NC(=O)c2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL230178	Cc1ccc(NC(=O)c2ccc(N=NN(C)C)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL230178	Cc1ccc(NC(=O)c2ccc(/N=N/N(C)C)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL454119	CCCCNc1nc(SC)nc2c1cnn2CC(Cl)c1ccc(F)cc1
CHEMBL162	C[NH2+]C1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL162	CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL482968	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(/C=C/c3ccccc3)n2)[nH]n1
CHEMBL482968	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(/C=C/c3ccccc3)[nH+]2)[nH]n1
CHEMBL482968	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(/C=C/c3ccccc3)[nH+]2)n[nH]1
CHEMBL482968	Cc1cc(Nc2cc(N3CC[NH+](C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1
CHEMBL255738	O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccc(F)cc1
CHEMBL406845	CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21
CHEMBL473923	CN(C)c1nc(N2CCOCC2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL251015	Cc1cc(-c2cccc3[nH]ccc23)cc2nnc(Nc3ccc(S(=O)(=O)NCC[NH+]4CCCC4)cc3)nc12
CHEMBL206046	O=C(Nc1nnc(CCc2ccccc2)s1)c1ccc(I)cc1
CHEMBL941	Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL941	Cc1ccc(NC(=O)c2ccc(C[NH+]3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL558752	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21
CHEMBL558752	Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4nc(C(F)(F)F)c[nH]4)c3)ccc21
CHEMBL256101	Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(Nc3ccc(OCC[N+]4([O-])CCCC4)cc3)nc12
CHEMBL573577	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1
CHEMBL573577	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)C[NH+]1CCOCC1
CHEMBL1171247	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(c1)OCC(=O)N2
CHEMBL1171247	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(c1)OCC(=O)N2
CHEMBL1171835	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ncccn12
CHEMBL1171835	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ncccn12
CHEMBL1171836	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12
CHEMBL1171836	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12
CHEMBL1171837	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
CHEMBL1171837	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
CHEMBL219557	COc1cc(Nc2c(C#N)cnc3cc(-c4coc(CN5CC[NH+](C)CC5)c4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL219557	COc1cc(Nc2c(C#N)cnc3cc(-c4coc(C[NH+]5CCN(C)CC5)c4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL1171657	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]cnc2c1
CHEMBL1171657	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]cnc2c1
CHEMBL1171658	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]c(=O)[nH]c2c1
CHEMBL1171658	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]c(=O)[nH]c2c1
CHEMBL1092754	Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21
CHEMBL122068	Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1
CHEMBL122068	Nc1nc(N)c2c(Nc3cccc(Cl)c3)n[nH]c2n1
CHEMBL1081312	Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1
CHEMBL253292	CC[NH+](CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1
CHEMBL298445	Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1
CHEMBL428029	CCSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL536073	Cc1ccc(NC(=O)c2ccc(CN3CCC([NH+](C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL536073	Cc1ccc(NC(=O)c2ccc(C[NH+]3CCC(N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL550281	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1/C=C/n1cnc2cncnc21
CHEMBL191003	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
CHEMBL1170747	[NH3+]Cc1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1
CHEMBL1213924	Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL219964	COc1cc(Nc2c(C#N)cnc3cc(-c4coc(C[NH+](C)C)c4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL293991	[NH3+]CCCn1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)C(F)F)c4)n3)cccc21
CHEMBL1172720	Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
CHEMBL1172719	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C3CC3)c2)cc1C#Cc1cnc2cccnn12
CHEMBL1172719	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C3CC3)c2)cc1C#Cc1cnc2cccnn12
CHEMBL364623	Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1
CHEMBL538337	Cc1ccc(NC(O)c2ccc(CN3CCC(C[NH+](C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL538337	Cc1ccc(NC(O)c2ccc(C[NH+]3CCC(C[NH+](C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL1171282	Cc1ccc(C(=O)Nc2cc(CN3CC[NH+](C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171282	Cc1ccc(C(=O)Nc2cc(C[NH+]3CCN(C)CC3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL522892	C[NH+]1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
CHEMBL522892	CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1
CHEMBL564829	CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CC[NH+](C)CC4)cc3)nc1-2
CHEMBL564829	CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2
CHEMBL217092	C[NH+]1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1
CHEMBL1421	Cc1nc(N2CCN(CCO)CC2)cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)[nH+]1
CHEMBL1421	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)[nH+]1
CHEMBL1421	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1
CHEMBL1421	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
CHEMBL1421	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)[nH+]1
CHEMBL42136	COc1cc(Nc2c(C#N)cnc3cc(OCC4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL1173200	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1CCc1cnc2cccnn12
CHEMBL1173200	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1CCc1cnc2cccnn12
CHEMBL40557	COc1cc(Nc2c(C#N)cnc3cc(OCC4CCC[NH+](C)C4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL510893	Cc1ccc2[nH]ncc2c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)ncnc21
CHEMBL510893	Cc1ccc2n[nH]cc2c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)ncnc21
CHEMBL451790	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(N3CCCC3)nc21
CHEMBL1171086	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171086	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171038	Cc1ccc(C(=O)Nc2cc(-n3cnc(C[NH+]4CCCC4)c3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171479	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2c1
CHEMBL1171479	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2c1
CHEMBL404666	CC(C)(C)N1CN(c2ccc(Cl)cc2)C(N)=C2C=NN=C21
CHEMBL404666	CC(C)(C)N1CN(c2ccc(Cl)cc2)C(N)=C2C=N[NH+]=C21
CHEMBL57443	Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1
CHEMBL1171280	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)on2)cc1C#Cn1cnc2c(NC3CC3)cccc21
CHEMBL1171280	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)on2)cc1C#Cn1c[nH+]c2c(NC3CC3)cccc21
CHEMBL1171960	N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1
CHEMBL248391	COc1cc2c(NC3CC3c3ccccc3)c(C#N)cnc2cc1OCCCc1cccnc1
CHEMBL485854	CNc1ncc2c(n1)N(C)C(=O)N(c1cc(NC(=O)c3cc(-n4cnc(C)c4)cc(C(F)(F)F)c3)ccc1C)C2
CHEMBL485854	CNc1ncc2c(n1)N(C)C(=O)N(c1cc(NC(=O)c3cc(-n4c[nH+]c(C)c4)cc(C(F)(F)F)c3)ccc1C)C2
CHEMBL210827	COc1cc2[nH]nc(-c3nc4cc(N5CCC([NH+]6CCCCC6)CC5)ccc4[nH]3)c2cc1OCc1ccccc1
CHEMBL210827	COc1cc2[nH]nc(-c3nc4ccc(N5CCC([NH+]6CCCCC6)CC5)cc4[nH]3)c2cc1OCc1ccccc1
CHEMBL250423	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(C)CCN4CCOCC4)cc3)nc12
CHEMBL250423	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N(C)CC[NH+]4CCOCC4)cc3)nc12
CHEMBL585666	Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)nc21
CHEMBL250623	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N4CC[NH2+]CC4)cc3)nc12
CHEMBL250623	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)N4CCNCC4)cc3)nc12
CHEMBL1213973	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1
CHEMBL288441	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL288441	COc1cc(Nc2c(C#N)cnc3cc(OCCC[NH+]4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL55379	FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1
CHEMBL460074	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(C3CCCC3)nc21
CHEMBL211154	c1coc(CNc2ccc3n[nH]c(-c4nc5ccc(N6CCC([NH+]7CCCCC7)CC6)cc5[nH]4)c3c2)c1
CHEMBL211154	c1coc(CNc2ccc3n[nH]c(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)c1
CHEMBL211154	c1coc(CNc2ccc3[nH]nc(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)c1
CHEMBL565366	Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(C(=O)N4CC[NH+](C)CC4)cc3)nc21
CHEMBL565366	CN1CCN(C(=O)c2ccc(Nc3ncc4cc(-c5c(Cl)cccc5Cl)c(=O)n(C)c4n3)cc2)CC1
CHEMBL574738	CC[NH+]1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
CHEMBL574738	CCN1CC[NH+](Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
CHEMBL386051	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
CHEMBL195029	COc1cc(Nc2c(C#N)cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl
CHEMBL195029	COc1cc(Nc2c(C#N)cnc3cc4cc(OCC[NH+]5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl
CHEMBL291297	COc1cc(Nc2c(C#N)cnc3cc(OC4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL1169705	Cc1ccc(C(=O)Nc2ccc(CN3CCC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1169705	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL120077	COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2
CHEMBL120077	COc1cc2c(cc1OC)-c1[nH]nc(Nc3cccc(F)c3)c1C2
CHEMBL1169875	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1C#Cn1cnc2c(NC3CC3)ncnc21
CHEMBL1169876	Cc1ccc(C(=O)Nc2cc(C(F)(F)F)on2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21
CHEMBL209617	O=C1NN(c2ccc(I)cc2)C(=O)/C1=C\c1ccccc1
CHEMBL272888	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CC[NH+](C)CC3)cc2)nc1
CHEMBL272888	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1
CHEMBL103667	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
CHEMBL103667	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCC[NH+]3CCOCC3)c3ccccc23)cc1
CHEMBL250625	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)C4CC[NH2+]CC4)cc3)nc12
CHEMBL399268	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)CCC[NH+]4CCCC4)cc3)nc12
CHEMBL454868	CP(C)(=O)c1ccc(Nc2ncnc3c2ncn3/C=C/c2cccc3[nH]ccc23)cc1
CHEMBL1214141	Cc1ccc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)cn1
CHEMBL1088240	COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CC[NH+](C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL1088240	COc1cc(Nc2c(C#N)cnc3cc(/C=C/CC[NH+]4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL1214142	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(Nc3ccccc3)nc2N(C)C1=O
CHEMBL238304	CSc1nc(NCCc2ccccc2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1
CHEMBL1171473	Cc1ccc(C(=O)Nc2ccc(CN3CCC([NH+](C)C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171473	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCC(N(C)C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL169757	Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1
CHEMBL1171283	Cc1ccc(C(=O)Nc2ccc(CN3CCOCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171281	Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1171281	Cc1ccc(NC(=O)c2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
CHEMBL1173201	Cc1ccc(C(=O)Nc2ccc(CN3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1/C=C/c1cnc2cccnn12
CHEMBL1173201	Cc1ccc(C(=O)Nc2ccc(C[NH+]3CCN(C)CC3)c(C(F)(F)F)c2)cc1/C=C/c1cnc2cccnn12
CHEMBL384213	c1ccc(CNc2ccc3[nH]nc(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)cc1
CHEMBL384213	c1ccc(CNc2ccc3n[nH]c(-c4nc5cc(N6CCC([NH+]7CCCCC7)CC6)ccc5[nH]4)c3c2)cc1
CHEMBL1163016	CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1O
CHEMBL365277	Cc1ccc(NC(=O)Nc2ccccc2C[NH+](C)C2CCCCC2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL481968	O=C(N/N=C/c1cc(C(=O)[O-])c(Nc2ccc(I)cc2F)c(F)c1F)c1ccc(CO)o1
CHEMBL255863	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
CHEMBL255863	Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)c[nH+]1
CHEMBL535	CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL185775	Cc1ccc(NC(=O)N2CCCCC2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL518031	O=C(/C=C/c1ccc(/C=C2\Oc3ccccc3NC2=O)s1)Nc1ccc(N2CCOCC2)cc1
CHEMBL271984	COc1cc2[nH+]ccc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC
CHEMBL517256	Cc1cccc(C)c1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)nc(CCC#N)nc21
CHEMBL209753	c1ccc(C[NH+]2CCC(Nc3ccc4n[nH]c(-c5nc6ccc(N7CCC([NH+]8CCCCC8)CC7)cc6[nH]5)c4c3)CC2)cc1
CHEMBL209753	c1ccc(C[NH+]2CCC(Nc3ccc4[nH]nc(-c5nc6cc(N7CCC([NH+]8CCCCC8)CC7)ccc6[nH]5)c4c3)CC2)cc1
CHEMBL209753	c1ccc(C[NH+]2CCC(Nc3ccc4n[nH]c(-c5nc6cc(N7CCC([NH+]8CCCCC8)CC7)ccc6[nH]5)c4c3)CC2)cc1
CHEMBL476304	COc1ccc(Cc2cnc(NC(=O)c3cccs3)s2)cc1
CHEMBL1084268	CCn1cnc2c(Nc3ccc(P(=O)([O-])CP(=O)([O-])O)cc3)nc(C3CCC([NH3+])CC3)nc21
CHEMBL1084268	CCn1cnc2c(Nc3ccc(P(=O)([O-])CP(=O)([O-])[O-])cc3)nc(C3CCC([NH3+])CC3)nc21
CHEMBL1336	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CHEMBL476515	O=C(Nc1ncc(-c2ccc(Cl)cc2)s1)c1cccs1
CHEMBL478825	O=C(Nc1nnc(Cc2ccccc2)s1)c1cccs1
CHEMBL296844	COc1cc(Nc2c(C#N)cnc3cc(OCC4CCCC[NH+]4C)c(OC)cc23)c(Cl)cc1Cl
CHEMBL58142	O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1
CHEMBL1172397	Cc1ccc(C(=O)Nc2cc(-n3ccnc3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2c(N)cccn12
CHEMBL536983	Cc1ccc(NC(O)c2ccc(C[NH+]3CC(N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL536983	Cc1ccc(NC(O)c2ccc(C[NH+]3CC([NH+](C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL536983	Cc1ccc(NC(O)c2ccc(CN3CC([NH+](C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
CHEMBL250213	Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(CCC[NH+]4CCCC4)cc3)nc12
