CHEMBL606666	CCCc1ccccc1C[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL124728	Cc1ccc(CCCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)cc1
CHEMBL604966	OC[C@@H]1O[C@H](n2cnc3c2N=CCC[C@H]3O)[C@@H](O)[C@H]1O
CHEMBL604966	OC[C@@H]1O[C@@H](n2cnc3c2N=CCC[C@H]3O)[C@@H](O)[C@H]1O
CHEMBL328139	C[C@H](O)[C@@H](CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1
CHEMBL359803	C[C@H](O)[C@@H](CCc1cccc2nc(-c3ccc(Cl)cc3)oc12)n1cnc(C(N)=O)c1
CHEMBL340297	Cn1cc(CC[C@H](CO)n2cnc(C(N)=O)c2)c2cc(OCCCc3ccc(Cl)cc3)ccc21
CHEMBL338076	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCc4ccccc4)cc32)cn1
CHEMBL290770	COC(=O)c1ccc(OC)c(CCCn2cnc3c2NC=[NH+]C[C@@H]3O)c1
CHEMBL290770	COC(=O)c1ccc(OC)c(CCCn2cnc3c2NC=[NH+]C[C@H]3O)c1
CHEMBL290949	CCCCCCCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL290949	CCCCCCCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@@H]1C[C@H](O)[C@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@@H]1C[C@H](O)[C@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@H]1C[C@@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@H]1C[C@@H](O)[C@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL128787	Nc1cc[nH+]c2c1ncn2[C@H]1C[C@H](O)[C@H](CO)O1
CHEMBL128787	Nc1ccnc2c1ncn2[C@H]1C[C@H](O)[C@H](CO)O1
CHEMBL121939	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCCCc4ccccc4)cc32)cn1
CHEMBL335918	CCCCCC[C@H](CO)n1cnc2c(N)ncnc21
CHEMBL306270	OC[C@H]1O[C@H](n2cnc3c(NO)ccnc32)C[C@H]1O
CHEMBL306270	OC[C@@H]1O[C@H](n2cnc3c(NO)ccnc32)C[C@H]1O
CHEMBL306270	OC[C@H]1O[C@H](n2cnc3c(NO)ccnc32)C[C@@H]1O
CHEMBL306270	OC[C@@H]1O[C@H](n2cnc3c(NO)ccnc32)C[C@@H]1O
CHEMBL306270	OC[C@H]1O[C@@H](n2cnc3c(NO)ccnc32)C[C@H]1O
CHEMBL306270	OC[C@@H]1O[C@@H](n2cnc3c(NO)ccnc32)C[C@H]1O
CHEMBL306270	OC[C@H]1O[C@@H](n2cnc3c(NO)ccnc32)C[C@@H]1O
CHEMBL306270	OC[C@@H]1O[C@@H](n2cnc3c(NO)ccnc32)C[C@@H]1O
CHEMBL284483	OC[C@H]1O[C@@H](n2cnc3c2NC=[NH+]C[C@H]3O)[C@H](O)[C@@H]1O
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@H]([C@@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@@H]2C(N)=NC=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@H]2C(N)=[NH+]C=N[C@H]21
CHEMBL193289	CCCCCC[C@@H]([C@@H](C)O)N1N=C[C@H]2C(N)=NC=N[C@H]21
CHEMBL123910	CCCCCC[C@H]([C@H](C)O)n1c(O)nc2c(N)ncnc21
CHEMBL123910	CCCCCC[C@H]([C@H](C)O)n1c([O-])nc2c(N)ncnc21
CHEMBL123910	CCCCCC[C@H]([C@H](C)O)n1c(=O)[nH]c2c(N)ncnc21
CHEMBL332871	CCCCCC[C@H]([C@H](C)O)[N@@+]1([O-])C([O-])=Nc2c(N)ncnc21
CHEMBL332871	CCCCCC[C@H]([C@H](C)O)[N@@+]1([O-])C(=O)Nc2c(N)ncnc21
CHEMBL295417	C[C@H](O)[C@@H](CCCc1ccccc1)n1cnc2c(N)ncnc21
CHEMBL38306	COC(=O)CCCCCCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL38306	COC(=O)CCCCCCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL38218	CCCCCCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL38218	CCCCCCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL292750	CCCCCC[C@H]([C@H](C)O)n1cnnn1
CHEMBL292750	CCCCCC[C@H]([C@@H](C)O)n1cnnn1
CHEMBL292750	CCCCCC[C@@H]([C@H](C)O)n1cnnn1
CHEMBL292750	CCCCCC[C@@H]([C@@H](C)O)n1cnnn1
CHEMBL81378	CCC/C=C/C[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL33910	CC1=[NH+]C[C@@H](O)c2ncn([C@H]3C[C@@H](O)[C@@H](CO)O3)c2N1
CHEMBL191267	CCCCCC[C@@H](O)Cn1cc2c(N)ncnc2n1
CHEMBL191267	CCCCCC[C@H](O)Cn1cc2c(N)ncnc2n1
CHEMBL334172	Cn1cc(CC[C@H](CO)n2cnc(C(N)=O)c2)c2cc(OCCCc3ccccc3)ccc21
CHEMBL93280	Cn1c(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)nc2ccccc21
CHEMBL93280	Cn1c(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)[nH+]c2ccccc21
CHEMBL18188	CCCCCC[C@H]([C@H](C)O)n1cnc(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@H]([C@H](C)O)n1c[nH+]c(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@H]([C@@H](C)O)n1cnc(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@H]([C@@H](C)O)n1c[nH+]c(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@@H]([C@H](C)O)n1cnc(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@@H]([C@H](C)O)n1c[nH+]c(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@@H]([C@@H](C)O)n1cnc(C(=O)NCCO)c1
CHEMBL18188	CCCCCC[C@@H]([C@@H](C)O)n1c[nH+]c(C(=O)NCCO)c1
CHEMBL121714	Cc1ccc(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)cc1
CHEMBL426443	CCCCCCCn1cc2c(N)ncnc2n1
CHEMBL190280	CCCCCC[C@H]([C@H](C)O)n1cc2c(N)ncnc2n1
CHEMBL190280	CCCCCC[C@H]([C@@H](C)O)n1cc2c(N)ncnc2n1
CHEMBL190280	CCCCCC[C@@H]([C@H](C)O)n1cc2c(N)ncnc2n1
CHEMBL190280	CCCCCC[C@@H]([C@@H](C)O)n1cc2c(N)ncnc2n1
CHEMBL327830	NC(=O)c1cn([C@@H](CO)CCc2cccc3ccccc23)cn1
CHEMBL327830	NC(=O)c1cn([C@H](CO)CCc2cccc3ccccc23)cn1
CHEMBL93560	C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1
CHEMBL125275	CCCCOc1ccc2ccn(CC[C@H](CO)n3cnc(C(N)=O)c3)c2c1
CHEMBL340557	NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(OCCCc4ccc(Cl)cc4)cc32)cn1
CHEMBL286164	CCCCCC[C@@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL286164	CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL290030	COC(=O)c1ccccc1CCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL290030	COC(=O)c1ccccc1CCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL436332	C[C@H](O)[C@@H](CCc1cccc2oc(-c3ccc(Cl)cc3)nc12)n1cnc(C(N)=O)c1
CHEMBL132135	CCCCCC[C@H]([C@@H](O)CO)n1cnc2c(N)ncnc21
CHEMBL157669	CCOC(=O)c1cc(CCn2cnc3c2NC=[NH+]C[C@@H]3O)c2c(c1Br)CCCC2
CHEMBL157669	CCOC(=O)c1cc(CCn2cnc3c2NC=[NH+]C[C@H]3O)c2c(c1Br)CCCC2
CHEMBL360191	OC[C@H]1O[C@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@H]1O
CHEMBL360191	OC[C@@H]1O[C@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@H]1O
CHEMBL360191	OC[C@H]1O[C@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@@H]1O
CHEMBL360191	OC[C@@H]1O[C@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@@H]1O
CHEMBL360191	OC[C@H]1O[C@@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@H]1O
CHEMBL360191	OC[C@@H]1O[C@@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@H]1O
CHEMBL360191	OC[C@H]1O[C@@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@@H]1O
CHEMBL360191	OC[C@@H]1O[C@@H](n2cnc3c2NC=[NH+]C[C@H]3O)C[C@@H]1O
CHEMBL35777	COC(=O)c1cc(C)ccc1CCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL35777	COC(=O)c1cc(C)ccc1CCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL35724	COC(=O)c1c(F)cccc1CCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL35724	COC(=O)c1c(F)cccc1CCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL127469	CCCCCC[C@H]([C@H](C)O)[N@+]1([O-])C=Nc2c(N)ncnc21
CHEMBL17351	Nc1cc[nH+]c2c1ncn2[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL17351	Nc1ccnc2c1ncn2[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL17351	Nc1cc[nH+]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL17351	Nc1ccnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL43742	C[C@H](O)[C@@H](CCCCCc1ccccc1)n1cnc2c(N)ncnc21
CHEMBL18496	CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)nccc21
CHEMBL18496	CCCCCC[C@H]([C@@H](C)O)n1cnc2c(N)nccc21
CHEMBL18496	CCCCCC[C@@H]([C@H](C)O)n1cnc2c(N)nccc21
CHEMBL18496	CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)nccc21
CHEMBL37183	COC(=O)c1ccc(C)c(CCCn2cnc3c2NC=[NH+]C[C@@H]3O)c1
CHEMBL37183	COC(=O)c1ccc(C)c(CCCn2cnc3c2NC=[NH+]C[C@H]3O)c1
CHEMBL290381	COC(=O)c1cccc(CCCn2cnc3c2NC=[NH+]C[C@@H]3O)c1
CHEMBL290381	COC(=O)c1cccc(CCCn2cnc3c2NC=[NH+]C[C@H]3O)c1
CHEMBL37181	COC(=O)c1ccc2ccccc2c1CCCn1cnc2c1NC=[NH+]C[C@@H]2O
CHEMBL37181	COC(=O)c1ccc2ccccc2c1CCCn1cnc2c1NC=[NH+]C[C@H]2O
CHEMBL43226	CCc1cccc(C[C@H]([C@H](C)O)n2cnc3c(N)ncnc32)c1
