ZINC00519932	O=C1NN(c2ccccc2)C(=O)C2C1C1C=CC2C12CC2
ZINC40309334	Cc1cc(C)c(Cn2c(C(C)O)nc3cc(C)c(C)cc32)c(C)c1
ZINC43118040	CC1c2ccsc2CCN1C(=O)Nc1ccc(SC(F)F)cc1
ZINC48396859	CC1CCCCC1NC(=O)N(C)Cc1ccc(Br)cc1
ZINC48523033	O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1C1CCCCC1
ZINC48979884	CC1CCCCC1NC(=O)N(C)Cc1csc(Br)c1
ZINC49243243	CC1CCCC(NC(=O)N(C)Cc2ccc(Br)s2)C1
ZINC49243680	CC1CC1CNC(=O)N1CCCC1c1ccc(Br)cc1
ZINC49340383	CC(Cc1ccc(Br)cc1)NC(=O)N1CCCCC1C
ZINC20064752	CSC1=C(C#N)C(c2ccc(C(C)C)cc2)C2=C(CCCC2=O)N1
ZINC20064752	CSC1=C(C#N)C(c2ccc(C(C)C)cc2)C2=C([O-])CCCC2=N1
ZINC01023042	N#Cc1c(/N=C/c2cc(Cl)cc(Cl)c2O)sc2c1CCCC2
ZINC13590594	O=C1N=C([N-]c2ccc(Cl)cc2)SC1Cc1ccccc1Cl
ZINC13590594	O=C1N/C(=N\c2ccc(Cl)cc2)SC1Cc1ccccc1Cl
ZINC13590594	O=C1N/C(=N/c2ccc(Cl)cc2)SC1Cc1ccccc1Cl
ZINC04997562	O=c1[nH]c(SCc2ccc(Br)cc2)nc2ccccc12
ZINC58175754	Cc1ccc(C)c(NC(=O)/C=C/c2ccc3c(c2)CCCN3C)c1
ZINC07164305	Cc1cccc(NC(=O)/C(C#N)=C/c2cccc(Br)c2)c1C
ZINC02424120	CC1(C)c2ccccc2N2CCC(O)=NC21/C=C/c1ccccc1Cl
ZINC02424120	CC1(C)c2ccccc2N2CCC(=O)NC21/C=C/c1ccccc1Cl
ZINC17178111	O=C1N/C(=N\c2ccccc2)SC1Cc1cc(Cl)ccc1Cl
ZINC18036648	O=C1C=Cc2ccccc2/C1=N\Nc1ccc(Br)cc1
ZINC18036648	Oc1ccc2ccccc2c1/N=N/c1ccc(Br)cc1
ZINC03157198	CNC(=O)N(C1=NCC(C)S1)c1ccc(C)c(C)c1
ZINC03012685	O=C1N=C2SC=CN2C(C(Cl)(Cl)Cl)N1
ZINC04838951	CC1Oc2ccccc2OC1C(=O)Nc1ccccc1F
ZINC03242915	O=C1Nc2ccccc2/C1=C\c1coc2ccccc2c1=O
ZINC05561208	C#CCn1c(O)c(/C=C2\C=Nc3ccccc32)sc1=O
ZINC05602600	N#CC1=NC(c2ccccc2)=CN(c2ccccc2)N1
ZINC06483997	CC1=Nc2c(C)noc2CC(c2ccccc2O)C1
ZINC08394331	CC1(C#N)CNc2ccccc2C(=O)N1c1ccccc1
ZINC09861533	O=C1NC2(CCCC2)C(=O)N1CC1CC1(Cl)Cl
ZINC12545375	O=C(C1CC=CCC1)N1CCN(c2ccccc2O)CC1
ZINC16447841	CC(C)CC(=O)N1c2ccccc2NC(=O)CC1C
ZINC19624398	CC1Cc2c(sc3nc(C4CCCCC4)nn23)CN1
ZINC19911603	Cc1c(C)c2cc(Cl)c([O-])c(C[NH+](C)C)c2oc1=O
ZINC20572152	CC1CCc2onc(C(=O)Nc3ccccc3F)c2C1
ZINC28429644	CC(C)c1nc2sc3c(n2n1)CCNC3C1CC1
ZINC32714670	Cc1ccc(-n2nc(C)c3c(=O)cc(C)[nH]c32)cc1
ZINC35057416	CC1CS/C(=N\c2ccc3c(c2)OC(F)(F)O3)N1
ZINC35368921	Cc1ccc(C(=O)c2ccc3c(c2)CCC(=O)N3)o1
ZINC36151569	C1CCC(c2nnc3n2NC2CCCC2S3)CC1
ZINC36260172	CC1Oc2ccc(O)cc2N(Cc2ccccc2F)C1=O
ZINC36865632	S=c1[nH]nc(N2CCCC3CCCCC32)n1C1CC1
ZINC37364849	CC(C)(C)C(=O)c1cc2c(cc1Cl)NC(=O)CO2
ZINC39537111	CC(C)N1N=CC2=NC(c3ccc(F)cc3Cl)NC21
ZINC04743627	CC12CCC(C(=O)N(c3ccccc3O)C1=O)C2(C)C
ZINC40221699	Cc1ncsc1C(=O)NC1(C#N)CCCCCC1
ZINC42336402	CCC1COC(C)CN1C(=O)c1ccc(Cl)cc1O
ZINC44194844	Cc1ccc(OC2CC3(CCC2O)OCCO3)c(C)c1
ZINC44211111	Cc1ccc(OC2CC3(CCC2O)OCCO3)cc1C
ZINC44211411	Cc1cc(C)cc(OC2CC3(CCC2O)OCCO3)c1
ZINC47511390	CC1CCCC(Nc2cnn(C)c(=O)c2Cl)C1
ZINC48845347	C#CCNC(=O)N1CCOC(c2ccc(Cl)cc2)C1
ZINC49123944	Cc1ccn2cc(C(=O)NC3(C)CCCC3)nc2c1
ZINC49370554	CNC(=O)N1CCC(C(=O)c2ccc(C)cc2)CC1
ZINC52551587	CC(C)C1CNC(=O)C2=C1N=C(c1ccncc1)C2
ZINC54334962	CC1CNC(=O)N(c2cccc3ccccc23)C1=O
ZINC54600604	O=c1c(Cl)c(Cl)cnn1C1CCCCCC1O
ZINC16283917	Cc1cc(C)nc(SC2/C(=N/O)C3CCC2C3)n1
ZINC57351909	Cc1ccc(F)c(-n2c(=O)[nH]c3ccsc3c2=O)c1
ZINC40724202	CC1CCN(c2n[nH]c(=S)n2C2CCCCC2)C1
ZINC58626353	O=C(NC1CCCC(C(F)(F)F)C1)N1CCOCC1
ZINC37978211	Cc1cc(C)c(C(=O)[O-])c(N2CC(C)CC(C)C2)[nH+]1
ZINC17857774	CC1C=CCC2C(=O)N(c3ccc(Cl)cc3O)C(=O)C12
ZINC13130098	c1ccc(C2CC(c3ccccc3)n3ncnc3N2)cc1
ZINC62755674	CC1CCC(C(=O)[O-])C([NH+]2CCOC3CCCCC32)C1
ZINC63525542	CC1=C2C(N=N1)NC(=O)CSC2c1ccc(C)cc1C
ZINC64020254	O=C1N=NC=C(NC2CCCCCC2)C1Br
ZINC64482002	CC1=C2C(N=N1)NC(=O)CC2c1cc(F)cc(F)c1
ZINC64554991	CNC(=O)N1CCC(c2nc(C(C)C)cs2)CC1
ZINC66326968	O=C(C1CC=CCC1)N1CCN(c2ccc(O)cc2)CC1
ZINC66599988	CC1CN(C(=O)NCC2(C)CCCC2)CC(C)O1
ZINC00262592	CCN1C(=O)N(c2ccc(C)cc2)C(C)(O)CC1(C)C
ZINC03355400	CC1CCCCC12NC(=O)N(Cc1ccccc1F)C2=O
ZINC00211886	COc1ccc2c(c1)C1OCCC1C(c1ccco1)N2
ZINC00089870	O=C1c2cccc3cccc(c23)C(=O)N1c1ccccc1O
ZINC04294175	CC(C)CC1C(=O)OC2(C)CC(C)(C)NC(=S)N12
ZINC04294177	CC(C)CC1C(=O)OC2(C)CC(C)(C)NC(=S)N12
ZINC04652478	Cn1ncc(Cl)c1C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC00399653	COc1ccc(Cl)cc1NC(=O)N1CCCC(C)C1
ZINC00434957	O=C1c2c(Cl)ccc(Cl)c2C(=O)N1c1ccccc1O
ZINC05644984	CN1C(=O)NC(c2ccccc2F)C2=C1CC(C)(C)CC2=O
ZINC05718762	CN1C(=O)NC(c2ccc(Cl)cc2)C2=C1CCCC2=O
ZINC06523243	CC1CCc2onc(C(=O)NC3CCCCC3C)c2C1
ZINC00163793	CC1=NC2=C(C(=O)CC(C)(C)C2)C(c2ccc(O)cc2)C1C#N
ZINC11865314	Cc1cc(O)cc2c1C(=O)/C(=C/c1cn(C)c3ccccc13)O2
ZINC15669890	Cc1ccc(-n2nc(C)c3c(C)c(Cl)c(=O)[nH]c32)cc1
ZINC19685034	N#Cc1cc2cc3c(cc2nc1N1CCCCC1)CCCN3
ZINC20445832	CC1CC(C)CN(c2[nH+]c3ccccc3cc2C(=O)[O-])C1
ZINC23220255	CC1CCCCC12NC(=O)N(CC1CC1(Cl)Cl)C2=O
ZINC28248659	Cc1[nH]/c(=N\S(=O)(=O)c2ccc(F)cc2)sc1C
ZINC20790439	N#CC12CCCCC1CC1CCCCC1(C#N)N2CCO
ZINC36151740	Cc1ccccc1-c1nnc2n1NC1CCCC1S2
ZINC36152112	c1ccc(Cc2nnc3n2NC2CCCCC2S3)cc1
ZINC36152135	c1csc(Cc2nnc3n2NC2CCCCC2S3)c1
ZINC00527490	CC1(C)C(=O)C2(CCCCC2)C(=O)OC1c1ccc(O)cc1
ZINC00337613	CC(C)(C)NC(=O)c1cc2c(ccc3ccccc32)oc1=O
ZINC00161269	CN1C(=O)N(c2ccc(Cl)cc2)C(C)(O)CC1(C)C
ZINC41315423	O=C(NCc1ccccc1)N1CCOC2CCCCC21
ZINC43176935	CC1CN(C(=O)Nc2cc(Cl)cc(Cl)c2)CCO1
ZINC43550965	Cc1nc(NC(=O)N2CCC3CCCCC3C2)sc1C
ZINC43550966	Cc1nc(NC(=O)N2CCC3CCCCC3C2)sc1C
ZINC43649573	O=C(Nc1nc(C2CC2)cs1)N1CCc2ccccc21
ZINC47052743	CC(NC(=O)N1CCCCC1C)c1ccc(C#N)cc1
ZINC47052745	CC(NC(=O)N1CCCCC1C)c1ccc(C#N)cc1
ZINC49177397	CC1CN(C(=O)NC(C)c2ccccc2)CC(C)(C)O1
ZINC49177731	Cc1cc(C)cc(NC(=O)N2CC(C)OC(C)(C)C2)c1
ZINC49211672	Cc1sc(NC(=O)N2CCCC2C(C)C)c(C#N)c1C
ZINC49569330	[S-]c1nnc(-c2ccccc2)n1C1CC[NH+]2CCCC12
ZINC50566776	CC1CCCN(c2c(C(=O)[O-])c[nH+]c3ccccc23)C1C
ZINC05559842	Cc1noc2c1C(c1ccccc1)C1=C(CC(C)(C)CC1=O)N2
ZINC54532733	CC1CCCCN1c1[nH+]c2c(cc1C(=O)[O-])CCCC2
ZINC59321210	Cc1cc2c(o1)CC(C)(C)CC2NC(=O)N1CCCCCC1
ZINC59321212	Cc1cc2c(o1)CC(C)(C)CC2NC(=O)N1CCCCCC1
ZINC61684186	Cc1cc2c(n1-c1cnn(C(C)C)c1)CC(C)(C)CC2O
ZINC61845196	N#Cc1ccc([NH+]2C(C(=O)[O-])CC3CCCCC32)cc1Cl
ZINC62320977	CC1(C)CN2CCN(C(=O)NC3CC3)CC2c2ccccc21
ZINC63005127	O=C(c1cc(F)c(F)c(F)c1)c1ccc2[nH]c(=O)oc2c1
ZINC63063912	O=C(c1ccc(Cl)o1)N1CCCc2cccc(O)c21
ZINC31820484	O=C1CC(c2ccccc2F)c2ncn(-c3ccccc3)c2N1
ZINC31820484	OC1=Nc2c(ncn2-c2ccccc2)C(c2ccccc2F)C1
ZINC04948827	O=S(=O)(/N=C1\CCCCCN1)c1ccc2ccccc2c1
ZINC67612652	CC1c2cccn2CCN1C(=O)NC1CC1c1ccccc1
ZINC00055101	CC(=O)N(c1ccccc1)C1CC(C)Nc2ccccc21
ZINC03905469	c1coc(C2Nc3c(ccc4ccccc34)C3OCCC23)c1
ZINC00611772	Cc1cc(C)cc(C(=O)Nc2sc3c(c2C#N)CCC3)c1
ZINC00333976	O=Cc1c(-c2ccc(Cl)cc2)oc2ccc(O)cc12
ZINC04454700	Cc1ccc(C(=O)Nc2sc3c(c2C#N)CCC3)cc1
ZINC00411195	Cc1sc2ncnc(NC3CCCCC3C)c2c1C
ZINC05036433	CC1CCCC(NC(=O)c2cc3sccc3n2C)C1C
ZINC06085476	CC1CCCCC1Nc1ncnc2sc3c(c12)CCC3
ZINC06442552	CC(Cl)C(=O)NC1c2ccccc2Oc2ccccc21
ZINC06726347	CC1CCc2c(C(=O)Nc3ccccc3C#N)csc2C1
ZINC09280428	COc1ccc2c(c1)C1OCCC1C(c1ccc(C)cc1)N2
ZINC12462616	Cc1ccc2[nH]c(/C(C#N)=C\C3CC4C=CC3C4)nc2c1
ZINC15569744	CC1NC(=S)N(c2ccc3c(c2)Cc2ccccc2-3)C1=O
ZINC19840052	CC1CC(C)CN(C(=O)c2ccc3ccccc3c2O)C1
ZINC05468166	CCC1SC([N-]c2cccc(Cl)c2Cl)=NC1=O
ZINC05468166	CCC1S/C(=N\c2cccc(Cl)c2Cl)NC1=O
ZINC20962477	N#CC1(C(=O)NC23CC4CC(CC(C4)C2)C3)CCCC1
ZINC30993426	CC1c2ccsc2CCN1C(=O)NC1CCCC1
ZINC30993429	CC1c2ccsc2CCN1C(=O)NC1CCCC1
ZINC35530512	Cc1coc2c1C(NC(=O)C1CCCCC1)CC(C)(C)C2
ZINC36697159	CC1CC(C)CN(C(=O)C2CC(C)Nc3ccccc32)C1
ZINC37368966	Cc1ccc(Br)cc1NC(=O)c1occc1C
ZINC37785521	Cn1cc(NC2CCC(C)(C)c3ccccc32)ccc1=O
ZINC00073672	Cc1c(Cc2ccccc2)c(=O)oc2cc(O)ccc12
ZINC37935899	N#CC1(Nc2ccc(F)cc2)CCOc2ccccc21
ZINC04582971	[O-]c1c(Cl)cc(/N=N/c2ccccc2)cc1Cl
ZINC39523553	COC1CCCC2(CCCC(c3ccccc3O)N2F)C1
ZINC40259970	OC(c1cc2c(cc1Cl)OCCO2)C1CCCCC1
ZINC40275021	Cc1ccc(C(Cl)c2ccc3c(c2)CCCC(=O)N3)o1
ZINC40538592	Cc1cc(C)cc(-c2ccc(C3=CC(=O)CC(C)(O)C3)o2)c1
ZINC41479450	CNC(=O)CC1CC2(CCCCC2)Oc2ccc(F)cc21
ZINC42032661	CNc1ccccc1C(=O)N1CCC(C)C2CCCCC21
ZINC42890463	O=C1Cc2cc(C(=O)c3csc4ccccc34)ccc2N1
ZINC43323653	CCC1CCCN(C(=O)Nc2ccc(C)cc2F)C1
ZINC48533472	CC1C(=O)N/C(=C(\C#N)c2ccccc2)C1c1ccccc1
ZINC48769076	O=C(Nc1ccc(Br)cc1)N1CC2CCC1C2
ZINC49371875	O=C1/C(=C/c2ccc(O)c(Cl)c2)COc2ccccc21
ZINC51330264	N#CC1(c2nc3ccccc3[nH]2)CC1c1ccccc1Cl
ZINC52341778	CC(C1CCCCC1)n1c(=S)[nH]c2ccccc2c1=O
ZINC54067489	CC1CCCN(C(=O)NC(C)c2ccc(F)cc2F)C1
ZINC55491311	Cc1nc2sc3c(c2c(=O)[nH]1)CCC(c1ccccc1)C3
ZINC57554449	Cc1ccc(C2CNC(=O)N2c2ccc(C)cc2)cc1
ZINC57568374	O=C1NCC(c2ccccc2Cl)N1c1ccccc1
ZINC57930832	CCN1C(=O)C(c2ccccc2)Nc2cc(C)c(C)cc21
ZINC57933914	CC(C)C1Nc2cc(Cl)c(Cl)cc2N(C)C1=O
ZINC59352858	Cc1cccc(N2CN(C3CCCC3)CNC2=S)c1
ZINC61094452	N#CC1(C(=O)Nc2cc(F)c(F)cc2F)CCCCCC1
ZINC61412790	Cc1ccccc1N(C)C(=O)c1cccc2c1CCCN2
ZINC61889270	N#CC1CCCC1NC(=O)C12CC3CC(CC(C3)C1)C2
ZINC41248322	Cc1ccsc1/C=C1\Oc2c(ccc(O)c2C)C1=O
ZINC62959373	O=C([O-])C1CCCCCC1[NH+]1CCC2(CCCC2)CC1
ZINC00108364	CC1=NN(C(=O)C(C)C)C(O)(c2ccc(Br)cc2)C1
ZINC02763292	Cc1cc(F)ccc1NC(=O)c1c(Br)c(C)nn1C
ZINC04944834	CCc1ccc(C2CC(=O)Oc3c2c(=O)[nH]c2ccccc32)s1
ZINC05675246	O=S(=O)(N/N=C1/CC2C=CCC12)c1ccc(Cl)cc1
ZINC06526045	Cc1nn(C)c(C(=O)NC2CCCC(C)C2C)c1Br
ZINC06526733	Cc1c(Br)c(C(=O)NC2CCCC(C)C2C)nn1C
ZINC06729723	O=C(NC1CCCCCC1)C1CC(=O)N(C2CCCC2)C1
ZINC06788272	Cc1ccccc1CN1C(=O)NC2(CC(C)CC(C)(C)C2)C1=O
ZINC09336094	O=C(CN1CCSC1=O)NC12CC3CC(CC(C3)C1)C2
ZINC10514744	N#Cc1cc(NS(=O)(=O)c2ccccc2)ccc1Cl
ZINC13388280	O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3Cl)o2)S1
ZINC14456384	Cc1ccc(C2Nc3c(C)ccc([N+](=O)[O-])c3C3C=CCC32)s1
ZINC14549610	Cc1c([N+](=O)[O-])ccc2c1NC(c1ccc(F)cc1)C1CC=CC21
ZINC14551241	Cc1c([N+](=O)[O-])ccc2c1NC(c1ccccc1)C1CC=CC21
ZINC14626764	N#Cc1ccsc1NC(=O)c1nc(Cl)ccc1Cl
ZINC15002963	O=C(Nc1ccc(F)c(F)c1F)c1cc2ccccc2oc1=O
ZINC15783103	CC(C)NC(=O)N1CCn2cccc2C1Cc1ccccc1
ZINC16310086	Cc1ccc(S(=O)(=O)N2C(C)(C)CC(O)CC2(C)C)cc1
ZINC16649330	Cc1cc(C)c2c(=O)c(CN3CC(C)OC(C)C3)c(C)[nH]c2c1
ZINC22289473	N#Cc1ccc(F)c(COc2ccc3c(c2)CCC(=O)N3)c1
ZINC27926392	O=C(c1ccc(O)cc1)n1nc(C(F)(F)F)cc1C1CC1
ZINC32667880	Cc1c(Cl)cccc1NC(=O)C1Oc2ccccc2OC1C
ZINC33151373	Cc1ccc2cc(C(=O)Nc3sccc3C#N)c(C)nc2c1
ZINC35150969	Cc1c(C(=O)N2CCCC(CO)C2)oc2ccc(Cl)cc12
ZINC05342764	COc1ccc(C2CC(=O)C3=CNC4CCCCC4N=C3C2)cc1
ZINC36153061	CC(C)Cc1nnc2n1NC(c1ccc(F)cc1)CS2
ZINC36153065	CC(C)(C)c1nnc2n1NC(c1ccc(F)cc1)CS2
ZINC37390851	O=C(CCl)NC(=O)N1CCC(Cc2ccccc2)CC1
ZINC00310239	O=C(Nc1cc2ccccc2oc1=O)c1ccc(Cl)cc1
ZINC44449740	O=C(Nc1onc2c1CSC2)c1cc(Cl)ccc1Cl
ZINC45344814	Cc1nc(CNC(=O)N2CCC3CCCCC3C2)cs1
ZINC48858108	CC1c2ccsc2CCN1C(=O)NCC1CCCOC1
ZINC48955008	Cc1ccc(NC(=O)N(C)Cc2ccoc2C)c(Cl)c1
ZINC00222928	Cc1ccc(C2CC(c3ccccc3C)n3ncnc3N2)cc1
ZINC02228193	Fc1ccccc1C1CC(c2ccccc2)Nc2ncnn21
ZINC02228188	Fc1ccccc1C1CC(c2ccccc2)Nc2ncnn21
ZINC05284022	CC(C)(C)N1C(=O)C/C(=N/O)CC1c1ccc(Cl)cc1Cl
ZINC02766757	N#Cc1cnn2c1NC(c1ccc(Cl)cc1)CC2C(F)(F)F
ZINC09972863	CCC1S/C(=N/N=C2\CC3CCC2(C)C3(C)C)NC1=O
ZINC16398924	O/N=C1\CCCC1N1CCN(c2cccc(Cl)c2)CC1
ZINC55851357	Cc1ccc(N(C)C(=O)C2CC(=O)Nc3ccccc32)c(C)c1
ZINC59739823	CC(C)(C)C(=O)N1CCCC(C(=O)NC2CCCCC2)C1
ZINC61578059	Clc1cccc(NC2CCCSC2)c1-n1cncn1
ZINC61614365	N#Cc1ccc(NC(=O)C(C#N)c2ccccc2)cc1Cl
ZINC61670328	CCC1CN(C(=O)Nc2ccc(F)cc2Br)CCO1
ZINC61823536	O=S(=O)(c1ccc(O)cc1)N1CCC2(CCCCC2)CC1
ZINC62259562	CC(C)CNC(=O)N1CCN(C)C(c2ccc(F)cc2)C1
ZINC40266139	O=C1CC(c2ccccc2F)c2ncn(-c3cccc(F)c3)c2N1
ZINC40266139	OC1=Nc2c(ncn2-c2cccc(F)c2)C(c2ccccc2F)C1
ZINC18324416	CCSc1nc(=O)c2c3c(sc2[nH]1)COC(C)(C)C3
ZINC67316876	CN(C(=O)C(=O)NC1CCCC1)c1cccc2ccccc12
ZINC03848173	O=C(Nc1ccccc1)N(C(=O)C1Cc2ccccc21)c1ccccc1
ZINC00189650	CN1C(=O)C2Cc3c([nH]c4ccccc34)C(c3ccccc3)N2C1=S
ZINC04069993	CC1CCc2sc(NC(=O)c3nc4ccccc4s3)c(C#N)c2C1
ZINC00368811	CC(C)(C)C1CCc2c(sc(NC(=O)C3CCCO3)c2C#N)C1
ZINC04616725	C/N=C1/S/C(=C/c2cc(Br)cc(Cl)c2O)C(=O)N1C
ZINC04784662	O=C(N/N=C/c1ccc(I)o1)c1ccccc1
ZINC04785862	CC(C)Cc1nc2sc3c(=O)[nH]cnc3c2c2c1CSC(C)(C)C2
ZINC04807899	O=C(Nc1ccccc1Br)N1CCSC1c1ccco1
