CHEMBL104592	CC(C(=O)[O-])c1ccc(-c2ccc3[nH]ccc3c2)cc1
CHEMBL119720	Cn1cccc1C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2
CHEMBL350729	FC(F)(F)c1cccc(Nc2ncccc2-c2nnc([S-])o2)c1
CHEMBL23175	CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(F)c3)C(=O)CC2)cc1
CHEMBL12594	CON1CC/C(=C\c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)C1=O
CHEMBL174922	COc1ccc(-n2nc(C#CC(C)N(O)C(=O)N3CCCCC3)cc2-c2ccc(Cl)cc2)cc1
CHEMBL268643	O=C1NCCCC1N1C(=O)c2ccccc2C1=O
CHEMBL80405	NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)c3ccccc3C2)cc1
CHEMBL62101	O=C(Nc1ccc(F)cc1F)C1C(=O)N2c3ccccc3Sc3cccc1c32
CHEMBL62101	O=C(Nc1ccc(F)cc1F)c1c([O-])n2c3c(cccc13)Sc1ccccc1-2
CHEMBL276850	c1ccc2c(c1)Nc1ccccc1O2
CHEMBL292324	O=C(Nc1nccs1)c1c([O-])n2c3c(cccc13)Sc1ccccc1-2
CHEMBL292324	O=C(Nc1nccs1)C1C(=O)N2c3ccccc3Sc3cccc1c32
CHEMBL140804	C1=CCc2c(-c3ccccc3)[nH]c(-c3ccccc3)c2C1
CHEMBL90988	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1
CHEMBL37414	Cc1csc(Sc2cc3c(cc2[N-]S(C)(=O)=O)CCC3=O)n1
CHEMBL383420	Cc1c(CCS(=O)(=O)c2ccc(CCC(=O)[O-])cc2)c2cc(Cl)ccc2n1C(c1ccccc1)c1ccccc1
CHEMBL527	CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O
CHEMBL527	CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O
CHEMBL212777	Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)[O-]
CHEMBL203489	CS(=O)(=O)c1ccc(C#CC(=O)c2ccc([N+](=O)[O-])cc2)cc1
CHEMBL348390	c1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1
CHEMBL122377	CC(C)(C)c1cc(-c2nc(CCl)no2)cc(C(C)(C)C)c1O
CHEMBL117911	CC(C)(C)c1cc(/C=C\c2cccs2)cc2c1OCC2(C)C
CHEMBL12483	CC(C)(C)c1cc(-c2nnc([S-])[nH]2)cc(C(C)(C)C)c1O
CHEMBL12483	CC(C)(C)c1cc(-c2n[nH]c(=S)[nH]2)cc(C(C)(C)C)c1O
CHEMBL62772	O=C(Nc1ccc(Cl)cc1)C1C(=O)N2c3ccccc3CCc3cccc1c32
CHEMBL62772	O=C(Nc1ccc(Cl)cc1)c1c([O-])n2c3c(cccc13)CCc1ccccc1-2
CHEMBL316455	NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2-c2ccc(F)cc2CS3)cc1
CHEMBL331489	CC(C)(C)c1cc(-c2noc([S-])n2)cc(C(C)(C)C)c1O
CHEMBL61422	O=C(Nc1nccs1)c1c([O-])n2c3c(cccc13)Oc1ccccc1-2
CHEMBL61422	O=C(Nc1nccs1)C1C(=O)N2c3ccccc3Oc3cccc1c32
CHEMBL139591	Fc1ccc(-c2[nH]c(-c3ccc(-n4ccnc4)cc3)c3c2CCCC3)cc1
CHEMBL34264	O=C1Cc2cc(Cl)c(-c3ccccc3)cc2O1
CHEMBL473946	COc1ccc(-c2cnsc2-c2ccc(OC)cc2)cc1
CHEMBL49008	CC(C)(C)c1cc(/C=C2\SC(=O)NC2=O)cc(C(C)(C)C)c1O
CHEMBL91832	CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL417254	CC(C)(C)c1cc(C(=O)CSCC2CC2)cc2c1OCC2(C)C
CHEMBL325804	CC1(C)OC(=O)C(Oc2ccc(Cl)cc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL62038	NC(=O)n1c([O-])c(C(=O)c2cccs2)c2cc(Cl)ccc21
CHEMBL111562	COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1
CHEMBL55737	Cc1cc(/C=C/c2cccc3ccccc23)cc(C)c1O
CHEMBL174990	Cn1c([O-])c(C(=O)Nc2ccc(Cl)cc2)c2ccccc2c1=O
CHEMBL213029	COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2-c1ccnc2cc(Cl)ccc12
CHEMBL260944	CS(=O)(=O)c1ccccc1C#Cc1ccncc1
CHEMBL55448	Cc1cc(/C=C/c2csc3ccccc23)cc(C)c1O
CHEMBL455837	CS(=O)(=O)c1ccc(-n2nncc2-c2ccc(Cl)cc2)cc1
CHEMBL75896	Nc1c(CC(=O)[O-])cccc1C(=O)C1CCCCC1
CHEMBL19657	Cn1c2c(c3cc(O)ccc31)CCCCC2
CHEMBL142038	Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2CCC3)cc1
CHEMBL148545	Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCOc2ccccc2)c1Cl
CHEMBL147016	Cc1ccc(Cl)c(Nc2ccccc2C(=O)NOCc2ccc([N+](=O)[O-])cc2)c1Cl
CHEMBL292136	Cc1cc(CCc2cccs2)cc(C)c1O
CHEMBL424440	CC(C)(C)c1cc(/C=C2/CCOC2=O)cc2c1OCC2(C)C
CHEMBL538418	CCCCNc1nc(-c2ccc(S(N)(=O)=O)cc2)cc(C(F)(F)F)n1
CHEMBL409023	Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)nc1
CHEMBL8846	CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O
CHEMBL1094096	N#CSCC1CC(O)(c2ccccc2)CC(c2ccc(Br)cc2)O1
CHEMBL23378	CS(=O)(=O)c1ccc(C2=C(c3cc4ccccc4s3)C(=O)CC2)cc1
CHEMBL295739	CC(C)(C)c1cc(/C=C2\SC(=S)N=C2[O-])cc(C(C)(C)C)c1O
CHEMBL440683	C=CCC1CCC(CC)(CC(=O)[O-])c2[nH]c3c(CC)cccc3c21
CHEMBL84785	CCN(O)CCc1ccc2c(c1)C(O)c1ccccc1CO2
CHEMBL149032	CC(S)CN1c2ccccc2Sc2ccccc21
CHEMBL139721	Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2C=CC3C2)cc1
CHEMBL299794	FC(F)(F)c1cccc(Nc2ccccc2-c2nnc([S-])s2)c1
CHEMBL561609	NS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NC3CCCCC3)n2)cc1
CHEMBL276052	O=c1c2ccccc2c(S(=O)(=O)c2ccccc2)c([O-])n1Cc1ccccc1
CHEMBL53610	Cc1ccc(Cl)c(Nc2ccccc2-c2nnc(NC#N)o2)c1Cl
CHEMBL274642	NC1=NN(c2cccc(C(F)(F)F)c2)CC1
CHEMBL9197	CC1(N2C(=O)c3ccc(N)cc3C2=O)CCC(=O)NC1=O
CHEMBL278336	CS(=O)(=O)c1ccc(C2=C(C#Cc3ccccc3)C(=O)CC2)cc1
CHEMBL8562	CC(C)(C)c1cc(/C=C2\CCOC2=O)cc(C(C)(C)C)c1O
CHEMBL42011	CSc1ccc(C2=C3c4ccccc4CCC3OC2=O)cc1
CHEMBL148666	CSc1ccc(-c2nc3sccn3c2-c2ccccc2)cc1
CHEMBL119170	CC(C)(C)c1cc(C(=O)NC2CC2)cc2c1OCC2(C)C
CHEMBL42485	CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1
CHEMBL16814	CC(C)(C)c1cc(-c2nnc(NC#N)o2)cc(C(C)(C)C)c1O
CHEMBL276800	CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CCS2
CHEMBL64813	CC(C)(C)c1cc(/C=C2\CCCNS2(=O)=O)cc(C(C)(C)C)c1O
CHEMBL154	COc1ccc2cc(C(C)C(=O)[O-])ccc2c1
CHEMBL293617	O=C(Nc1ccc(F)cc1F)C1C(=O)N2c3ccccc3Oc3cccc1c32
CHEMBL293617	O=C(Nc1ccc(F)cc1F)c1c([O-])n2c3c(cccc13)Oc1ccccc1-2
CHEMBL16996	COc1ccc(-c2nc(NCc3ccccc3)sc2-c2ccc(S(N)(=O)=O)cc2)cc1F
CHEMBL43520	Cc1csc(Sc2cc3c(cc2[N-]S(C)(=O)=O)COC3=O)n1
CHEMBL325894	CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)CCO3)cc1
CHEMBL77714	NS(=O)(=O)c1ccc(-c2oc3ccccc3c2-c2ccc(F)cc2)cc1
CHEMBL184737	COc1ccc(-c2cc(-c3cccnc3)c(-c3ccc(S(C)(=O)=O)cc3)c(=O)o2)cc1
CHEMBL266599	O=C1c2ccccc2C(=O)N1c1c[nH]c(=O)[nH]c1=O
CHEMBL266599	O=C1c2ccccc2C(=O)N1c1cnc([O-])[nH]c1=O
CHEMBL9123	O=C1N=C([O-])CCN1N1C(=O)c2ccccc2C1=O
CHEMBL140167	Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1
CHEMBL49249	CN1C(=S)NC(=O)/C1=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
CHEMBL49249	CN1C(=S)N=C([O-])/C1=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
CHEMBL48568	CC(C)(C)c1cc(/C=C2\OC(=O)NC2=O)cc(C(C)(C)C)c1O
CHEMBL469785	CCCN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccc(CO)cc2)C1=O
CHEMBL298476	Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl
CHEMBL622	CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3
CHEMBL500387	CC(=O)OC12C(OC(=O)C(C(C)C)[NH+](C)C)C(C)C3(O)C4C=C(C)C(=O)C4CC(CO)=CC3C1C2(C)C
CHEMBL500387	CC(=O)OC12C(OC(=O)C(C(C)C)N(C)C)C(C)C3(O)C4C=C(C)C(=O)C4CC(CO)=CC3C1C2(C)C
CHEMBL6	COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL1079073	O=S(=O)([N-]c1ccncc1NC1CCCCCC1)C(F)(F)F
CHEMBL1079073	O=S(=O)(/N=c1\cc[nH]cc1NC1CCCCCC1)C(F)(F)F
CHEMBL1079073	O=S(=O)(/N=c1\cc[n-]cc1NC1CCCCCC1)C(F)(F)F
CHEMBL292239	CC1(C)Cc2c(-c3ccccc3)c(-c3ccc([N+](=O)[O-])cc3)c(CC(=O)[O-])n2C1
CHEMBL117528	COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1
CHEMBL118	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL287336	CCC(O)c1nc2c(C(F)(F)F)cccc2c([O-])c1C(=O)Nc1nccs1
CHEMBL287336	CCC(O)c1[nH]c2c(C(F)(F)F)cccc2c(=O)c1C(=O)Nc1nccs1
CHEMBL332937	CC(C)(C)c1cc(C(=O)c2cccs2)cc2c1OCC2(C)C
CHEMBL60496	CC(C)(C)c1cc(/C=C2\CCN(C3CC3)S2(=O)=O)cc(C(C)(C)C)c1O
CHEMBL71280	CCC1(CC(=O)[O-])CCC(Cc2ccccc2)c2c1[nH]c1ccccc21
CHEMBL363270	CN(C)c1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)cc1Cl
CHEMBL277409	OC1(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CCCCCC1
CHEMBL277409	OC1(c2[nH]c(-c3ccncc3)c(-c3ccc(F)cc3)[nH+]2)CCCCCC1
CHEMBL277409	OC1(c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)CCCCCC1
CHEMBL17739	NS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccc(F)cc2)cc1
CHEMBL18148	CC(C)S(=O)(=O)c1c([O-])n(Cc2ccc(F)cc2)c(=O)c2ccccc12
CHEMBL173072	CN1C([O-])=C(C(=O)Nc2ccccc2Cl)c2cc(Cl)ccc2S1(=O)=O
CHEMBL178355	CS(=O)(=O)c1ccc(/C(=C/c2ccccc2)c2ccccc2)cc1
CHEMBL317434	CC(C(=O)[O-])c1ccc(-c2ccccc2)cc1
CHEMBL283267	Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(-c2ccccc2)cc1
CHEMBL184374	CC/C(=C\c1ccc(C)cc1)c1ccc(S(C)(=O)=O)cc1
CHEMBL314337	CC(C)(C)CC(=O)c1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12
CHEMBL139	O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
CHEMBL8968	Cc1ccccc1N1C(=O)c2ccccc2C1=O
CHEMBL1096320	CCSCC1CC(O)(c2ccccc2)CC(C)O1
CHEMBL1204023	O=S(=O)([N-]c1ccncc1NC1CCCCC1)C(F)(F)F
CHEMBL1204023	O=S(=O)(/N=c1\cc[n-]cc1NC1CCCCC1)C(F)(F)F
CHEMBL1204023	O=S(=O)(/N=c1\cc[nH]cc1NC1CCCCC1)C(F)(F)F
CHEMBL83990	CN(O)CCc1ccc2c(c1)C(=O)c1ccccc1CO2
CHEMBL433892	c1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1
CHEMBL332028	CC(C)(C)c1cc(-c2cn3ccsc3n2)cc2c1OCC2(C)C
CHEMBL147165	O=S(=O)([N-]c1ccncc1Oc1ccccc1)C(F)(F)F
CHEMBL243796	C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1OC(c1ccc(O)cc1O)CC2=O
CHEMBL490292	COc1ccc(-c2ssc(=O)c2-c2ccc(OC)cc2)cc1
CHEMBL243362	C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c(C(=O)/C=C/c2ccc(O)cc2O)c1O
CHEMBL47644	O=C([O-])CCCCCCCN1C(=O)C=CC1=O
CHEMBL275188	CSc1nnc(-c2nc(C(C)(C)C)c(O)c(C(C)(C)C)n2)s1
CHEMBL404928	CS(=O)(=O)c1ccccc1C#Cc1ccccn1
CHEMBL275809	COc1ccc(-c2nc(C(=O)N3CCN(C)CC3)sc2-c2ccc(OC)cc2)cc1
CHEMBL275809	COc1ccc(-c2nc(C(=O)N3CC[NH+](C)CC3)sc2-c2ccc(OC)cc2)cc1
CHEMBL15904	CN1C([N-]C(=N)N)=NC(=O)/C1=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
CHEMBL15904	CN1C(N=C(N)N)=NC(=O)/C1=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
CHEMBL365497	COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)c(-c3cccnc3)c(=O)o2)cc1
CHEMBL298672	FC(F)(F)c1cccc(Nc2ccccc2-c2nnc([S-])o2)c1
CHEMBL417073	CC(C)(C)c1cc(-c2nnc(N)s2)cc(C(C)(C)C)c1O
CHEMBL304489	CC(C)(C)c1cc(/C=C2/CCN(c3ccc(Cl)cc3)S2(=O)=O)cc(C(C)(C)C)c1O
CHEMBL503071	COC(=O)C1CCC2(C)C(CCC3(C)C2CC=C2C4CC(C)(C)CCC4(C(=O)[O-])CCC23C)C1(C)C
CHEMBL420628	Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(N)(=O)=O)cc2)cn1
CHEMBL331523	CC(C)(C)c1cc(C2CCOC2=O)cc(C(C)(C)C)c1O
CHEMBL441414	CC(C(=O)[O-])c1ccc(CC2CCCC2O)cc1
CHEMBL1079876	COc1ccc(Nc2cnccc2[N-]S(=O)(=O)C(F)(F)F)cc1
CHEMBL1079876	COc1ccc(Nc2c[nH]cc/c2=N\S(=O)(=O)C(F)(F)F)cc1
CHEMBL1079876	COc1ccc(Nc2c[n-]cc/c2=N\S(=O)(=O)C(F)(F)F)cc1
CHEMBL13920	C#CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2
CHEMBL214101	O=C1OCC(c2ccc(-c3nnn[n-]3)cc2)=C1c1ccccc1
CHEMBL213338	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(-c3nnn[n-]3)cc2)cc1
CHEMBL85776	O=C(CCCCCCCCc1ccccc1)NO
CHEMBL16434	CC(C)(C)c1cc(/C=C2\SC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O
CHEMBL16434	CC(C)(C)c1cc(/C=C2\SC(/N=C(/[NH-])N)=NC2=O)cc(C(C)(C)C)c1O
CHEMBL16434	CC(C)(C)c1cc(/C=C2\SC(/N=C(\[NH-])N)=NC2=O)cc(C(C)(C)C)c1O
CHEMBL92443	C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C
CHEMBL64759	CC(C)(C)c1cc(/C=C2\CCN(c3cccnc3)S2(=O)=O)cc(C(C)(C)C)c1O
CHEMBL301586	FC(F)(F)c1cccc(Nc2ccccc2-c2nnc([S-])[nH]2)c1
CHEMBL284705	CC(C(=O)[O-])c1ccc2c(c1)Oc1ccccc1CO2
CHEMBL350422	Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1
CHEMBL522267	Cc1ccc(-c2ssc(=S)c2-c2ccc(Cl)cc2)cc1
CHEMBL259972	COc1ccc(-c2noc(CC(=O)[O-])c2-c2ccc(OC)cc2)cc1
CHEMBL276324	NS(=O)(=O)c1ccc(-c2sc(COc3cc(Cl)cc(Cl)c3)nc2-c2ccc(F)cc2)cc1
CHEMBL122255	CC(C)(C)c1cc(-c2nsc(NC#N)n2)cc(C(C)(C)C)c1O
CHEMBL224612	O=S(=O)([N-]c1ccncc1Sc1ccccc1)C(F)(F)F
CHEMBL18797	CSc1ccc(/C=C2/C(C)=C(CC(=O)[O-])c3cc(F)ccc32)cc1
CHEMBL113138	CC(C)(C)c1cc(/C=C2\OC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O
CHEMBL113138	CC(C)(C)c1cc(/C=C2\OC(/N=C(/[NH-])N)=NC2=O)cc(C(C)(C)C)c1O
CHEMBL113138	CC(C)(C)c1cc(/C=C2\OC(/N=C(\[NH-])N)=NC2=O)cc(C(C)(C)C)c1O
CHEMBL432945	COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1
CHEMBL64370	Cc1cnc(NC(=O)c2c([O-])n3c4c(cc(F)cc24)Cc2cc(F)ccc2-3)s1
CHEMBL356510	Cc1cc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)[nH]n1
CHEMBL356510	Cc1cc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)n[nH]1
CHEMBL148922	COc1cc(/C=C/c2cc(C)sn2)cc(C(C)(C)C)c1O
CHEMBL149278	Cc1cc(/C=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)no1
CHEMBL368148	COc1ccc(-n2nc(C#CCN(O)C(=O)c3ccccc3)cc2-c2ccc(C)cc2)cc1
CHEMBL293122	C1=C(CCn2cc[nH+]c2)c2cccnc2CC1
CHEMBL293122	C1=C(CCn2ccnc2)c2cccnc2CC1
CHEMBL363228	Cc1onc(-c2ccc(Cl)o2)c1-c1ccccc1
CHEMBL294100	CC(C)(C)c1cc(/C=C2/CCNS2(=O)=O)cc(C(C)(C)C)c1O
CHEMBL222480	COc1ccc(-n2nc(COc3cc(F)cc(C4(OC)CCOCC4)c3)cc2-c2ccccc2)cc1
CHEMBL62723	CC(C)(C)c1cc(/C=C2\CCN(c3ccncc3)S2(=O)=O)cc(C(C)(C)C)c1O
CHEMBL268501	Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1
CHEMBL98903	COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL56563	Cc1cc(CCc2ccc(F)cc2)cc(C)c1O
CHEMBL110824	CC1(C)OC(=O)C(Oc2ncc(Cl)cc2Cl)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL512578	Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1
CHEMBL143776	Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1
CHEMBL302441	CN1OCC/C(=C\c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)S1(=O)=O
CHEMBL266100	CC(C)(C)c1cc(/C=C/c2cccs2)cc(C(C)(C)C)c1O
CHEMBL348115	CC(C)c1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1
CHEMBL513053	CC/C(=C\c1cc(O)cc(O)c1)c1ccc2ccccc2c1
CHEMBL33957	O=C1Cc2cc(Br)c(C3CCCCC3)cc2O1
CHEMBL13988	CC(C)(C)c1cc(C(=O)/C=C/CC2CC2)cc2c1OCC2(C)C
CHEMBL23241	COc1ccncc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1=O
CHEMBL1223901	COc1ccc(C2=C(c3ccc4c(c3)oc(=O)n4C)COC2=O)cc1
CHEMBL108512	CC1(C)OC(=O)C(Oc2ccc3sccc3c2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL275120	CC(C)(C)c1cc(C(=O)c2ccccc2)cc2c1OCC2(C)C
CHEMBL302838	O=C(Nc1nccs1)c1c([O-])n2c3c(cccc13)CCc1ccccc1-2
CHEMBL302838	O=C(Nc1nccs1)c1c(O)n2c3c(cccc13)CCc1ccccc1-2
CHEMBL302838	O=C(Nc1nccs1)C1C(=O)N2c3ccccc3CCc3cccc1c32
