ZINC02574883	NS(=O)(=O)c1cc(F)c(Br)cc1F
ZINC49963472	Nc1ccc(Cn2ccccc2=O)c(Cl)c1
ZINC50472051	Nc1cnccc1Sc1ccc(F)cn1
ZINC53003737	Cc1ccc(N)c(C(=O)N2CC3CCC2C3)c1
ZINC53735724	Cc1ccc(N)cc1Sc1cnn(C)c1
ZINC37666510	CC1CN(c2cc(N)cc(F)c2)CC(C)O1
ZINC37935183	N=C1SC2CNCCC2=C1c1nc2ccccc2s1
ZINC58103326	CC(O)c1cc(F)cc2c1NC(=O)C2(C)C
ZINC58106611	CC(C)(C)C(O)c1cc(F)c2c(c1)CC(=O)N2
ZINC58106618	CC(C)(C)C(O)c1cc(F)c2c(c1)CC(=O)N2
ZINC58108792	CC(O)c1cc(F)c2c(c1)C(C)(C)C(=O)N2
ZINC42450640	CCC1COC(C)CN1C1CCCCC1N
ZINC43668680	Cc1nn(CC2CC2)c(N)c1Br
ZINC59927685	CC1CCCCN1C(=O)c1ccc(F)cc1N
ZINC61875360	Cc1ccc2cccc(N3Cc4ccc(N)cc4C3)c2n1
ZINC61895277	Cc1ccn(Cc2cc(F)ccc2N)c(=O)c1
ZINC62778593	OC(c1cn[nH]c1)c1csc2ccccc12
ZINC62864147	Cc1cc(Cl)cc2cc(C(N)=O)cnc12
ZINC63004584	CC1CCCCN1C(=O)c1cc(F)c(N)c(F)c1
ZINC63072332	CC1(C)CCCN1c1ncccc1C(N)=S
ZINC00690270	Clc1ccc(NC2=NCC(CI)S2)cc1
ZINC00683043	O=C(Nc1cccc2cccnc12)c1ccccc1I
ZINC00514061	N#Cc1c(NC(=O)C(Cl)(Cl)Cl)sc2c1CCCC2
ZINC01040981	CNS(=O)(=O)c1cc(Br)ccc1I
ZINC06820396	O=C1CC(c2cccc(F)c2F)C2=C(CC(c3ccccc3Cl)CC2=O)N1
ZINC06820400	O=C1CC(c2cccc(F)c2F)C2=C(CC(c3ccccc3Cl)CC2=O)N1
ZINC12620269	Cc1ccc(C(=O)NC2CCSc3ccc(Cl)cc32)s1
ZINC12620287	O=C(NC1CCSc2ccc(Cl)cc21)c1ccc(Br)o1
ZINC12791368	O=C(NC1CCCc2ccccc21)C1CC2CCC(C1)C21SCCS1
ZINC16110385	O=C(NC1CCSc2ccc(F)cc21)c1ccc(Br)s1
ZINC18134086	O=C(NC1CCSc2ccccc21)c1ccc(Br)s1
ZINC19318694	BrCC1CNC(Br)(N2CCCCC2)S1
ZINC22397335	O=C(Nc1cccc(I)c1)c1cccc2cccnc12
ZINC24248645	O=C(Cc1ccsc1)NC1CCSc2ccc(Cl)cc21
ZINC24248650	O=C(Cc1ccsc1)NC1CCSc2ccc(Cl)cc21
ZINC35222258	CSc1cccc(NC(=O)c2csc(Br)c2)c1
ZINC36795776	Cc1ccc(C(=O)Nc2ccc(I)cc2C)o1
ZINC37051953	Cn1ncc2c1CCCC2Nc1c(F)cc(F)cc1Br
ZINC37247748	CN1C(=O)CC(Nc2ccc(I)cc2)c2ccccc21
ZINC37248498	CN1C(=O)CC(Nc2ccccc2I)c2ccccc21
ZINC37297824	Cc1cc(I)ccc1NC1CC(=O)N(C)c2ccccc21
ZINC05425362	O=C(NC1CCSc2ccccc21)c1ccccc1Br
ZINC39338077	S=C1N=NC(Nc2ccc(I)cc2)S1
ZINC39526135	OC1CCCC2(CCCC(Br)N2I)C1
ZINC39534662	CC(Sc1ccccc1)C(=O)NC1CCSc2ccc(Cl)cc21
ZINC40236612	CNC(c1cncc(Br)c1)c1ccc(Br)s1
ZINC40261140	OC(c1ccncc1)c1cc(Br)sc1Br
ZINC40283882	O=C1Cc2cc(C(Br)c3c(F)cccc3F)ccc2N1
ZINC46255449	O=C(NCc1cc(Br)cs1)c1sccc1Br
ZINC47556602	Cc1ccc(CNC(=O)c2ccc(Br)cc2F)cn1
ZINC48073983	Cc1ccc(CNC(=O)c2ccc(Br)cc2F)s1
ZINC48189613	O=C(NCc1ccncc1)c1ccc(Br)cc1Cl
ZINC48607190	O=C(NCc1cc(Br)cs1)c1cc2cc(F)ccc2s1
ZINC49315170	O=C(NCc1ccc(Br)cc1Cl)c1cccnc1
ZINC49379815	Cc1nc(C(=O)NC(C)c2ccc(Br)cc2)cs1
ZINC49457896	O=C(c1cc(Br)c[nH]1)N1CC2CC3CC(C2)CC1C3
ZINC52299776	CC1CC1NS(=O)(=O)c1ccc(Br)cc1Cl
ZINC52789799	Cc1cc(CNc2ccc(I)cc2)c(C)n1C
ZINC15052865	N=C1S/C(=C\c2cccc(Cl)c2Cl)C(=O)N1c1ccccc1
ZINC54770862	Cc1cc(I)ccc1NCc1cncs1
ZINC41641448	CC(NCc1cccnc1)c1ccc(Br)cc1Br
ZINC60569864	O=C(Nc1ncccc1I)C1CC=CCC1
ZINC61367693	O=C(NC1CCCc2sccc21)c1ccc(F)cc1Br
ZINC61441759	O=C1CNc2ccccc2N1Cc1ccc(Br)cc1F
ZINC61870674	O=C1CCc2cc(C(Cl)c3ccc(Br)cn3)c(F)cc2N1
ZINC61872847	CSc1cccc(NC(=O)c2ccc(Br)cn2)c1
ZINC61873157	O=C(Nc1c(F)cc(F)cc1Br)c1ccc(Br)cn1
ZINC61874447	O=C(NCc1ccc(F)c(F)c1)c1ccc(Br)cn1
ZINC61874601	O=C(Nc1cc(F)c(F)cc1F)c1ccc(Br)cn1
ZINC63047251	Clc1cc(I)ccc1NCc1ccoc1
ZINC02369337	Cc1ccc(NC(=O)C23CCC(C)(C(=O)C2Br)C3(C)C)cc1
ZINC00679699	Cc1nc(NC(=O)c2ccccc2F)ccc1I
ZINC00830058	O=C(Nc1nccs1)c1cc(I)ccc1Cl
ZINC07987337	CC(NC(=O)c1cc(Br)c(Br)s1)c1cccnc1
ZINC10499804	O=C(NCCc1ccc(Br)s1)c1cncc(Br)c1
ZINC15011395	C=CCN1C(=O)/C(=C\c2cc(Cl)cc(Br)c2O)SC1=S
ZINC21839547	Cc1ccc(C(C)NC(=O)c2cccc(I)c2)o1
ZINC22994470	O=C(NCCc1ccc(Br)s1)C1Cc2ccccc2O1
ZINC25713220	O=C(NCc1cccs1)c1c(-n2cccc2)sc2c1CCSC2
ZINC28779426	CC(NC(=O)c1cc(Br)c(Br)s1)c1ccccn1
ZINC30793221	O=C(NC(c1ccccc1)c1ccccn1)c1csc(Br)c1
ZINC32479627	CC(NC(=O)c1ccc(Cl)c(I)c1)c1ccncc1
ZINC37051910	Cn1ncc2c1CCCC2Nc1ccc(I)cc1
ZINC37051911	Cn1ncc2c1CCCC2Nc1cccc(I)c1
ZINC37051913	Cn1ncc2c1CCCC2Nc1ccccc1I
ZINC37139337	Cc1nc(C(C)Nc2cc(Br)ccc2N(C)C)c(C)s1
ZINC37393076	O=C(Cc1nc(CCl)cs1)Nc1c(F)cc(F)cc1Br
ZINC37408711	O=S(=O)(NCc1ccc(F)cc1)c1ccc(F)cc1Br
ZINC38002825	CC(Nc1cc(S(C)(=O)=O)ccc1F)c1ccc(Br)s1
ZINC40158044	Cc1ccccc1SCC(=O)Nc1ncccc1I
ZINC40432547	O=C(NCCc1nc2ccccc2s1)c1csc(Br)c1
ZINC41378873	O=C(NCC1CCOC1)c1cc(Br)c(Br)s1
ZINC42811248	O=c1c2ccccc2[nH]c(=S)n1CCc1ccc(Br)s1
ZINC42847324	Cc1cccc(C(=O)NCCc2ccco2)c1I
ZINC47416593	O=C(/C=C\c1nccs1)Nc1cc(Br)ccc1Br
ZINC47416595	O=C(/C=C/c1nccs1)Nc1cc(Br)ccc1Br
ZINC48022796	O=c1c2ccsc2[nH]c(=S)n1Cc1ccc(Br)cc1
ZINC49402264	Cc1cc(C(C)NC(=O)c2ccc(F)cc2I)c(C)o1
ZINC49466969	CC(C)(C)c1ncc(C(=O)NCc2csc(Br)c2)s1
ZINC49576481	O=S(=O)(NCc1ccc(F)c(F)c1)c1ccc(F)cc1Br
ZINC50045670	CC(Cc1ccsc1)NC(=O)c1cc(Br)cnc1Cl
ZINC51819227	CC(O)CN(C)C(=O)c1cc(Cl)cc(Cl)c1I
ZINC52299726	CC1CC1NS(=O)(=O)c1ccc(Br)cc1Br
ZINC52299760	CC1CC1NS(=O)(=O)c1cc(Br)ccc1Br
ZINC52914447	CC(Sc1nccs1)C(=O)Nc1c(F)c(F)c(F)c(F)c1F
ZINC53003313	CNc1ccc(C)cc1C(=O)N(C)Cc1cc(Br)cs1
ZINC53522906	O=c1ccc(Br)cn1CCNc1cccc(Br)c1
ZINC54362952	Cc1cc(S(=O)(=O)NC(C)C)c(Br)cc1Br
ZINC57340086	O=C(CCc1nccs1)Nc1cc(Br)ccc1Br
ZINC14283001	CS(=O)c1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1
ZINC58412006	O=C(CC12CC3CC(CC(Br)(C3)C1)C2)NCc1nccs1
ZINC42063862	CN1C(=O)C(Nc2ccccc2I)c2ccccc21
ZINC43688174	CCNC1C(=O)N(Cc2cc(Br)cs2)c2ccc(F)cc21
ZINC43688196	CCNC1C(=O)N(Cc2cc(Br)cs2)c2cc(F)ccc21
ZINC43688251	CNC1C(=O)N(Cc2cc(Br)cs2)c2c(F)cc(C)cc21
ZINC60138036	Cc1cc(C(C)NC(=O)C2(c3ccc(Br)cc3)CC2)c(C)o1
ZINC61371877	O=S(=O)(NC1CCCc2sccc21)c1sccc1Br
ZINC61371896	CC(NS(=O)(=O)c1c(F)cc(F)cc1Br)c1ccsc1
ZINC63057615	CNc1ccc(C(=O)N(C)Cc2cc(Br)cs2)cc1C
ZINC66677962	CS(=O)c1ccc(C(=O)Nc2cc(Br)ccc2Cl)cc1
ZINC08833921	Cc1nc(-c2ccccc2)sc1C(=O)C1=C(O)C(=O)N(CC[NH+](C)C)C1c1ccc(Cl)cc1
ZINC08911559	Cc1cc(C)cc(NC(=O)C2CC[NH+](Cc3cnn(-c4ccccc4)c3-n3cccc3)CC2)c1
ZINC10315590	Cc1c(C[NH2+]CCSc2nnnn2C)c2ccccc2n1Cc1ccc(Cl)cc1Cl
ZINC11563468	O=C(NCC(c1ccccc1Cl)[NH+]1CCCC1)C1CCN(c2nc3ccccc3o2)CC1
ZINC11905254	CC1CC[NH+](C(CNC(=O)c2cc(-c3ccc(Br)cc3)on2)c2ccco2)CC1
ZINC12181943	Cc1ccc(C[NH+]2CCC(C3(c4ccccn4)NC(=O)N(CCc4cccs4)C3=O)CC2)c(C)c1
ZINC12455349	CCC1(C2CC[NH+](Cc3cccc(F)c3F)CC2)NC(=O)N(CCc2ccc(OC)cc2)C1=O
ZINC13039869	CCc1ccc(C(C)[NH2+]Cc2nc3cc(S(=O)(=O)N4CCCCC4)ccc3n2CC)cc1
ZINC09302134	CC[NH+](CC)CCN1C(=O)C(=O)/C(=C(/O)c2sc(C)nc2C)C1c1ccc(C(C)(C)C)cc1
ZINC13565790	Cc1sc(NC(=O)C[NH+](C)C2CCCCC2)nc1-c1ccc2c(c1)CCN2C(=O)C1CC1
ZINC15317914	COc1cc(/C=C/C(=O)Nc2nc3c(s2)C[NH+](Cc2ccccc2)CC3)ccc1OC(F)F
ZINC20737119	Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)NCC2CC[NH+](C(C)c3ccccc3)C2)o1
ZINC21472587	CCC[NH+](CC(=O)Nc1cc(Cl)c(Cl)cc1Cl)Cc1nnc(-c2cccs2)o1
ZINC21525992	CC[NH+](CC)CCCN1C(=O)c2cc3sccc3n2CC1(C)C(=O)NC1CCCCCC1
ZINC21729366	C[NH+](CCCNC(=O)c1c2c(nc3ccccc13)C(=O)N(C1CCCCC1)C2)C1CCCCC1
ZINC23819396	CCOC(=O)c1sc2nc(C(C)[NH+](C)Cc3cccc(Cl)c3Cl)[nH]c(=O)c2c1C
ZINC24212496	CCC[NH+](CC(=O)Nc1ccc(Cl)cc1Cl)Cc1cc(=O)n2cc(Cl)ccc2n1
ZINC30983919	O=C(NCCSC1CCCCC1)C1CC[NH+](Cc2nc(-c3ccccc3Cl)no2)CC1
ZINC30986657	CCc1cccc(CC)c1NC(=O)C1CC[NH+](Cc2nc(-c3ccc(Cl)cc3)no2)CC1
ZINC31045292	CCc1cccc(CC)c1NC(=O)C1CCC[NH+](Cc2nc(-c3ccc(Cl)cc3)no2)C1
ZINC31046646	CCC(NC(=O)C1CCC[NH+](Cc2nc(-c3ccc(Cl)cc3)no2)C1)c1ccc(C)cc1
ZINC31046655	CCC(NC(=O)C1CCC[NH+](Cc2nc(-c3ccc(Cl)cc3)no2)C1)c1ccc(C)cc1
ZINC31046684	CC(C)CC(NC(=O)C1CCC[NH+](Cc2nc(-c3ccc(Cl)cc3)no2)C1)c1ccccc1
ZINC31050244	CC(C)CC(NC(=O)C1CCC[NH+](Cc2nc(-c3ccccc3Cl)no2)C1)c1ccccc1
ZINC31052291	O=C(NCCSC1CCCCC1)C1CCC[NH+](Cc2nc(-c3cccc(Cl)c3)no2)C1
ZINC31053408	CCC(NC(=O)C1CCC[NH+](Cc2nc(-c3cccc(Cl)c3)no2)C1)c1ccc(C)cc1
ZINC33078892	Cc1c(C(=O)NCCC[NH+]2CCc3ccccc3C2)sc2ncnc(N(C)C3CCCCC3)c12
ZINC33131378	C[NH+](CCNC(=O)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl)C1CCCCC1
ZINC36213574	Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)NCC2CC[NH+](C(C)c3ccccc3)C2)o1
ZINC36848854	Cc1ccc(C(C)NC(=O)CSc2nnc(C(C)[NH+](C)C)n2-c2ccc(Cl)cc2)cc1C
ZINC02960473	O=C(NCCC1=CCCCC1)C1CC[NH+](Cc2cnn(-c3ccccc3)c2-n2cccc2)CC1
ZINC38546357	CCOC(=O)C1CC[NH+](C(c2ccc(F)cc2)c2cc(C)sc2NC(=O)c2ccco2)CC1
ZINC38546358	CCOC(=O)C1CC[NH+](C(c2cccc(F)c2)c2cc(C)sc2NC(=O)c2ccco2)CC1
ZINC38564400	COc1ccc(OC)c(C2=NC(C(=O)NCc3ccc(F)cc3)=CC3=c4ccccc4=[NH+]C23)c1
ZINC38597803	O=S(=O)(NCC(c1ccco1)[NH+]1CCN(c2ccc(F)cc2)CC1)c1ccc(F)c(Cl)c1
ZINC38872429	CC(C)(C)SCCNC(=O)C1CC[NH+](Cc2nc(-c3ccc(Cl)cc3Cl)no2)CC1
ZINC39394946	COC1C(NC(=O)Cc2cccs2)c2ccccc2C12CC[NH+](CC1C=C(C(C)C)N=N1)CC2
ZINC40322091	O=C(NCC(c1cccs1)[NH+]1CCCCC1)c1ccc(S(=O)(=O)c2ccc(Cl)cc2)o1
ZINC40958135	O=C(/C=C/c1ccccc1Cl)NC1CC[NH+](Cc2nc(-c3ccc(Cl)cc3)no2)CC1
ZINC40960797	Cc1cc(C)cc(C(=O)NC2CC[NH+](Cc3nc(-c4cccc(C(F)(F)F)c4)no3)CC2)c1
ZINC29145552	CC(C)c1cccc(NC(=O)CSc2nnc(C(C)[NH+](C)C)n2-c2ccc(Cl)cc2)c1
ZINC46735320	Cc1ccc(-n2cnnc2SCC(=O)Nc2ccccc2C[NH+](C)C2CCCCC2)cc1C
ZINC46902666	COc1ccc(C(CNC(=O)c2cccnc2Oc2cccc(Br)c2)[NH+](C)C)cc1
ZINC39943226	O=C(COC(=O)C1=C(c2ccc(Cl)cc2)NN(c2ccccc2)C1)C1=c2ccccc2=[NH+]C1
ZINC63486316	C=C(C)COc1ccc2c(c1C)OC(=O)C(CC(=O)NCCC1=c3cc(F)ccc3=[NH+]C1)C2C
ZINC63486321	C=C(C)COc1ccc2c(c1C)OC(=O)C(CC(=O)NCCC1=c3cc(F)ccc3=[NH+]C1)C2C
ZINC63514892	COc1ccc(C)cc1S(=O)(=O)NCCC1=c2cc(OC(F)(F)Cl)ccc2=[NH+]C1C
ZINC63623089	CC1C(/C=C(\C#N)C(=O)NCCC2=c3ccccc3=[NH+]C2)c2ccccc2N1Cc1ccccc1C#N
ZINC63674257	COc1cc(S(=O)(=O)NCCC2=c3cc(OC(F)(F)F)ccc3=[NH+]C2C)ccc1Cl
ZINC65062240	CC(C(=O)NCCC1=c2ccccc2=[NH+]C1)C1CCN(S(=O)(=O)c2ccc(Cl)s2)CC1
ZINC08952470	COc1ccc2c(c1OC)C(=O)N1C2SC(C)(C)C1C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC12201190	O=C(CC1C(=O)NCC[NH+]1Cc1c(F)cccc1Cl)NCc1ccc2ncccc2c1
ZINC20491775	Cc1cccc(C[NH+]2CCC(CNS(=O)(=O)c3cc4c(cc3C)NC(=O)CO4)CC2)c1
ZINC35105338	CCC(C)NC(=O)C1CSC2(CCN(S(=O)(=O)c3c(C)cc(C)cc3C)CC2)[NH2+]1
ZINC36709247	Cc1ccc(NC(=O)C[NH+]2CCC(C(=O)Nc3nc(-c4ccco4)cs3)CC2)c(C)c1
ZINC39167745	O=C(N/N=C/C1=c2ccccc2=[NH+]C1)C1NN(Cc2ccc(Cl)cc2)C=C1Br
ZINC36697682	Cc1sc2nc(CSC(C)C(=O)NC3CC[NH+](Cc4ccccc4)C3)[nH]c(=O)c2c1C
ZINC39596090	CC(CNC(=O)C1CN(C(=O)c2cccc(Cl)c2F)CC12CC[NH2+]CC2)Oc1ccc(F)cc1
ZINC39599912	O=C(NCc1ccc(OC(F)(F)F)cc1)C1CN(C(=O)C2CC=CCC2)CC12CC[NH2+]CC2
ZINC39606635	CCC(C)CNC(=O)C1CN(C(=O)c2cc(Cl)c(OC)c(Cl)c2)CC12CC[NH2+]CC2
ZINC39608964	CCC(C)C(=O)N1CC(C(=O)NC2CCCC2OCc2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39609607	CCOc1cccc(CCNC(=O)C2CN(C(=O)c3sccc3C)CC23CC[NH2+]CC3)c1
ZINC39633682	CCn1nc(C)c(Br)c1C(=O)N1CC(C(=O)NC2CCCCCC2)C2(CC[NH2+]CC2)C1
ZINC39634371	Cc1ccc(CNC(=O)C2CN(C(=O)c3cccnc3Sc3ccccc3)CC23CC[NH2+]CC3)cc1
ZINC39635871	Cc1onc(-c2ccccc2Cl)c1C(=O)N1CC(C(=O)NC2CCCCC2C)C2(CC[NH2+]CC2)C1
ZINC39659734	COc1cc(OC)cc(C(=O)N2CC(C(=O)NC3CCCCCCC3)C3(CC[NH2+]CC3)C2)c1
ZINC39665043	CC(CNC(=O)C1CN(C(=O)c2ccccc2C(F)(F)F)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39665366	CC(CNC(=O)C1CN(C(=O)c2csc3ccccc23)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39665367	CC(CNC(=O)C1CN(C(=O)c2csc3ccccc23)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39665368	CC(CNC(=O)C1CN(C(=O)c2csc3ccccc23)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39665459	Cc1ccccc1CC(=O)N1CC(C(=O)NCC(C)Oc2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39665483	CC(CNC(=O)C1CN(C(=O)c2c(F)ccc(Cl)c2F)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39666230	Cc1ccc(OC(C)CNC(=O)C2CN(C(=O)C3CC=CCC3)CC23CC[NH2+]CC3)cc1
ZINC39672311	Cc1cccc(CC(=O)N2CC(C(=O)NCc3ccc4c(c3)CCCN4C)C3(CC[NH2+]CC3)C2)c1
ZINC39673520	CCCC(C)NC(=O)C1CN(C(=O)c2cccc3c2-c2ccccc2C3=O)CC12CC[NH2+]CC2
ZINC39677324	COc1ccc(CCC(=O)N2CC(C(=O)NCc3sccc3C)C3(CC[NH2+]CC3)C2)cc1
ZINC39677605	CCCC(C)C(=O)N1CC(C(=O)NCc2ccc(-c3ccccn3)s2)C2(CC[NH2+]CC2)C1
ZINC39677746	Cc1ccsc1C(=O)N1CC(C(=O)NCc2ccc(-c3ccccn3)s2)C2(CC[NH2+]CC2)C1
ZINC39677753	Cc1cccc(CC(=O)N2CC(C(=O)NCc3ccc(-c4ccccn4)s3)C3(CC[NH2+]CC3)C2)c1
ZINC39684456	Cc1onc(-c2ccccc2Cl)c1C(=O)N1CC(C(=O)NC(C)C(C)(C)C)C2(CC[NH2+]CC2)C1
ZINC39684576	COc1ccc(C(=O)N2CC(C(=O)NC(C)C(C)(C)C)C3(CC[NH2+]CC3)C2)cc1C(F)(F)F
ZINC39685109	O=C(NCCOc1ccccc1F)C1CN(C(=O)c2cccc(Cl)c2Cl)CC12CC[NH2+]CC2
ZINC39685110	O=C(NCCOc1ccccc1F)C1CN(C(=O)c2cccc(Cl)c2Cl)CC12CC[NH2+]CC2
ZINC39690578	CC(Oc1ccccc1)C(=O)N1CC(C(=O)NCc2ccccc2Br)C2(CC[NH2+]CC2)C1
ZINC39691147	Cc1ccccc1CCNC(=O)C1CN(C(=O)C(C)Oc2ccccc2)CC12CC[NH2+]CC2
ZINC39696126	CCc1ccc(C(C)NC(=O)C2CN(C(=O)c3cccc(N(C)C)c3)CC23CC[NH2+]CC3)cc1
ZINC40796835	CN(c1ncnc(Oc2ccc(Br)c3cccnc23)c1N)C1CC[NH+](C)CC1
ZINC59446074	C/C(=N\NC(=[NH2+])SC1CC(=O)N(c2ccc(F)cc2)C1=O)c1ccc(Br)s1
ZINC60155500	Cc1ccc(C(CNC(=O)c2cccc(N3NC(=O)C4CC=CCC4C3=O)c2)[NH+](C)C)cc1
ZINC60220784	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)Nc1cccc(C[NH+]3CCSCC3)c1)C2=O
ZINC63376143	CCCCN1C(=O)C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccccc43)C2C1=O
ZINC63376145	CCCCN1C(=O)C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccccc43)C2C1=O
ZINC63472933	O=C1C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccc(F)cc43)C2C(=O)N1Cc1ccccc1
ZINC63478526	CC(C)(C)N1C(=O)C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccc(F)cc43)C2C1=O
ZINC63557150	CC(C)(C)C1NN=C(NC(=O)C2CC(=O)N(CCC3=c4cc(Cl)ccc4=[NH+]C3)C2)S1
ZINC63557189	Cc1ccc2c(c1)SC(NC(=O)C1CC(=O)N(CCC3=c4cc(F)ccc4=[NH+]C3)C1)N2
ZINC63557281	CC1(C)CC(=O)C2=C(C1)NC(NC(=O)C1CC(=O)N(CCC3=c4cc(Cl)ccc4=[NH+]C3)C1)S2
ZINC63752556	Cc1ccc2c(c1)=C(NC(=O)c1ccc(Cl)cc1)C(C(=O)NCc1c(C)nn(C)c1C)[NH+]=2
ZINC64707607	NC(=O)C1CN(C(=O)CCC2=c3ccccc3=[NH+]C2c2ccc(F)cc2)c2ccccc2O1
ZINC64707615	NC(=O)C1CN(C(=O)CCC2=c3ccccc3=[NH+]C2c2ccc(F)cc2)c2ccccc2O1
ZINC00144230	CNc1ccc(Cl)cc1C(=O)NC1CC(C)CC(C)(C)C1
ZINC00082299	O=C(NCc1sccc1Cl)Nc1cccc(Cl)c1
ZINC02889977	O=C(Nc1ccc(C(F)(F)F)cc1)Nc1ccccc1F
ZINC05046642	C=C(Br)CNC(=O)Nc1cccc2c1CCCC2
ZINC06667602	Brc1csc(CNc2ccc3cn[nH]c3c2)c1
ZINC12493103	Cc1cc2cc(CNc3ccccc3C)c(=O)[nH]c2cc1Cl
ZINC12493388	Cc1ccc(C)c(NCc2cc3cc(C)c(C)cc3[nH]c2=O)c1
ZINC20536062	CC(NC(=O)Nc1ccc(F)c(Cl)c1)c1cccs1
ZINC22326711	Cc1ccc2[nH]c3c(c2c1)CC(NC(=O)CC1C=CCC1)CC3
ZINC22327209	Cc1cccc2c3c([nH]c12)CCC(NC(=O)CC1C=CCC1)C3
ZINC26145299	O=C(NCC1CCC1)c1cc2ccc(Br)cc2[nH]1
ZINC26841328	C=CCn1c(N)c(-c2nc3ccccc3s2)sc1=S
ZINC28530288	CC(C)c1cccc(C(C)C)c1N1Cc2c(N)cccc2C1=O
ZINC31662835	Cc1cc(C(C)NC(=O)Nc2cccc(Cl)c2)c(C)s1
ZINC36989491	Brc1ccc(CNc2ccc3[nH]ncc3c2)s1
ZINC37303530	O=C1CCc2cc(F)c(NCC3CC4C=CC3C4)cc2N1
ZINC40290666	Cc1nnc(Sc2cc(Cl)ccc2Cl)c(CN)c1C
ZINC40322151	Cc1sc(C(=O)N(C)C(C)c2ccc(Cl)cc2)cc1N
ZINC40932267	CC(C1CC1)n1nc(-c2ccc(Br)cc2)cc1N
ZINC41796775	CC1CCCC([NH2+]C2(C(=O)[O-])CCSc3ccccc32)C1
ZINC43409031	CC1CCCCC1N(C)c1nc2c(cc1C(N)=S)CCC2
ZINC48469739	CC(C)C(C)NC(=O)Nc1ccc(Br)cc1F
ZINC48475007	CC(NC(=O)Nc1cccc(Cl)c1F)c1cccs1
ZINC48479133	O=C(NCc1cccs1)Nc1ccc(Cl)c(F)c1
ZINC48786045	N#Cc1ccc(OCc2ccc(Cl)c(Cl)c2)c(N)c1
ZINC48908786	Cc1cc(C(C)NC(=O)Nc2ccccc2Cl)c(C)s1
ZINC48971544	CN(Cc1ccc(Cl)s1)c1ccc2ncccc2c1N
ZINC49241214	O=C(NCc1cc(F)ccc1Br)NC1CCCC1
