ZINC06503852	Cc1ccc(C(=O)NC(=S)NNC(N)=S)cc1I
ZINC58267489	Cc1cccc(N2CC[NH+](Cc3ccc(N)c(N)c3)CC2)c1C
ZINC42952163	CC[C@@H]([NH3+])[C@H](c1ccc(Br)cc1)N1CCC[C@H](C(N)=O)C1
ZINC07744362	C[C@H]([NH2+][C@H](C)C(=O)Nc1ccc(C(N)=O)cc1)c1ccc2c(c1)CCCC2
ZINC61856709	NC(=[NH2+])c1ccc(N(CCO)C2CCCCC2)cc1Cl
ZINC62848488	CCCC1(C(=O)N[C@H]2CC[C@H](C(N)=O)CC2)CC[NH2+]CC1
ZINC62975911	Nc1cc(N2CC[C@H]([NH+]3CCCC3)C2)cc(S(N)(=O)=O)c1
ZINC63007783	NNc1c(F)cc(C(=O)N[C@H]2CC[N@@H+]3CCC[C@H]23)cc1F
ZINC63131895	C[C@@]([NH3+])(CCCCSc1ccc(S(C)(=O)=O)cc1)C(N)=O
ZINC63177758	CCCNS(=O)(=O)c1ccccc1N[C@@H]1CCC[C@H]1[NH3+]
ZINC63213239	[NH3+][C@H]1CCCCC[C@@H]1NS(=O)(=O)c1c[nH]c2ncccc12
ZINC63349888	COc1ccccc1[C@@H]1N[C@@H](C(=O)NN)CC2=c3ccccc3=[NH+][C@@H]21
ZINC02932451	NNC(=O)CCn1c(=S)[nH]c2ccsc2c1=O
ZINC00192456	O=C1NCCC[C@@H]1C(=O)NC[C@@H](O)CO
ZINC00056733	CC1(C)O[C@H]([C@@H](O)CO)[C@@H]([C@@H](O)CO)O1
ZINC04765034	C[C@@]12OC(N)=C(C#N)[C@]1(C#N)C(N)=NC2=O
ZINC05024945	CC1(C)C[C@@]2(CCO1)NNC(=O)[C@@H]1C(=O)NNC(=O)[C@H]12
ZINC03123976	C[C@H]1CS(=O)(=O)C[C@@H]1C(C(N)=O)C(N)=O
ZINC05211799	C[C@H]1CS(=O)(=O)C[C@H]1C(C(N)=O)C(N)=O
ZINC06591401	O=c1ccn([C@H]2C=C(CO)[C@@H](O)[C@@H]2O)c(O)c1
ZINC12503474	Nc1nc2c(c(=O)[nH]1)N1C(=O)OC[C@@H]1CN2
ZINC05993525	NC(=O)CSc1nnc(C(F)(F)F)n1N
ZINC35234222	C[C@H](CO)NC(=O)[C@@H]1CCCN(C(N)=O)C1
ZINC35326996	NC(=O)c1ccc(CN2C(=O)CCCC2=O)c(N)c1
ZINC35431161	[NH3+][N-]S(=O)(=O)c1ccc2c(c1)CC(=O)N2
ZINC40328225	CC(=O)N[C@H]1CCCN(C(=O)c2cc(N)c[nH]2)C1
ZINC40470534	[NH3+]C1(C(=O)N2C[C@@H](O)C[C@@H]2C(=O)[O-])CCCCC1
ZINC40516910	Nc1ncn(-c2ccc(S(N)(=O)=O)cn2)n1
ZINC42429721	CC(C)[C@@H](NC(=O)NC1CC[NH2+]CC1)C(=O)[O-]
ZINC42429972	CC(C)[C@H](NC(=O)N1CCC([NH3+])CC1)C(=O)[O-]
ZINC42430297	CC(C)[C@H](NC(=O)N1CCC[C@@H]([NH3+])C1)C(=O)[O-]
ZINC42430337	CC[C@@H](NC(=O)N1CCC[C@H]([NH3+])C1)C(=O)[O-]
ZINC42430352	CCC[C@H](NC(=O)N1CCC[C@@H]([NH3+])C1)C(=O)[O-]
ZINC42431184	CCN(CC(=O)[O-])C(=O)N[C@@H]1CCCC[C@@H]1[NH3+]
ZINC43706734	[NH3+]CCNC(=O)N1CCO[C@H](C(=O)[O-])C1
ZINC44629193	CC[C@H](C(=O)[O-])N(C)C(=O)N[C@H]1CCCC[C@@H]1[NH3+]
ZINC44932450	C[C@@H](NC(=O)[C@@H]([NH3+])C(C)(C)C)c1nnn[n-]1
ZINC48835240	C[C@H]1CC[C@@](NC(=O)NC2CC[NH2+]CC2)(C(=O)[O-])CC1
ZINC48836062	C[C@@H]1CCC[C@](NC(=O)N2CCC([NH3+])CC2)(C(=O)[O-])C1
ZINC48837507	[NH3+][C@@H]1CCCN(C(=O)NC2(C(=O)[O-])CCCCC2)C1
ZINC48843592	[NH3+][C@H]1CCCC[C@H]1NC(=O)N1CCCC[C@@H]1C(=O)[O-]
ZINC50212944	O=C1NCCC[C@@H]1Nc1n[nH]c(=O)[nH]c1=O
ZINC50244608	[NH3+][C@@H]1CCN(C(=O)NC2(C(=O)[O-])CCCC2)C1
ZINC50244693	[NH3+][C@@H]1CCN(C(=O)N[C@H](C(=O)[O-])C2CCCCC2)C1
ZINC50251080	[NH3+]C[C@@H]1CCN(C(=O)NC2(C(=O)[O-])CCCCC2)C1
ZINC50649767	Nc1ccc(S(N)(=O)=O)c([N+](=O)[O-])c1
ZINC51355416	[NH3+]CCCNC(=O)N1CCO[C@H](C(=O)[O-])C1
ZINC54335148	C[C@H](CNC(=O)[C@@H]1C[C@H](O)C[NH2+]1)C(=O)[O-]
ZINC54336291	C[C@H](CNC(=O)NC1CC[NH2+]CC1)C(=O)[O-]
ZINC54525752	[NH3+][C@H]1CCN(C(=O)N[C@@H](C(=O)[O-])C2CC2)C1
ZINC55171334	Cc1nc(N)sc1C(=O)N(C)CC(N)=O
ZINC56371557	CNC(=O)NNC(=O)[C@@H](NC(C)=O)C(C)C
ZINC00809312	Cc1n[nH]c2c1[C@H](c1ccoc1)C(C#N)=C(N)N2
ZINC58951144	O=C([O-])N1CCN(C(=O)[O-])[C@H]2[NH2+]C[NH2+][C@H]21
ZINC17878833	NC1=NC(=O)[C@H]([C@]2(O)C(=O)Nc3ccc(F)cc32)S1
ZINC61685173	Nc1[nH][nH+]cc1S(=O)(=O)[N-]c1ccon1
ZINC61886727	NC(=S)[C@@H]1CCC[C@@H]1NS(=O)(=O)c1cn[nH]c1
ZINC62936186	C[C@]1(C(=O)[O-])CC[N@@H+](CC(=O)NC(N)=O)C1
ZINC62948137	[NH3+][C@@H]1CCN(C(=O)Nc2cncc(C(=O)[O-])c2)C1
ZINC50633679	CNC(=O)NC(C)(C)C(=O)N[C@@H]1CCCNC1=O
ZINC34198910	CC1(C)O[C@H]2[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]2O1
ZINC66451116	NC(=O)CN1CCC[C@@H](NC(=O)c2ccc[nH]c2=O)C1
ZINC00424641	N#Cc1c(N)c(C#N)c(=S)n(C[C@@H]2CCCO2)c1N
ZINC00518957	[NH3+][C@H](C(=O)[O-])[C@@H](O)c1ccc([N+](=O)[O-])cc1
ZINC08783362	Cc1nc2c(o1)NC(N)=C(C#N)[C@@]21C(=O)Nc2ccccc21
ZINC09915809	CO[C@@]1(C)O[C@](C)(CO)[C@@](C)(O)[C@@](C)(O)[C@]1(C)O
ZINC09970411	CO[C@@]1(C)O[C@](C)(CO)[C@@](C)(O)[C@@](C)(O)[C@@]1(C)O
ZINC13058770	CC(=O)Nc1ccc(NC(=O)[C@@H]2CCCN2C(N)=O)cc1
ZINC19852963	CC(=O)N1CCC2(CC1)C(C#N)=C(N)SC(N)=C2C#N
ZINC33637585	O=C(OC[C@@H]1CC[C@H](O)[C@H](O)C1)[C@@H]1CC[C@H](O)[C@H](O)C1
ZINC33637586	O=C(OC[C@@H]1CC[C@@H](O)[C@H](O)C1)[C@@H]1CC[C@H](O)[C@H](O)C1
ZINC35298848	NC(=O)NC(=O)CC[N@@H+]1CCCC[C@H]1C(=O)[O-]
ZINC35455191	C[C@H]1C(=O)O[C@@H]2C[C@@](C)(O)C3=C([C@H](O)[C@H]21)[C@@](C)(O)C[C@@H]3O
ZINC36083218	C[C@H]([NH3+])C(=O)Nc1ccc(N2CCC[C@H](C(=O)[O-])C2)cn1
ZINC36861562	NC(=O)C1CCN(C(=O)c2cc(N)cn2C2CC2)CC1
ZINC13556145	S=C1NCCNC(=S)NCCOCCOCCN1
ZINC37896768	CC(C)[C@H](NC(N)=O)C(=O)N1CCC(CO)CC1
ZINC37934238	C[C@H]1COCCN1c1cc(N)cc(S(N)(=O)=O)c1
ZINC39098285	NNc1ccc(CN2C(=O)CNC2=O)cc1
ZINC40295897	Nc1cc(N)cc(C(=O)N2CCN(c3nccs3)CC2)c1
ZINC40338436	Cc1sc(C(=O)N2CCN(S(N)(=O)=O)CC2)cc1N
ZINC40363779	NC(=S)C1(NS(=O)(=O)c2cn[nH]c2)CCCC1
ZINC40376586	C[C@H](NS(=O)(=O)N1CCCCC1)/C(N)=N/O
ZINC40377004	CC(C)(NS(=O)(=O)C(F)F)/C(N)=N/O
ZINC40381008	NS(=O)(=O)c1ccccc1NC(=O)[C@H]1CSC(=O)N1
ZINC40479566	O=C(NC1(C(=O)[O-])CCCCC1)[C@@H]1C[C@@H](O)C[NH2+]1
ZINC41028352	[NH3+][C@@H]1CCCN(C(=O)c2cc([O-])[nH]c(=O)c2)C1
ZINC42420486	[NH3+]CCNC(=O)N1c2ccccc2C[C@H]1C(=O)[O-]
ZINC42431193	CC(C)N(CC(=O)[O-])C(=O)N[C@H]1CCCC[C@@H]1[NH3+]
ZINC42432520	NC(=S)CNC(=O)C(=O)N1CCCC[C@@H]1CO
ZINC43594019	NC(=O)NC(=O)C[N@@H+]1CCc2ccccc2[C@H]1C(=O)[O-]
ZINC44234573	[NH3+][C@@H](CCO)c1cc([N+](=O)[O-])cc(Br)c1[O-]
ZINC44774299	NC(=O)[C@H]1CCCN1C(=O)C1(C(N)=S)CCOCC1
ZINC44781333	NC(=O)[C@H]1CCCCN1C(=O)C1(C(N)=S)CCOCC1
ZINC44785425	N/C(=N/O)C1(C(=O)NC2CCS(=O)(=O)CC2)CCCC1
ZINC44976585	C[C@H](C(=O)NC[C@@H]1CCCOC1)/C(N)=N/O
ZINC48630342	N/C(=N/O)c1ccc(NC(=O)[C@@H]2CCOC2)cc1
ZINC48832508	Cc1nc(C)c([C@H](C)NC(=O)[C@H](C)NC(N)=O)s1
ZINC49177298	C[C@@H]1CN(Cc2nc(N)nc(N)n2)CC(C)(C)O1
ZINC49571550	C[C@@H](O)[C@H](NC(=O)N[C@@H]1CC[N@@H+]2CCC[C@H]12)C(=O)[O-]
ZINC49571552	C[C@@H](O)[C@@H](NC(=O)N[C@@H]1CC[N@@H+]2CCC[C@H]12)C(=O)[O-]
ZINC50251464	[NH3+]C[C@H]1CCN(C(=O)N[C@@H](C(=O)[O-])C2CCCCC2)C1
ZINC50397193	Nc1ccccc1S(=O)(=O)N[C@@H]1CCCNC1=O
ZINC50397258	Cc1cc(N)ccc1S(=O)(=O)N[C@H]1CCCNC1=O
ZINC50397291	Nc1csc(S(=O)(=O)N[C@@H]2CCCNC2=O)c1
ZINC50649828	Nc1nc2sccn2c1S(N)(=O)=O
ZINC51122036	NNc1ccc(C(=O)N2CCNC(=O)C2)cc1
ZINC51355236	[NH3+]CCCNC(=O)N1CCC(C(=O)[O-])CC1
ZINC54396809	NC(=O)C1CCN(c2nccnc2C(N)=S)CC1
ZINC06079793	Nc1cccc(C(=O)N/N=C2/C(=O)N[C@H]3C=CC=C[C@@H]23)c1
ZINC61684824	NNc1ccc(C(=O)Nc2ccon2)cn1
ZINC62243242	C[C@H](C/C(N)=N/O)NC(=O)[C@@H]1CCCOC1
ZINC06313176	CNC(=S)N/N=C/c1ccc(NC(C)=O)cc1
ZINC06357739	CC(C)C(=O)NC(=S)NNC(=O)c1cccs1
ZINC12394794	N/C(CCn1nc(C(F)(F)F)cc1C1CC1)=N/O
ZINC12394794	N/C(CCn1nc(C(F)(F)F)cc1C1CC1)=N\O
ZINC12394796	N/C(CCn1nc(C2CC2)cc1C(F)(F)F)=N/O
ZINC12394796	N/C(CCn1nc(C2CC2)cc1C(F)(F)F)=N\O
ZINC15874624	O=C(NNC(=S)NC1CCCCC1)c1ccccn1
ZINC02761432	CCCCNC(=O)NNC(=O)[C@]1(C)CC1(Cl)Cl
ZINC19279576	Nc1ccccc1NC(=O)COC[C@H]1CCCCO1
ZINC19954365	C[C@H](NCCN1CCOCC1)c1ccc(O)cc1O
ZINC20194174	COc1cc(CNc2cccc(O)c2)cc(OC)c1O
ZINC20363544	CC[C@@H](C)NC(=O)[C@H](C)Sc1nnc(N)s1
ZINC20363564	CCC(C)(C)NC(=O)[C@H](C)Sc1nnc(N)s1
ZINC32118223	NOCCNS(=O)(=O)c1ccc2c(c1)CCCC2
ZINC34937360	CC(=O)Nc1ccc(N[C@@H](C)C(=O)NC2CC2)cc1
ZINC36946552	CC[C@@H](C)Nc1ccc(S(=O)(=O)N(C)C)cc1N
ZINC37066504	CCOc1nc(N2CCCC[C@H]2CCO)ccc1N
ZINC37135026	COc1ccc(S(N)(=O)=O)cc1NCC1CC1
ZINC37665346	CN(CC(F)(F)F)S(=O)(=O)c1ccc(NN)cc1
ZINC37926184	CN(CC1CC1)S(=O)(=O)c1ccc(NN)cc1
ZINC37985385	C[C@@H](Oc1ccccc1N)C(=O)NCc1ccco1
ZINC08670160	Cc1occc1C(=O)NNC(=S)Nc1ccccc1
ZINC40348424	C[C@H](Cc1ccco1)NS(=O)(=O)c1cccc(N)c1
ZINC40431407	O=C(C[NH2+]C1CCCC1)Nc1ccc(C(=O)[O-])cc1
ZINC40483117	O=C([O-])c1ccc(CCNC(=O)C2CC[NH2+]CC2)cc1
ZINC40723694	CN(C)c1ncnc(NCCc2cccs2)c1N
ZINC40887544	CCC(C)(C)NC(=O)[C@H](C)Oc1ccc(N)cc1C#N
ZINC44730972	CCCOC(=O)c1c(N)c(F)cc(F)c1NC(C)=O
ZINC44784947	CC[C@H](C)CN(C)C(=O)C1(/C(N)=N/O)CCCCCC1
ZINC44868002	CC(C)[C@H](C(=O)N(C)Cc1ccsc1)/C(N)=N/O
ZINC45060582	CCN(C/C(N)=N/O)C(=O)c1ccc(C(C)(C)C)cc1
ZINC45477835	CCc1ccc(CN(C)C(=O)[C@@H](C)NC(N)=O)cc1
ZINC24209764	CC(C)NC(=O)[C@@H](C)OC(=O)c1ccc(F)cc1N
ZINC46906536	CCNC(=O)NCCNc1cccc(F)c1C#N
ZINC48889655	CNC(=O)NC(C)(C)C(=O)NCCc1cccs1
ZINC49298027	O=C(CNC(=O)NC1CC1)NC[C@H]1CC=CCC1
ZINC50323668	CCCN(C(=O)c1[nH]nc(C2CC2)c1N)C(C)C
ZINC50986550	CCCN1C(=[NH2+])[C@@H](c2ccc(OC)cc2OC)[NH+]=C1C
ZINC51145020	CCN(Cc1nnsc1NN)c1ccc(F)cc1
ZINC51296921	COC[C@@H](C)NC(=O)CN1CCCc2ccc(N)cc21
ZINC51997073	O=C(CCNC(=O)C1CCCC1)N[C@H]1CCCC[C@@H]1O
ZINC52881928	COC(=O)C(C)(C)NC(=O)[C@@](C)(N)c1ccccc1
ZINC58191982	CC(C)[C@H](NS(=O)(=O)c1cccs1)C(N)=O
ZINC61631400	C[C@H](C#N)CN(C)Cc1nc(NN)ccc1Cl
ZINC62440279	O=S(=O)(NCC1(O)CCCC1)NC1CCCC1
ZINC62870868	CCC[C@@](C)([NH3+])C(=O)N1CCC[C@@](CC)(C(=O)[O-])C1
ZINC62897461	CCC[C@]1(C(=O)Nc2cccc(C(=O)[O-])c2)CC[NH2+]C1
ZINC66119649	CC(C)[C@@H](C)NC(=O)N1CCC[C@H](CCC(N)=O)C1
ZINC66120119	NC(=O)CC[C@@H]1CCCN(C(=O)NCC2CCC2)C1
ZINC66326103	CC(=O)N[C@H](C(=O)NNc1ccc(F)cc1F)C(C)C
ZINC66907712	C=CCNC(=O)NNC(=O)Cc1ccccc1F
ZINC67237984	CCCNC(=O)NNC(=O)[C@H]1C[C@@H]1c1cccc(F)c1
ZINC04388997	CN(C)C(=S)NCCC1=CCCCC1
ZINC22679888	CC(C)CC(=O)NCC1(c2cccs2)CC1
ZINC35254669	C[C@@H](Cc1ccco1)NCc1cccs1
ZINC36972802	CSCCCNc1ccc(Cl)c(C#N)c1
ZINC36992651	C[C@H](Cc1cccs1)NCc1ccco1
ZINC37352786	CCc1ccc(C(=O)CSCCO)s1
ZINC37631723	C=CCC(O)(CC=C)C(C)(C)C(=O)C(C)C
ZINC37939181	CC(C)CN[C@@](C)(C#N)CC(C)C
ZINC37970802	CC[C@@H](C)[C@@](C)(C#N)NCC(F)(F)F
ZINC37971072	CC(C)C[C@H](C#N)NCC(F)(F)F
ZINC38064573	CC[C@H](C)N[C@](C)(C#N)CC(C)C
ZINC41317994	C=CCNC(=O)CCC(C)(C)c1ccccc1
ZINC44192136	CCC[C@H]1CC[C@H](O)[C@H](OCC(F)(F)F)C1
ZINC44192138	CCC[C@@H]1CC[C@@H](O)[C@H](OCC(F)(F)F)C1
ZINC45046180	CC1(NC(=O)CCCCCl)CCCCC1
ZINC45216861	CC[C@H](C)SC[C@](C)(C#N)NC
ZINC45216876	CCCN[C@](C)(C#N)CS[C@H](C)CC
ZINC45217183	CCCSCC[C@@](C)(C#N)NC(C)C
ZINC45217828	CN[C@](C)(C#N)CCSc1ccc(C)cc1
ZINC45220218	CCN[C@@](C)(C#N)CCSC(C)C
ZINC45332596	CC(C)CSC[C@@H](C#N)NC(C)C
ZINC45333614	CN[C@](C)(C#N)CCCSC(C)(C)C
ZINC49154661	C[C@H](N[C@H](C)Cc1ccsc1)c1ccco1
ZINC49164736	C[C@@H](Cc1ccsc1)NC(=O)CCCl
ZINC49578535	N#CCCCCNc1ccc(Cl)c(F)c1
ZINC49812084	CCOc1ccccc1NCCCl
ZINC50182161	CC[C@H]1CCCC[C@H]1OC[C@H](O)CC
ZINC51291709	CC[C@](C)(CO)CN(C)c1ccccc1
ZINC51294049	CCN(CC(F)(F)F)C[C@](C)(CC)CO
ZINC51294281	CCN(C[C@](C)(CC)CO)c1ccc(F)cc1
