ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC40481832	CSCC[C@H]([NH3+])C(=O)NC1(C(=O)[O-])CCCCCC1
ZINC40486645	CC(C)C[C@H]([NH3+])C(=O)N[C@H](C(=O)[O-])C1CCCCC1
ZINC40962274	NC(=O)c1ccc(C[S@](=O)c2ccc(F)cc2)c(N)c1
ZINC41010364	Cc1nc(CNc2cc3c(cc2N)NC(=O)CC3)cs1
ZINC41036622	CC(C)C[C@@H]([NH3+])C(=O)N[C@]1(C(=O)[O-])CCC[C@@H](C)C1
ZINC41067850	NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(N)cs1
ZINC41805009	C[C@H]([NH2+][C@]1(C(=O)[O-])CCSc2ccccc21)C(N)=O
ZINC41834199	CC(C)([NH2+][C@](C)(C(=O)[O-])c1ccc(F)cc1)C(N)=O
ZINC42673731	C[C@H](NC(=O)[C@@H](C)NC(N)=O)c1ccc(F)c(F)c1
ZINC43112326	CC[C@@H](C)[C@H](NC(N)=O)C(=O)NCc1ccsc1
ZINC43396044	Cc1ccc(C(N)=O)c(N(C)[C@@H](C)c2cccc(N)c2)n1
ZINC44215494	[NH3+][C@H](CC(=O)[O-])c1c[nH]c2ccc(Br)cc12
ZINC44217691	[NH3+][C@H](CC(=O)[O-])c1c[nH]c2c(F)c(F)c(F)c(F)c12
ZINC44264078	Nc1nc(SC[C@@H](O)c2ccc(F)cc2F)n[nH]1
ZINC44858805	CCC[C@H](C(=O)N1CCC(CC(N)=O)CC1)C(N)=S
ZINC48838512	[NH3+][C@@H]1CCCC[C@@H]1NC(=O)CC1(C(=O)[O-])CCCC1
ZINC48838518	[NH3+][C@H]1CCCC[C@@H]1NC(=O)CC1(C(=O)[O-])CCCC1
ZINC48927184	CC1(C)COCCN1c1cc(N)cc(S(N)(=O)=O)c1
ZINC49511726	Cc1cc([C@@H](C)NC(=O)C(=O)NCC(N)=S)c(C)s1
ZINC58949050	CC(=O)C1=C(C)OC(N)=C(C(N)=O)[C@@H]1c1ccc(C)s1
ZINC24940712	N#Cc1ccccc1CSCc1nc(N)nc(N)n1
ZINC61455918	CN(CC1CCC1)c1cc(N)cc(S(N)(=O)=O)c1
ZINC62834336	Nc1ccc2[nH]c(C(=O)N(CCO)CC(F)(F)F)cc2c1
ZINC63141525	NNc1c(F)cc(C(=O)NCCc2nccs2)cc1F
ZINC65525853	Cc1ccc2c(c1)[C@@H]([C@H]1NCCc3[nH+]c[nH]c31)[C@H](C(=O)[O-])N2
ZINC65742995	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)[C@H](O)CO
ZINC02568586	NNC(=O)c1cnn2c1N[C@@H](c1ccco1)C[C@@H]2C(F)(F)F
ZINC04982797	OC[C@@H](O)[C@@H](O)[C@@H](O)c1cnn(-c2ccc(Br)cc2)n1
ZINC01736295	CC(C)C[C@@H]([NH3+])C(=O)N[C@]1(C(=O)[O-])[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3
ZINC16846068	NC(=O)CSc1nnc2c3c4c(sc3nc(N)n12)CCC4
ZINC20220458	COC(=O)c1sc(=S)n(-c2ccc(S(N)(=O)=O)cc2)c1N
ZINC20337483	Nc1ccc2c(c1)N(C[C@@H](O)CO)C(=O)/C(=C\c1cccs1)O2
ZINC20337486	Nc1ccc2c(c1)N(C[C@H](O)CO)C(=O)/C(=C\c1cccs1)O2
ZINC21520561	Nc1cc(Cl)cc(Cl)c1NC(=O)CN1C(=O)CNC1=O
ZINC31158701	O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1cnc[nH]1
ZINC35366687	Cc1ncsc1C(=O)N(CC(N)=O)Cc1cccc(N)c1
ZINC37036836	Cc1nc(N)sc1SCCS(=O)(=O)CCC(N)=O
ZINC37365609	CN(C)S(=O)(=O)c1ccc(N2CCC[C@@H]2C(N)=O)c(N)c1
ZINC37735538	[NH3+][C@@H](CCSCC(=O)Nc1ccc(Br)cc1)C(=O)[O-]
ZINC37736108	[NH3+][C@H](CCSCC(=O)Nc1ncc(Cl)cc1Cl)C(=O)[O-]
ZINC37862229	CSCC[C@H](NC(N)=O)C(=O)N1CCCC[C@@H]1CCO
ZINC03189465	CC1(C)C[C@H](O)C[C@](C)(CNC=C2C(=O)NC(=O)NC2=O)C1
ZINC04294237	CC1=C(C(N)=O)[C@H](c2cccs2)N2NC(CCCO)=NC2=N1
ZINC38810642	NC(=O)C1=C2CCC[C@H]2S[C@H]1NC(=O)CSc1ncn[nH]1
ZINC38810645	NC(=O)C1=C2CCC[C@@H]2S[C@@H]1NC(=O)CSc1ncn[nH]1
ZINC40214542	C[C@H](NC(=O)[C@H]1CCC(=O)N1)c1ccc(S(N)(=O)=O)cc1
ZINC40329584	NC(=O)CN(C1CCCC1)S(=O)(=O)c1ccc(F)c(N)c1
ZINC40333630	CC(C)CN(CC(N)=O)S(=O)(=O)c1cc(N)cc(Cl)c1F
ZINC40334236	NC(=O)CC1CCN(S(=O)(=O)c2ccc(F)c(N)c2)CC1
ZINC40515871	Cc1cc(=O)[nH]c(Sc2nc(C)cc(C)c2/C(N)=N/O)n1
ZINC40549437	C[C@@H](NC(=O)Nc1cnn(CC(N)=O)c1)c1ccc(F)cc1
ZINC40860550	NC(=O)c1cc([N-]S(=O)(=O)N2CC[NH2+]CC2)c(F)cc1F
ZINC40998282	Cc1ncc(CNc2c(N)n(CC(C)C)c(=O)[nH]c2=O)s1
ZINC41979732	Cc1nc2ccccc2n1CCCNC(=O)[C@@H](C)NC(N)=O
ZINC42043691	NC(=O)CCCNC(=O)C(=O)Nc1ccc(Br)cc1
ZINC42428325	CC(C)N(CC(N)=O)c1ccc(S(=O)(=O)N(C)C)cc1N
ZINC42809545	C[C@@H](NC(=O)NNC(=O)C(=O)NC1CC1)c1ccc(F)cc1F
ZINC43596945	CS(=O)(=O)NCCNc1ccc(N)cc1Br
ZINC48839731	[NH3+][C@@H]1CCCC[C@H]1NS(=O)(=O)c1ccc(CC(=O)[O-])s1
ZINC49027860	NS(=O)(=O)c1ccc(CNC(=O)NCC(F)(F)F)s1
ZINC50389678	C[C@H](C/C(N)=N/O)NS(=O)(=O)c1c(F)cc(F)cc1F
ZINC50602230	CNS(=O)(=O)c1ccc(NC[C@@H]2CCS(=O)(=O)C2)c(N)c1
ZINC50703444	Nc1ncc(Br)cc1C(=O)NCC(=O)NC1CC1
ZINC51088962	NNc1ccc(Cl)c(C(=O)N[C@H]2CCS(=O)(=O)C2)n1
ZINC51125685	NNc1ccc(C(=O)N(CCO)C2CC2)cc1C(F)(F)F
ZINC52015775	Nc1nc2sccn2c1S(=O)(=O)N[C@H]1CCCC[C@@H]1O
ZINC55992607	Cc1c([C@@H](C)NC(=O)[C@H](C)NC(N)=O)cnn1-c1ccc(F)cc1
ZINC58903451	Cc1nn(-c2ccccc2)c2c1[C@H](c1ccco1)C(C(N)=O)=C(N)O2
ZINC58949472	CCOC(=O)C1=C(N)OC(C)=C(C(N)=O)[C@H]1c1ccc(C)o1
ZINC45624235	CC(C)CN(CC(N)=O)C(=O)c1cc(N)ccc1Br
ZINC61594168	CCn1c(SCC(=O)Nc2ccc(F)cc2N)n[nH]c1=O
ZINC63123450	Cc1nccn1-c1ccc(CNC(=O)CNC(N)=O)cc1F
ZINC66056668	C=CCNC(=O)COc1ccc(C(=O)NN)cc1Br
ZINC66845279	Nc1nc(N)nc(CN2CCO[C@H](c3ccc(F)c(Cl)c3)C2)n1
ZINC66899225	Cc1nc(C(=O)N[C@@H]2CCCc3[nH]c(=O)c(C(N)=O)cc32)cs1
ZINC67571658	NC(=O)c1cc2c([nH]c1=O)CCC[C@H]2NC(=O)[C@H]1C[C@@H]1c1cccc(F)c1
ZINC04557161	CSCC[C@@H]([NH3+])C(=O)N[C@H](CC(C)C)C(=O)[O-]
ZINC08526420	NC(=O)c1ccsc1NC(=O)CSCCO
ZINC13690317	NC(=O)c1sc(=S)n(CCN2CCOCC2)c1N
ZINC35185146	CCC[C@H](C)NC(=O)[C@H](C)SC[C@H]([NH3+])C(=O)[O-]
ZINC35186998	CC[C@@H](C)[C@H](NC(N)=O)C(=O)N1CCC[C@H](O)C1
ZINC35187008	CSCC[C@H](NC(N)=O)C(=O)N1CCC[C@H](O)C1
ZINC36202842	CC(C)C[C@@H](NC(N)=O)C(=O)N1CCC[C@@H](CO)C1
ZINC36776243	CN(Cc1ccncc1)c1ccc(S(N)(=O)=O)cc1N
ZINC36839387	CCC[C@H]([NH2+]Cc1ccc(C(N)=O)cc1F)C(=O)[O-]
ZINC37270313	CN(CC(N)=O)S(=O)(=O)c1cc(N)cc(Cl)c1F
ZINC37672359	NC(=O)CN(Cc1cccc(N)c1)c1nccs1
ZINC00436146	N#C/C(=C\c1ccc(/C=C(\C#N)C(N)=O)cc1)C(N)=O
ZINC40224173	[NH3+]CCCCNC(=O)CC1(CC(=O)[O-])CCCC1
ZINC40332367	N#CCCN(CCC#N)C(=O)c1ccc(N)cc1N
ZINC40362631	Cc1n[nH]c(C)c1S(=O)(=O)N[C@@H](C)C(N)=S
ZINC40471317	CSCC[C@@H](NC(=O)[C@@](C)([NH3+])C1CC1)C(=O)[O-]
ZINC40969829	CC(C)C[S@@](=O)Cc1ccc(C(N)=O)cc1N
ZINC41036774	CSCC[C@H]([NH3+])C(=O)N[C@@]1(C(=O)[O-])CCC[C@@H](C)C1
ZINC41094335	C[C@H](OC(=O)c1cc(N)cc(N)c1)C(=O)N(C)C
ZINC41807811	C[C@H]1CC(C)(C)C[C@@]([NH2+]CCCC(N)=O)(C(=O)[O-])C1
ZINC41834016	CCC[C@@](C)([NH2+][C@H]1CC[C@@H](C(N)=O)CC1)C(=O)[O-]
ZINC42430348	CCC[C@](C)(NC(=O)N1CCC[C@@H]([NH3+])C1)C(=O)[O-]
ZINC42455266	C[C@H](C#N)CN(C)c1cc(N)cc(S(N)(=O)=O)c1
ZINC43410632	CN(CCO)c1nc2c(cc1/C(N)=N/O)CCCC2
ZINC43571432	NC(=O)CN(C(=O)c1ccc(N)cc1F)C1CCCC1
ZINC44216425	COc1ccc(Br)c([C@@H]([NH3+])CC(=O)[O-])c1O
ZINC44629191	CC[C@@H](C(=O)[O-])N(C)C(=O)N[C@H]1CCCC[C@@H]1[NH3+]
ZINC44629193	CC[C@H](C(=O)[O-])N(C)C(=O)N[C@H]1CCCC[C@@H]1[NH3+]
ZINC44776334	CCC(CC)(C(=O)NCCNC(C)=O)C(N)=S
ZINC44782188	CCC(CC)(C(=O)N(CC(N)=O)CC(C)C)C(N)=S
ZINC44858359	Cc1n[nH]cc1CNC(=O)[C@H](C(N)=S)C(C)C
ZINC44858850	CCC[C@H](C(=O)N(CC(N)=O)C1CCCC1)C(N)=S
ZINC44858883	CC(C)[C@H](C(=O)N(CC(N)=O)C(C)C)C(N)=S
ZINC45047088	CC1(NC(=O)C(=O)NCC(N)=S)CCCCC1
ZINC45051214	CC(C)[C@H](NC(N)=O)C(=O)NCc1ccncc1
ZINC48181556	CSCC[C@@H](NC(N)=O)C(=O)NCC1CCC1
ZINC49021331	NC(=O)c1ccc(C[NH2+]C[C@@H]([O-])C(F)(F)F)cc1
ZINC49326576	Nc1cc(N)cc(C(=O)OCCn2cccn2)c1
ZINC50032735	N#CCCN(c1cc(C(N)=O)c(N)cc1F)C1CC1
ZINC51089588	COC[C@H](C)NC(=O)c1cnc(NN)c(Cl)c1
ZINC52907289	N/C(=N/O)c1c(Cl)cccc1OCCCO
ZINC41084000	CN(Cc1ccncc1)c1ccc(N)cc1C(N)=O
ZINC42430708	[NH3+][C@H]1CCCC[C@@H]1NS(=O)(=O)CCC(=O)[O-]
ZINC45585916	Cc1cc(=O)[nH]c(SCC[C@@](C)([NH3+])C(=O)[O-])n1
ZINC61829492	C[C@@H](CC(=O)[O-])C[C@H]([NH3+])c1ccc2c(c1)CC(=O)N2
ZINC62032039	COCCCN(C)c1cc(C(N)=O)c(N)cc1F
ZINC62463260	C[N@H+](CC(=O)[O-])CC(=O)Nc1ccc(N)cc1Cl
ZINC62809225	CSCC[C@H](NC(N)=O)C(=O)N1CC(O)C1
ZINC62847411	CCC1(C(=O)[O-])CCN(C(=O)NCCC[NH3+])CC1
ZINC63007417	NNc1c(F)cc(C(=O)N2CCN(CCO)CC2)cc1F
ZINC18194946	Nc1ncnc2[nH]c(N3CC[NH2+]CC3)nc12
ZINC19842525	CC[C@H](C)[C@@H]([NH3+])c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC19842743	[NH3+][C@H](c1ccc2[nH]c(=O)[nH]c2c1)[C@@H]1CCCO1
ZINC19842748	[NH3+][C@H](c1ccc2[nH]c(=O)[nH]c2c1)[C@H]1CCCO1
ZINC26803039	C[N@@H+]1CCc2c(sc3nc(=O)n(N)c(N)c23)C1
ZINC32024522	CC(C)[C@@H](C(N)=O)[NH+]1CCC(C(N)=O)CC1
ZINC36746452	CC(=O)NCCNC(=O)C1([NH3+])CCCCC1
ZINC37019209	CC(C)[C@H]([NH3+])C(=O)N[C@@H]1CCCCNC1=O
ZINC37268561	CCNC(=O)[C@@H](C)[NH2+]C1CCN(C(N)=O)CC1
ZINC37282820	NC(=O)N1CCC([NH2+][C@@H]2CCCCNC2=O)CC1
ZINC36681403	C/C(CSc1nnnn1C1CC1)=C(/N)[NH3+]
ZINC37557581	Nc1n[nH]cc1S(=O)(=O)N[C@@H]1C[N@H+]2CC[C@@H]1CC2
ZINC37571405	CN(CC(N)=O)C(=O)c1ccc(C#CC[NH3+])cc1F
ZINC37799395	CC(C)[C@@H]([NH3+])C(=O)N1CCCC[C@H]1C(N)=O
ZINC38101557	CCC(=O)N1CCCN(C(=O)[C@@H]([NH3+])CC(N)=O)CC1
ZINC40331884	Cn1cc(N)cc1C(=O)N1CCC[N@@H+](CC(N)=O)CC1
ZINC41058858	C[C@@H](O)[C@@H]([NH3+])c1n[nH]c(C2CCCCC2)n1
ZINC44752203	C[C@H]1CC[C@@H](C(N)=O)CN1C(=O)C(C)(C)C[NH3+]
ZINC45036195	CC1(NC(=O)C(=O)NCC[NH3+])CCCCC1
ZINC45269083	C[C@@H]1CN(CC[C@](C)([NH3+])C(N)=O)[C@H](C)CO1
ZINC45431897	NC(=O)[C@@](N)(Cn1cc[nH+]c1)c1ccccc1
ZINC45458818	Cc1nn(CC[C@@](C)([NH3+])C(N)=O)c(C)c1C
ZINC45709601	C[C@H]1CN(CC[C@](C)([NH3+])C(N)=O)CC(C)(C)O1
ZINC50243229	CC(C)CNC(=O)NC(=O)CN1CC[C@@H]([NH3+])C1
ZINC50462894	[NH3+][C@@H]1C[C@@H]1C(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC50463115	NC(=O)CC1CCN(C(=O)[C@@H]2C[C@H]2[NH3+])CC1
ZINC50565430	C[C@H]1CCCN(C(=O)[C@H]([NH3+])CC(N)=O)[C@@H]1C
ZINC51039002	Cc1nnc(SC[C@@](C)([NH3+])C(N)=O)o1
ZINC52723190	NNc1cc(C[NH+]2CCC(CO)CC2)ccn1
ZINC54399021	CO[C@H]1C[NH2+]C[C@H]1Nc1nccnc1C(N)=O
ZINC55087286	CC(=O)NCCNC(=O)[C@@H]1CCCC[C@@H]1[NH3+]
ZINC55127103	C[C@H]1CCC[C@H](C(=O)N(C)CC(N)=O)[C@@H]1[NH3+]
ZINC55131425	[NH3+][C@@H]1CCCC[C@H]1CC(=O)N[C@@H]1CCCNC1=O
ZINC55131464	C[C@@H]1CC[C@@H]([NH3+])C[C@@H]1C(=O)N[C@@H]1CCCNC1=O
ZINC55165150	C[C@H](C[NH+]1CCCCC1)NC(=O)c1n[nH]c(N)n1
ZINC55187876	NC(=O)C[N@@H+]1CCCN(C(=O)c2csc(N)n2)CC1
ZINC40750411	CNC(=O)NC(=O)[C@@H](C)N1[C@H]2CC[C@@H]1C[C@H]([NH3+])C2
ZINC44807283	C[C@@H](C[NH3+])C(=O)N1CCC(CC(N)=O)CC1
ZINC51360056	NC(=O)NC(=O)C[N@H+]1CCC[C@@H]1[C@H]1CCCN1
ZINC51360172	C[C@@H](C(=O)NC(N)=O)[N@H+]1CCC[C@@H]1[C@@H]1CCCN1
ZINC62052351	Cc1ccc(CNc2[nH]c(C)[nH+]c2N)cn1
ZINC62099649	Nc1cc(C[N@H+]2CCNC(=O)CC2)ccc1O
ZINC62524782	NC(=O)[C@@H]([NH3+])CCN1CCO[C@@H]2CCCC[C@H]21
ZINC62527751	C[C@@H]1CN(CC[C@H]([NH3+])C(N)=O)CC(C)(C)O1
ZINC62527754	C[C@H]1CN(CC[C@H]([NH3+])C(N)=O)CC(C)(C)O1
ZINC62776241	C[NH2+][C@@H](c1ccc2[nH]c(=O)c(=O)[nH]c2c1)c1cc[nH]n1
ZINC62813931	C[C@H]1CN[C@@H](C(=O)N2CCC(C(N)=O)CC2)C[NH2+]1
ZINC62815484	C[C@@H]1CN[C@H](C(=O)N[C@@H]2CCCNC2=O)C[NH2+]1
ZINC63173585	[NH3+][C@H]1CCC[C@@H]1NC(=O)c1ccc[nH]c1=O
ZINC67641910	C[C@H]([NH3+])c1n[nH]c(Cc2nc(-c3ccccc3)n[nH]2)n1
ZINC04073870	CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]21C
ZINC03176588	CCOC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)[C@@H]1c1ccccc1Cl
ZINC00677416	COc1cc(/C=N/NC(=O)[C@@H]2[C@H]3CCCC[C@]32C)cc(Br)c1O
ZINC04525413	Cc1sc2c(c1C)C(=O)N[C@H](c1cccc(OC(=O)c3cccs3)c1)N2
ZINC01431756	CCOC(=O)c1c(C)sc2c1OC(N)=C(C#N)[C@@H]2c1ccc(CC)s1
ZINC05237748	Cc1sc2nc(SCC(=O)Nc3cccc(Cl)c3)[nH]c(=O)c2c1C
ZINC05238020	C[C@H](Sc1nc2c(c(=O)[nH]1)CCC2)C(=O)Nc1cc(Cl)cc(Cl)c1
ZINC09471197	O=C1N[C@H](c2cn(Cc3ccccc3)nc2-c2cccs2)Nc2ccccc21
ZINC10260909	Cn1ccnc1[C@@H](NC(=O)Nc1ccc(Cl)c(Cl)c1)c1ccccc1F
ZINC11116898	COc1ccc([C@H]2Nn3c(C)ccc3S[C@H]2C(=O)Nc2ccccc2C)cc1
ZINC12321852	O=C([O-])[C@@H](c1c[nH]c2cccc(Cl)c12)[NH+]1CCN(c2ccc(Cl)cc2)CC1
ZINC12560859	CN1C(=O)N[C@H](c2ccc(F)cc2)[C@@H](C(=O)c2cccs2)[C@@]1(O)C(F)(F)F
ZINC12821935	COc1cc(OC)cc(-c2c(C(N)=O)c(C)nc3sc4c(c23)CCCC4)c1
ZINC12521521	O=C(COc1ccc2[nH]c3ccccc3c(=O)c2c1)Nc1ccc2ccccc2c1
ZINC14889937	C[C@H]1CCc2sc(C(=O)NNC(=O)[C@H](C)Oc3ccccc3F)cc2C1
ZINC19229045	COc1ccc(-c2n[nH]cc2CN2CCc3c([nH]c4ccccc34)C2)cc1F
ZINC19717693	Cc1cc(C)c2[nH]c(C)c(CC(=O)N[C@H](C)c3ccc4c(c3)OCCO4)c2c1
ZINC25002281	O=C1C[C@H](C(=O)N[C@@H](c2ccccc2)c2cc3ccccc3o2)c2ccccc2N1
ZINC28220489	O=C(Nc1cnn(Cc2cccc(F)c2)c1)Nc1ccccc1C(F)(F)F
ZINC31643958	Nn1c(SCc2ccc(Cl)nc2)nnc1-c1ccccc1Br
ZINC32788635	COc1ccc(NC(=O)/C(C#N)=C/c2ccc(O)c(Br)c2)cc1Cl
ZINC33127579	CC(C)[C@H](NC(=O)Nc1cc(F)ccc1F)C(=O)N1CCc2ccccc21
ZINC33127598	CC(C)[C@@H](NC(=O)Nc1ccc(F)cc1F)C(=O)N1CCc2ccccc21
ZINC33172515	Cc1ccc2[nH]c3c(SCC(=O)Nc4cc(F)ccc4F)ncnc3c2c1
ZINC33810157	CCCSc1nc2c(c(=O)[nH]1)[C@H](c1ccc(C)s1)C1=C(CCCC1=O)N2
ZINC36042391	CCCN1CC=C2[C@H](C1)[C@H](c1cccc(C(F)(F)F)c1)C(C#N)=C(N)C2(C#N)C#N
ZINC36689269	O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)N1Cc1c(Cl)cccc1Cl
ZINC00861125	CCOc1ccc([C@@H]2Nc3ccccc3NC3=C2C(=O)CC(C)(C)C3)cc1OC
ZINC40851276	Cc1cccc(O[C@@H](C)C(=O)N/N=C\c2ccc(O)c(Br)c2)c1
ZINC44453022	CC(C)=NNC(=O)c1c(NC(=O)c2ccccc2F)sc2c1CCCCC2
ZINC36646174	Cc1ccc(C(=O)CSc2nc3sc4c(c3c(=O)n2N)CCCC4)cc1
ZINC44827070	Cc1ccc(/N=C2\NC(=O)[C@H](CC(=O)Nc3cc(C)ccc3C)S2)c(C)c1
ZINC54483638	COc1cc(Br)c(NC(=O)N[C@H]2CCc3ccccc32)cc1OC
ZINC57211818	CNC(=O)c1cccc(NC(=O)c2cc(C)n(-c3cccc(Cl)c3)c2C)c1C
ZINC58054439	C[C@H](NC(=O)c1ccc(-c2ccco2)[nH]c1=O)c1ccc(Cl)c(Cl)c1
ZINC24235360	Cc1ccc(S(N)(=O)=O)cc1C(=O)OCc1ccc(Cl)c(Cl)c1
ZINC30980549	C[C@@H](NC(=O)NC[C@@H]1COc2ccccc2O1)c1ccc(Cl)cc1Cl
ZINC05533741	Cc1ccccc1/N=C1/NC(=O)[C@@H](CC(=O)Nc2cc(Cl)ccc2C)S1
ZINC59920649	O=C1C[C@@H](C(=O)Nc2ccccc2Oc2cccc(F)c2)c2ccccc2N1
ZINC36360290	COC(=O)c1c(C)[nH]c(-c2ccc(Cl)cc2)c1[C@@H]1C(=O)Nc2ccccc21
ZINC36360290	COC(=O)c1c(C)[nH]c(-c2ccc(Cl)cc2)c1[C@H]1C(=O)Nc2ccccc21
ZINC12843853	O=C1N/C(=N/N=C/c2ccccc2O)S[C@@H]1Cc1cccc(Cl)c1Cl
ZINC12843853	O=C1N/C(=N\N=C\c2ccccc2O)S[C@@H]1Cc1cccc(Cl)c1Cl
ZINC06265240	CCC[C@@H](C)n1nc(O)c2c1NC(=O)CS[C@@H]2c1ccc(Cl)cc1Cl
ZINC06265240	CCC[C@@H](C)n1[nH]c(=O)c2c1N=C(O)CS[C@@H]2c1ccc(Cl)cc1Cl
ZINC64869105	O=C(CN1C(=O)C2=C(CCC2)Nc2ccccc21)Nc1ccccc1C(F)(F)F
ZINC64925383	CO[C@@H](C)C(=O)Nc1cccc(/N=C/c2cc(Br)ccc2O)c1
ZINC06813162	Cc1ccc(SCc2n[nH]c3c2[C@@H](c2ccccc2F)C(C#N)=C(N)O3)cc1
ZINC06813162	Cc1ccc(SCc2[nH]nc3c2[C@@H](c2ccccc2F)C(C#N)=C(N)O3)cc1
ZINC00804029	N#CC1=C(N)Oc2[nH]nc(CSc3ccccc3)c2[C@@H]1Cc1ccccc1
ZINC00804029	N#CC1=C(N)Oc2n[nH]c(CSc3ccccc3)c2[C@@H]1Cc1ccccc1
ZINC66343673	Clc1ccc(-c2csc(N/N=C\c3n[nH]cc3Br)n2)cc1
ZINC66955465	C[C@@H](CC#N)Sc1ccccc1NC(=O)N1CCc2[nH]c3ccccc3c2C1
ZINC66977978	O=C(CC1CCCC1)NC1CCN(C(=O)N[C@@H]2CCc3ccccc3C2)CC1
ZINC67028887	CC1=C(C(=O)N(C)c2ccccc2)[C@@H](c2csc(C(C)C)n2)NC(=S)N1
ZINC04741128	CN1C(=O)N/C(=C/c2cn(Cc3cccc(C(=O)[O-])c3)c3ccccc23)C1=O
ZINC04918921	O=C(Nc1ccc(Cl)cc1[N+](=O)[O-])[C@H]1CC(Cl)=CC[C@H]1C(=O)[O-]
ZINC05132160	COC(=O)C1=CC[C@]23CC[C@H]([C@@]2(O)CC1)[C@@](C)(/C=C/C=C(/C)C(=O)[O-])OC3=O
ZINC05731965	O=C([O-])/C(=C/c1ccc2c(c1)OCO2)[C@@H](CO)Cc1ccc2c(c1)OCO2
ZINC02114931	Cc1cc(O[C@@H](C)C(=O)NCCC(=O)[O-])c2c3c(c(=O)oc2c1)CCCC3
ZINC06424651	COc1cccc([C@H]2C(C(=O)[O-])=C(CO)Oc3cc4c(cc32)OCO4)c1
ZINC08048259	O=C([O-])COc1ccc(C(=O)/C=C/c2ccc3c(c2)OCCO3)c(O)c1
ZINC09112495	O=C(NCc1cc([N+](=O)[O-])ccc1[O-])c1cccnc1SC(F)F
ZINC10862816	C[C@H](C(=O)Nc1ccc(F)c(F)c1F)n1nc(C(=O)[O-])c2ccccc2c1=O
ZINC13035830	Cc1nnc(SCC(=O)Nc2c(Cl)cc(Cl)cc2C(=O)[O-])n1C
ZINC13087292	CC(=O)Nc1ccccc1OS(=O)(=O)c1cc(C(=O)[O-])cc(C)c1C
ZINC13172714	O=C([O-])C[C@@H](NC(=O)c1cc(Cl)ccc1[N+](=O)[O-])c1ccccc1Cl
ZINC13260940	COc1cc(NC(=O)c2oc3ccc(F)cc3c2C)c(C(=O)[O-])cc1OC
