ZINC00227558	CC1=C(C(=O)OC(C)C)C(c2ccccc2F)CC(=O)N1
ZINC16882198	CCc1c(/C=C/c2ccc(O)cc2)nc(C)n(Cc2ccccc2)c1=O
ZINC11887741	COc1cc(/C=N\O)cc(Br)c1OCc1ccccc1C
ZINC22540327	COc1ccc(S(=O)(=O)NC(C)c2cc(C)c(C)cc2C)cc1C
ZINC32526915	Cc1cc(=O)n(CCC(=O)Nc2ccccc2C(C)C)c2c(C)cccc12
ZINC34995983	CC(NCc1ccc(Br)c([N+](=O)[O-])c1)c1ccc(F)cc1
ZINC37572306	CC(C)c1ccc(N2CCC(C(=O)NC(C)c3ccccc3)C2=O)cc1
ZINC39577191	Cc1cc(C)c(C)c(SC(C)C(=O)Nc2ccnn2C(C)C)c1C
ZINC05836440	CC(C)c1ccc(CC2S/C(=N\N=C\c3ccccc3)NC2=O)cc1
ZINC41095402	CCOc1cc(C)c(Cl)cc1S(=O)(=O)NC1CCCCCC1
ZINC41373401	CCc1ccc(S(=O)(=O)Nc2cccc(N3CCCCC3)c2)s1
ZINC41575308	CC1CCC(C(C)C)C(NC(=O)Cc2csc(-c3ccccn3)n2)C1
ZINC45755301	Cc1cccc(CN2CCN(C(=O)NC(c3ccccc3)C3CC3)CC2)c1
ZINC46561639	Cc1cc(N2CCCC2)ccc1NC(=O)/C=C/c1ccc(C2CC2C)o1
ZINC46971625	CC(NC(=O)N(C)C(c1ccccc1)c1ccc(F)cc1)C1CCCO1
ZINC50830857	CCNc1nc(COc2ccc(Br)cc2)nc2sccc12
ZINC33786047	CC(C)c1ccccc1NC(=O)N1CCN(CCc2cccs2)CC1
ZINC56802812	CN(Cc1ccccc1)C(=O)NCC1(c2ccc(F)cc2)CCOCC1
ZINC57571226	Cc1ccc2c(CNc3ccc(OC(F)F)cc3)cc(=O)oc2c1C
ZINC24320986	Cc1c(Cl)cccc1-n1ccnc1SC(C)C(=O)NC1CCCC1
ZINC57764353	Cc1ccc2nc(NC(=O)Cc3ccc(OC(F)F)cc3)sc2c1
ZINC12270266	O=C(/C=C/c1nc2ccccc2o1)NC(c1ccccc1)c1cccs1
ZINC07860482	CN(CCO)c1ccc(/C=N/N=C2c3ccccc3-c3ccccc32)cc1
ZINC58850389	CCc1ccccc1NS(=O)(=O)c1ccc(-n2c(C)ccc2C)cc1
ZINC19945567	Cc1cccc(/C=N/c2ccc(S(=O)(=O)Nc3ccccc3)cc2)c1
ZINC36853797	CCC(CC)N1C(=O)CC(Nc2ccc(Br)cc2C)C1=O
ZINC57101826	Cc1ccc(S(=O)(=O)NCC2CCN(c3ccc(F)cc3)C2)cc1C
ZINC60340730	O=C(/C=C/c1ccc(F)cc1)Nc1ccccc1Sc1nncs1
ZINC62049357	CCC(C)NC(=O)Cc1c(-c2ccc(C)c(C)c2)nc2c(C)cccn12
ZINC66702164	Cc1ncsc1CN(C)C(=O)NCC1(c2cccs2)CCCC1
ZINC66703529	Cc1ncsc1CN(C)C(=O)NC(C)(C)Cc1ccccc1Cl
ZINC00425935	CCNC(=S)N1CCn2cccc2C1c1ccc(OCC)cc1
ZINC04554893	CCCCN1C(=O)C(O)(CC(=O)c2cccs2)c2ccccc21
ZINC05703016	C/C=C/C=C/C(=O)OC(C)C(=O)Nc1ccc(F)c(F)c1F
ZINC07037927	OCCSc1nnc(-c2ccccc2F)n1Cc1ccccc1
ZINC08067167	CN(CC(=O)NC(C)(C)C)C(=O)CSc1ccccc1Cl
ZINC07417501	O=C(CSc1nccn1Cc1cccs1)NC1CCCC1
ZINC05521049	O=Cc1cn(CC(O)COc2ccccc2Cl)c2ccccc12
ZINC16712711	CCc1cc2c(SC(C)C(=O)NCC(C)C)ncnc2s1
ZINC16903125	Cc1ccccc1OCC(O)Cn1c(C2CC2)nc2ccccc21
ZINC03604209	Cc1sc2ncnc(SCC(=O)NCCC(C)C)c2c1C
ZINC19607488	CC1CN(CC(O)COc2ccc(C(C)(C)C)cc2)CC(C)O1
ZINC19781651	CC1CN(CC(O)COc2ccccc2C(C)(C)C)CC(C)O1
ZINC20740773	C=C(C)CN1CCN(C(=O)CCCc2c[nH]c3ccccc23)CC1
ZINC12414223	CC1CCCC1OCC(O)CN1CCN(c2ccccc2)CC1
ZINC24033896	C=CCn1c(C)cc(-c2csc(NCc3ccco3)n2)c1C
ZINC30536199	CC(C)C(NC(=O)CCn1cnc2ccccc21)c1cccs1
ZINC30705476	CCC(C)NC(=O)C(Sc1ncnc2ccsc12)C(C)C
ZINC32736292	C=CCOc1ccc(CN(C)C(=O)c2c[nH]c3ccccc23)cc1
ZINC35369100	CCCS(=O)(=O)Nc1ccc(C(=O)c2ccc(C)s2)cc1
ZINC37104905	COCCn1cc(NCc2ccc(Cl)c(Cl)c2)ccc1=O
ZINC37302919	COCC(C)NC(=O)c1ccc(-c2nc(CCl)cs2)cc1
ZINC38565982	COc1ccc(S(=O)(=O)NC(C)Cc2cccs2)c(C)c1
ZINC06500286	CC1CCC(NC(=O)COC(=O)/C=C/c2ccc(F)cc2)CC1
ZINC40123139	COCCCC(=O)Nc1nc(-c2cc(C)c(C)cc2C)cs1
ZINC42675462	Cc1ccc(CSCCNc2cnn(C)c(=O)c2Cl)cc1
ZINC44305078	Cc1ccc(SCCNS(=O)(=O)N2CCC(C)CC2)cc1
ZINC44782451	CC(NS(=O)(=O)c1ccccc1)c1ccc(OC(F)F)cc1
ZINC47649987	O=C(CCC1CCCC1)NCC1(N2CCOCC2)CCCCC1
ZINC05407082	CC(C)C(C)NC(=O)CO/N=C/c1ccccc1Br
ZINC47835616	COCCc1ccc(OC(=O)c2cc(Br)c[nH]2)cc1
ZINC47856178	CCSc1ccccc1NC(=O)N(C)CCc1ccccn1
ZINC48974392	CCCC1CCC(NC(=O)C(C)Sc2nncs2)CC1
ZINC50735568	CCCC(C)NC(=O)C1CCCN(C(=O)/C=C/c2ccccc2)C1
ZINC51157555	O=S(=O)(NCc1cccc(OC(F)F)c1)c1cccs1
ZINC51778782	CCN(C(=O)C(=O)NCCC(C)C)c1ccc2ccccc2c1
ZINC55282584	Cc1ccnc(CC(C)N(C)Cc2c[nH]nc2-c2cccs2)c1
ZINC56033951	O=C(NCCCC(=O)N1CCCC1C1CCCC1)c1ccccc1
ZINC58159842	Cn1ccnc1SCC(O)COc1ccc2ccccc2c1
ZINC25370250	Cc1cc(C)cc(-n2ccnc2SCC(=O)NCC2CC2)c1
ZINC59024896	CNC(=S)N(Cc1ccc(C)cc1)Cc1ccc2c(c1)OCO2
ZINC61729931	Cc1nnc(SCC(O)COc2c(C)ccc(C)c2C)s1
ZINC52053755	CCCOC(=O)C(C)NC(=O)c1ccc(Br)s1
ZINC63826904	CC(C)OCC(=O)Nc1ccccc1CN1CCc2ccccc21
ZINC50451630	CCc1oc2ccccc2c1/C=C/C(=O)NCCc1nccs1
ZINC65163580	CCC(C(=O)NCCc1cn(C)c2ncccc12)c1ccccc1
ZINC14361103	Cc1ccc(/C=N/OCC(=O)Nc2c(C)cccc2C(C)C)cc1
ZINC66061522	CCCCCC(C)NC(=O)C1Cc2ccccc2CN1C(C)=O
ZINC66562818	CCc1cccc2c(C(=O)CN(C)Cc3scnc3C)c[nH]c12
ZINC66746029	COc1ccc(O)c(/C=N/c2ccccc2SC(C)CC#N)c1
ZINC67024834	CC(C)(CC(=O)NCC(C)(C)N1CCOCC1)c1ccccc1
ZINC00193548	CC(C)c1nnc(NC(=O)C(Br)C(C)C)s1
ZINC05053550	CCC(=O)N(Cc1cc2ccc(C)cc2[nH]c1=O)C(C)(C)C
ZINC05163239	CCC(=O)N(Cc1cc2cc(C)ccc2[nH]c1=O)C(C)(C)C
ZINC00257364	CN1C(=O)C(O)(CC(=O)/C=C/c2ccccc2)c2ccccc21
ZINC00571386	O=C(COc1ccc2ccccc2c1CO)N1CCCCC1
ZINC00240337	Cc1cc(C)c(NC(=O)CSc2nnc(C)s2)c(C)c1
ZINC06184742	Cc1c(CNC(=O)CC23CC4CC(CC(C4)C2)C3)cnn1C
ZINC06333311	O=S(=O)(N/N=C/c1ccsc1)c1ccc(Cl)cc1
ZINC06874989	O=C(CN1C(=O)CCc2ccccc21)NCc1cccs1
ZINC14094481	CC(NS(=O)(=O)c1ccc(Cl)s1)c1ccccn1
ZINC19782614	Cc1ccc(S(=O)(=O)N2CCCCC2CCO)c(C)c1
ZINC23674966	CC(c1nc2ccccc2c(=O)[nH]1)N(C)Cc1cccs1
ZINC28220993	Cc1occc1C(=O)NC(C)c1ccc(-n2cccc2)cc1
ZINC28327574	CC(NS(=O)(=O)c1ccc2c(c1)CCC2)C1CCCO1
ZINC31440651	CC1(C)NC(=O)N(CCSc2ccccc2Cl)C1=O
ZINC11635996	CC1SC(=S)N(CCC(=O)NC2CCCCC2)C1=O
ZINC32727301	CC1CC1C(=O)NCCC(=O)N1CCc2sccc2C1C
ZINC36395214	CSc1ccc(CN(C)c2cn[nH]c(=O)c2Cl)cc1
ZINC37041822	Cc1cc(C(C)Nc2ccccc2-n2cncn2)c(C)s1
ZINC37772514	Cc1ccc(C(C)Nc2cccnc2-n2ccnc2C)s1
ZINC38010136	CS(=O)(=O)c1ccccc1NCC1Cc2ccccc2O1
ZINC40262264	COc1ccc(C(O)c2cccc(S(C)(=O)=O)c2)cc1C
ZINC40775256	CCC(C)NC(=O)C1(C)Sc2ccccc2N(CC)C1=O
ZINC41091801	CCNS(=O)(=O)c1ccc(Br)cc1OC
ZINC48544679	CC(Sc1nncs1)C(=O)NC1CCc2ccccc21
ZINC48546387	CC1CN(CCNC(=O)c2ccc(Cl)s2)CC(C)O1
ZINC48674103	Cc1nc(C)c(C(C)NS(=O)(=O)c2cccs2)s1
ZINC48860650	COCCCc1nc2sc3c(c2c(=O)[nH]1)CCCS3
ZINC48879279	CN(Cc1ccccc1Cl)c1n[nH]c(=S)n1C1CC1
ZINC49399371	O=C(Nc1nc(C(F)(F)F)cs1)C1CC1c1ccco1
ZINC49509458	Cc1cc(C(C)Nc2ccnc(C(=O)N(C)C)c2)c(C)s1
ZINC49686779	Cc1cc(CNc2cccnc2-n2ccnc2C)c(C)s1
ZINC49751985	Cn1cc(CC(=O)N2CCCCC2CCO)c2ccccc21
ZINC49915123	CC(CO)Cc1nc(-c2ccc3c(c2)OCCCO3)cs1
ZINC52963267	CN(Cc1ccc(O)cc1)C(=O)Cc1ccc2c(c1)CCO2
ZINC54789503	CN(C)c1ccc(Br)cc1NCc1ccncn1
ZINC34996516	O=[N+]([O-])c1ccccc1CNC1CCSc2ccccc21
ZINC58493049	Cc1nc(CNC(=O)/C=C/c2ccc3c(c2)CCO3)cs1
ZINC61362317	O=[N+]([O-])c1ccc(F)cc1CNC1CCCc2sccc21
ZINC62491953	CC1CC(C)C[NH+](Cc2nc(C3CC3)c(C(=O)[O-])s2)C1
ZINC62577158	Cc1ccc(S(=O)(=O)NCc2cc(C)n(C)c2C)c(C)c1
ZINC62751773	COC1CC[NH+](C2CC(C(C)(C)C)CCC2C(=O)[O-])CC1
ZINC62966534	CC(=O)c1cc(Cl)cc(C[NH+]2CCC(N(C)C)C2)c1[O-]
ZINC35372077	O=C1C(CCO)Oc2ccccc2N1Cc1cccc(F)c1
ZINC64977983	CC(=O)N1CCc2cc(CNC(=O)CC3CCCC3)ccc21
ZINC66131766	CC(C)CC1(C)Nc2ccccc2C(=O)N1CC1CCCO1
ZINC67306590	Cc1nn(C)c(C)c1C(C)NC(=O)/C=C/c1ccccc1F
ZINC67503322	O=C(Cc1cn2ccsc2n1)NC1CC1c1ccccc1
ZINC67503326	O=C(Cc1cn2ccsc2n1)NC1CC1c1ccccc1
ZINC67516263	CCC(=O)N1CCCCC1C(=O)NC1CC1c1ccccc1
ZINC02246344	O=C(CSc1ncccn1)N/N=C/c1ccc(Br)cc1
ZINC03208573	COc1ccccc1/C=C1\SC(=O)N(CNc2cccc(C)c2)C1=O
ZINC05586100	CCc1ccc(N2NC(=O)/C(=C/c3ccc(N(C)CC)cc3)C2=O)cc1
ZINC00663977	CCCC1=NN(S(=O)(=O)c2ccc(C)cc2)C(O)(C(F)(F)F)C1
ZINC07388927	CCc1ccc(C(=O)CN2C(=O)NC(C)(c3ccc(C)cc3)C2=O)s1
ZINC07737849	CCc1ccc2c(CC(=O)NCC3COc4ccccc4O3)coc2c1
ZINC01192307	O=C(CSc1ncccn1)N/N=C/c1cccc(Br)c1
ZINC01013707	COc1ccccc1NCN1C(=O)S/C(=C\c2ccc(C)cc2)C1=O
ZINC09365535	CC(NC(=O)CCn1c(=O)oc2cc(Cl)ccc21)c1cccs1
ZINC12420481	Cc1cc(C)c(S(=O)(=O)NCCn2nc(C)c(Cl)c2C)c(C)c1
ZINC12602273	Cc1ccc(CN(C)C(=O)CCc2nc3ccccc3c(=O)[nH]2)c(C)c1
ZINC16856995	Cc1nc(O)c(COc2ccccc2Cl)c(/C=C/c2cccnc2)n1
ZINC19572647	Cc1cc(C)n(C(C(=O)NC(C)c2ccc3c(c2)CCCO3)C(C)C)n1
ZINC19680922	CCOC(=O)C1CC[NH+](Cc2cc(Cl)c3cccnc3c2[O-])CC1
ZINC20157660	CCCCNC(=O)Cn1c(C)nc2sc3c(c2c1=O)CCC(C)C3
ZINC22732620	CCN1CCCc2cc(CCNC(=O)c3ccc4c(c3)OCO4)ccc21
ZINC23387320	O=C(CCn1c(=O)oc2ccccc21)NC1CCCC(C(F)(F)F)C1
ZINC31809702	N#Cc1c(NCCN2CCOCC2)nc(C2CCCCC2)c2c1CCC2
ZINC32934535	CC1CCc2ccccc2N1CCNS(=O)(=O)N1CCCCCC1
ZINC35215335	CCCC1SCC(C(=O)NC2CCCCC2)N1C(=O)c1ccco1
ZINC11458564	Cc1cc(C)c(C(=O)COC(=O)c2cc(=O)[nH]c3ccccc23)c(C)c1
ZINC39738912	CC1=C(C(=O)CSc2ncn[nH]2)CC(C)N1c1ccc(Cl)cc1
ZINC33757915	COCCCNC(=O)C12CCC(C)(c3nc4ccccc4nc31)C2(C)C
ZINC41114142	CC(C)C(CC(=O)Nc1cccc2c1OCC(=O)N2C)c1ccccc1
ZINC42025370	CCNS(=O)(=O)c1ccc(/C=C/C(=O)N2CCCCCCC2)cc1
ZINC43101643	CCC1CCCCN1C(=O)NCC(c1cccs1)N1CCOCC1
ZINC06014529	COc1ccc(CC2S/C(=N\N=C(\C)c3ccccc3)NC2=O)cc1
ZINC45456038	CC1CN(CCCNC(=O)N2CCCC2c2cccs2)CC(C)O1
ZINC45751388	[O-]c1nc(C[NH+](Cc2cccs2)C2CC2)nc2c1oc1ccccc12
ZINC46864271	CS(=O)(=O)N1CCc2cc(C(=O)NCCC3CCCCC3)ccc21
ZINC48365509	Cc1nn(C(F)F)c(C)c1CC(=O)NC(C)c1cc2ccccc2o1
ZINC48867478	CC(=O)N/C(=C\c1ccccc1)C(=O)Oc1cccc2c1OC(C)(C)C2
ZINC49430049	CC1Oc2ccccc2OC1C(=O)NCCCn1ccc2ccccc21
ZINC00865288	CC(C)OC(=O)c1cc2n(n1)C(C(F)(F)F)CC(c1ccccc1)N2
ZINC53192591	CC(Cc1ccccc1F)NC(=O)CN1C(=O)C(C)Oc2ccccc21
ZINC55178995	COc1cc(C(C)N2C(=O)C(C)NC2=S)ccc1OC1CCCC1
ZINC55270908	Cc1cc(C(=O)N(C)CCCc2c(C)n[nH]c2C)c2cccc(C)c2n1
ZINC57101904	CC1CCCCN1S(=O)(=O)NCC1CCN(c2ccc(F)cc2)C1
ZINC25913708	Cc1cc2nc(C)c(CCC(=O)NC(C)c3ccccc3C)c(C)n2n1
ZINC28234906	COc1cc2nc(CSc3cc(C)ccc3C)[nH]c(=O)c2cc1OC
ZINC24085370	O=S1(=O)c2cccc3cccc(c23)N1CC(O)COc1ccccc1
ZINC15603143	CCC(CNC(=O)c1sc2ncn(C)c(=O)c2c1C)c1ccccc1
ZINC21937925	Cc1nc(-c2ccsc2)sc1C(=O)N(C)CC(=O)NC(C)(C)C
ZINC15364324	CC(C)C(NS(=O)(=O)c1ccc2c(c1)OCCO2)c1cccs1
ZINC52989419	CCN(CC(=O)NC(C)(C)C)C(=O)C1=Cc2cc(Cl)ccc2OC1
ZINC59734366	Cc1sc2ncnc(NCc3cccc(Cn4cccn4)c3)c2c1C
ZINC61787221	CCCC1CCCN(C(=O)Nc2ccccc2CS(C)(=O)=O)CC1
ZINC64345616	O=C(NCc1ccccc1F)N1CCC(CCN2CCOCC2)CC1
ZINC66316410	CCn1cc(NC(=O)Cc2csc(-c3ccc(Cl)s3)n2)cn1
ZINC66576270	O=S(=O)(NC(c1ccc2c(c1)OCCO2)C1CC1)C1CCCCC1
ZINC00490862	CCOC(=O)N1CCC2(O)CCCCC2C1c1ccccc1OCC
ZINC04304229	Cc1ccc(C2(C)NC(=O)N(CCOc3ccc(F)cc3)C2=O)cc1
ZINC04308694	CCCc1ccc(C(=O)CN2C(=O)NC3(CCCCC3C)C2=O)cc1
ZINC04346759	C=CCN1C(=O)NC(c2cccc(F)c2)C2=C1CN(CC(C)C)C2=O
ZINC04488829	COc1cc2c(c(OC)c1)C(c1ccccc1OC(C)C)CC(=O)N2
ZINC04546273	COc1ccc(-c2nn(CNc3ccc(C)cc3C)c(=S)o2)cc1
ZINC03444059	CC(C)CC1(C)NC(=O)N(Cc2csc(-c3ccccc3)n2)C1=O
ZINC00428385	Cc1ccccc1CN1CCN(CC(=O)NC2CCCCC2C)C1=O
ZINC05354903	CCc1sc(C(=O)OC(C)c2nc3ccccc3c(=O)[nH]2)cc1C
ZINC03518878	CCCn1nc(C(=O)Nc2ccccc2CC)c2ccccc2c1=O
ZINC12082747	CCCN1C(=O)COc2cc(NC(=O)/C=C/c3ccccc3)ccc21
ZINC14129361	O=C(CSc1nc(NC2CC2)c2ccccc2n1)N1CCCCC1
ZINC14241240	CNc1nnc(SCc2cc(-c3ccc(Cl)cc3)no2)s1
ZINC19939764	OCCn1ccc(-c2cccc(-c3ccc4oc(C5CC5)nc4c3)c2)n1
ZINC21874324	CCn1c(=O)n(CCC(=O)NC2CCCCCCC2)c2ccccc21
ZINC22480694	O=C(NCCOc1ccc2c(c1)OCO2)c1ccc2ccccc2c1
ZINC29106939	O=C(NCc1ccco1)C1=NN(c2ccccc2)C(c2ccccc2)C1
ZINC32907327	O=c1c2ccccc2cnn1CC(O)COc1cccc2ccccc12
ZINC33326667	CCCNC(=O)CCc1c(C)c2cc3c(C)coc3c(C)c2oc1=O
ZINC34739281	CC(C)c1ccc(C2C(S(=O)(=O)NC(C)(C)C)CON2C)cc1
ZINC00211233	CCOc1ccc(S(=O)(=O)Nc2cccc(C)c2)c2cccnc12
ZINC00448678	CCc1ccc(-n2c(C)cc(/C=N/NC(=O)c3ccncc3)c2C)cc1
ZINC08683205	C/C(CCC1CC(C)OC1=O)=N\N=c1\[nH]c(-c2ccccc2)cs1
ZINC05629051	CC(Sc1nc2ccccc2s1)C(=O)Nc1ccnn1C(C)C
ZINC35471983	C=CCN1C(=O)NC(c2ccsc2)C2=C1CN(C(C)C(C)C)C2=O
ZINC40548399	CC(C)C(NC(=O)c1cccc(N2CCOC2=O)c1)c1cccs1
ZINC40562852	CC(C)C(NC(=O)/C=C/c1ccc(F)cc1)c1nnc2ccccn12
ZINC41373158	COc1ccc(N2CCCC2)cc1NS(=O)(=O)c1ccccc1C
ZINC42179118	CC1(c2cccc(Cl)c2)NC(=O)N(CCOc2ccccc2)C1=O
ZINC43373513	CC(C)Cc1nnc(NC(=O)N(C)C(C)c2ccc(F)cc2)s1
ZINC44225058	CC(C)c1cc(SCC(=O)Nc2nc3ccccc3s2)ncn1
ZINC46570001	O=C(/C=C/c1cccc([N+](=O)[O-])c1)NCC1CCCc2ccccc21
ZINC51156357	Cc1ccc(-n2nnnc2SCC(O)c2cccc(F)c2)c(C)c1
ZINC54672210	O=C(CC1C(=O)OCCN1Cc1ccccc1)Nc1ccccc1F
ZINC55493140	CCc1c(C)sc2nc(COc3ccc(C(C)=O)cc3)[nH]c(=O)c12
ZINC55493907	CCOC(=O)c1sc2nc(Cc3ccccc3C)[nH]c(=O)c2c1C
ZINC07213053	CCOc1ccc(N2C(=O)CC(Nc3ccc(C)cc3C)C2=O)cc1
ZINC14571103	CCCN(Cc1nc2cc(Cl)ccc2c(=O)[nH]1)C(=O)C1CCCC1
ZINC60852768	CCOc1cc2c(cc1/C=C/C(=O)NC1(C#N)CCCC1)OC(C)C2
ZINC55841671	COc1ccc(C(=O)N(C)C)cc1NC(=O)C1C(C=C(C)C)C1(C)C
ZINC64835298	Cc1nc(NCCc2cccs2)c2onc(-c3ccccc3)c2n1
ZINC28285181	CCOc1ccc(N2C(=O)CC(Nc3cccc(C)c3C)C2=O)cc1
ZINC65330262	CCc1ccccc1S(=O)(=O)NC1COc2c(cccc2OC)C1
ZINC66254603	Cc1cc(C)c(C)c(S(=O)(=O)Nc2c(C)cnn2CC2CC2)c1C
ZINC66416076	CCN(C(=O)CCc1c(C)[nH]c(=O)c(C#N)c1C)C1CCCCC1C
ZINC66642243	CC(CC(=O)N1CCC(n2cccc2)CC1)NC(=O)C1CCCCC1
ZINC66807295	CCc1ccc(C(=O)N2CCC(NC(=O)CC3CCCCC3)CC2)o1
ZINC66966271	CCCCN(C)C(=O)Nc1ccc(C(=O)N2CCCCC2C)cc1C
ZINC67041612	CC(C)(C)C(=O)N1CCCN(C(=O)NCCCC2CCCC2)CC1
ZINC67609611	CCc1ncc(CN(C)C(=O)NC(C)c2cc3ccccc3o2)s1
ZINC02606298	C=CC/N=C(\S)Nc1c(C)n(C)n(-c2ccccc2)c1=O
