ZINC01406388	O=[N+]([O-])c1ccc(Sc2ccc(Br)cc2)c(Br)c1
ZINC35533843	COC(=O)c1c(NC(=O)c2ccc(-n3nc(C(F)(F)F)c4c3CCCC4)cc2)sc2c1CCCC2
ZINC35594727	Cc1ccccc1C1SCC(=O)N(CC(=O)NC2CC2)c2c1c(-c1ccccc1)nn2-c1ccccc1C
ZINC35684146	O=C(Nc1ccc(I)cc1Cl)c1cc(-n2cnnc2)ccc1Br
ZINC37424669	Cc1ccc(-n2nc(C(C)(C)C)c3c2N(CC(=O)NC2CC2)C(=O)CSC3c2ccsc2)c(C)c1
ZINC37436656	Cc1cs/c(=N\C(=O)c2ccc(Cl)c(Cl)c2)n1Cc1cccc(C(=O)NCC2CCCO2)c1
ZINC02253642	COc1ccc(Br)cc1C1Oc2ccccc2C2=C1C(c1ccc(C)cc1)N1NC=NC1=N2
ZINC02249015	COc1ccc(Br)cc1C1Oc2ccccc2C2=C1C(c1ccc(F)cc1)N1NC=NC1=N2
ZINC39879271	CCOc1cc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2c2cccc(Br)c2)ccc1O
ZINC39896394	C=CCNC(=O)/C(C#N)=C1/SC(Cc2cc(C(F)(F)F)ccc2Cl)C(=O)N1c1ccc(C)c(C)c1
ZINC41004394	CCSc1nc2n(n1)C(c1ccc(OCc3ccc(Br)cc3)cc1)C1=C(CCCC1=O)N2
ZINC41015848	CCc1sc(NC(=O)C(C(C)C)N2C(=O)c3ccccc3C2=O)nc1-c1ccc(Br)cc1
ZINC41016208	Cc1sc(NC(=O)C(CC(C)C)N2C(=O)c3ccccc3C2=O)nc1-c1ccc(Br)cc1
ZINC43729417	O=C(c1ccc2c(c1)OCO2)C1C(c2cccc(Cl)c2)C2CSCN2C12C(=O)Nc1ccccc12
ZINC01828453	CCOc1ccc(C2=CC3c4cc(Br)ccc4OC(c4ccc(OC)c(OC)c4)N3N2)cc1
ZINC54311079	CC[NH+](CC)c1ccc(CN(C(=O)c2sc3cc(C)ccc3c2Cl)C2CCS(=O)(=O)C2)cc1
ZINC03140402	CCOC(=O)c1c(/N=C/c2c(O)c(OC)cc(Br)c2Br)sc2c1CCCC2
ZINC33594258	CCN1C(=O)CC(C(=O)Nc2ccc(I)cc2)S/C1=N\c1ccc(C)c(C)c1
ZINC59249164	Cc1ccc(NC(=O)c2c(-n3c(C)cc(/C=C4/SC(=O)N(C)C4=O)c3C)sc3c2CCCC3)cc1
ZINC12311956	CCOC(=O)c1c(N2C(=O)/C(=C\Nc3c(C)cc(C)cc3C)c3ccccc3C2=O)sc2c1CCCC2
ZINC62656774	CC1CCc2c(sc3ncnc(N4CCN(CC(=O)Nc5ccc(Cl)c(C(F)(F)F)c5)CC4)c23)C1
ZINC41585444	O=C1/C(=C/c2ccccc2Br)Oc2c1ccc(O)c2CN1CCN(c2ccccc2F)CC1
ZINC18197669	CC[NH+](CC)c1ccc(C2C3=C(CC(c4cccs4)CC3=O)Nc3[nH]n(-c4ccccc4)c(=O)c32)cc1
ZINC64045044	COc1ccc(O)c(CN2CCOc3c(cc(-c4csc5ccccc45)cc3OC3CCOC3)C2)c1
ZINC64097929	O=C(c1ccco1)C1C(C(=O)c2ccccc2F)C2(C(=O)Nc3ccccc32)C2c3ccccc3C=CN12
ZINC64815136	Cc1ccc(N2C(=O)c3cc(-c4cccs4)nn3CC2(C)C(=O)NCc2ccc(Cl)cc2)c(C)c1
ZINC01780722	CCOc1ccc(-n2c(SCC(=O)c3ccc4c(c3)OCO4)nc3sc4c(c3c2=O)CCCC4)cc1
ZINC01246568	Cc1nc2sc3c(c2c2nnc(SCC(=O)N(c4ccccc4)c4ccccc4)n12)CC(C)(C)OC3
ZINC02203721	Cc1ccc2nc(Sc3ccccc3)c(/C=C3\SC(=S)N(C(C)c4ccccc4)C3=O)c(=O)n2c1
ZINC02203726	Cc1ccc2nc(Sc3ccccc3)c(/C=C3\SC(=S)N(C(C)c4ccccc4)C3=O)c(=O)n2c1
ZINC09448023	Cc1ccc(S(=O)(=O)N2CCN(c3ncnc4c3sc3nc(CC(C)C)c5c(c34)CCC5)CC2)cc1
ZINC10097460	CSc1cccc2sc(N(CCc3cccs3)C(=O)c3ccc(S(=O)(=O)C(C)C)cc3)nc12
ZINC10097915	CSc1ccc2nc(N(CCc3cccs3)C(=O)c3ccc(S(=O)(=O)C(C)C)cc3)sc2c1
ZINC10098125	CC(C)Sc1ccc(C(=O)N(CCc2cccs2)c2nc3ccc(S(C)(=O)=O)cc3s2)cc1
ZINC10098127	CC(C)Sc1cccc(C(=O)N(CCc2cccs2)c2nc3ccc(S(C)(=O)=O)cc3s2)c1
ZINC10098619	COCCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N(C)C(C)C)cc2)sc2c(Cl)ccc(Cl)c21
ZINC10099253	Cc1ccc(Cl)c2sc(N(CC3CCCO3)C(=O)c3ccc(S(=O)(=O)N(C)C(C)C)cc3)nc12
ZINC10786302	CCc1cccc2sc(N(CC3CCCO3)C(=O)C3CCCCN3S(=O)(=O)c3cccs3)nc12
ZINC10529394	COCCn1/c(=N\C(=O)C2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)sc2cc(SC)ccc21
ZINC02357643	CCOc1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2c2nc3ccc(F)cc3s2)cc1OCC
ZINC11665713	CCOCCn1/c(=N/C(=O)C2CCCN2S(=O)(=O)c2ccc(Cl)s2)sc2cccc(F)c21
ZINC12100221	Cc1ccc(S(=O)(=O)N2CCOc3c(cc(-c4nc5ccccc5s4)cc3OC3CCOC3)C2)cc1
ZINC12416303	CC1=NC2=C(C(=O)CC(c3cccs3)C2)C(c2ccc(C(F)(F)F)cc2)C1C(=O)OCC1CCCO1
ZINC02202842	Cc1cccn2c(=O)c(/C=C3\SC(=S)N(C(C)c4ccccc4)C3=O)c(Sc3ccccc3)nc12
ZINC14944033	CCOC(=O)C1C(=O)C2=C(CC1c1cccs1)N(c1ccc(F)cc1)C(=O)CC2c1ccc(OC)cc1
ZINC16506167	COCCCN(CC(=O)N1CCc2sccc2C1c1ccc(F)cc1)C(=O)C12CC3CC(CC(C3)C1)C2
ZINC16613415	C=CCN(CC(=O)N1CCCCC1c1nc(-c2ccc(Br)cc2)no1)C(=O)c1cccs1
ZINC16729189	CCOc1ccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(=S)N(Cc3ccccc3)C2=O)cc1F
ZINC20101706	Cc1cc(C)cc(N2C(=O)CSC23C(=O)N(CN2CCN(c4ccccc4F)CC2)c2ccccc23)c1
ZINC12468525	C=CCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CC(C)OC(C)C3)cc2)sc2cc(SC)ccc21
ZINC12468575	C#CCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CC(C)OC(C)C3)cc2)sc2cc(SC)ccc21
ZINC27018366	CCCOc1ccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(N3CC(C)OC(C)C3)=NC2=O)cc1C
ZINC33154994	C#CCOc1c(I)cc(/C=c2/sc3nc4cc(C)c(C)cc4n3c2=O)cc1OC
ZINC34107752	COc1ccc(CCN2C(=O)/C(=C/C3=Cc4ccccc4OC3c3ccccc3)SC2=S)cc1OC
ZINC34848723	COc1ccc(C2c3ccsc3CCN2C(=O)CN(C(C)C)S(=O)(=O)c2c(C)cc(C)cc2C)cc1
ZINC00744251	COc1cc(OC)c(Br)c(-n2c(C(C)N(C)C(=O)C3CCCCC3)nc3ccccc3c2=O)c1
ZINC35455524	CCCN(Cc1cccn1Cc1ccc(C(=O)N2CC3(C)CC2CC(C)(C)C3)o1)C(=O)c1ccccc1C
ZINC35497746	Cc1ccccc1-n1c(SC(C)C(=O)N2CCC3(CC2)OCCO3)nc2sc3c(c2c1=O)CCCC3
ZINC35891150	CCc1c(C)nc(-c2cccc(C)c2)nc1N1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
ZINC36115859	CC(C)(C)N(CC(=O)N1CCc2sccc2C1COc1ccc(Cl)cc1)C(=O)c1ccc(F)cc1
ZINC36116106	Cc1cc(OCC2c3ccsc3CCN2C(=O)CN(C(=O)c2cccc(F)c2)C(C)C)ccc1Cl
ZINC36116107	Cc1cc(OCC2c3ccsc3CCN2C(=O)CN(C(=O)c2cccc(F)c2)C(C)C)ccc1Cl
ZINC36208037	CCOc1ccc(C(=O)C2C(c3ccco3)CN(C)C23C(=O)N(Cc2ccccc2C)c2ccccc23)cc1
ZINC12615056	Cc1cc(-c2nn(-c3ccccc3)cc2/C=C2\SC(N3CC(C)OC(C)C3)=NC2=O)ccc1OC(C)C
ZINC38594447	COc1ccc(CCN2C(=O)c3oc4cc(C)cc(C)c4c(=O)c3C2c2ccc(SC)cc2)cc1OC
ZINC38643179	COc1ccc(/C=C2\SC(=S)N(CC(=O)N(Cc3ccc(Cl)cc3)CC3CCCO3)C2=O)cc1
ZINC38790757	Cc1ccc(C2CC(c3ccc(Br)cc3)=NN2C(=O)Cn2nc(-c3ccco3)ccc2=O)cc1
ZINC39889911	C=CCN1C(=O)C2(c3ccccc31)c1c(oc3ccc(Cl)cc3c1=O)C(=O)N2Cc1ccccc1Cl
ZINC40041610	COc1cc(C2c3c(oc4c(C)cc(C)cc4c3=O)C(=O)N2CC2CCCO2)ccc1OCc1ccccc1
ZINC40056580	C=CCOc1ccc(C2c3c(oc4cc(C)c(Cl)cc4c3=O)C(=O)N2c2cccc(C)n2)cc1OCC
ZINC16611375	CC1(C)CC2CC(C)(CN2C(=O)CSc2nc(Cl)cc(N3CCN(C(=O)C4CCCC4)CC3)n2)C1
ZINC26532199	CCCCOc1ccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(N3CC(C)OC(C)C3)=NC2=O)cc1
ZINC09457195	Cc1cccc(N2C(=O)C3ON(c4ccccc4)C(c4sc(=O)n(-c5ccccc5)c4Cl)C3C2=O)c1
ZINC08741553	CCOC(=O)c1c(N2C(=O)C3ON(c4ccccc4)C(c4ccc(C)cc4)C3C2=O)sc2c1CCCC2
ZINC63162837	COc1cccc(C2C3C(=Nc4ncnn42)c2ccccc2OC3c2ccc(OC)c(Br)c2)c1
ZINC63329098	COc1ccc(C2C3C(=Nc4ncnn42)c2ccccc2OC3c2ccc(OC)c(Br)c2)cc1
ZINC06173236	Cc1cc(C)c2cc(C#N)c(N3CCCN(S(=O)(=O)c4ccc([N+](=O)[O-])cc4)CC3)[nH+]c2c1
ZINC08708359	Cc1ccc(N2CC(C)Cn3c2nc2c3c(=O)n(CC[NH+]3CCOCC3)c(=O)n2C)cc1C
ZINC01794013	CCc1cc2c(=O)c(-c3nc4ccccc4s3)coc2c(C[NH+]2CCCC(C)(C)C2)c1O
ZINC09012961	CC(C)(C)C(=O)C1C(C(=O)c2cccs2)C2(C(=O)Nc3ccccc32)C2c3ccccc3C=C[NH+]12
ZINC08781434	c1ccc(Nc2ccc3nc4cc5c(cc4[n+](-c4ccccc4)c3c2)Oc2ccccc2N5)cc1
ZINC02277000	CCc1cc2c(=O)c(-c3nc(C)cs3)coc2c(C[NH+]2CC3(C)CC2CC(C)(C)C3)c1O
ZINC09185427	Cc1ccc([N+](=O)[O-])cc1N1C(=O)C2C(C1=O)C1c3ccccc3C=C[NH+]1C2C(=O)c1ccco1
ZINC09209790	Cc1cc([N+](=O)[O-])ccc1N1C(=O)C2C(C1=O)C1c3ccccc3C=C[NH+]1C2C(=O)c1ccco1
ZINC02666249	CCc1cc2c(=O)c(-c3nc4ccccc4s3)coc2c(C[NH+]2C(C)CCCC2C)c1O
ZINC09489402	CC1CC(C)C[NH+](Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2c(Cl)cccc2Cl)C1
ZINC08709872	Cc1cc(C)cc(N2CC(C)Cn3c2nc2c3c(=O)n(CC[NH+]3CCOCC3)c(=O)n2C)c1
ZINC09994942	C[NH+]1CCN(C(=O)c2c(NC(=O)c3ccc(F)cc3)sc3c2CCC(C(C)(C)C)C3)CC1
ZINC10109088	Cc1ccc(N2CC(C)Cn3c2nc2c3c(=O)n(CC[NH+]3CCCCC3)c(=O)n2C)cc1Cl
ZINC09243069	Cc1ccc(-n2c(C)c(C)n3c4c(=O)n(CC[NH+]5CCCCC5)c(=O)n(C)c4nc23)cc1C
ZINC12882638	CC1CCCC2(C)CC3OC(=O)C(C[NH+]4CCC(O)(c5ccc(Cl)cc5)CC4)C3C3OC132
ZINC12531763	CC1CC(C)C[NH+](Cc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2c(Cl)cccc2Cl)C1
ZINC09360906	Cc1ccc(N2C(=O)C3C(C2=O)C2c4ccccc4C=C[NH+]2C3C(=O)c2ccco2)cc1[N+](=O)[O-]
ZINC19118762	Cc1cc(-c2cnc(N3CC[NH+](C)CC3)nc2C2CCCN(c3nc(C)cc(C)n3)C2)on1
ZINC20616537	O=C(Nc1nccs1)c1cc2cc(Br)ccc2o/c1=[NH+]\c1ccccc1Cl
ZINC21664145	O=C(C1CCN(c2nn3c(=O)c4c(nc3s2)CCCC4)CC1)N1CCN(c2cccc[nH+]2)CC1
ZINC25036298	O=c1[nH]c(C[NH+]2CCC(c3nc4cc(Cl)ccc4s3)CC2)nc2ccc(Cl)cc12
ZINC28120644	CCc1cc2c(=O)c(-c3nc4ccccc4s3)c(C)oc2c(C[NH+]2CCCCCC2)c1O
ZINC32932779	Cc1cc(Br)c(NC(=O)C[NH+]2CCCC2c2cc(C)no2)c(Br)c1
ZINC34707910	CC1CN(c2nc3cc(Cl)ccc3c3nnc(-c4cccs4)n23)CC[NH+]1Cc1ccoc1
ZINC34675366	Fc1cccc(C[NH+]2CCN(c3nc4ccccc4c4nnc(-c5ccco5)n34)CC2)c1F
ZINC03064152	O=C1Nc2cc(C(=O)N3CCC([NH+]4CCCCC4)CC3)ccc2S/C1=C\c1ccccc1
ZINC12311322	CC(=O)N1N/C(=C2\C(=O)[NH+]=c3ccc(Cl)cc3=C2c2ccccc2)CC1c1cccs1
ZINC38635030	N#CC1(c2ccc(F)cc2)CCC([NH+]2CCC3(CC2)C(=O)NCN3c2ccc(F)cc2)CC1
ZINC38799191	O=C1[NH+]=c2ccccc2=CC1/C=C/C(=O)C1C(=O)NC2C=CC(Cl)=CC2=C1c1ccccc1
ZINC38813984	O=C(NN1C(=O)/C(=C/C2=c3ccccc3=[NH+]C2)SC1=S)c1ccc(Br)cc1
ZINC39227529	CC1CCC(NC(=O)c2ccc(-c3ccc4c(c3)C(=O)CC3(CC[NH+](C)CC3)O4)cc2)CC1
ZINC39345060	CC1(C)CC2CC(C)(C[NH+]2Cc2c(O)ccc3cc(-c4ccc5ccccc5n4)c(=O)oc23)C1
ZINC39345061	CC1(C)CC2CC(C)(C[NH+]2Cc2c(O)ccc3cc(-c4ccc5ccccc5n4)c(=O)oc23)C1
ZINC39444462	O=C1[NH+]=c2ccc(Cl)cc2=C(c2ccccc2)C1Sc1nc(C(F)(F)F)cc(=O)[nH]1
ZINC39444463	O=C1[NH+]=c2ccc(Cl)cc2=C(c2ccccc2)C1Sc1nc(C(F)(F)F)cc(=O)[nH]1
ZINC39951266	CCCC12CC[NH+]3CC(CCC)(CN(C1)C31C(=O)Nc3ccc(Br)cc31)C2=O
ZINC43741357	Cc1ccc(Cl)cc1N1CC[NH+](CC2C(=O)OC3CC4=CCCC(C)C4(C)C(O)C32)CC1
ZINC41512927	COc1ccc(Br)cc1/C=C1\Oc2c(ccc(O)c2C[NH+]2CCC(C)CC2)C1=O
ZINC02422441	Cc1oc2c(C[NH+]3CCC(C)CC3)c(O)ccc2c(=O)c1Oc1ccccc1Br
ZINC41584003	Cc1oc2c(C[NH+]3CC(C)CC(C)C3)c(O)ccc2c(=O)c1Oc1ccccc1Br
ZINC41585075	Cc1cc(O)c(C[NH+]2CCN(c3ccccc3)CC2)c2c1C(=O)/C(=C/c1ccccc1Cl)O2
ZINC63139829	O=C1C2CC3=c4ccccc4=[NH+]C3C(c3cccc([N+](=O)[O-])c3)N2C(=O)CN1Cc1ccco1
ZINC63351329	COc1cccc(/C=N/N2CC(=O)N3C(CC4=c5ccccc5=[NH+]C4C3(C)C)C2=O)c1OC
ZINC63572150	COc1ccc(C2C3[NH+]=c4ccc(Cl)cc4=C3CCN2C(=O)Nc2ccccc2C)cc1
ZINC63572303	COc1ccc(C2C3[NH+]=c4ccc(Cl)cc4=C3CCN2C(=O)Nc2ccc(F)cc2F)cc1
ZINC64228095	O=C1C2CC3=c4ccccc4=[NH+]C3C(c3cccc([N+](=O)[O-])c3)N2C(=O)CN1Cc1ccco1
ZINC35475902	Cc1ccc(-c2nnc(-c3nc(N4CCN(c5cccc[nH+]5)CC4)c4ccccc4n3)o2)cc1
ZINC67294685	Cc1ccc(C)c(/[NH+]=c2\oc3ccc(Br)cc3cc2C(=O)Nc2cccc(C)n2)c1
ZINC67294732	Cc1ccc(/[NH+]=c2\oc3ccc(Br)cc3cc2C(=O)Nc2ccc(C)cn2)cc1
ZINC67294822	Cc1ccc(NC(=O)c2cc3cc(Br)ccc3o/c2=[NH+]\c2ccccc2F)nc1
ZINC01814314	O=C1/C(=C\c2ccc(-c3cc(Cl)ccc3Cl)o2)SC(=S)N1C1CCS(=O)(=O)C1
ZINC08827421	Cc1ccc(C2c3c(oc4ccc(Br)cc4c3=O)C(=O)N2c2nc(C)cs2)cc1
ZINC00717725	Cc1cccc(-n2c(-c3ccc(Br)cc3)cn3c4c(=O)n(C)c(=O)n(C)c4nc23)c1
ZINC08841119	Cc1ccc(S(=O)(=O)N2CCCC2C(=O)/N=c2/sc3ccc(Cl)c(C)c3n2C)cc1
ZINC08842002	Cc1cc(C)c2c(c1)s/c(=N/C(=O)C1CCCN1S(=O)(=O)c1ccc(Cl)cc1)n2C
ZINC08842029	Cc1ccc2s/c(=N/C(=O)C3CCCN3S(=O)(=O)c3ccc(Cl)cc3)n(C)c2c1C
ZINC09281691	CC(=O)C1C(c2cccc([N+](=O)[O-])c2)C2(C(=O)c3ccccc3C2=O)C2C=Cc3ccccc3N12
ZINC09392441	O=C(Oc1ccc(F)cc1Br)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O
ZINC01422417	CSc1nnc(N2C(=O)CC(c3cccc(Cl)c3Cl)C3=C2CC(C)(C)CC3=O)s1
ZINC12664523	Cc1cc(C)c2s/c(=N/C(=O)C3CCCN(S(=O)(=O)c4ccc(F)cc4)C3)n(C)c2c1
ZINC13527954	O=c1c2ccccc2nc(/C=C/c2ccc3c(c2)OCCO3)n1-c1ccc(Br)cc1
ZINC09422175	Cc1c(C)n(-c2ccc(Br)cn2)c2ncn3nc(-c4ccc(N(C)C)cc4)nc3c12
ZINC02942617	O=C1c2ccc(-c3nc4ccccc4c(=O)o3)cc2C(=O)N1c1cccc(I)c1
ZINC12063666	Cn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)sc2cccc(Br)c21
ZINC15161297	Cc1nc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)c2c3c(sc2n1)CCC3
ZINC15223363	Cc1ccccc1N1C(=O)C(=Cc2c(Cl)cccc2Cl)C(=O)N(c2ccccc2C)C1=O
ZINC16092932	Cc1cc(=O)oc2cc(OS(=O)(=O)c3c(Cl)cc(Br)cc3Cl)ccc12
ZINC16486187	Cc1cc(C)c(S(=O)(=O)N2CCC3(CC2)SCCN3C(=O)c2cccc(F)c2)c(C)c1
