ZINC01208863	CN1C(=O)N(C)C2C1N(CO)C(=O)N2CO
ZINC48798622	CN(C)S(=O)(=O)c1ccc(C(=O)Nc2cc[nH]n2)o1
ZINC48834233	Cc1cc(C)n(-c2nnc(SCc3cnoc3)n2N)n1
ZINC48905714	Cc1nn(C)c(C)c1S(=O)(=O)NC(C)c1nncn1C
ZINC49056045	Cc1cc(CNc2ccc3nnnn3n2)no1
ZINC49236053	CS(=O)(=O)CCNc1ccc2nnnn2n1
ZINC49358060	CCc1nnc(NC(=O)N2CCN(C(=O)OC)CC2)s1
ZINC50455955	Cn1cnnc1CNc1ncnc(Cl)c1[N+](=O)[O-]
ZINC50931153	CC1=NC([N+](=O)[O-])/C(=[NH+]/Cc2cc(C)on2)N1C
ZINC52222741	CCc1nn2c(=O)cc(Cn3cc(CO)nn3)nc2s1
ZINC52812444	Cc1cc([N+](=O)[O-])cnc1NCc1nncn1C
ZINC54404593	Cc1nc(N)n(-c2ncnc3[nH]cnc23)n1
ZINC06829979	O=[N+]([O-])c1cn[nH]c1N1CCN(c2ncccn2)CC1
ZINC61538457	OCC1CCCN1c1nc(Cl)nc(-n2cncn2)n1
ZINC61844633	c1n[nH]c(-c2noc(C3COCCO3)n2)n1
ZINC63079388	CCNc1nc(Cn2cnc(C#N)n2)nc2c1cnn2C
ZINC63498617	Cc1n[nH]cc1NC(=O)c1cccc(-n2cnnn2)c1
ZINC63808606	C1=CC(C2Nn3c(nnc3-c3cnccn3)S2)N=N1
ZINC63857830	OCc1cn(C2CCN(C3N=CN=C4N=CN=C43)CC2)nn1
ZINC64316243	Cc1noc(C(C)NC(=O)c2cccc(-n3cnnn3)c2)n1
ZINC65567017	Cc1nnc2n1CC(Nc1ccc3nnnn3n1)CC2
ZINC66470288	Cc1noc(CNc2cc(-n3nnnc3C)ccc2F)n1
ZINC02152388	Cc1coc2c(C)c3oc(=O)c(CC(=O)N(CC(=O)[O-])CC(=O)[O-])c(C)c3cc12
ZINC05344323	O=C([O-])CC1S/C(=N\N=C\c2cccc([N+](=O)[O-])c2)N(C2C=CCC2)C1=O
ZINC20635630	O=[N+]([O-])c1ccc(-c2ccnc3nc(N4CCOCC4)nc([O-])c23)cc1
ZINC20721188	O=C([O-])C(=O)N1CCN(S(=O)(=O)c2cccc3nsnc23)CC1
ZINC32097916	CC(C)n1ncc2cc([N-]S(=O)(=O)c3ccc4c(c3)oc(=O)n4C)cnc21
ZINC06382904	O=C(C1=C([O-])C(=O)N(CC2CCCO2)C1c1ccc([N+](=O)[O-])cc1)c1ccco1
ZINC01122553	O=C(C1=C([O-])C(=O)N(Cc2ccco2)C1c1cccc([N+](=O)[O-])c1)c1ccco1
ZINC02470848	O=C(C1=C([O-])C(=O)N(CC2CCCO2)C1c1ccccc1[N+](=O)[O-])c1ccco1
ZINC39462592	CC(OC(=O)c1csc(-c2ccsc2)n1)C(=O)/N=C1\[N-]C=NC2=NC=NC21
ZINC39462636	Cc1nc2cc(F)ccc2cc1C(=O)OC(C)C(=O)/N=C1\[N-]C=NC2=NC=NC21
ZINC13027584	O=C([O-])c1ccc(Cl)c([N-]S(=O)(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1
ZINC39870509	CCC(C)n1c([O-])c(/N=N/c2ccc([N+](=O)[O-])cc2)c(C)c(C#N)c1=O
ZINC39870531	Cc1c(/N=N/c2cccc([N+](=O)[O-])c2)c([O-])n(C(C)C)c(=O)c1C#N
ZINC39871407	C=CCn1c([O-])c(/N=N/c2cc([N+](=O)[O-])ccc2C)c(C)c(C#N)c1=O
ZINC39927237	COC(=O)C/C(=N/[N-]C1=NC(=O)C2=C(C)C(C)SC2=N1)C(=O)OC
ZINC40119449	Cc1cc(C(=O)N2CCN(S(=O)(=O)c3ccccc3C#N)CC2)nc([O-])n1
ZINC40945669	O=[N+]([O-])c1ccccc1S(=O)(=O)[N-]c1nnc(C2CCCO2)s1
ZINC41915868	O=C([O-])C1(n2cnc([N+](=O)[O-])n2)CCOc2ccccc21
ZINC41916246	COC(C)(C)CC(C)(C(=O)[O-])n1cnc([N+](=O)[O-])n1
ZINC42678069	O=[N+]([O-])c1ccc(Sc2nc(-c3ccccc3F)n[n-]2)c([N+](=O)[O-])c1
ZINC50442100	COC1CC(C(=O)[O-])N(c2ncc([N+](=O)[O-])cc2C#N)C1
ZINC55584791	Cc1cccc([N+](=O)[O-])c1S(=O)(=O)[N-]c1cccc(Cl)c1-n1cncn1
ZINC57723382	COc1ccc2nc([N-]S(=O)(=O)c3ccc(OC)c([N+](=O)[O-])c3)sc2c1
ZINC59565725	C=CCN1C(=O)/C(=C/c2cc3c(cc2[N+](=O)[O-])OCO3)C([O-])=NC1=S
ZINC60331656	Cc1nn(C)c2ncc(S(=O)(=O)[N-]c3ccccc3-c3nncn3C)cc12
ZINC60436863	Cc1cc([N+](=O)[O-])c(S(=O)(=O)[N-]c2ccc(F)c([N+](=O)[O-])c2)cc1C
ZINC60442197	Cc1cc([N+](=O)[O-])c(S(=O)(=O)[N-]c2cc([N+](=O)[O-])c(F)cc2F)cc1C
ZINC60442388	Cc1cc([N+](=O)[O-])c(S(=O)(=O)[N-]c2ccc(-n3cccn3)nc2)cc1C
ZINC60442961	Cc1cc([N+](=O)[O-])c(S(=O)(=O)[N-]c2ccccc2-c2nncn2C)cc1C
ZINC60499248	Cc1cc([N+](=O)[O-])c(S(=O)(=O)[N-]Cc2ccnc(-n3cccn3)c2)cc1C
ZINC60708450	CCn1c(SCc2cc([O-])n3ncc(C#N)c3n2)nnc1-c1ccco1
ZINC41188774	O=C(c1cc(-c2ccco2)nc([O-])n1)N1CCN(C(=O)c2ccco2)CC1
ZINC62930151	COc1ccc(C(=O)N2CCOCC2)cc1[N-]S(=O)(=O)c1cnn(C)c1
ZINC20849640	O=C([O-])C1=CC(c2ccncc2)=NC2=NN=C(c3ccc([N+](=O)[O-])cc3)C12
ZINC63772234	O=[N+]([O-])c1cccc(S(=O)(=O)[N-]/N=C\C2C=NN=C2c2ccc(F)cc2)c1
ZINC63912061	Cc1nnc(-c2ccccc2[N-]S(=O)(=O)c2ccc([N+](=O)[O-])s2)o1
ZINC64478996	COc1ccc(C#N)cc1[N-]S(=O)(=O)c1ccc([N+](=O)[O-])cc1OC
ZINC64479076	COc1ccc(C#N)cc1[N-]S(=O)(=O)c1cc([N+](=O)[O-])ccc1OC
ZINC52794246	CON(C)S(=O)(=O)c1ccc(/C([O-])=N/S(=O)(=O)N2CCCCC2)cc1
ZINC65194224	COc1ccc(OC)c([N-]S(=O)(=O)C2C(C)=NC(C)=C2c2nc(C)no2)c1
ZINC65246951	CC1N=NC(=O)C2CC(S(=O)(=O)[N-]c3ccc(N4CCOCC4)cc3)=CN12
ZINC65580705	Cc1cc(C(=O)N2CCN(C(=O)c3cc4cccc([N+](=O)[O-])c4[n-]3)CC2)c(C)o1
ZINC65644249	CCCCS(=O)(=O)/N=C(\[O-])c1ccn(-c2ccc([N+](=O)[O-])cc2)n1
ZINC65832438	O=C(c1cccc([N-]S(=O)(=O)c2cccc(-n3cnnn3)c2)c1)N1CCCC1
ZINC66247332	CCn1cc(S(=O)(=O)[N-]c2nc(-c3cccc([N+](=O)[O-])c3)cs2)cn1
ZINC66247670	COC(=O)Cc1csc([N-]S(=O)(=O)c2ccc([N+](=O)[O-])s2)n1
ZINC66249796	O=[N+]([O-])c1ccc(S(=O)(=O)[N-]c2nc3cc4c(cc3s2)OCCO4)cc1
ZINC66250289	COC(=O)c1sc([N-]S(=O)(=O)c2cc([N+](=O)[O-])cc(C)c2C)nc1C
ZINC66253968	COc1ccc(S(=O)(=O)[N-]c2nc(-c3cccn3C)cs2)cc1[N+](=O)[O-]
ZINC66517310	CS(=O)(=O)[N-]c1ccc(OC(=O)Cc2ccc(-n3cnnn3)cc2)cc1
ZINC05005953	Cc1occc1C(=O)N/N=C/c1cc([N+](=O)[O-])ccc1[O-]
ZINC06669792	CC(C)C(Nc1ccc2nsnc2c1[N+](=O)[O-])C(=O)[O-]
ZINC04955514	O=[N+]([O-])c1cccc(/C=N/Nc2ccc(S(=O)(=O)[O-])cc2)c1
ZINC12197652	CCOc1cc(/C=N\n2cnnc2)cc([N+](=O)[O-])c1[O-]
ZINC09235040	O=c1[nH]c(/C=C/c2ccc(N3CCCC3)cc2)nc([O-])c1[N+](=O)[O-]
ZINC06000472	O=[N+]([O-])c1ccc(/C=N/n2c([S-])nnc2-c2ccccn2)cc1
ZINC20214395	Cn1c(C(=O)N2CCC(C(=O)[O-])CC2)ccc1[N+](=O)[O-]
ZINC21777715	Cc1c([N-]S(=O)(=O)c2ccccc2)c(-n2cnnc2)nn1C
ZINC31287902	Cc1ccc(-c2cc(C(=O)Nc3nc(C#N)c(C#N)[n-]3)on2)cc1
ZINC04354755	O=[N+]([O-])c1cccc(-c2n[n-]nc2[N+](=O)[O-])c1
ZINC23141731	O=C(CCc1nc(-c2ccsc2)no1)Nc1nc[nH]n1
ZINC23141359	Cc1cccc2c(=O)n(CCCC(=O)Nc3nc[nH]n3)cnc12
ZINC37516847	O=C([O-])C1CC1c1nc(-c2cccc([N+](=O)[O-])c2)no1
ZINC37675589	Cc1nsc(NC(=O)c2ccc([N+](=O)[O-])s2)c1C(=O)[O-]
ZINC39217703	CCOc1ccc(C2CC(=O)NC3C2C(=O)N=C2N=CNN23)cc1
ZINC39381060	CSc1nnc2n(/N=C\c3cc([N+](=O)[O-])ccc3[O-])cnn12
ZINC39765578	O=[N+]([O-])c1ccc(-c2nnc(/N=C(\[O-])C(F)(F)F)o2)cc1
ZINC41040521	O=C([O-])c1cc([N+](=O)[O-])cn1Cc1cnoc1
ZINC05681517	O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nnc[n-]2)c1
ZINC05681517	O=[N+]([O-])c1cccc(S(=O)(=O)[N-]c2ncn[nH]2)c1
ZINC41426846	O=S(=O)(NCCC1OCCO1)c1ccc2nc([O-])oc2c1
ZINC43299366	Cc1nn(-c2ncc([N+](=O)[O-])cn2)c(C)c1C(=O)[O-]
ZINC43428203	O=C([O-])COCC(=O)NC(=O)N1CCOC2CCCCC21
ZINC43474545	O=C([O-])CN(C(=O)Nc1ccc([N+](=O)[O-])cc1F)C1CC1
ZINC43700490	Cc1cc(C(=O)N2CCOC(C(=O)[O-])C2)ccc1[N+](=O)[O-]
ZINC43707356	COC(=O)C(NC(=O)N1CCOC(C(=O)[O-])C1)C(C)C
ZINC43827777	COC(=O)c1cc([N+](=O)[O-])ccc1N1CC(C(=O)[O-])C1
ZINC44422040	CC(C)N(CC(=O)[O-])C(=O)Nc1ccc([N+](=O)[O-])cc1F
ZINC48676806	CC(C)Oc1ccc(/C([O-])=N/S(=O)(=O)c2cnn(C)c2)cn1
ZINC48763377	COC(C)/C([O-])=N/S(=O)(=O)c1cc(F)cc([N+](=O)[O-])c1
ZINC49417641	CNc1ccc([N+](=O)[O-])cc1/C([O-])=N/S(=O)(=O)C(C)C
ZINC49514540	Cc1nn(C)c(Cl)c1S(=O)(=O)/N=C(\[O-])C1CC1[N+](=O)[O-]
ZINC49515118	O=[N+]([O-])C1CC1/C([O-])=N/S(=O)(=O)Cc1ccc(Cl)nc1
ZINC16956900	CCc1nnc(/N=C(\[O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)s1
ZINC52751383	CC(C)(C)/C([O-])=C(\C#N)C(=O)Cn1cnc([N+](=O)[O-])n1
ZINC06257608	O=[N+]([O-])c1ccc(-c2nc(/C=N/c3ccncc3)c([O-])o2)cc1
ZINC48935579	N#Cc1cc([N+](=O)[O-])cnc1N1CCCC(C(=O)[O-])C1
ZINC35118914	O=[N+]([O-])c1cc(S(=O)(=O)N2CCCC(O)C2)ccc1[O-]
ZINC42339646	O=[N+]([O-])c1ccc(CS(=O)(=O)/N=C(\[O-])c2ccoc2)cc1
ZINC61844939	COC(=O)c1ccc(S(=O)(=O)[N-]c2nnc[nH]2)cc1
ZINC31818939	Cc1nn(-c2ccc([O-])nn2)c2c1C(c1ccncc1)CC(O)=N2
ZINC31818939	Cc1nn(-c2ccc([O-])nn2)c2c1C(c1ccncc1)CC(=O)N2
ZINC62119853	O=C([O-])C1CCN(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)C1
ZINC62273299	O=C([O-])c1nnn(CC(=O)N2CCCCC2)c1C1CCCO1
ZINC62845939	CCCC1(C(=O)[O-])CCN(c2ncc([N+](=O)[O-])cn2)CC1
ZINC62932979	CC1(C(=O)[O-])CCN(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1
ZINC62933325	Cn1cnc([N+](=O)[O-])c1N1CCC(C)(C(=O)[O-])C1
ZINC64032373	N#Cc1nc(NC(=O)c2ccc(N3CCOCC3)cc2)[n-]c1C#N
ZINC64348013	CS(=O)(=O)c1nnc(NC(=O)c2ccc3c(c2)OCO3)[n-]1
ZINC52795827	Cc1cc(/C([O-])=N/S(=O)(=O)N2CCCCC2)ccc1[N+](=O)[O-]
ZINC65399244	O=c1ccc([O-])nn1CCNc1ncc(F)c(N2CCCC2)n1
ZINC66152099	CC(Oc1ccc([N+](=O)[O-])cc1)C(=O)N1CCCC(C(=O)[O-])C1
ZINC04305393	O=C1c2c([O-])ccc([N+](=O)[O-])c2C(=O)c2c([O-])ccc([N+](=O)[O-])c21
ZINC03669413	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC06260192	CC(Sc1ccc(C(=O)[O-])cc1[N+](=O)[O-])C(=O)[O-]
ZINC00262026	O=C([O-])Cc1ccc(/N=C/c2cccc([N+](=O)[O-])c2[O-])cc1
ZINC00243912	O=C([O-])COc1ccc2c(c1)C(=NO)c1cc(OCC(=O)[O-])ccc1-2
ZINC08732551	O=C([O-])COc1ccc(N2CC(C(=O)[O-])CC2=O)cc1
ZINC09969825	Cc1ccccc1/N=C/c1c(COP(=O)([O-])[O-])cnc(C)c1O
ZINC13027461	O=C([O-])CCc1ccc(S(=O)(=O)N2CCC(C(=O)[O-])CC2)cc1
ZINC13278233	Cc1ccc(C(=O)[O-])cc1Oc1ccc(C(=O)[O-])cc1[N+](=O)[O-]
ZINC13392121	O=C(/C=C/c1ccc2c(c1)OCO2)Nc1cc(C(=O)[O-])ccc1C(=O)[O-]
ZINC13421894	CC1CCCN(C(=O)COc2ccc(C(=O)[O-])cc2C(=O)[O-])C1
ZINC13422168	CC(Oc1ccc(C(=O)[O-])cc1C(=O)[O-])C(=O)Nc1cccc(C#N)c1
ZINC01850960	O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])cc1[O-]
ZINC19834913	Cc1ccc(S(=O)(=O)/N=C(\[O-])Nc2cccc(C(=O)[O-])c2)cc1
ZINC20245648	Cc1cc(C)nc([N-]S(=O)(=O)CC(=O)[O-])n1
ZINC22158522	Cc1cc([N-]S(=O)(=O)c2c[nH]c(C(=O)[O-])c2)no1
ZINC31919378	CC(Nc1ccc(C(=O)[O-])cc1[N+](=O)[O-])C(=O)[O-]
ZINC31958623	CCC(NC(=O)c1csc(/N=C(\[O-])C(F)(F)F)n1)C(=O)[O-]
ZINC35686122	O=C([O-])c1cccc([N-]S(=O)(=O)c2cc([N+](=O)[O-])ccc2Cl)c1
ZINC36863858	CCn1cc(S(=O)(=O)[N-]c2nccs2)cc1C(=O)[O-]
ZINC37024026	O=C([O-])CCS(=O)(=O)[N-]c1cccc(-n2cnnn2)c1
ZINC37656114	O=C([O-])C1CCN(S(=O)(=O)[N-]c2ncccn2)CC1
ZINC37675831	Cc1nsc([N-]S(=O)(=O)N2CCOCC2)c1C(=O)[O-]
ZINC41126998	O=C([O-])Cc1cccc(-c2nn3c(CC(=O)[O-])nnc3s2)c1
ZINC44929693	CCn1cc(S(=O)(=O)NC(C)c2nnn[n-]2)cc1C(=O)[O-]
ZINC44935712	CC(NC(=O)Nc1ccc(Cl)cc1C(=O)[O-])c1nnn[n-]1
ZINC44935849	CC(NC(=O)Nc1cc(Br)ccc1C(=O)[O-])c1nnn[n-]1
ZINC45866086	CS(=O)(=O)c1ccc(S(=O)(=O)[N-]c2cccc(C(=O)[O-])c2)cc1
ZINC41626313	CCc1cc(=O)[nH]c(SC(C)C(=O)Nc2nnc(C(C)C)s2)n1
ZINC49946869	CCSc1nnc(/N=C(\[O-])C2C3C=CC(O3)C2C(=O)[O-])s1
ZINC16904091	O=C1N=C([N-]c2ccc(O)cc2C(=O)[O-])S/C1=C\c1ccco1
ZINC37582691	CSc1nc([O-])nc(C)c1C(=O)N(CCC(=O)[O-])C1CC1
ZINC40739035	O=C([O-])c1cc(S(=O)(=O)[N-]c2ccc(CCO)cc2)c[nH]1
ZINC58880736	Cc1ccc(C(=O)[O-])cc1S(=O)(=O)[N-]c1ccon1
ZINC59249408	Cc1cc(/C=N/c2ccco2)c(C)n1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC59366791	CCO/C([O-])=C1/C(C)=NC([O-])=C(C(N)=O)C1c1cccc([N+](=O)[O-])c1
ZINC59522780	Nc1c(CCCCC(=O)[O-])sc([O-])c1[N+](=O)[O-]
ZINC47202405	CNC(=O)c1ccc(S(=O)(=O)[N-]c2cccc(F)c2C(=O)[O-])cc1
ZINC61684580	Cc1cc(S(=O)(=O)[N-]c2ccon2)ccc1/C=C/C(=O)[O-]
ZINC20841173	O=C([O-])c1n[nH]c(/N=C(\O)C(F)(F)C(F)(F)C(F)(F)F)n1
ZINC20841173	O=C([O-])c1nc(/N=C(\[O-])C(F)(F)C(F)(F)C(F)(F)F)n[nH]1
ZINC62218868	CC(C)(C)c1c(C=O)nnn1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC62469430	CC(C)c1nc(NC(=O)/C=C/C(=O)[O-])sc1C(=O)[O-]
ZINC62920604	CCCC1(C(=O)[O-])CCN(C(=O)c2cc([N+](=O)[O-])c[n-]2)C1
ZINC63155237	Nc1cc(C(=O)[O-])ccc1[N-]S(=O)(=O)CC1CCCO1
ZINC63216476	CC1CN(S(=O)(=O)[N-]c2nccnc2C(=O)[O-])CC(C)O1
ZINC63216501	CCc1ccc(S(=O)(=O)[N-]c2nccnc2C(=O)[O-])cc1
ZINC63216519	Cc1[nH]ncc1S(=O)(=O)[N-]c1nccnc1C(=O)[O-]
ZINC63850098	CC(C)(C)c1ncc([N-]S(=O)(=O)c2ccc(C(=O)[O-])cc2)cn1
ZINC66290402	Cc1cc([N-]S(=O)(=O)c2c(C)cccc2[N+](=O)[O-])ccc1C(=O)[O-]
ZINC66586133	CC(C)Oc1ccc(F)cc1[N-]S(=O)(=O)c1c[nH]c(C(=O)[O-])c1
ZINC04671357	O=C([O-])C1C2CCC(O2)C1C(=O)Nc1cccc(O)c1
ZINC04523121	Cc1cc(/N=N/c2ccc(C)c(S(=O)(=O)[O-])c2)c(C)cc1N
ZINC19484415	Cc1cc([N-]S(N)(=O)=O)ccc1Br
ZINC05730370	Cc1cc(-c2ccccc2)n(-c2nnc([S-])n2N)n1
ZINC20218261	CC1CCCC(NC(=O)NC(=O)/C=C/C(=O)[O-])C1C
ZINC20556604	Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2Cl)no1
ZINC20561166	Nc1cc(S(=O)(=O)[N-]c2cccnc2)ccc1Cl
ZINC21037704	Nc1ccc(Cl)c(S(=O)(=O)[N-]c2cccnc2)c1
ZINC21503586	Cc1cc(C)nc([N-]S(=O)(=O)c2cc(N)c(F)cc2F)n1
ZINC21505324	Nc1ccc2nc([N-]S(=O)(=O)c3cccnc3)sc2c1
ZINC21508171	Cc1cccc([N-]S(=O)(=O)c2ccc(Cl)c(N)c2)n1
ZINC22165616	Cc1cnc([N-]S(=O)(=O)c2cccc(N)c2)s1
ZINC35426190	O=C1NC(C(=O)Nc2ccc(C(=O)[O-])s2)CS1
ZINC36139021	N#Cc1c(F)cccc1[N-]S(=O)(=O)c1ccc(N)cc1
ZINC36333792	Cc1cc(N)cc(S(=O)(=O)[N-]c2cnccn2)c1
ZINC36742929	Nc1cc2c(cc1[N-]S(=O)(=O)C(F)F)OCO2
ZINC36743259	Nc1ccc(Cl)c([N-]S(=O)(=O)c2cccnc2)c1
ZINC37063574	Cc1cc([N-]S(=O)(=O)c2c(Cl)cc(N)cc2Cl)on1
ZINC37064009	Cc1cc(N)ccc1S(=O)(=O)[N-]c1nncs1
ZINC03198921	COC(=O)c1cc([O-])c(=O)c2c(O)c(O)ccc2c1
ZINC37909117	Nc1ccc([N-]S(=O)(=O)c2c(F)cc(F)cc2F)cn1
ZINC37928355	Cc1cc(C)nc([N-]S(=O)(=O)c2c(F)cc(N)cc2F)n1
ZINC37929206	Nc1ccc(Cl)cc1S(=O)(=O)[N-]c1nncs1
ZINC39465341	O=P1([O-])NN2CCc3cc(F)c(O)cc3C2CO1
ZINC39465373	O=P1([O-])NN2CCc3cc(Cl)c(O)cc3C2CO1
ZINC21951094	O=C([O-])C1CC(O)CN1C(=O)NCC12CC3CC(CC(C3)C1)C2
ZINC40572068	CC1CCCC(NC(=O)NC2(C(=O)[O-])CCCCC2)C1
ZINC40572112	CC1CCC(NC(=O)NC2CCCC(C)C2)(C(=O)[O-])CC1
ZINC40910411	CC(C)(NC(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)[O-]
ZINC41033786	Cc1ccc(C(=O)NC2(C(=O)[O-])CCCC(C)C2)cc1O
ZINC41033909	CC1CCCC(NC(=O)c2ccc(O)c(Cl)c2)(C(=O)[O-])C1
ZINC41034108	CC1CCCC(NC(=O)c2cc(Cl)c(Cl)[nH]2)(C(=O)[O-])C1
ZINC41035970	CC1CCC(NC(=O)NC2(C(=O)[O-])CCCC(C)C2)CC1
ZINC41036010	CC1CCCC(NC(=O)NC2CCCCC2C)(C(=O)[O-])C1
ZINC41043910	Cc1cnc([N-]S(=O)(=O)c2cc(N)cs2)s1
ZINC41068546	Cn1cc([N-]S(=O)(=O)c2cc(N)cs2)ccc1=O
ZINC42334847	Cc1nc(N)sc1SC1(C(=O)[O-])CCS(=O)(=O)CC1
ZINC29389337	O=C(Nc1n[n-]c(C(F)(F)F)n1)c1cc(Cl)c[nH]1
ZINC44551208	N#C/C(=C\c1ccc(N)cc1)c1nc2cccnc2[n-]1
ZINC45147340	Nc1cccc(F)c1S(=O)(=O)[N-]c1nccs1
ZINC50223241	Cc1[nH]c2ccccc2c1C/C([O-])=N/C1=NC(=O)CN1
ZINC50252618	Cc1ccc(N)c(C)c1[N-]S(=O)(=O)c1c(C)nn(C)c1C
ZINC50350894	Cc1ccc(N)cc1[N-]S(=O)(=O)C1CCS(=O)(=O)CC1
ZINC50350906	Cc1ccc([N-]S(=O)(=O)C2CCS(=O)(=O)CC2)cc1N
ZINC50352698	Nc1cccc(Cl)c1[N-]S(=O)(=O)C1CCOCC1
ZINC50633362	Nc1ncc(S(=O)(=O)[N-]c2cccc3c2CCCC3)cn1
ZINC51635777	N#Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2F)ccc1F
ZINC61685179	Nc1ccc(Br)cc1S(=O)(=O)[N-]c1ccon1
ZINC62912584	CC1(C(=O)[O-])CCN(C(=O)c2ccc(O)cc2O)C1
ZINC63009376	O=C([O-])c1ccc(NC(=O)N2CCCC2CO)c(F)c1
ZINC05344245	O=C([O-])c1cc(/C=C/C(=O)c2cc([N+](=O)[O-])ccc2[O-])c2c(c1)COCO2
ZINC10150179	O=C([O-])c1ccc(NC(=O)C2CC=CCC2C(=O)Nc2ccc(C(=O)[O-])cc2)cc1
ZINC11947872	O=C([O-])C1CCCCC1C(=O)Nc1cc([N+](=O)[O-])ccc1[O-]
ZINC13169313	O=C(CSc1ccc([N+](=O)[O-])cc1)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC13169531	CC(Sc1ccc([N+](=O)[O-])cc1)C(=O)Nc1cc(C(=O)[O-])cc(C(=O)[O-])c1
ZINC13300117	O=C([O-])CC(NS(=O)(=O)c1cc(C(=O)[O-])cs1)C(=O)[O-]
ZINC13392414	O=C([O-])c1ccc(C(=O)[O-])c(NC(=O)c2ccc(Cl)c(N3CCCC3=O)c2)c1
ZINC17059483	O=C([O-])CC(Nc1sc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)[O-]
ZINC15659263	COc1cc(/C=C2\C(=O)N(c3ccc(C)cc3)C(=O)N=C2[O-])cc([N+](=O)[O-])c1[O-]
ZINC17730048	Cc1cc([O-])c(C2=NCCSC(c3cc([N+](=O)[O-])ccc3[O-])C2)c(=O)o1
ZINC25501480	O=C([O-])C1CC(=O)N(c2ccc(S(=O)(=O)[N-]c3ccccc3[N+](=O)[O-])cc2)C1
ZINC25501489	O=C([O-])C1CC(=O)N(c2ccc(S(=O)(=O)[N-]c3ccc([N+](=O)[O-])cc3)cc2)C1
ZINC25501547	O=C([O-])c1ccc(NS(=O)(=O)c2ccc(N3CC(C(=O)[O-])CC3=O)cc2)cc1
ZINC32083853	O=C([O-])C1CC(=O)N(c2ccc(S(=O)(=O)[N-]c3cccc4cccnc34)cc2)C1
ZINC33638074	Cc1ccc2nc(-c3ccc(N)cc3S(=O)(=O)[O-])sc2c1S(=O)(=O)[O-]
