ZINC04018031	NC(=S)N/N=C/C(O)C(O)C(O)CO
ZINC44466679	[NH3+]C(CO)CC(CC([NH3+])CO)c1ccncc1
ZINC44467099	[NH3+]C(CO)Cc1ccsc1CC([NH3+])CO
ZINC44468449	[NH3+]C(CO)Cc1cccc(CC([NH3+])CO)c1O
ZINC44514402	CC(C(=O)NC(N)=O)[NH+]1CCC(C[NH3+])CC1
ZINC44699268	CC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC44699274	CC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
ZINC50090287	C[NH+](CC(=O)NC(N)=O)C1(C[NH3+])CCCC1
ZINC50092433	CCC(CC)(C[NH3+])[NH+](C)CC(=O)NC(N)=O
ZINC53071994	NC(=O)CC([NH3+])C(=O)NC1(CO)CCCC1
ZINC34254325	NC(=S)NNC1OC(CO)C(O)C(O)C1O
ZINC13756696	N/C([S-])=[NH+]/N=C/c1ncc(N)cc1N
ZINC16638658	CCCCCc1[nH+]c(N)c(C#N)c(N)c1N
ZINC61805601	NC(=O)CN(CC(N)=O)C(=O)C1CC1[NH3+]
ZINC61807115	CC(C[NH+](CC(N)=O)CC(N)=O)C(N)=S
ZINC61807123	CCC(CC(N)=S)[NH+](CC(N)=O)CC(N)=O
ZINC61807384	NC(=O)C[NH+](CC(N)=O)CC1(O)CC[NH2+]CC1
ZINC61808704	CCC(C)C([NH3+])C(=O)N(CC(N)=O)CC(N)=O
ZINC61808766	CCC(C)C([NH3+])C(=O)N(CC(N)=O)CC(N)=O
ZINC13757287	NC(=O)NNC(=N\O)/C(=N/O)NNC(N)=O
ZINC04937018	CCOc1ccc2[nH+]c(NCCNC(=O)Nc3c(C)cccc3C)c(C#N)cc2c1
ZINC05240792	CCC[NH+]1CCc2c(sc(NC(=O)c3ccccc3SCC)c2C(N)=O)C1
ZINC06822341	CCOc1ccc(C2CCC[NH+]2Cc2nc(N)nc(Nc3ccccc3C)n2)cc1
ZINC06822346	CCOc1ccc(C2CCC[NH+]2Cc2nc(N)nc(Nc3ccccc3C)n2)cc1
ZINC08253735	CCOc1cc(C[NH2+]Cc2cccs2)cc(Br)c1OCC(N)=O
ZINC09223058	CCOc1ccc(C2CCC[NH+]2Cc2nc(N)nc(Nc3ccc(C)cc3)n2)cc1
ZINC11863697	C[NH+](C)CCOc1ccc(Cl)cc1CCNS(=O)(=O)c1ccc(N)cc1
ZINC32791558	CC([NH2+]C(C)c1ccc(Cl)c(Cl)c1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O
ZINC32791560	CC([NH2+]C(C)c1ccc(Cl)c(Cl)c1)C(=O)c1c(N)n(C)c(=O)n(C)c1=O
ZINC34909544	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[NH3+])C1c1ccccc1C(F)(F)F
ZINC36299126	COc1c(Br)cc(Cl)cc1S(=O)(=O)NCC([NH3+])CC(C)C
ZINC37054688	C[NH+](C)CCNS(=O)(=O)c1c(N)cc(Br)cc1Br
ZINC38576871	O=C(c1ccccc1)N1NC(c2cccnc2)NC1[NH2+]CC1=CC2=CC=NC2C=C1
ZINC39531154	[O-]C1CN(C(C[NH2+]Cc2ccccc2)c2ccc(Cc3ccccc3)cc2)CC[NH2+]1
ZINC39655901	Cc1ccc2[nH]cc(CCNC(=O)C3CN(C(=O)c4cccnc4Cl)CC34CC[NH2+]CC4)c2c1
ZINC39655923	Cc1ccc2[nH]cc(CCNC(=O)C3CN(C(=O)c4cccc(Cl)c4)CC34CC[NH2+]CC4)c2c1
ZINC39676372	Cc1cccc(C(=O)N2CC(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)C3(CC[NH2+]CC3)C2)c1
ZINC39684103	Cc1cccc2c(CCNC(=O)C3CN(C(=O)c4ccc(Cl)cc4)CC34CC[NH2+]CC4)c[nH]c12
ZINC44552077	CC1(C)CC2CC(C)(CN2c2cncc(/C(N)=[NH+]\NC(=S)N3CCCC3)n2)C1
ZINC45314651	CCOc1ccc(Nc2c(CC)c(NC3CCC[NH2+]C3)c(C#N)c3ccnn23)cc1
ZINC45337307	COc1cc(-c2nc(C(C)(C)C[NH3+])[nH]c2-c2ccncc2)ccc1Br
ZINC08531615	CC([NH2+]CC(=O)NC(=O)Nc1ccc2c(c1)OCO2)c1ccc(Cl)cc1Cl
ZINC49798416	Cc1c(C(=O)NNC(=O)NCC(c2cccc(F)c2)[NH+](C)C)oc2ccccc12
ZINC49798417	Cc1c(C(=O)NNC(=O)NCC(c2cccc(F)c2)[NH+](C)C)oc2ccccc12
ZINC53073733	COc1ccc2[nH]cc(C3=CC[NH+](C(C)C(=O)NC(=O)NCC(C)C)CC3)c2c1
ZINC17082258	CN(C)/C=C(C(\N)=[NH+]\N=c1\[nH]c2ccccc2s1)/S(=O)(=O)c1ccccc1
ZINC56184486	CC([NH2+]C(C)c1ccc(OCC(=O)NC2CC2)cc1)C(=O)Nc1ccccc1F
ZINC57297705	CCCNC(=O)CCNC(=O)NCC(c1c(F)cccc1Cl)[NH+]1CCCC1
ZINC58452340	Cc1ccccc1C[NH+]1CCN(C(C)c2nc(N)nc(Nc3ccccc3)n2)CC1
ZINC61882502	CC[NH+](CC)CC(C)NS(=O)(=O)c1cc(Cl)cc(N)c1Br
ZINC61882504	CC[NH+](CC)CC(C)NS(=O)(=O)c1cc(Cl)cc(N)c1Br
ZINC63127498	CNC1=C(C(=O)NCC(C2=c3ccccc3=[NH+]C2)c2cccs2)C(C)NS1
ZINC63271544	O=C(CCNC(=O)N1CCC2=c3ccccc3=[NH+]C2C1)NCC(O)c1ccccc1
ZINC63375938	CCCCN1C(=S)NC(=O)C(C2NCCC3=c4cc(OC)ccc4=[NH+]C32)C1O
ZINC63633456	CC1CC(=O)N2C(NC(NCCC3=c4ccccc4=[NH+]C3)=NC2c2ccccc2)N1
ZINC63633461	CC1CC(=O)N2C(NC(NCCC3=c4ccccc4=[NH+]C3)=NC2c2ccccc2)N1
ZINC63686727	O=C(CC1CSC(NC(=O)c2ccco2)N1)NCCC1=c2ccccc2=[NH+]C1
ZINC63686729	O=C(CC1CSC(NC(=O)c2ccco2)N1)NCCC1=c2ccccc2=[NH+]C1
ZINC50612130	CC(C)(C(=O)NNC(=O)NCCCn1cc[nH+]c1)c1ccc(Cl)c(Cl)c1
ZINC54476657	CCCNC(=O)c1ccc(NC(=O)NCc2cn3cc(C)ccc3[nH+]2)cc1Cl
ZINC66149773	CCC(C)[NH+](C)CCNC(=O)CCNC(=O)Nc1ccc(Br)cc1
ZINC66149774	CCC(C)[NH+](C)CCNC(=O)CCNC(=O)Nc1ccc(Br)cc1
ZINC66187334	CCC(C)[NH+](C)CCNC(=O)NCCC(=O)Nc1ccc(Br)cc1
ZINC66924859	Cc1ccccc1C[NH+]1CCC(NC(=O)NNC(=O)Cc2ccccc2F)CC1
ZINC66992937	Oc1ccccc1C[NH2+]CC(O)COc1ccc(I)cc1
ZINC66992962	Oc1cccc(C[NH2+]CC(O)COc2ccc(I)cc2)c1
ZINC67251449	COc1cc(CNC(C)C[NH+]2CC(C)CC(C)C2)cc(Cl)c1OCC(N)=O
ZINC67486171	CC(C)(CO)[NH2+]CC(O)COC(c1ccc(Cl)cc1)c1ccc(Cl)cc1
ZINC67538587	CC1CC[NH+](CC(O)CNC(=O)Nc2cc3c(cc2Cl)OCCCO3)CC1
ZINC67544516	Cc1cc(Br)cc(C)c1NC(=O)NCC(O)C[NH+]1CCC(C)CC1
ZINC06718675	Cc1n[nH]c2cnc(-c3cncc(OCC([NH3+])Cc4cccc(C(F)(F)F)c4)c3)cc12
ZINC03128078	Cc1snc(SCC(=O)NNC(=[NH2+])COc2ccc(Cl)cc2Cl)c1C#N
ZINC08942654	C[NH+](CC(=O)Nc1ccccc1C(F)(F)F)CC(=O)C(C#N)=C1Nc2ccccc2N1
ZINC15006983	O=C1NC(=O)C(Cc2ccccc2)(C2CC[NH+](Cc3c[nH]nc3-c3ccccc3)CC2)N1
ZINC15006985	O=C1NC(=O)C(Cc2ccccc2)(C2CC[NH+](Cc3c[nH]nc3-c3ccccc3)CC2)N1
ZINC15072261	CCOc1ccc(C[NH+]2CCNC(=O)C2CC(=O)NCCc2c[nH]c3ccccc23)cc1
ZINC20206653	CCCCc1[nH]cc(CN2CCC(C3(Cc4ccccc4F)NC(=O)NC3=O)CC2)[nH+]1
ZINC20206657	CCCCc1[nH]cc(CN2CCC(C3(Cc4ccccc4F)NC(=O)NC3=O)CC2)[nH+]1
ZINC20392065	CC1(C)Cc2c(c(N3CCCC3)nc3sc4c(NCCCC[NH3+])ncnc4c23)CO1
ZINC24375762	CCCCNC(=O)NC(=O)C(C)[NH+](C)CC(=O)Nc1ccc(Br)cc1C
ZINC24375761	CCCCNC(=O)NC(=O)C(C)[NH+](C)CC(=O)Nc1ccc(Br)cc1C
ZINC29051672	C[NH+](C)C(CNC(=O)C1=NN(c2ccc(F)cc2)C(C(N)=O)C1)c1ccccc1Cl
ZINC29051677	C[NH+](C)C(CNC(=O)C1=NN(c2ccc(F)cc2)C(C(N)=O)C1)c1ccccc1Cl
ZINC29051682	C[NH+](C)C(CNC(=O)C1=NN(c2ccc(F)cc2)C(C(N)=O)C1)c1ccccc1Cl
ZINC29051689	C[NH+](C)C(CNC(=O)C1=NN(c2ccc(F)cc2)C(C(N)=O)C1)c1ccccc1Cl
ZINC37055407	CC[NH+](CC)CCNS(=O)(=O)c1c(Br)cc(N)cc1Br
ZINC09126378	CC(C(=O)NCC(=O)Nc1ccc(F)c(F)c1F)[NH+]1CCN(c2ccc(O)cc2)CC1
ZINC39024370	CC[NH+]1C(SCC(=O)Nc2nnc(-c3ccccc3)s2)NNC1c1ccccc1
ZINC39024371	CC[NH+]1C(SCC(=O)Nc2nnc(-c3ccccc3)s2)NNC1c1ccccc1
ZINC39479188	COc1ccc(C2NN(c3ccccc3)CC2C[NH2+]CCSc2cnn[nH]2)c(F)c1
ZINC39479190	COc1ccc(C2NN(c3ccccc3)CC2C[NH2+]CCSc2cnn[nH]2)c(F)c1
ZINC39479191	COc1ccc(C2NN(c3ccccc3)CC2C[NH2+]CCSc2cnn[nH]2)c(F)c1
ZINC39631598	Cc1ccc(C(=O)N2CC(C(=O)NC(C)CCCC(C)(C)O)C3(CC[NH2+]CC3)C2)cc1F
ZINC39655698	Cc1ccsc1C(=O)N1CC(C(=O)NCCNc2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39685773	CC(C)C(NC(=O)C1CN(C(=O)c2cccc(Cl)c2)CC12CC[NH2+]CC2)C(=O)NC(C)(C)C
ZINC39965209	Cc1c(C(N)=O)sc(NC(=O)CN2CC[NH+](Cc3cccc(Br)c3)CC2)c1C#N
ZINC39965279	Cc1ccc(C[NH+]2CCN(CC(=O)Nc3sc4c(c3C(N)=O)CCC(C)C4)CC2)o1
ZINC40105589	Cc1occc1C(=O)Nc1cc(NC(=O)NCC(c2cccs2)[NH+](C)C)ccc1F
ZINC40105590	Cc1occc1C(=O)Nc1cc(NC(=O)NCC(c2cccs2)[NH+](C)C)ccc1F
ZINC40459098	OC(C[NH2+]CC(c1ccccc1Cl)c1c[nH]c2ccccc12)COCC1CCCO1
ZINC40459101	OC(C[NH2+]CC(c1ccccc1Cl)c1c[nH]c2ccccc12)COCC1CCCO1
ZINC40459103	OC(C[NH2+]CC(c1ccccc1Cl)c1c[nH]c2ccccc12)COCC1CCCO1
ZINC40459105	OC(C[NH2+]CC(c1ccccc1Cl)c1c[nH]c2ccccc12)COCC1CCCO1
ZINC45665370	C[NH+](C)CCCCNS(=O)(=O)c1c(N)cc(Br)cc1Br
ZINC49554807	CC(CC[NH+](C)C)NS(=O)(=O)c1c(Br)cc(N)cc1Br
ZINC54111676	CC(C)[NH+](C)CCNS(=O)(=O)c1c(Br)cc(N)cc1Br
ZINC54111677	CC(C)[NH+](C)CCNS(=O)(=O)c1c(N)cc(Br)cc1Br
ZINC59806969	COc1cc2c(cc1NC(=O)CNc1ccccc1[NH+]1CCC(O)CC1)oc1ccccc12
ZINC14359640	Cc1ccc(C[NH2+]CC(=O)Nc2cccc(S(=O)(=O)/N=C3/CCCCCN3)c2)cc1
ZINC63279481	O=C(CNC(=O)c1ccc2c(c1)C(c1ccccc1)ON2)NCCC1=c2ccccc2=[NH+]C1
ZINC63279482	O=C(CNC(=O)c1ccc2c(c1)C(c1ccccc1)ON2)NCCC1=c2ccccc2=[NH+]C1
ZINC63282160	O=C(/C=C1/CSC(NS(=O)(=O)c2ccc(Cl)cc2)N1)NCCC1C=c2ccccc2=[NH+]1
ZINC63557206	CC(C)CC1NNC(NC(=O)C2CC(=O)N(CCC3=c4cc(F)ccc4=[NH+]C3)C2)S1
ZINC63557207	CC(C)CC1NNC(NC(=O)C2CC(=O)N(CCC3=c4cc(F)ccc4=[NH+]C3)C2)S1
ZINC63557208	CC(C)CC1NNC(NC(=O)C2CC(=O)N(CCC3=c4cc(F)ccc4=[NH+]C3)C2)S1
ZINC63557209	CC(C)CC1NNC(NC(=O)C2CC(=O)N(CCC3=c4cc(F)ccc4=[NH+]C3)C2)S1
ZINC63782308	O=C(NCCC1=c2ccccc2=[NH+]C1)C1CCC(CN2NNc3ccccc3C2=O)CC1
ZINC63941161	Cc1ccc2c(c1)=C(CCN1CC(C(=O)NC3NNC(C(C)(C)C)S3)CC1=O)C[NH+]=2
ZINC64066829	CCc1[nH]c(CN2CCC(C(=O)Nc3cccc(C4NN=C(C)S4)c3)CC2)c(C)[nH+]1
ZINC64491147	CC(=O)NC1Nc2ccc(CC(=O)NCCC3=c4cc(Cl)ccc4=[NH+]C3)cc2S1
ZINC04808233	OC(C[NH+]1CCCCC1)c1ccc(CCc2ccc(C(O)C[NH+]3CCCCC3)cc2)cc1
ZINC04808237	OC(C[NH+]1CCCCC1)c1ccc(CCc2ccc(C(O)C[NH+]3CCCCC3)cc2)cc1
ZINC12459492	OC(COc1ccccc1C[NH2+]Cc1ccc(C(F)(F)F)cc1)C[NH+]1CCSCC1
ZINC19743089	COc1ccc(C[NH2+]Cc2ccc(F)c(F)c2)cc1OCC(O)CN1CC[NH+](C)CC1
ZINC20464704	COCC1CCC[NH+]1C1C(C[NH+](Cc2cccc(Cl)c2)Cc2cccc(Cl)c2)OC(CO)C1O
ZINC20503902	O=C(NCC1CC2CC[NH+]1CC2CN1CCN(c2cccc[nH+]2)CC1)Nc1ccsc1
ZINC21264188	COc1ccccc1CN(C(=S)NC1CC(C)(C)[NH2+]C(C)(C)C1)C1CC[NH+](C)CC1
ZINC23214365	CCn1nc(C)c(C[NH2+]Cc2ccccc2OCC(O)C[NH+]2CCc3ccccc3C2)c1C
ZINC35852331	CCOc1ccccc1NC(=O)Nc1ccc(N2CC[NH+](Cc3ccsc3)CC2)[nH+]c1
ZINC12846132	O=C(NCCCn1cc[nH+]c1)C1=CNN2C1=[NH+]C(c1ccc(F)cc1)CC2C(F)(F)F
ZINC39029726	O=C(CCCCCC(=O)N/N=C/C1=c2ccccc2=[NH+]C1)N/N=C/C1=c2ccccc2=[NH+]C1
ZINC39627898	O=C(NCC[NH+]1CCCCC1)C1CN(C(=O)c2ccc(C(F)(F)F)c(F)c2)CC12CC[NH2+]CC2
ZINC39627951	Cc1onc(-c2ccccc2Cl)c1C(=O)N1CC(C(=O)NCC[NH+]2CCCCC2)C2(CC[NH2+]CC2)C1
ZINC39631010	C[NH+](C)CC(C)(C)CNC(=O)C1CN(C(=O)c2ccc(-c3ccccc3F)o2)CC12CC[NH2+]CC2
ZINC39663919	CCC(C)CC(=O)N1CC(C(=O)NCC(c2ccc(OC)cc2)[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39674857	Cc1ccc(CC(=O)N2CC(C(=O)NCCC3=c4cc(C#N)ccc4=[NH+]C3C)C3(CC[NH2+]CC3)C2)cc1
ZINC39674859	Cc1ccc(CC(=O)N2CC(C(=O)NCCC3=c4cc(C#N)ccc4=[NH+]C3C)C3(CC[NH2+]CC3)C2)cc1
ZINC39675730	CCOc1ccccc1C(=O)N1CC(C(=O)NCC(c2ccccc2)[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39675732	CCOc1ccccc1C(=O)N1CC(C(=O)NCC(c2ccccc2)[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39683509	CCCC[NH+]1CCC(CNC(=O)C2CN(C(=O)c3ccc(C)c(F)c3F)CC23CC[NH2+]CC3)CC1
ZINC39687503	CCC(C)CC(=O)N1CC(C(=O)NC2CCN(c3cccc[nH+]3)CC2)C2(CC[NH2+]CC2)C1
ZINC39687505	CCC(C)CC(=O)N1CC(C(=O)NC2CCN(c3cccc[nH+]3)CC2)C2(CC[NH2+]CC2)C1
ZINC43527490	O=C(NCC1CC2CC[NH+]1CC2C[NH+]1CCN(c2ncccn2)CC1)Nc1ccsc1
ZINC52550564	NC(=O)C(C1CCN(C(=O)/C=C/c2cc(F)c(F)c(F)c2)CC1)[NH+]1CCC(C2=c3cccnc3=[NH+]C2)CC1
ZINC14967275	OC(COc1cccc(C[NH2+]CCc2ccc(F)cc2)c1)C[NH+]1CCc2ccccc2C1
ZINC39778870	CC[NH+]1CCC(NC(=O)CSC2NN=C(C3=c4ccccc4=[NH+]C3)N2CC2CCCO2)CC1
ZINC63122568	CC(=O)NC(CC1=c2ccccc2=[NH+]C1)C(=O)Nc1nc(C[NH+]2CCCCCC2)cs1
ZINC63234697	OC(C[NH2+]CC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl)COCc1ccc2c(c1)OCO2
ZINC63303353	CCOC(=O)C1SC(NC(=O)CSC2[NH+]=c3ccccc3=[NH+]2)NC1c1ccccc1
ZINC63316130	COc1cc(C[NH2+]CCC2=c3ccccc3=[NH+]C2)ccc1OC1N=NNN1c1ccccc1
ZINC63514612	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1=CC=CN3CC(c4ccccc4)NC13)[NH+]=2
ZINC63514613	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1=CC=CN3CC(c4ccccc4)NC13)[NH+]=2
ZINC63515323	CCOC(=O)C1=C(CSC2[NH+]=c3cccnc3=[NH+]2)NC(=O)NC1c1cc(C)ccc1C
ZINC63547157	COc1ccc2c(c1)=C(CCNC(=O)C1C=C3[NH+]=C(c4ccccc4)C=C(C(F)(F)F)N3N1)C[NH+]=2
ZINC63663793	CC(NC(=O)C(=O)NCCC1=c2ccccc2=[NH+]C1)C(c1cccs1)N1CC[NH+](C)CC1
ZINC63752100	CCc1ccc(NC(=O)Nc2nnc(SCC3[NH+]=c4ccccc4=[NH+]C3=O)s2)cc1
ZINC63807613	C[NH+](C)C(CNC(=O)C(CC1=c2ccccc2=[NH+]C1)NC(=O)c1ccc(F)cc1)c1cccs1
ZINC64023760	CCOc1ccccc1C[NH+]1CCNC(=O)C1CC(=O)NCC1C=c2cc(F)ccc2=[NH+]1
ZINC64044550	CC(NC(=O)c1ccccc1NS(=O)(=O)c1ccc2c(c1)=[NH+]C(=O)[NH+]=2)c1ccccc1
ZINC64044551	CC(NC(=O)c1ccccc1NS(=O)(=O)c1ccc2c(c1)=[NH+]C(=O)[NH+]=2)c1ccccc1
ZINC64061232	COc1ccc(C[NH+]2CCNC(=O)C2CC(=O)NCCC2=c3ccccc3=[NH+]C2)cc1C
ZINC64061233	COc1ccc(C[NH+]2CCNC(=O)C2CC(=O)NCCC2=c3ccccc3=[NH+]C2)cc1C
ZINC32565347	Cc1c[nH+]c(CN(C)C(=O)CC2C(=O)NCC[NH+]2Cc2ccc(-c3ccccc3)cc2)[nH]1
ZINC39485900	COc1ccc(C[NH+]2CCNC(=O)C2CC(=O)NCCc2cn3ccccc3[nH+]2)cc1C
ZINC64491434	CCN1C(=O)C([NH+]2CCC(C(=O)NCCC3=c4cc(Cl)ccc4=[NH+]C3)CC2)Nc2ccccc21
ZINC64502349	CCN1C(=O)C([NH+]2CCC(C(=O)NCCC3=c4ccccc4=[NH+]C3)CC2)Nc2cccnc21
ZINC64713659	O=C(CN1CC[NH+](CC2Nc3ccccc3S2)CC1)NCCC1=c2ccccc2=[NH+]C1
ZINC64713662	O=C(CN1CC[NH+](CC2Nc3ccccc3S2)CC1)NCCC1=c2ccccc2=[NH+]C1
ZINC64746069	CCC[NH+]1CCN(c2nn3c(NC4CCCC4)c(-c4ccc(O)c(OC)c4)[nH+]c3s2)CC1
ZINC65256362	O=C(NCC[NH+]1CCc2ccccc2C1)c1cccc(N2CC[NH2+]C(c3ccccc3)C2)n1
ZINC05499407	CC[NH+](CC)CCn1[nH]c2c3ccc(=O)cc3sc3c(NCC[NH3+])ccc1c32
ZINC05883419	CC(=O)OC1(C)CC(O)C2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC08952338	CC(=O)OC1(C)CC(O)C2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC09975196	Cc1cccc(/C=N/Nc2nc3c(N)ncnc3n2C2OC(CO)C(O)C2O)n1
ZINC01591116	O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12
ZINC13660242	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C=CC2(O)CO
ZINC14442632	O=C1c2c(O)cccc2C(O)(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21
ZINC15259616	O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12
ZINC03067016	O=C1NC(=S)NC(=O)C1=CNc1ccccc1NC=C1C(=O)NC(=S)NC1=O
ZINC16939547	O=c1c2ncn(C3CC(O)C(O)C(CO)O3)c2ncn1C1CC(O)C(O)C(CO)O1
ZINC17021318	Oc1ccc(C2Oc3cc(OC4OCC(O)C(O)C4O)cc(O)c3CC2O)cc1O
ZINC20611638	O=C1NC(=O)N(c2ccc(F)cc2)C(=O)/C1=C\NC1C(O)OC(CO)C(O)C1O
ZINC31163175	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(CO)=CCC12O
ZINC33709097	O=c1[nH]cnc2c1nc(N1CCN(CC(O)CO)CC1)n2C1OC(CO)C(O)C1O
ZINC35271224	O=C1c2c(O)cccc2C(O)(C2OC(CO)C(O)C(O)C2O)c2cc(CO)cc(O)c21
ZINC35423049	O=C1NC(=O)N(c2ccc(F)cc2)C(=O)/C1=C\NC1C(O)OC(CO)C(O)C1O
ZINC35456726	O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c21
ZINC35780712	CC(=O)OC1(C)CC(O)C2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC36556657	Nc1c(Br)cc(NC2OC(CO)C(O)C(O)C2O)cc1Br
ZINC36378730	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)(O)CCC12O
ZINC36378661	CC1CC(=O)CC(C)(C)C1(O)/C=C/C(CO)OC1OC(CO)C(O)C(O)C1O
ZINC08952339	CC(=O)OC1(C)CC(O)C2(O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12
ZINC04404499	O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12
ZINC04102138	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1(O)CC(O)C2(C)O
ZINC26745304	Oc1ccc(C2Oc3cc(OC4OCC(O)C(O)C4O)cc(O)c3CC2O)cc1O
ZINC35456939	CC1CC(O)CC(C)(C)C1(O)/C=C/C(CO)OC1OC(CO)C(O)C(O)C1O
ZINC35456930	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C=CC2(O)CO
ZINC35456913	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(CO)=CC(O)C12
ZINC34235769	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)(O)CC(O)C12O
ZINC35423044	O=C1NC(=O)N(c2ccc(F)cc2)C(=O)/C1=C\NC1C(O)OC(CO)C(O)C1O
ZINC35423047	O=C1NC(=O)N(c2ccc(F)cc2)C(=O)/C1=C\NC1C(O)OC(CO)C(O)C1O
ZINC08444443	CSc1c(C#N)c(N)nc2c(/N=N/c3ccc(S(N)(=O)=O)cc3)c(N)nn12
ZINC38580929	Nc1nc2c(nc(SCC[NH3+])n2C2OC3COP(=O)([O-])OC3C2O)c(=O)[nH]1
ZINC39224154	Nc1[nH]c(=O)[nH]c(=O)c1C1C(c2ccc(C(F)(F)F)cc2)=NC2NC(=O)NC(=O)C21
ZINC37538196	CC1(C)CCC(OC2OC(CO)C(O)C(O)C2O)C2(C)C1CCC(C)(O)C2CO
ZINC42854005	Nc1nc2c(nc(SCC[NH3+])n2C2OC3COP(=O)([O-])OC3C2O)c(=O)[nH]1
ZINC43328762	CNc1ccc(O)c2c1CC1CC3C([NH+](C)C)C(=O)C(C(N)=O)=C([O-])C3(O)C(=O)C1C2=O
ZINC43465442	O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12
