CHEMBL218068	O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1
CHEMBL397667	Cc1cc(Br)cc2[nH]c(-c3c(NC(CO)Cc4ccccc4)cc[nH]c3=O)nc12
CHEMBL1208963	CC(Oc1cc(-n2cnc3cc(-c4cc[nH+]c(NCCO)c4)ccc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1208963	CC(Oc1cc(-n2cnc3cc(-c4ccnc(NCCO)c4)ccc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1209674	CC(Oc1cc(-n2cnc3cc(-c4ccncc4)ccc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL258502	COc1ccc(CCCOC(Cn2cc[nH+]c2)c2ccc(OC)cc2)cc1
CHEMBL258502	COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
CHEMBL538632	CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(-c3cccnc3)cc2)c2ccc(OCc3ccccn3)cc12
CHEMBL1109	Nc1ccc(S(=O)(=O)[N-]c2ccnn2-c2ccccc2)cc1
CHEMBL1109	Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
CHEMBL270996	Cc1cc2c(F)c(Oc3ncnn4cc(OCC(C)OC(=O)CN)c(C)c34)ccc2[nH]1
CHEMBL270996	Cc1cc2c(F)c(Oc3ncnn4cc(OCC(C)OC(=O)C[NH3+])c(C)c34)ccc2[nH]1
CHEMBL1092931	Cc1ccc(OC(=O)N(CC(=O)[O-])Cc2cccc(OCc3nc(-c4cccc(Cl)c4)oc3C)c2)cc1
CHEMBL151280	CCCCOc1ccc(-c2ccncc2)cc1
CHEMBL553174	Cc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)[O-])c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)cn1
CHEMBL321051	CCCCCCc1ccc(N/C=N/O)cc1
CHEMBL475378	CCC(OCc1ccccc1)C(NC(=O)c1cc2ccccc2cc1NC(=O)Nc1c(C)cc(C)cc1C)C(=O)[O-]
CHEMBL1223034	CC(C)(C)c1nnc(-c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Br)cc3)c2Cn2cncn2)s1
CHEMBL485185	O=C(CCc1ccc2c(ccc3[nH]ncc32)c1)Nc1ccccc1C(=O)[O-]
CHEMBL485185	O=C(CCc1ccc2c(ccc3n[nH]cc32)c1)Nc1ccccc1C(=O)[O-]
CHEMBL586818	CC(C)(C)C(=O)C(Cc1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1
CHEMBL456350	CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cccc(OC)c3)c2)n1
CHEMBL447822	Cc1cccc(C)c1CNc1cc(-c2ccccn2)cn2c(C)c(C)[nH+]c12
CHEMBL447822	Cc1cccc(C)c1CNc1cc(-c2ccccn2)cn2c(C)c(C)nc12
CHEMBL453246	Cc1cccc(C)c1CNc1cc(-n2cccn2)cn2c(C)c(C)[nH+]c12
CHEMBL453246	Cc1cccc(C)c1CNc1cc(-n2cccn2)cn2c(C)c(C)nc12
CHEMBL1215621	COC(=O)C1=C(Cn2cncn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL1215620	COC(=O)C1=C(Cn2cccn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl
CHEMBL372357	O=c1c(C2=NS(=O)(=O)c3ccccc3[N-]2)c([O-])n(CCC2CC2)c2ccc(F)cc12
CHEMBL252469	CC(C)(c1cc(-c2cccc(-c3cccc(S(C)(=O)=O)c3)c2)c2ncccc2c1)S(C)(=O)=O
CHEMBL402953	CC(C)(c1cc(-c2cccc(-c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O
CHEMBL403977	CC(C)(c1cc(-c2cccc(-c3ccncc3)c2)c2ncccc2c1)S(C)(=O)=O
CHEMBL472140	Cc1cc(C)c(NC(=O)Nc2cc3ccccc3cc2C(=O)NC(C(=O)[O-])C2CCCCC2)c(C)c1
CHEMBL593490	Cc1n[nH]c2ccc(-c3cc(OCC([NH3+])Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)cc12
CHEMBL466496	CC(/N=C1\C(=O)C(=O)C1Nc1cc[nH+]cc1)c1ccccc1
CHEMBL466496	CC(/N=C1/C(=O)C(=O)C1Nc1cc[nH+]cc1)c1ccccc1
CHEMBL466496	CC(/N=C1/C(=O)C(=O)C1Nc1ccncc1)c1ccccc1
CHEMBL466496	CC(/N=C1\C(=O)C(=O)C1Nc1ccncc1)c1ccccc1
CHEMBL466496	CC(/N=C1/C(=O)C(=O)C1N=c1cc[nH]cc1)c1ccccc1
CHEMBL466496	CC(/N=C1\C(=O)C(=O)C1N=c1cc[nH]cc1)c1ccccc1
CHEMBL225481	CCc1oc2ccccc2c1C(=O)c1cc(C)c(O)c(C)c1
CHEMBL235256	O=C(CCc1ccc(-c2ccc(O)cc2Cl)cc1)Nc1ccccc1C(=O)[O-]
CHEMBL397600	CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(NC(C)C(=O)[O-])c2C#N)cc1
CHEMBL178711	c1cncc(-c2ccc(C[NH2+]Cc3ccc(-c4cccnc4)s3)s2)c1
CHEMBL372575	Cc1noc(/C(=C/c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)n1
CHEMBL539650	CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(-c3nccs3)cc2)c2ccc(OCc3ccccn3)cc12
CHEMBL1085745	O=C(NCc1ccccc1OC(F)(F)F)N1CCC(c2ccncc2)C1
CHEMBL1085745	O=C(NCc1ccccc1OC(F)(F)F)N1CCC(c2cc[nH+]cc2)C1
CHEMBL113227	c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1
CHEMBL1085746	O=C(NCc1ccc(Cl)cc1Cl)N1CCC(Oc2cc[nH+]cc2)CC1
CHEMBL1085746	O=C(NCc1ccc(Cl)cc1Cl)N1CCC(Oc2ccncc2)CC1
CHEMBL475794	Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1cncc(Cl)c1
CHEMBL1085744	O=C(NCc1ccccc1OC(F)(F)F)N1CCC(Oc2cc[nH+]cc2)CC1
CHEMBL1085744	O=C(NCc1ccccc1OC(F)(F)F)N1CCC(Oc2ccncc2)CC1
