ZINC03839681	CC(=O)NC1C=C(C(=O)NC(C)C(N)=O)CC(O)C1O
ZINC40638482	Cn1cc[nH+]c1CCNC(=O)c1cc(N)cc(N)c1
ZINC40675193	CC(C)([NH2+]CC(=O)NC(N)=O)C(N)=O
ZINC41055954	CCN(CC[NH3+])C(C)C(=O)NC(N)=O
ZINC41653980	CCNC(=O)N1CCN(C(=O)C([NH3+])CC(N)=O)CC1
ZINC41716283	CC([NH3+])c1ccc(NC(=O)NCC(=O)NC2CC2)cc1
ZINC42563118	CNC(=O)C(C)[NH2+]CC(=O)NC(N)=O
ZINC48575758	CNC(=O)NC(=O)C[NH+]1CCCC(CNC(N)=O)C1
ZINC48926029	Cc1nn(C)c(C)c1/C(NC(=O)OC(C)(C)C)=C(/N)[NH3+]
ZINC50465485	NS(=O)(=O)CCCNC(=O)C1CC1[NH3+]
ZINC51838452	CC(O)CN(C)C(=O)C([NH3+])CC(N)=O
ZINC53127966	CC1CCCC(CO)(NC(=O)CNC(=O)C[NH3+])C1
ZINC54457969	C[NH+]1CCC(NC(=O)NC2CC2)(/C(N)=N/O)CC1
ZINC61805607	NC(=O)CN(CC(N)=O)C(=O)C1CC1[NH3+]
ZINC61808707	CC([NH3+])C(=O)N(CC(N)=O)CC(N)=O
ZINC61842988	CC(C(=O)NC(N)=O)n1cnc(C[NH3+])n1
ZINC61872054	NS(=O)(=O)CCNC(=O)c1ccc(C#CC[NH3+])cn1
ZINC62812885	NC(=O)CCCNC(=O)C1C[NH2+]CCN1
ZINC62813720	CC1CNC(C(=O)Nc2ccc(S(N)(=O)=O)cc2)C[NH2+]1
ZINC62815373	CC1CNC(C(=O)NC(C)(C)C(N)=O)C[NH2+]1
ZINC63086947	CC(CC[NH3+])N(C)CC(=O)NC(N)=O
ZINC63086948	CC(CC[NH3+])N(C)CC(=O)NC(N)=O
ZINC04660953	NNC(=O)c1c(N)n[nH]c1-c1ccc(F)cc1
ZINC04064904	CC(C)C(NC(=O)Nc1ccc(C(=O)[O-])cc1)C(=O)[O-]
ZINC04551658	O=C([O-])c1cc(NC(=O)c2ccc(N3C(=O)CCC3=O)cc2)cc(C(=O)[O-])c1
ZINC04755326	O=C([O-])/C=C\C(=O)Nc1ccc(OCC(=O)[O-])cc1
ZINC05500888	O=C([O-])CCC(NC(=O)NCCCl)C(=O)[O-]
ZINC05663194	CC(=O)NC(CC(=O)[O-])C(=O)NCCCC(=O)[O-]
ZINC13026685	O=C([O-])CCCCCNS(=O)(=O)c1ccc(F)c(C(=O)[O-])c1
ZINC13078440	CC(C)CC(NS(=O)(=O)c1ccc(CCC(=O)[O-])cc1)C(=O)[O-]
ZINC13300341	NC(=O)CCC(NS(=O)(=O)c1cc(C(=O)[O-])cs1)C(=O)[O-]
ZINC13301101	O=C([O-])CCNS(=O)(=O)c1cc(C(=O)[O-])cs1
ZINC16322533	CC(O)C(NC(=O)C1C2C=CC(C2)C1C(=O)[O-])C(=O)[O-]
ZINC16902368	O=C([O-])/C=C/C(=O)Nc1nc(CC(=O)[O-])cs1
ZINC13143490	C/C([O-])=N/S(=O)(=O)c1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)[O-])cc1
ZINC12379549	C/C([O-])=N/S(=O)(=O)c1ccc(NC(=O)C2CC(Cl)=CCC2C(=O)[O-])cc1
ZINC27501361	COc1cc(/C=N/Nc2nnn[n-]2)cc([N+](=O)[O-])c1[O-]
ZINC37388012	Cc1nc(C)c(C(=O)NC(CCC(=O)[O-])C(=O)[O-])s1
ZINC37396484	Cc1ccc(S(=O)(=O)NC(CCC(=O)[O-])C(=O)[O-])c(Br)c1
ZINC37473998	O=C([O-])CCC(NS(=O)(=O)C(F)F)C(=O)[O-]
ZINC37584139	O=C([O-])CCC(NC(=O)CSC1CCS(=O)(=O)C1)C(=O)[O-]
ZINC37584183	N#CCSCC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC37591932	O=C([O-])CCC(NS(=O)(=O)N1CCOCC1)C(=O)[O-]
ZINC37624682	CCOC(=O)c1[nH]c(CC(=O)[O-])c(CCC(=O)[O-])c1C
ZINC38528755	CC(C)(C)OC(=O)NC(C)(CCC(=O)[O-])C(=O)[O-]
ZINC02583208	C=C(CC(NC(=O)OC(C)(C)C)C(=O)[O-])C(=O)[O-]
ZINC40533598	CCCCCNC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40548406	CC(C)C(C)NC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40548411	CC(C)C(C)NC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40552501	CC1CC(C)CN(C(=O)NC(CCC(=O)[O-])C(=O)[O-])C1
ZINC40563989	CCC(C)N(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40565069	CCC(C)N(CC)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40565800	CCC(C)CN(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40726019	CC1CCN(C(=O)NC(CCC(=O)[O-])C(=O)[O-])C1
ZINC42370998	COCCN(CC(C)C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC42403175	CN(Cc1cc(Br)cs1)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC42552327	COC(=O)CCN(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC42612190	CC(C)NC(=O)CN(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC42728321	COC(=O)CCCN(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC44883982	O=C([O-])/C=C/c1cncc(C(=O)NCc2nnn[n-]2)c1
ZINC44929789	CC(NS(=O)(=O)c1ccc(C(=O)[O-])o1)c1nnn[n-]1
ZINC44929879	CC(NS(=O)(=O)c1cc(C(=O)[O-])ccc1F)c1nnn[n-]1
ZINC44935439	CCCC(NC(=O)NC(C)c1nnn[n-]1)C(=O)[O-]
ZINC45090355	CN(CC(C)(C)C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC45649095	COCC(C)CNC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC48923818	CC(C)CCN(C)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC49375820	CCOC(=O)C(C)NC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC54434330	CCCOCCC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC54434332	CCCOCCC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC16383212	O=[N+]([O-])c1cc(/C=N/Nc2nnn[n-]2)c([O-])c([N+](=O)[O-])c1
ZINC62828417	O=C([O-])CCNC(=O)Nc1sccc1C(=O)[O-]
ZINC62828524	O=C([O-])CCCNC(=O)Nc1sccc1C(=O)[O-]
ZINC63074472	CC1(C)CCCN1C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC05482241	CC1(C)Cc2c([nH]c3ncnc(NN)c23)CO1
ZINC05011350	Nc1cc(S(N)(=O)=O)ccc1N1CCCCC1
ZINC11721649	N#Cc1ccc(NCC(=O)NC(N)=O)cc1Cl
ZINC13686797	Cc1nc2sc(C(N)=O)c(N)c2c(C)c1Cl
ZINC04625231	CSc1nc(N)nc2sc(C#N)c(N)c12
ZINC20075565	NC(=O)C1CCCN(c2ccccc2C(N)=S)C1
ZINC21013513	Cc1cc(N)c(S(N)(=O)=O)cc1C
ZINC22164987	Cc1cccc(N)c1C(=O)NC1CCC(O)CC1
ZINC37934361	CC(C)(C)Sc1cc(N)cc(S(N)(=O)=O)c1
ZINC38743814	CC(C)C1=CC(C2NNC(S)N2N)N=N1
ZINC40303399	CC(O)CNC(=O)c1cc2cc(N)ccc2s1
ZINC40322302	CC1CCCCC1N(C)C(=O)c1ccc(N)cc1N
ZINC40371341	CC(C)(NC(=O)C1Cc2ccccc2O1)/C(N)=N/O
ZINC40371652	N/C(CNC(=O)c1cc(Cl)cc(Cl)c1)=N\O
ZINC40372393	N/C(=N/O)C1(NC(=O)c2ccoc2)CCCCC1
ZINC40375674	COC(=O)NC1(/C(N)=N/O)CCCCC1
ZINC40472714	O=C([O-])c1ccc(NC(=O)C2CCC[NH2+]C2)cc1O
ZINC40479312	CC([NH3+])C(=O)Nc1cc(C(=O)[O-])ccc1Cl
ZINC42561408	CNC(=O)C(C)Nc1c(F)cc(N)cc1F
ZINC42892588	CC(NC(=O)c1csc2ccccc12)/C(N)=N/O
ZINC44783316	CC(C)NC(=O)C1(/C(N)=N/O)CCCC1
ZINC45140419	CC(C)(C(=O)NC1CC1(C)C)/C(N)=N/O
ZINC45145522	CC(/C(N)=N/O)N(C)C(=O)Nc1ccccc1F
ZINC45145526	CC(/C(N)=N/O)N(C)C(=O)Nc1ccc(F)cc1
ZINC45145565	CC(/C(N)=N/O)N(C)C(=O)NC1CCCCC1
ZINC48310812	NC(=O)Nc1cccc(NC(=O)c2ccoc2)c1
ZINC48644171	O=C(NNC(=O)c1ccccc1O)NC1CC1
ZINC48646897	CCNC(=O)NNC(=O)c1ccc(C)cc1O
ZINC48834820	[NH3+]CCNC(=O)N1CCCc2cc(C(=O)[O-])ccc21
ZINC48847254	O=C([O-])c1cc(O)ccc1NC(=O)C1CCCC[NH2+]1
ZINC49467970	CC(C)NC(=O)NNC(=O)c1ccc2cc[nH]c2c1
ZINC50397395	N#Cc1ccc(NC2CCCNC2=O)c(N)c1
ZINC50892814	CCCC1CCN(C(=O)c2cc(N)cc(N)c2)CC1
ZINC51096357	Cc1cnc(NC(=O)c2ccccc2NN)s1
ZINC51122601	Cc1ccc(F)c(NC(=O)c2ccc(NN)nc2)c1
ZINC51169029	COc1cc(-c2nccc(NN)n2)ccc1O
ZINC51988791	CC(C)n1cc(N)cc1C(=O)NC1CCCCC1O
ZINC51988792	CC(C)n1cc(N)cc1C(=O)NC1CCCCC1O
ZINC52303889	CC1CC1NC(=O)c1cc(Cl)ccc1NN
ZINC52304000	CC1CC1NC(=O)c1nc(NN)ccc1Cl
ZINC53007059	Cc1ccc(NN)c(C(=O)NC2CCCC2)c1
ZINC54216017	Cc1csc(NC(=O)c2cccc(F)c2NN)n1
ZINC40312272	CC1CCC(N(C)C(=O)c2ccc(N)cc2N)CC1
ZINC58441888	CC(NC(=O)Nc1ccc(C#N)cc1)C(N)=O
ZINC00017094	Cc1cc(/C=N/[NH+]=C(/N)[S-])ncc1O
ZINC00017094	Cc1cc(/C=N/NC(N)=S)ncc1O
ZINC59367472	CCCCC1C(C#N)=C(N)SC(N)=C1C#N
ZINC61886632	Cc1ccc(C(=O)NC2CCCC2/C(N)=N/O)o1
ZINC61887238	Cc1ccccc1C(=O)NC1CCCC1/C(N)=N/O
ZINC61887484	Cc1ccoc1C(=O)NC1CCCC1/C(N)=N/O
ZINC00284405	Cc1nc2c(N)c(Cl)c(Cl)c(N)c2[nH]1
ZINC05141132	COc1cc(N)c([N+](=O)[O-])cc1C(=O)[O-]
ZINC06926411	O=C(Nc1ccc(F)cc1)Nc1nnn[n-]1
ZINC06744729	CCCc1nn(C)c(C(=O)[O-])c1N
ZINC13258612	Cc1ccc(C(=O)[O-])cc1NC(=O)c1ccc(=O)[nH]c1
ZINC06565039	Cc1c(C(=O)N/N=C\c2ccc(Cl)cc2)n[nH]c1[O-]
ZINC20158847	Cc1cc(-c2nnc([S-])n2N)ccc1[N+](=O)[O-]
ZINC20218249	Cc1ccc(C)c(NC(=O)NC(=O)/C=C/C(=O)[O-])c1
ZINC20218365	Cc1cccc(NC(=O)NC(=O)/C=C/C(=O)[O-])c1C
ZINC20218392	Cc1ccc(NC(=O)NC(=O)/C=C/C(=O)[O-])cc1C
ZINC21798853	Cc1cc([N-]S(=O)(=O)c2cc(N)ccc2C)on1
ZINC22143585	O=C(Nc1ccc(C(=O)[O-])c(O)c1)c1ccoc1
ZINC22215012	Cc1ccc(C(=O)Nc2ccc(C(=O)[O-])c(O)c2)cn1
ZINC16777408	Cc1ccc(C(=O)NNc2nnc(C)c([O-])n2)cc1
ZINC26548038	CC(C)Cn1ccc(-c2nnc([S-])n2N)n1
ZINC26548062	Cc1cc(-c2nnc([S-])n2N)n(CC(C)C)n1
ZINC06512504	NS(=O)(=O)c1ccc(NC(=S)[S-])cc1
ZINC20214232	O=C(Nc1ccc(O)cc1)c1cc([N+](=O)[O-])c[n-]1
ZINC37430488	CN1CC(C(=O)Nc2ccc(O)c(C(=O)[O-])c2)CC1=O
ZINC37587791	O=C([O-])c1ccc(NC(=O)c2ccc(=O)oc2)c(O)c1
ZINC37588076	O=C([O-])c1ccc(NC(=O)c2cnsn2)c(O)c1
ZINC39083803	NNc1ccc2cc(C(=O)[O-])oc2c1
ZINC40472891	Cc1ccc(C(=O)Nc2ccc(C(=O)[O-])cc2)cc1N
ZINC40532467	Cc1cc(C(=O)[O-])ccc1NC(=O)N1CCNC(=O)C1
ZINC40532503	O=C1CN(C(=O)NCc2ccc(C(=O)[O-])cc2)CCN1
ZINC40532512	Cc1ccc(NC(=O)N2CCNC(=O)C2)c(C(=O)[O-])c1
ZINC40576995	Cc1ccc(C(=O)[O-])cc1NC(=O)Nc1cnn(C)c1
ZINC40589413	O=C(Nc1ccccc1C(=O)[O-])NC1CCOCC1
ZINC42431747	O=C([O-])c1cc(O)ccc1NC(=O)C1CCOC1
ZINC12343413	OC12CC3CC(C1)C(=NNc1nnn[n-]1)C(C3)C2
ZINC44265042	Cc1c([N+](=O)[O-])cc(/C=C\C(N)=O)c([O-])c1Cl
ZINC44585773	O=C(Nc1ccc(O)cc1C(=O)[O-])c1ccon1
ZINC44929764	CC(NC(=O)Nc1ccc(F)cc1F)c1nnn[n-]1
ZINC48846961	Cc1ccc(C(=O)Nc2ccc(O)cc2C(=O)[O-])cn1
ZINC50019525	Cc1csc(Nc2cc(C(=O)[O-])c(N)cc2F)n1
ZINC52296668	CC1CC1NC(=O)Nc1ccc(O)c(C(=O)[O-])c1
ZINC52300323	CC1CC1Nc1cc(C(=O)[O-])c(N)cc1F
ZINC52300326	CC1CC1Nc1cc(C(=O)[O-])c(N)cc1F
ZINC54768282	O=C([O-])c1cc(NC(=O)C2CCCOC2)ccc1O
ZINC06816035	Cc1cccc(N2C(=O)N=C([O-])/C(=C/NO)C2=O)c1C
ZINC06854966	C/C(=N/Nc1nnc([S-])[nH]1)c1ccc2c(c1)OCO2
ZINC61685203	Cc1ccc(S(=O)(=O)[N-]c2cnoc2)cc1N
ZINC62100842	O=C1CCN(C(=O)Nc2ccccc2C(=O)[O-])CCN1
ZINC62350546	COc1c(N)cc(C(=O)[O-])cc1[N+](=O)[O-]
ZINC03196092	[S-]C1=NNC(c2ccc3c(c2)OCO3)NN1
ZINC62827443	O=C(Nc1nccs1)Nc1sccc1C(=O)[O-]
ZINC62831472	Cc1cc(C(=O)Nc2ccc(N)cc2C(=O)[O-])c(C)o1
ZINC62831647	Nc1ccc(C(=O)[O-])c(NC(=O)c2ccc(F)cc2)c1
ZINC62833372	CN(C(=O)C1CCOC1)c1ccc(C(=O)[O-])cc1N
ZINC13597771	Nc1ccc(N/C([S-])=N/c2ccccc2)cc1
ZINC13597771	Nc1ccc(NC(=S)Nc2ccccc2)cc1
ZINC65348123	Nc1[nH+]cc(-c2csc(C(=O)[O-])c2)cc1C(=O)[O-]
ZINC03838753	Cc1ccc(C(=O)NC2C=C(C(=O)NCC(N)=O)CC(O)C2O)cc1
ZINC04342809	O=C([O-])C1CSC(C(O)C(O)C(O)CO)[NH2+]1
ZINC04403182	OCC1OC(OC2C(O)C=COC2CO)C(O)C(O)C1O
ZINC04721317	OCC1OC(OC2C(O)C(O)COC2(O)CO)C(O)C(O)C1O
ZINC04728716	CN1C(=O)N(C)C(NC(N)=O)C1NC(N)=O
ZINC05445358	CC12CC3(C)CC(C(=O)NN)(C1)CC(C(=O)NN)(C2)C3
ZINC02597181	N#C/C(=C\C=C\c1cc(C(N)=O)c(N)o1)C(N)=O
ZINC01628084	Cc1c(N)c(S(N)(=O)=O)cc(S(N)(=O)=O)c1Cl
ZINC04821833	CS(=O)(=O)c1nc(N)c(S(N)(=O)=O)c(N)n1
ZINC06360509	OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(F)C(O)C1O
ZINC06469302	CC1OC(OC2C(O)C(O)OC(CO)C2O)C(O)C(O)C1O
ZINC08586495	OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O
ZINC02537708	NNC(=O)C1CCCN(S(=O)(=O)c2ccc(NN)cc2)C1
ZINC13519113	OCC1OC(OC2C(O)C(O)OC(CO)C2O)C(O)C(O)C1O
ZINC13523859	OCC1OC(OC2C(O)C(O)COC2(O)CO)C(O)C(O)C1O
ZINC03121661	NC(=O)NC(NC(N)=O)C(Cl)Cl
ZINC20046920	NC(=O)NC(=O)CNc1ccc(C(N)=O)cc1
ZINC35465639	COC(=O)C1(O)CC(O)C(O)C(OC(=O)c2cc(O)c(O)c(O)c2)C1
ZINC35797037	CC(NC(=O)c1ccc(/C(N)=N/O)cc1)C(N)=O
ZINC36746134	Nc1ccc(NC(=O)NCCS(N)(=O)=O)cc1
ZINC37040157	CC(C)C([NH3+])C(=O)Nc1cccc([N-]S(N)(=O)=O)c1
ZINC37246275	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC37629274	OC1OC(COC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
ZINC39937202	OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O
ZINC39945942	OCC1OC(OC2C(O)C(O)COC2(O)CO)C(O)C(O)C1O
ZINC40472672	NC(=O)CC(NC(=O)C1([NH3+])CCCC1)C(=O)[O-]
ZINC40824429	Cc1c(C(=O)NN)oc2c1/C(=N/NC(N)=O)CCC2
ZINC41023242	Nc1cc(Sc2nc(N)cc(N)n2)cc(S(N)(=O)=O)c1
ZINC41094292	NC(=O)NC(=O)COC(=O)c1cc(N)cc(N)c1
ZINC42138966	CNC(=O)CNc1ncc(N)cc1C(N)=O
ZINC42431270	CC(O)C(NC(=O)NC1CCCCC1[NH3+])C(=O)[O-]
ZINC44608247	NNC(=S)NC1OCC(O)C(O)C1O
ZINC44699296	OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O
ZINC44889054	CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)C[NH3+]
ZINC45110453	CC(C)(NS(=O)(=O)c1ccccc1NN)C(N)=O
ZINC47594792	NC(=O)C(NC(=O)NC1CCS(=O)(=O)C1)C(N)=O
ZINC49166898	CC(NC(N)=O)C(=O)NNC(=O)NCC1CC1
ZINC49772311	CC1C(=N)C(=O)c2c(COC(N)=O)c3n(c2C1=O)CC([NH3+])C3O
ZINC50027402	CC(O)C(NC(=O)C([NH3+])CO)C(=O)[O-]
ZINC50030023	NC(=O)CCNc1cc(C(N)=O)c(N)cc1F
ZINC50032580	CC(C)N(CC(N)=O)c1cc(C(N)=O)c(N)cc1F
ZINC50436576	Cc1ccc(/C(N)=N/O)cc1NC(N)=O
ZINC51129079	NNc1cc(C(=O)NCCS(N)(=O)=O)ccn1
ZINC56370770	CNC(=O)NNC(=O)C(C)NC(N)=O
ZINC42576610	CNC(=O)C(C)Nc1ccc(N)cc1C(N)=O
ZINC59487046	CN1C(=O)N(C)C(NC(=O)NC(C)(C)O)C1NC(=O)NC(C)(C)O
ZINC51095843	NNc1ccc([N+](=O)[O-])cc1C(=O)NCC(N)=O
ZINC61805792	Cc1sc(C(=O)N(CC(N)=O)CC(N)=O)cc1N
ZINC65742715	CC1OC(OC2C(O)C(O)OC(CO)C2O)C(O)C(O)C1O
ZINC65742767	OCC1OC(OC2C(O)C(O)COC2(O)CO)C(O)C(O)C1O
ZINC00047410	CSc1nc(N)nc2sc(C(=O)c3ccc(C)cc3)c(N)c12
ZINC00321107	CC1CC(NNc2ccc(Br)cc2)NC(=S)N1
ZINC08703367	Cc1cc2nc(-c3cc(N)c(C)c(N)c3)oc2cc1C
ZINC15906691	NC(=O)N/N=C1/C=C(c2ccccc2)C(O)(c2ccccc2)C1
ZINC17054904	C/C(=N\NC(=O)c1ccc2ccccc2c1O)c1cccc(N)c1
ZINC20457442	NC(=O)c1ccc(NC(=O)Nc2ccc3c(c2)CCC3)cc1
ZINC21812135	Nc1cc(S(=O)(=O)Nc2cccc(Cl)c2Cl)ccc1O
ZINC25261856	CC(NC(N)=O)C(=O)Nc1ccc2c(c1)Cc1ccccc1-2
ZINC27995169	CNc1snc(C)c1C(=O)Nc1cc(Cl)c(N)c(Cl)c1
ZINC35354476	CC1CCCC(NS(=O)(=O)c2ccccc2NN)C1C
ZINC35354652	Cc1cccc(NS(=O)(=O)c2ccc(NN)cc2)c1C
ZINC35660866	Cc1ccc(NC(=O)Nc2cc(N)ccc2C)cc1Cl
ZINC36738455	Cc1ccc(C(=O)Nc2ccc(N)cc2Br)c(O)c1
