ZINC02741019	CCOc1cc(C[NH2+]CCO)cc(I)c1OCc1ccccc1
ZINC42352241	COc1cc(C[NH2+]Cc2ccc(Br)cc2)cc(Br)c1O
ZINC42398423	COc1ccc(C(C[NH3+])N(C)Cc2cc(Br)cs2)cc1Br
ZINC43250783	COc1ccc(CC([NH3+])c2nc(-c3sc4ccc(Cl)cc4c3C)cs2)cc1
ZINC43677048	COc1cc(CC[NH3+])cc(Br)c1OCc1sccc1Br
ZINC43677113	COc1cc(CC(C)[NH3+])cc(Br)c1OCc1sccc1Br
ZINC43688495	COc1cc(CC(C)[NH3+])cc(Br)c1OCc1cc(Br)cs1
ZINC48817508	COc1cc(C[NH2+]Cc2cccc(Br)c2)cc(Br)c1O
ZINC48818783	OC(C[NH2+]Cc1cccc(Br)c1)COc1ccc(Br)cc1
ZINC49392446	NC(=O)C[NH+](Cc1ccc(Br)cc1)Cc1ccc(Br)s1
ZINC50105919	Cc1cc(Br)c(NC(=O)C[NH+](CCCO)C(C)C)c(Br)c1
ZINC50361667	CCN(c1ccccc1C)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50361996	CCN(c1cccc(C)c1)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50362430	CCN(c1cccc(F)c1)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50362520	CCN(c1ccccc1F)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50834629	CC(C)NC(=S)N1CCC2(CC1)[NH2+]C(C(C)C)C(=O)N2C(C)c1ccccc1
ZINC22932856	CC(C)(O)C#Cc1ccc(CN2CC[NH+](CCc3ccccc3)C(CCO)C2)s1
ZINC32577585	CSc1ccc(C[NH2+]C2CC(C(=O)NCCc3ccccc3F)N(C(C)C)C2)cc1
ZINC45393826	O=C(NCCc1ccc(Br)s1)NCC1CC[NH+](CC(F)(F)F)C1
ZINC45393830	O=C(NCCc1ccc(Br)s1)NCC1CC[NH+](CC(F)(F)F)C1
ZINC59251492	CC(C)(CNC(=O)c1ccc(-c2ccccc2)[nH]c1=O)[NH+]1CCc2ccccc2C1
ZINC61228874	CC[NH2+]CC(C)C(=O)Nc1c(Br)cc(Br)cc1Br
ZINC64717682	O=C(NCCC1=c2cc(F)ccc2=[NH+]C1)c1ccc2c(c1)SC(n1cccc1)N2
ZINC65298340	CCOc1cccc(C2CC(c3ccccc3)=NC3(CC[NH+](C(C)C)CC3)N2)c1O
ZINC02102015	c1ccc2c(c1)CCOC2C[NH2+]CCCCC[NH2+]CC1OCCc2ccccc21
ZINC04199104	CCSC1(SCC)[NH+]=C(N)C2(C#N)C(c3ccccc3)[NH2+]C(C)=CC12C#N
ZINC03085640	COCC1=C(C#N)C(SSC2[NH2+]C(C)=CC(COC)=C2C#N)[NH2+]C(C)=C1
ZINC03325980	CCOC(=O)c1c(NC(=O)C[NH+]2CCCC2)sc2c1CC(C)(C)[NH2+]C2(C)C
ZINC06468626	CC12CCC(O)(C[NH+]3CC3)CC1CCC1C2CCC2(C)C1CCC2(O)C[NH+]1CC1
ZINC12384380	CC1(C)CC(OC(=O)C=CC(=O)OC2CC(C)(C)[NH2+]C(C)(C)C2)CC(C)(C)[NH2+]1
ZINC12576995	Cc1cnc(C[NH2+]Cc2ccccc2OCC(O)C[NH+](C)C2CCCCC2)cn1
ZINC21263357	C[NH+]1CCC(N(CC2CCCO2)C(=S)NC2CC(C)(C)[NH2+]C(C)(C)C2)CC1
ZINC19111384	CCn1cc[nH+]c1CNCC1CC(C)(CO)[NH+](CC)C1c1ccc(Cl)cc1
ZINC36611969	CC12CCC(O)(C[NH+]3CC3)CC1CCC1C2CCC2(C)C1CCC2(O)C[NH+]1CC1
ZINC02178857	Cc1cc2n(n1)C(c1c(OCCO)ccc3ccccc13)Nc1c(C)cccc1-2
ZINC22876182	COc1ccc(C(C[NH2+]CC(O)COc2c(C)ccc(C)c2C)[NH+](C)C)cc1
ZINC40719645	CC(C)Oc1c(Br)cc(Br)cc1C[NH2+]CC1CC[NH2+]CC1
ZINC44461798	CCCCC(CC)Cn1c2ccc(CC(C)[NH3+])cc2c2cc(CC(C)[NH3+])ccc21
ZINC48881918	C[NH+](Cc1ccc(Br)cc1)C(C[NH3+])c1ccc(Br)o1
ZINC48891401	C[NH+](Cc1cccc(Br)c1)C(C[NH3+])c1ccc(Br)o1
ZINC19326854	COc1ccc(C2[NH+](Cc3ccccc3O)CC[NH+]2Cc2ccccc2O)cc1
ZINC50361976	[NH3+]CC(c1cc(Br)c(Br)o1)[NH+]1CCCC(C(F)(F)F)C1
ZINC50362011	CC(C)C[NH+](CC(C)C)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50362173	C[NH+](Cc1ccc(Cl)s1)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50362251	CC(c1cccs1)[NH+](C)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50362325	CCCC[NH+](C(C)CC)C(C[NH3+])c1cc(Br)c(Br)o1
ZINC50362440	[NH3+]CC(c1cc(Br)c(Br)o1)[NH+]1CCCC1C1CCCC1
ZINC50362443	[NH3+]CC(c1cc(Br)c(Br)o1)[NH+]1CCCC1C1CCCC1
ZINC50362561	CC(C)(C)C1CC[NH+](C(C[NH3+])c2cc(Br)c(Br)o2)CC1
ZINC20353479	COc1ccc(C2[NH2+]CCc3nc[nH]c32)cc1CSC1=[NH+]C2CCCCC2N1
ZINC22075214	CC(O)C[NH2+]CC[NH2+]Cc1c(OCc2ccc(Cl)cc2)ccc2ccccc12
ZINC63075043	CCOc1ccc2c(c1)SC(NC(=O)CSC1[NH+]=c3ccccc3=[NH+]1)N2
ZINC63075066	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1Nc3c(C)cccc3S1)[NH+]=2
ZINC63075070	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1Nc3c(C)cccc3S1)[NH+]=2
ZINC63162907	c1coc(CN2C(SCC3[NH+]=c4ccccc4=[NH+]3)NNC2c2cccs2)c1
ZINC63162908	c1coc(CN2C(SCC3[NH+]=c4ccccc4=[NH+]3)NNC2c2cccs2)c1
ZINC63162920	c1ccc(C2NNC(SCC3[NH+]=c4ccccc4=[NH+]3)N2Cc2ccco2)cc1
ZINC63162922	c1ccc(C2NNC(SCC3[NH+]=c4ccccc4=[NH+]3)N2Cc2ccco2)cc1
ZINC63162958	C=CCN1C(SCC2[NH+]=c3ccccc3=[NH+]2)NNC1c1ccc(Cl)cc1
ZINC63165452	Cc1ccc(N2C(SCC3[NH+]=c4ccccc4=[NH+]3)NNC2c2ccco2)cc1
ZINC63225185	NN1C(SCC2[NH+]=c3ccccc3=[NH+]2)NNC1c1cccc(Br)c1
ZINC63541060	CCOc1ccc2c(c1)=[NH+]C(SCC(=O)NC1Nc3ccccc3S1)[NH+]=2
ZINC63720244	[NH3+]C(CC1=c2ccccc2=[NH+]C1)C1N=NC(SCc2ccccc2Cl)O1
ZINC63743053	COc1ccc2c(c1)=[NH+]C(SCC1Nc3ccc(Cl)cc3N1CCO)[NH+]=2
ZINC63743055	COc1ccc2c(c1)=[NH+]C(SCC1Nc3ccc(Cl)cc3N1CCO)[NH+]=2
ZINC63761326	[NH3+]C(CC1=c2ccccc2=[NH+]C1)C1N=NC(SCc2ccc(Cl)cc2)O1
ZINC63801442	COc1ccc(C(C[NH2+]CC(O)c2ccccc2)C2=c3ccccc3=[NH+]C2)cc1
ZINC63941074	O=C(CSC1[NH+]=c2ccccc2=[NH+]1)NC1Nc2c(ccc3ccccc23)S1
ZINC64131693	O=C(CC1C(=O)NCC[NH+]1Cc1ccc(F)cc1)NCC1C=c2ccccc2=[NH+]1
ZINC64167188	CC1=c2cccc(Cl)c2=[NH+]C1C[NH2+]C1CCCC2C1=CNN2c1ccccn1
ZINC64167189	CC1=c2cccc(Cl)c2=[NH+]C1C[NH2+]C1CCCC2C1=CNN2c1ccccn1
ZINC65417713	CCc1[nH]c(C)c(C2C(c3ccccc3)NC[NH+]2C2c3ccccc3CC2O)[nH+]1
ZINC65508502	Cc1cc(C[NH+]2C[NH2+]C(c3ccccc3)C2c2ccc(C#CCCO)cc2)n[nH]1
ZINC67122368	CC1CC[NH+](CC(O)C[NH2+]CC2=Cc3cc(Br)ccc3OC2)CC1
ZINC03284553	O=C(C[NH+]1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1)Nc1c(F)c(F)c(F)c(F)c1F
ZINC03006895	COC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N3CCCCCC3)cc2)sc2c1CC[NH+](C)C2
ZINC03539076	CC(C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)[NH+]1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
ZINC06135328	CCc1ccc2[nH]c(=O)c(C(c3nnnn3CCOC)[NH+]3CCN(c4cc(C)ccc4C)CC3)cc2c1
ZINC08924171	CCC(c1nnc(SCC(=O)N2CC(=O)NC(=O)C23CCCCC3)n1Cc1ccccc1)[NH+](C)C
ZINC08924173	CCC(c1nnc(SCC(=O)N2CC(=O)NC(=O)C23CCCCC3)n1Cc1ccccc1)[NH+](C)C
ZINC09593260	CC(C)C(NS(=O)(=O)c1ccc2c(c1)OCCO2)C(=O)N1CC[NH+](Cc2cccs2)CC1
ZINC10028132	COC(=O)c1c(NC(=O)CCS(=O)(=O)c2ccc(OC)cc2)sc2c1CC[NH+](C(C)C)C2
ZINC10100294	CC[NH+]1CCc2c(sc(NC(=O)c3ccc(S(=O)(=O)N(C)C(C)C)cc3)c2C(=O)OC)C1
ZINC10751101	CCOC(=O)c1c(NC(=O)C2CCCN(S(=O)(=O)c3cccs3)C2)sc2c1CC[NH+](C)C2
ZINC06176795	COc1ccc2[nH]c(=O)c(C(c3nnnn3Cc3ccccc3)[NH+]3CCN(c4ccccc4F)CC3)cc2c1
ZINC12833421	COc1ccc(C[NH+](Cc2cc3cc(OC)ccc3[nH]c2=O)Cc2nnnn2C2CCCCC2)cc1
ZINC13032931	COc1ccc(C[NH+](Cc2cc3ccc(C)c(C)c3[nH]c2=O)Cc2nnnn2Cc2ccco2)cc1
ZINC13033948	O=c1[nH]c2cc3c(cc2cc1C[NH+](Cc1nnnn1CCc1ccccc1)C1CCCCC1)OCCO3
ZINC06281657	Cc1ccc2[nH]c(=O)c(C(c3nnnn3CC3CCCO3)[NH+]3CCN(c4ccccc4)CC3)cc2c1
ZINC06441978	COCCn1nnnc1C(c1cc2ccc(C)c(C)c2[nH]c1=O)[NH+]1CCN(c2cc(Cl)ccc2C)CC1
ZINC09192936	C=CCN1C(=O)C2(C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2CCC[NH+](C)C)c2ccccc21
ZINC15101208	Cc1ccc(S(=O)(=O)N2CCC[NH+](C(C)C(=O)Nc3cc([N+](=O)[O-])ccc3Cl)CC2)cc1
ZINC06550985	COc1cc(C(c2nnnn2C(C)(C)C)[NH+]2CCN(c3nc4ccccc4s3)CC2)ccc1O
ZINC20279696	CC1CC(C)C[NH+](CCCNC(=O)CN2C(=O)COc3ccc(S(=O)(=O)N4CCCC4)cc32)C1
ZINC20279702	CC1CC(C)C[NH+](CCCNC(=O)CN2C(=O)COc3ccc(S(=O)(=O)N4CCCC4)cc32)C1
ZINC20284114	Cc1nc2c(c(C)c1CCC(=O)NCc1ccc(C[NH+]3CCCCCC3)o1)c(=O)n(C)c(=O)n2C
ZINC20683031	COc1cc(C2Nc3ccc(S(=O)(=O)N4CC[NH+](C)CC4)cc3C3C=CCC32)cc(OC)c1OC
ZINC25152124	C[NH+]1CCN(S(=O)(=O)c2ccc(NCc3ccc(OCC(F)(F)F)cc3)c([N+](=O)[O-])c2)CC1
ZINC25562405	Cc1ccc([N+](=O)[O-])c(NC(=O)C(C)[NH+]2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)c1C
ZINC25677841	CC(C)C(NC(=O)C[NH+]1CCN(S(=O)(=O)c2cccs2)CC1)c1ccc2c(c1)OCCO2
ZINC27344965	O=C(Nc1ccccc1)C(c1ccccc1)[NH+]1CCN(S(=O)(=O)c2cccc([N+](=O)[O-])c2)CC1
ZINC33937137	CCC(c1nnnn1CC1CCCO1)[NH+](Cc1cc2cc(C)cc(C)c2[nH]c1=O)CC1CCCO1
ZINC33937328	Cc1ccc2[nH]c(=O)c(C[NH+](CC3CCCO3)C(c3nnnn3CC3CCCO3)C(C)C)cc2c1
ZINC34677782	CCCCC(O)CN1CC[NH+](Cc2nc(C(=O)N3CCN(c4c(C)cccc4C)CC3)co2)CC1
ZINC19126115	Cc1cc2cc(C(c3nnnn3C(C)(C)C)[NH+](Cc3ccco3)CC3CCCO3)c(=O)[nH]c2cc1C
ZINC24075479	COc1ccc(N2C(=O)/C(=C/NCC(c3ccco3)[NH+]3CCCC3)c3ccccc3C2=O)cc1OC
ZINC24075479	COc1ccc(N2C(=O)/C(=C\NCC(c3ccco3)[NH+]3CCCC3)c3ccccc3C2=O)cc1OC
ZINC09431122	CCC1CCCC[NH+]1Cc1ccc(CNC(=O)CCc2nnc3ccc(N4CCCCC4)nn23)o1
ZINC38685099	COC(=O)C1[NH+]=c2ccc(Br)cc2=C1NC(=O)CN1CCN(C(=O)c2ccco2)CC1
ZINC39302418	Cn1cc(CN2CC[NH+](CC(=O)Nc3ccccc3Sc3ccccc3)CC2)c(=O)n(C)c1=O
ZINC39672800	CCN(CC)S(=O)(=O)c1ccc2c(c1)nc(CCC(=O)Nc1nc(C3=NC=CC3)cs1)n2C
ZINC39727299	CC1=C(S(=O)(=O)N2CCN(C(C(=O)C3=c4ccccc4=[NH+]C3)c3ccccc3)CC2)C(C)ON1
ZINC40895581	C[NH2+]CC1(c2ccc(N3CCC4C(S(C)(=O)=O)=NN(c5ccc(OC)cc5)C4C3=O)cc2)CC1
ZINC40988460	CC[NH+](CC)C(CNC(=O)c1nn(C2CCS(=O)(=O)C2)c2c1CCCC2)c1ccc(OC)cc1
ZINC20205582	CCSC1=NSC2=NC(=O)/C(=C\c3ccc(OCCOc4ccc(OC)cc4)cc3)C(=N)N12
ZINC20207801	Cc1ccc(OCCCOc2ccc(/C=C3\C(=N)N4N=C(S(C)(=O)=O)SC4=NC3=O)cc2)cc1
ZINC20356293	COc1ccc(OCCOc2ccc(/C=C3\C(=N)N4N=C(N5CCCC5)SC4=NC3=O)cc2)cc1
ZINC59410835	CC1CC(C)C[NH+](Cc2ccc(CNC(=O)CCCn3c(=O)oc4cc([N+](=O)[O-])ccc43)cc2)C1
ZINC38610422	COC(=O)C1[NH+]=c2cc(OC)c(OC)cc2=C1NC(=O)CN1CCN(c2cccc(C)c2C)CC1
ZINC63374525	COc1cc(C2CN3C(=O)CN(CCCO)C(=O)C3(C)C3[NH+]=c4ccccc4=C23)ccc1OC(C)C
ZINC63900054	COc1ccc2c(c1)=C(CCNS(=O)(=O)c1ccc(N3C(=O)C(C)CS3(=O)=O)cc1)C(C)[NH+]=2
ZINC38649648	O=C(CCNC1=NS(=O)(=O)c2ccccc21)OC(C(=O)C1=c2ccccc2=[NH+]C1)c1ccccc1
ZINC63994189	O=C(NCc1nccs1)c1nn(Cc2ccccc2)c2c1CN(C(=O)C1C=c3ccccc3=[NH+]1)CC2
ZINC64502578	COC(=O)C1C(C)N=C(C(=O)N2CCC(CC(=O)NCCC3=c4cc(C)ccc4=[NH+]C3)CC2)C1C
ZINC46056156	CCC1Oc2cc(S(=O)(=O)N(C)CC(=O)N3CC[NH+](C4CCCCC4)CC3)c(C)cc2NC1=O
ZINC02647880	COc1cc(C2[NH2+]CC(c3ccc(Cl)cc3Cl)c3c2[nH]c2ccccc32)cc(OC)c1OC
ZINC02647879	COc1cc(C2[NH2+]CC(c3ccc(Cl)cc3Cl)c3c2[nH]c2ccccc32)cc(OC)c1OC
ZINC09541947	COC(=O)c1ccc(C2N=C(c3cccc(Br)c3)CC(c3ccccc3O)[NH2+]2)cc1
ZINC09542385	COc1ccc(C2N=C(c3ccc(Cl)cc3)CC(c3cccc(OC)c3O)[NH2+]2)cc1Br
ZINC09542750	CCOc1cccc(C2CC(c3ccc(C)cc3)=NC(c3cc(Br)ccc3OC)[NH2+]2)c1O
ZINC09542754	CCOc1cccc(C2CC(c3ccc(C)cc3)=NC(c3cc(Br)ccc3OC)[NH2+]2)c1O
ZINC11094687	CCC(C)c1ccc(C([NH2+]C(C)C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)C(C)C)cc1
ZINC08857245	C/C(CC(=O)Nc1ccc(Cl)cc1Cl)=N\CCNc1[nH+]cc(C(F)(F)F)cc1Cl
ZINC13815412	CCOc1ccccc1C1C2CCCCC2(O)CC[NH+]1CC(=O)Nc1sc2c(c1C(=O)OC)CCCC2
ZINC15230099	Cc1cc(C)c(C2(C)CC(/C(=N\OCC(O)C[NH2+]C(C)C)c3cc4ccccc4o3)C2)c(C)c1
ZINC02738030	CC[NH+]1CCc2c(sc3c2C(=O)NC(c2ccc(OC)c(COc4ccc(F)c(Cl)c4)c2)N3)C1
ZINC20532200	CC[NH+]1CCc2c(sc(-n3cccc3)c2C(CCC(C)C)NC(=O)Nc2ccc(C)cc2C)C1
ZINC20532226	CCC(NC(=O)NC12CC3CC(CC(C3)C1)C2)c1c(-n2cccc2)sc2c1CC[NH+](CC)C2
ZINC20764264	CCOc1cccc(C2CC(c3ccc(OC)cc3)=NC(c3ccc(F)c(Br)c3)[NH2+]2)c1O
ZINC02944619	COc1ccc(C2[NH2+]CCc3c2[nH]c2ccccc32)cc1CSc1nnc(-c2ccccc2)o1
ZINC01188012	Cc1ccc(S(=O)(=O)Nc2ccc(O)c(C3=C([NH+]4CCOCC4)/C(=C\c4ccccc4)CC3)c2)cc1
ZINC21916264	CCC1CCCC[NH+]1CCCNC(=O)Cc1ccc(NC(=O)N2CCCCc3ccccc32)cc1
ZINC22419144	CN(C)c1ccc(C(CNC(=O)NCc2ccc(Cl)cc2)[NH+]2CCc3ccccc3C2)cc1
ZINC28120890	CCc1cc2c(=O)c(-c3nc4ccccc4s3)c(C(C)C)oc2c(C[NH+]2CCN(CCO)CC2)c1O
ZINC33324509	CCN(CC)c1cc(Nc2ccc(NS(=O)(=O)c3ccc4cccc5c4c3CC5)cc2)[nH+]c(C)n1
ZINC33396856	CCCCCC(=O)N1CCC2(CC1)[NH2+]C(C(=O)NCCc1ccc(Cl)cc1Cl)CS2
ZINC12603071	COC(=O)C1Cc2c([nH]c3ccccc23)C2CC([NH2+]Cc3ccccc3)CC(c3ccccc3)N12
ZINC12603181	COC(=O)C1Cc2c([nH]c3ccccc23)C2CC([NH2+]C3CC3)CC(c3ccc(OC(F)(F)F)cc3)N12
ZINC12603014	COC(=O)C1Cc2c([nH]c3ccccc23)C2CC([NH2+]C3CC3)CC(c3ccc(OC(F)(F)F)cc3)N12
ZINC35746976	Cc1ccc(C)c(-c2csc3nc(C[NH+](CC(O)COc4ccc(Cl)cc4)C4CC4)[nH]c(=O)c23)c1
ZINC35747239	Cc1ccccc1OCC(O)C[NH+](Cc1nc2scc(-c3ccccc3C)c2c(=O)[nH]1)C(C)C
ZINC35747606	CC(C)[NH+](Cc1nc2scc(-c3cccc(Cl)c3)c2c(=O)[nH]1)CC(O)COc1ccc(Cl)cc1
ZINC35760405	CCCCC(CC)C(=O)Nc1ccc(C2C(C(=O)Nc3ccccc3)=C(C)[NH+]=C3SCCCN32)cc1
ZINC35780954	CC(C)c1cc2c(=O)[nH]c(C[NH+](CC(O)COc3ccc(Cl)cc3)C3CCCCC3)nc2s1
ZINC36205309	Cc1ccc(-c2csc3nc(C[NH+](CC(O)Cc4ccccc4)C(C)C)[nH]c(=O)c23)cc1C
ZINC36206407	CCCC(O)C[NH+](Cc1ccccc1)Cc1nc2scc(-c3cccc(Cl)c3)c2c(=O)[nH]1
ZINC36207774	Cc1ccccc1OCC(O)C[NH+](Cc1nc2scc(-c3ccc(Cl)cc3)c2c(=O)[nH]1)C(C)C
ZINC37381587	CC(C)(C)c1ccc(C(CC(=O)NCC[NH+]2CCCC2)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1
ZINC39708769	O=C(N/N=C/C1=c2ccccc2=[NH+]C1)c1ccc(C2=NC(Nc3ccc(Cl)cc3)SC2)cc1
ZINC35745760	Cc1ccc(-c2csc3nc(C[NH+](CC(C)C)CC(O)Cc4ccccc4)[nH]c(=O)c23)cc1
ZINC40570189	COc1ccc(-c2c3c(nc4sc(C(=O)Oc5ccc(C)cc5)c(N)c24)CC[NH+](C)C3)cc1
ZINC40701942	CCN(c1[nH+]cnc(N2CCN(C(c3ccccc3)c3ccccc3)CC2)c1N)c1cccc2ccccc12
ZINC22927075	COC(=O)C1Cc2c([nH]c3ccccc23)C2CC([NH2+]CCN(C)C)CC(c3ccc(C(C)C)cc3)N12
ZINC38550644	CCOc1ccc(C(Nc2cccc[nH+]2)c2c(NC(=O)c3ccco3)sc3c2CCCC3)cc1
ZINC02953385	Cc1ccc(C[NH+]2CCN(C(=S)NCC(=O)NCc3ccc4c(c3)OCO4)CC23CCCCC3)cc1
ZINC22700145	O=C(Nc1ccccc1C(=O)/N=c1\[nH]c2c(s1)C[NH+](Cc1ccccc1)CC2)c1ccccc1
ZINC28957800	O=C(NC(COCC1CCN(c2cc[nH+]cc2)CC1)c1ccccc1Cl)c1ccc2c(Cl)c[nH]c2c1
ZINC16309432	CCCC/C(=N\NC(=[NH2+])SC1CC(=O)N(c2cc(Cl)ccc2Cl)C1=O)c1ccccc1
ZINC26603911	C=CCSc1ccccc1NC(=O)C[NH+]1CCCC1C(=O)Nc1cc(Cl)ccc1Cl
ZINC15947044	COc1cc(C2N=C(O)c3c(sc4c3CC[NH+](C(C)C)C4)N2)ccc1OC(=O)c1ccc(Cl)cc1
ZINC63106918	O=C(CSC1[NH+]=c2ccccc2=[NH+]1)Nc1cc(C2=C([O-])c3ccccc3C2=O)nc2ccccc12
ZINC63234406	O=C(CNS(=O)(=O)c1ccc(Cl)cc1)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC39945691	CC(SC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccc(Cl)cc1)C(=O)Nc1cccc(Cl)c1
ZINC08691569	CC(C)Cn1c2c(c(=O)[nH]c1=O)C(C(F)(F)F)(C(F)(F)F)N=C(CCC1CCCCC1)N2
ZINC08691569	CC(C)Cn1c2c(c(=O)[nH]c1=O)C(C(F)(F)F)(C(F)(F)F)NC(CCC1CCCCC1)=[NH+]2
ZINC65298008	CCOc1ccc(C2=NC3(CC[NH+](Cc4ccccc4)CC3)NC(c3cc(Cl)ccc3O)C2)cc1
ZINC03846860	C#CC1(O)CCC2C3CCC4CC(OC(C)=O)CCC4(C)C3CCC21C
ZINC00652682	O=C(/C=C/c1ccc(Br)cc1)Nc1cnc2ccccc2c1
ZINC02841552	N#Cc1c(NC(=O)c2ccc3c4c(cccc24)CC3)sc2c1CCCC2
ZINC04070076	CC1CCc2sc(NC(=O)C34CC5CC(CC(C5)C3)C4)c(C#N)c2C1
ZINC00711887	COc1ccc(C2Nc3ccc4ccccc4c3C3=C2C(=O)CCC3)cc1
ZINC03116251	CC(=O)c1ccc(/N=C/c2cc(Br)cc(Cl)c2O)cc1
ZINC01119130	N#Cc1cc2c(nc1SCC1(O)CCCc3ccccc31)CCCC2
ZINC04648809	CCOC(=O)C1CCC2(C)C(CCC3C4CCC(O)C4(C)CCC32)C1
ZINC04648811	CCOC(=O)C1CCC2(C)C(CCC3C4CCC(O)C4(C)CCC32)C1
ZINC00828706	COc1ccccc1C1Nc2ccc3ccccc3c2C2=C1C(=O)CCC2
ZINC05228203	C#CC1(O)CCC2C3CCC4CC(OC(C)=O)CCC4(C)C3CCC21C
ZINC05286845	COc1ccc(O)c(/C=N/c2ccccc2I)c1
ZINC01397710	O=C1NN=C(c2ccc(Cl)cc2)CC1c1ccc(Cl)cc1Cl
ZINC05443997	CC(NC(=O)c1ccc(Br)o1)C12CC3CC(CC(C3)C1)C2
ZINC06206427	CCOC(=O)C1CCC2(C)C(CCC3C4CCC(O)C4(C)CCC32)C1
ZINC02757266	Cc1sc(NC(=O)/C=C/c2ccc(Cl)cc2Cl)c(C#N)c1C
ZINC03205606	COc1ccc(O)c(/C=N/c2ccc(I)cc2)c1
ZINC09355394	CC(c1ccccc1)N1C(=O)c2ccccc2C1c1c[nH]c2ccccc12
ZINC15838535	Cc1ccc(NC(=O)C2=Cc3cc(Cl)ccc3OC=C2)c(C)c1
ZINC16478328	O=C(N/N=C1\CC2CC3CC(C2)CC1C3)C1CC1c1ccccc1
ZINC19811830	Cc1ccccc1C1c2[nH]c3ccccc3c2CCN1Cc1cccnc1
ZINC01248540	C=C(C)Cn1c(=S)[nH]c2c(c1=O)C1(CCCCC1)Cc1ccccc1-2
