ZINC06244154	N#CCCSc1nncc2ccccc12
ZINC14138526	Cn1cccc1C1CCCN1Cc1nc2sc3c(c2c(=O)[nH]1)CCC3
ZINC58393714	Cc1cc2c(o1)CC(C)(C)CC2NC(=O)C1Oc2ccccc2OC1C
ZINC59321653	CN(Cc1ccc2ccccc2c1)C(=O)NC1CCCc2c1cnn2C
ZINC59321655	CN(Cc1ccc2ccccc2c1)C(=O)NC1CCCc2c1cnn2C
ZINC13036214	O=C1C=CC=C/C1=C1\CC2c3ccccc3OC(c3cccnc3)N2N1
ZINC13036295	O=C1C=CC(=C2CC3c4ccccc4OC(c4ccncc4)N3N2)C=C1
ZINC15679255	O=C(c1cc(-c2cccs2)[nH]n1)N1CCN(c2ccccc2F)CC1
ZINC39953242	O=C(NC1CCCCC1)C1CCCN(C(=O)C2=CC3=CC=NC3C=C2)C1
ZINC44892890	Cc1ccsc1C1SCC(O)=Nc2c1c(C)nn2-c1ccccn1
ZINC44892890	Cc1ccsc1C1SCC(=O)Nc2c1c(C)nn2-c1ccccn1
ZINC64042723	CC1=C2C(=O)CC(C)(C)CC2=NC1C(=O)Nc1nc2c(s1)CCCC2
ZINC64114985	Cc1nc(NC(C)c2c(C)nn(C)c2C)c2c3c(sc2n1)CCC3
ZINC64318812	CC1CCC2C(CCCN2C(=O)c2ccc3c(c2)NC(=O)CN3C)C1
ZINC65531034	O=C1CC2(CCN(C(=O)c3ccc(-c4ccccc4Cl)o3)CC2)CN1
ZINC65547748	CC(c1cc(F)ccc1F)N(C)C(=O)NC1CCCc2c1cnn2C
ZINC65698394	CC(NC(=O)N1CCCSCC1)c1ccc(N2CCOCC2)cc1
ZINC65841555	N#Cc1ccc(NC(=O)C(=O)N2CCCC3CCCCC32)cc1Cl
ZINC66375068	O=C(C1CC(c2cc(F)ccc2F)=NO1)N1CCCC1c1ccc[nH]1
ZINC66375078	Cc1c(C(=O)N2CCCC2c2ccc[nH]2)cnn1-c1ccccc1Cl
ZINC66512896	CC(=O)c1c(C)[nH]c(C(=O)N2CC(c3ccccc3)OCC2(C)C)c1C
ZINC66982813	Cc1ccc(C(C)NC(=O)C(=O)N2CCCc3cc(F)cc(C)c32)o1
ZINC67061806	Cc1nc(CNC(=O)N2CCOC(c3ccc(F)c(F)c3)C2)cs1
ZINC67369176	Brc1cnc(N2CCC(c3c[nH]c4ncccc34)CC2)nc1
ZINC67611612	O=C(NC1CC1c1ccccc1)N1CCC(C(=O)N2CCCC2)CC1
ZINC02502529	N#CC1=C(N)Oc2cc3c(cc2C1c1cccc(Br)c1)OCO3
ZINC00348372	COC(=O)c1sc2nc3c(c(-c4ccc(C)o4)c2c1N)CCCC3
ZINC00625985	N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1cccc(Cl)c1
ZINC00658918	COc1ccc2ccccc2c1C1C(C#N)=C(N)OC2=C1C(=O)CC(C)(C)C2
ZINC00159533	CC(=O)c1oc2nc3c(c(-c4ccco4)c2c1N)CCc1ccccc1-3
ZINC04888868	CC1(C)CC(=O)C2=C(C1)OC1(CC2c2cccs2)CC(C)(C)NC(=O)N1
ZINC00686936	O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C\c1c[nH]c2ccccc12
ZINC06277084	O=C(Nc1cccc2ccccc12)N1CCN(c2ccc(O)cc2)CC1
ZINC06567008	O=C(Nc1ccc(C23CC4CC(CC(C4)C2)C3)cc1)c1ccc(=O)[nH]n1
ZINC08014431	CC1Oc2ccc(NC(=O)c3cc4c(s3)CCCCC4)cc2NC1=O
ZINC09217184	O=C1CSc2ccc(C(=O)Nc3nc4ccc(Cl)cc4s3)cc2N1
ZINC10343851	CCC1C2=C(CC(C)(C)CC2=O)Nc2ccccc2N1CC(=O)NC
ZINC11723692	O=C(Nc1ccc2c(c1)OCCCO2)c1ccc2[nH]c3c(c2c1)CCCC3
ZINC12388914	Cc1cc2oc(=O)c3c(c2c(O)c1C1=NNC(c2ccccc2)C1)CCC3
ZINC12748579	O=C(Nc1ccc2c(c1)OC1(CCCCC1)O2)c1ccc[nH]c1=S
ZINC04973636	CCC1CCc2nc3sc4c(=O)[nH]c(=O)[nH]c4c3c(C(F)(F)F)c2C1
ZINC13835469	Cc1c(C)n(C(C)c2ccccc2)c2nc(-c3ccccn3)nc(N)c12
ZINC18197455	CC1(C)CC(=O)C2=C(C1)Nc1cc3c(cc1C2c1cccc(O)c1)OCO3
ZINC18197868	Cc1n[nH]c2c1C(c1ccc(Cl)cc1)C1=C(CC(c3ccco3)CC1=O)N2
ZINC18197872	Cc1n[nH]c2c1C(c1ccc(Cl)cc1)C1=C(CC(c3ccco3)CC1=O)N2
ZINC12371973	CN1C2C=C3C(C#N)=C(N)C(C#N)(C#N)C(c4cccc(Cl)c4)C3C1CC2
ZINC01863012	Cc1cccc2cc(/C=C3/[NH+]=C([S-])NC3=O)c(N3CCCCC3)nc12
ZINC20575365	O=C(Nc1nc2ccccc2s1)c1cc2ccc3cccnc3c2[nH]1
ZINC26757975	O=C1COc2ccc(NC(=O)c3cc4c(s3)CCCCCC4)cc2N1
ZINC30289778	O=c1[nH]c(CNc2cccc3c2CCCC3)nc2c1oc1ccccc12
ZINC23080095	O=C(c1cc2ccccc2cc1O)N1CCN(c2ccccc2O)CC1
ZINC05386602	CN1C2C=C3C(C#N)=C(N)C(C#N)(C#N)C(c4ccc(Cl)cc4)C3C1CC2
ZINC38598679	CC1=C2C(N=N1)OC(N)=C(C#N)C2c1cccc(I)c1
ZINC38598682	CC1=C2C(N=N1)OC(N)=C(C#N)C2c1cccc(I)c1
ZINC38964503	CC1=NNC(SCC(=O)/N=c2\[nH]c3c(s2)CC(C)CC3)S1
ZINC38964508	CC1=NNC(SCC(=O)/N=c2\[nH]c3c(s2)CC(C)CC3)S1
ZINC43133694	O=C(Nc1ccccc1Br)N1CCN(c2ccc(O)cc2)CC1
ZINC44458633	O=C(NC12CC3CC(CC(C3)C1)C2)C1CCCN(C(=O)NC2CC2)C1
ZINC45626302	Cc1cc(Cl)ccc1-n1nnnc1-c1cc(N)ccc1Br
ZINC33071410	O=C(NC1CCCC1)C1CCCN(c2nc3cc(Cl)ccc3[nH]2)C1
ZINC00785610	COc1cc(-c2nc3sc4c(c3c(=O)[nH]2)CCC(C)C4)ccc1O
ZINC54733620	Cc1ccc(C(C)NC(=O)N2CCN(c3ccccc3O)CC2)s1
ZINC00311789	Oc1ccc(F)cc1C1=NNC(c2cc(Cl)cc3c2OCOC3)C1
ZINC04536738	Oc1ccc(Br)cc1/C=N/Nc1ncnc2ccccc12
ZINC39980400	O=C(Cn1ccc2c(Br)cccc21)N=c1[nH]c2ccccc2[nH]1
ZINC06686198	OC1=Nc2ccc(F)cc2/C1=N\Nc1nc(Cl)c(Cl)cc1Cl
ZINC26457228	C[NH+]1CCc2nc3sc4c([O-])cc(=O)[nH]c4c3c(-c3ccccc3)c2C1
ZINC57880580	Nc1nc(CSc2nc3cc(Cl)ccc3o2)nc2ccccc12
ZINC05409187	N#CC1=C(N)Oc2[nH]nc(-c3cccs3)c2C1c1cccc(Cl)c1
ZINC04115317	Cc1ccc(-c2n[nH]c3c2C(c2ccccc2F)C(C#N)=C(N)O3)c(C)c1
ZINC04494623	CC(C)(C)c1[nH]nc2c1C(c1ccc(Br)s1)C(C#N)=C(N)O2
ZINC04494623	CC(C)(C)c1n[nH]c2c1C(c1ccc(Br)s1)C(C#N)=C(N)O2
ZINC66556361	Cc1ccsc1C(=O)NNC(=O)c1oc2c(C)ccc(C)c2c1C
ZINC66980026	CC(C)c1nc2ccc(NC(=O)N3CCc4ccc(O)cc4C3)cc2s1
ZINC67613734	O=C(NC1CC1c1ccccc1)N1CCCC1c1nc2ccccc2[nH]1
ZINC06655444	CCC1=NN(c2ccc(C)cc2)C(=O)C1C/C(=C/c1ccc(Cl)cc1)C(=O)[O-]
ZINC01802018	CCCC(C(=O)[O-])N1C(=O)/C(=C/c2ccc(-c3ccc(Br)cc3)o2)SC1=S
ZINC12139850	CCCC(C(=O)[O-])N1C(=O)/C(=C\c2ccc(-c3ccc(Br)cc3)o2)SC1=S
ZINC13036517	O=C([O-])c1ccccc1-n1ncc(Sc2ccc(Br)cc2)c(Cl)c1=O
ZINC13087681	C=CCN(Cc1ccc(Cl)s1)S(=O)(=O)c1cc(C(=O)[O-])cc(C)c1C
ZINC13185922	COc1ccc2c(Cl)c(C(=O)N3CCC(C(=O)[O-])(c4ccccc4)CC3)sc2c1Cl
ZINC13236390	CN(Cc1ccc(Cl)s1)C(=O)COc1ccc(I)cc1C(=O)[O-]
ZINC13394780	O=C([O-])c1sc2cccc(F)c2c1CSc1nnc2c(Cl)cc(C(F)(F)F)cn12
ZINC14445858	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCC(=O)[O-])CCC32)C1
ZINC20627033	O=S(=O)([N-]c1ccc(I)cc1)c1cc(Cl)sc1Cl
ZINC16480926	[O-]c1c(Br)cc(Cc2ccccc2)cc1/C=N/c1ccc(CN2CCOCC2)cc1
ZINC34954314	Cc1ccc(C)c(C(=O)C2=C([O-])C(=O)N(c3nc4ccc(F)cc4s3)C2c2cccs2)c1
ZINC05238214	N#Cc1c([O-])nc(SCc2ccc(Br)cc2)nc1-c1ccccc1
ZINC36242210	O=C([O-])CC/C=C\CC1COC(c2cccc3ccccc23)OC1c1cccnc1
ZINC36242212	O=C([O-])CC/C=C\CC1COC(c2cccc3ccccc23)OC1c1cccnc1
ZINC36242248	O=C([O-])CC/C=C\CC1COC(c2ccc3ccccc3c2)OC1c1cccnc1
ZINC09233178	O=C1/C(=C/c2cn(Cc3ccccc3)c3ccccc23)C([O-])=NC(=S)N1CCc1ccccc1
ZINC36528184	Cc1ccc(N2C(=O)/C(=C\c3cc(C)n(-c4ccc(Cl)cc4)c3C)C([O-])=NC2=S)cc1C
ZINC36917706	O=C([O-])c1ccc(-c2c(Br)cc(Br)cc2Br)n1C1CC1
ZINC36374885	C=C1C2CCC3C4(C)CCCC(C)(C(=O)[O-])C4CCC3(C2)C1OC(=O)/C(C)=C\C
ZINC08964998	Cc1cc([O-])c(C2=Nc3cc(C(F)(F)F)ccc3SC(c3ccc(F)cc3)C2)c(=O)o1
ZINC09308542	Cc1nc2nc(SCc3ccc(Br)cc3)[n-]c2cc1Br
ZINC38617691	Cc1c(C(=O)C2C(C=C(Cl)Cl)C2(C)C)c([O-])n(C2CCCC2)c(=O)c1C#N
ZINC38619932	Cc1c(C(=O)C2C(C=C(Cl)Cl)C2(C)C)c([O-])n(CCc2ccccc2)c(=O)c1C#N
ZINC38626009	Cc1c(C(=O)C2C(C=C(Cl)Cl)C2(C)C)c([O-])n(Cc2ccccc2Cl)c(=O)c1C#N
ZINC38626016	Cc1c(C(=O)C2C(C=C(Cl)Cl)C2(C)C)c([O-])n(Cc2ccccc2Cl)c(=O)c1C#N
ZINC39126624	CC1CCC(C(=O)N(c2oc(-c3ccc(Br)cc3)cc2C(=O)[O-])C(C)C)CC1
ZINC39556989	COc1ccccc1N1C(=O)/C(=C\c2cn(Cc3cccc(F)c3)c3ccccc23)N=C1[S-]
ZINC39997258	N#CC(=C\c1ccc(Cl)cc1)/C([O-])=N/c1nnc(SCc2ccccc2Cl)s1
ZINC39997652	N#CC(=C\c1c(Cl)cccc1Cl)/C([O-])=N/c1nnc(SCc2ccccc2F)s1
ZINC39997695	N#CC(=C\c1ccc(Cl)c(Cl)c1)/C([O-])=N/c1nnc(SCc2ccc(F)cc2)s1
ZINC40026393	C=CCN1C(=O)C([O-])=C(C(=O)c2ccc(OCC)cc2)C1c1cccc2ccccc12
ZINC40029045	C=CCN1C(=O)C([O-])=C(C(=O)c2cccc(OC)c2)C1c1ccc(C(C)(C)C)cc1
ZINC40099218	CCCCN1C(=O)C([O-])=C(C(=O)c2sc(C)nc2C)C1c1ccc(C(C)C)cc1
ZINC40099220	CCCCN1C(=O)C([O-])=C(C(=O)c2sc(C)nc2C)C1c1ccc(C(C)C)cc1
ZINC40475803	CCOC(=O)C1Sc2nc([S-])sc2C(c2cccs2)C1C(=O)OCC
ZINC41013141	CCc1sc(/N=C([O-])/C(C#N)=C/c2ccccc2)nc1-c1ccc(Br)cc1
ZINC41013141	CCc1sc(/N=C(O)/C(C#N)=C/c2ccccc2)nc1-c1ccc(Br)cc1
ZINC41125259	CCCN1C(=O)c2cccc3c(S(=O)(=O)[N-]c4ccc(Cl)c(Cl)c4)ccc1c23
ZINC44809898	[O-]/C(=C\SCc1ccccc1)N1N=C(c2cccs2)CC1c1ccc(F)cc1
ZINC01227882	C=CCC1(C#N)C(=S)N=C2CC(C)(C)CC([O-])=C2C1c1ccc(Br)cc1
ZINC01227879	C=CCC1(C#N)C(=S)N=C2CC(C)(C)CC([O-])=C2C1c1ccc(Br)cc1
ZINC32109895	O=C([O-])[C@@H]1CC(=O)N(CC[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C(=Nc2ccc(Cl)cc2)S1
ZINC32109895	O=C([O-])C1CC(=O)N(CCC23CC4CC(CC(C4)C2)C3)/C(=N/c2ccc(Cl)cc2)S1
ZINC20595491	CCCOc1ccc(C(=O)n2c([O-])c3cc(I)ccc3nc2=S)cc1
ZINC59364798	CCO/C([O-])=C1\C(=O)/C(=C/c2cc(C)n(C3CCCCC3)c2C)S\C1=N/c1ccc(C)cc1
ZINC59364798	CCOC(=O)C1=C([O-])/C(=C/c2cc(C)n(C3CCCCC3)c2C)S/C1=N\c1ccc(C)cc1
ZINC61122700	O=S(=O)([N-]c1cc(F)cc(F)c1F)c1ccc(Br)cc1Br
ZINC39731469	Cc1ccc(C2C3=C([O-])CCCC3=NC3=NC(SCc4ccccc4Cl)=NC(=O)C32)cc1
ZINC39766112	CCCSC1=NC(=O)C2C(=N1)N=C1CC(C)(C)CC([O-])=C1C2c1cccc(Cl)c1Cl
ZINC39766116	CCCSC1=NC(=O)C2C(=N1)N=C1CC(C)(C)CC([O-])=C1C2c1cccc(Cl)c1Cl
ZINC39766372	Cc1ccc(CSC2=NC(=O)C3C(=N2)N=C2CC(C)(C)CC([O-])=C2C3c2cccs2)cc1
ZINC64919792	CC(C)c1ccc([N-]S(=O)(=O)c2ccc(CC(=O)N3CCCCC3)s2)cc1
ZINC04811471	O=[N+]([O-])c1cc(/C=N/Nc2nnc(Cl)c3ccccc23)ccc1Br
ZINC06936189	CCc1ccc(NC(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)cc1
ZINC08133031	Cc1ccccc1-n1cnnc1SCC(=O)N1c2ccccc2NC(=O)CC1C
ZINC02401764	CC1(C)CC(=O)C2=C(C1)Oc1ncn3nc(-c4ccccc4O)nc3c1C2c1ccccc1
ZINC09305911	Cc1c(C)n(Cc2cccnc2)c2ncn3nc(-c4ccc5ccccc5c4O)nc3c12
ZINC09404517	O=C(Nc1c2c(nn1-c1ccc([N+](=O)[O-])cc1)CSC2)C12CC3CC(CC(C3)C1)C2
ZINC10251976	Cc1ccc(-n2ncc3c(=O)n(NC(=O)c4ccc(C(C)(C)C)cc4)cnc32)cc1C
ZINC12438176	COC(=O)C1C2c3ccccc3OC1(C)N=c1s/c(=C\c3ccc(O)cc3)c(=O)n12
ZINC06244761	Cc1ccc(C)c2[nH]c(=O)c(C(c3nnnn3C(C)(C)C)N3CCCc4ccccc43)cc12
ZINC09668844	CC(Sc1nnc2c3ccccc3n(C)c2n1)C(=O)Nc1nc2ccccc2s1
ZINC14471722	O=[N+]([O-])c1cccc(C2Nc3ccc(S(=O)(=O)N4CCCCC4)cc3C3C=CCC32)c1
ZINC20556170	Clc1ccc(C2N=C3NCN(Cc4ccco4)CN3c3nc4ccccc4n32)cc1
ZINC20556987	Cc1cc(Cl)ccc1NC(=O)C1CCCN(c2ncnc3c2nc2n3CCCCC2)C1
ZINC20901841	COc1cc(OC)c(-c2nc3c(c(=O)[nH]2)Cc2cc(Br)ccc2O3)cc1OC
ZINC24894248	c1csc(-c2cccc3ccc(N4CCN(c5ncnc6nc[nH]c56)CC4)nc23)c1
ZINC24895425	c1cc(-c2ccsc2)c2nc(N3CCN(c4ncnc5nc[nH]c45)CC3)ccc2c1
ZINC27520426	O=C(/C=C/c1cccc([N+](=O)[O-])c1)Nc1cc2cc(Br)ccc2oc1=O
ZINC28053324	COc1cccc(C2Oc3ccccc3C3=C2C(c2ccccc2)n2nnnc2N3)c1
ZINC28053333	COc1cccc(C2Oc3ccc(C)cc3C3=C2C(c2ccccc2)n2nnnc2N3)c1
ZINC28053369	CCOc1ccc(C2Oc3ccccc3C3=C2C(c2ccccc2)n2nnnc2N3)cc1
ZINC28054150	COc1cccc(C2Oc3ccccc3C3=C2C(c2ccc(C)cc2)n2nnnc2N3)c1
ZINC28054961	COc1cccc(C2Oc3ccc(C)cc3C3=C2C(c2ccc(F)cc2)n2nnnc2N3)c1
ZINC28056268	COc1ccccc1C1Oc2ccccc2C2=C1C(c1cccc(F)c1)n1nnnc1N2
ZINC28056486	COc1cccc(C2C3=C(Nc4nnnn42)c2ccccc2OC3c2cccc(F)c2)c1
ZINC28056498	COc1cccc(C2C3=C(Nc4nnnn42)c2ccccc2OC3c2ccccc2F)c1
ZINC28056748	COc1cccc(C2C3=C(Nc4nnnn42)c2cc(C)ccc2OC3c2ccc(F)cc2)c1
ZINC28057483	COc1ccccc1C1Oc2ccc(C)cc2C2=C1C(c1ccccc1F)n1nnnc1N2
ZINC28057920	COc1ccccc1C1C2=C(Nc3nnnn31)c1ccccc1OC2c1ccc(Cl)cc1
ZINC28060444	COc1ccc(C2Oc3ccccc3C3=C2C(c2cccs2)n2nnnc2N3)cc1
ZINC28286067	CC1(C)Cc2c(c(N3CCCC3)nc3sc4c(Nc5ccccn5)ncnc4c23)CO1
ZINC29847287	CC(C)(C)c1ccc(C2(C)NC(=O)N(Cc3cc(=O)n4cc(Cl)ccc4n3)C2=O)cc1
ZINC04507708	O=C1OC(c2ccccc2Br)=N/C1=C/Nc1cc([N+](=O)[O-])ccc1Cl
ZINC34679140	C=CCNC(=O)N1CCc2nc(N3CCC(C)CC3)nc(N3CCC(C)CC3)c2C1
ZINC02542293	COC(=O)c1ccc(C2Oc3ccccc3C3=C2C(c2cccs2)N2NC=NC2=N3)cc1
ZINC38742293	CC1=CC(c2nnc3n2NC(c2cc(-c4cccs4)nc4ccccc24)S3)N=N1
ZINC39590575	Oc1ccc2ccccc2c1/C=N/N1C(S)N=NC1C1C=C(c2ccccc2)N=N1
ZINC39592569	CN(C)c1ccc(C2=NN3C(=NNC3C3C=C(c4ccc(F)cc4)N=N3)S2)cc1
ZINC39699000	O=C(COC(=O)c1c(Cl)ccc(Cl)c1Cl)/[NH+]=C1\C=CC2=NC([O-])=NC2=C1
ZINC39994161	Cc1cccc(NC(=O)/C(C#N)=C/c2c(N3CCCCCC3)nc3c(C)cccn3c2=O)c1
ZINC39994268	Cc1cccc(NC(=O)/C(C#N)=C/c2c(N3CCCC(C)C3)nc3c(C)cccn3c2=O)c1
ZINC40011589	CC(=O)c1cccc(NC(=O)N2CCCN(c3nc4c(C)c(C)ccc4cc3C#N)CC2)c1
ZINC40399085	O=c1c2cc3c(=O)n(-c4ccn[nH]4)ccc3nc2ccn1-c1cc(Cl)cc(Cl)c1
ZINC40647624	O=[N+]([O-])c1c(Nc2ccccc2Br)ncnc1N1CCc2ccccc2C1
ZINC45202876	Cc1nc2c(Nc3nc(-c4ccncc4)cs3)ncnc2n1-c1ccccc1Cl
ZINC19633733	COc1ccc(C2CC(=O)C3=C(C2)Nc2nc4ccccc4n2C3c2ccco2)cc1OC
ZINC17092575	Brc1ccccc1OCc1ccc(-c2nc3c4c[nH+]nc-4ncn3[n-]2)cc1
ZINC17092575	Brc1ccccc1OCc1ccc(-c2nc3c4cn[nH]c4ncn3n2)cc1
ZINC56934131	Cc1c(C(=O)Nc2nc3ccc(Cl)cc3s2)nnn1-c1nc2c(s1)CCCC2
ZINC39277171	CC(=O)c1s/c(=N\C(=O)CCC2C(=O)Oc3cc4occ(C)c4cc3C2C)[nH]c1C
ZINC64790728	O=C(Nc1nc2n(n1)C(c1c(F)cccc1Cl)CC(c1ccccc1)=N2)c1ccco1
ZINC65361803	Cc1cc(N2CCCCC2)nc(N2CCN(C(=O)Nc3ccc(C)c(F)c3)CC2)n1
ZINC03153252	O=[N+]([O-])c1cc(Br)c([O-])c(/C=N/c2cc(Cl)ccc2O)c1
ZINC04151471	O=C([O-])c1cccc2c1NC(c1ccccc1[N+](=O)[O-])C1Cc3ccccc3C21
ZINC04489125	Cc1noc(NC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C(=O)[O-])c1C
ZINC04959423	O=C([O-])c1ccc2c(c1)C1C=CCC1C(c1cc([N+](=O)[O-])ccc1Cl)N2
ZINC04959424	O=C([O-])c1ccc2c(c1)C1C=CCC1C(c1cc([N+](=O)[O-])ccc1Cl)N2
ZINC00784493	O=C([O-])c1ccc(Nc2nc(-c3cc4ccccc4oc3=O)cs2)cc1
ZINC13402427	O=C([O-])c1ccc(C2Nc3c(Cl)ccc([N+](=O)[O-])c3C3C=CCC32)cc1
ZINC13465966	O=C([O-])C1C2C=CC(C2)C1C(=O)Nc1ccc(Br)c(C(F)(F)F)c1
ZINC14186261	O=C([O-])c1ccccc1C1Nc2ccc([N+](=O)[O-])cc2C2c3ccccc3CC12
ZINC16934159	CN1C(=O)/C(=C/c2c[nH]c3ccccc23)S/C1=N\c1ccccc1C(=O)[O-]
ZINC17087397	N#Cc1c(NC(=O)C2CC=CCC2C(=O)[O-])sc2c1CCC(c1ccccc1)C2
ZINC05819733	CCCC(c1c([O-])c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O
