CHEMBL192145	C#CCCCn1c(Sc2cc(OC)ccc2Br)nc2c(N)ncnc21
CHEMBL511439	COC1/C=C\C=C(/C)C(=O)Nc2ccc(O)c(c2)CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O
CHEMBL200255	NS(=O)(=O)c1ccc(CNC(=O)c2c[nH]nc2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL200255	NS(=O)(=O)c1ccc(CNC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL339231	COC1/C=C\C=C(/C)C(=O)/N=C2/C=C(O)C(=[N-])C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O
CHEMBL339231	COC1/C=C\C=C(/C)C(=O)/N=C2/C=C(O)C(=N)C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O
CHEMBL204734	CCc1cc(-c2[nH]nc(C)c2-c2cccc3c2OCCO3)c(O)cc1O
CHEMBL204734	CCc1cc(-c2n[nH]c(C)c2-c2cccc3c2OCCO3)c(O)cc1O
CHEMBL457042	Cc1ccc(-c2snnc2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL517583	CCOc1ccc(-c2snnc2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL515048	COc1ccc(-c2snnc2-c2cc(Cl)c(O)cc2O)cc1OC
CHEMBL454733	COc1ccc(-c2snnc2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL178130	CCc1cc(-c2n[nH]c(C(=O)[O-])c2-c2ccc3c(c2)OCO3)c(O)cc1O
CHEMBL178130	CCc1cc(-c2[nH]nc(C(=O)[O-])c2-c2ccc3c(c2)OCO3)c(O)cc1O
CHEMBL360563	CCc1cc(-c2n[nH]cc2-c2c[nH]cn2)c(O)cc1O
CHEMBL360563	CCc1cc(-c2[nH]ncc2-c2cnc[nH]2)c(O)cc1O
CHEMBL360563	CCc1cc(-c2[nH]ncc2-c2c[nH]cn2)c(O)cc1O
CHEMBL360563	CCc1cc(-c2n[nH]cc2-c2cnc[nH]2)c(O)cc1O
CHEMBL377559	C=CCNc1c(O)cc2c(O)c1CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C(/C)C(=O)N2
CHEMBL371380	COc1ccc(-c2c(C)n[nH]c2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL371380	COc1ccc(-c2c(-c3cc(Cl)c(O)cc3O)n[nH]c2C)cc1
CHEMBL426446	COc1ccc(-c2c(-c3cc(Cl)c(O)cc3O)n[nH]c2C(=O)[O-])cc1
CHEMBL426446	COc1ccc(-c2c(C(=O)[O-])n[nH]c2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL377045	CCCCn1c(Sc2nc3cncc(Br)c3s2)nc2c(N)ncnc21
CHEMBL212133	CCOP(=O)(CCn1c(Sc2nc3cncc(Br)c3s2)nc2c(N)ncnc21)OCC
CHEMBL362307	Oc1ccc2c(-c3cc(Cl)c(O)cc3O)noc2c1
CHEMBL1213898	Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCCc1cn(CCCO)nn1
CHEMBL1213899	Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCCCc1cn(CCCO)nn1
CHEMBL109480	C=CC/N=C1\C(O)=C/C2=N/C(=O)/C(C)=C/C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL109480	C=CC/N=C1/C(O)=C/C2=N/C(=O)/C(C)=C/C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL377024	CC(=O)OCCCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL338987	C=CC/N=C1\C(O)=C/C2=N/C(=O)/C(C)=C/C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL338987	C=CC/N=C1/C(O)=C/C2=N/C(=O)/C(C)=C/C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL193282	C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21
CHEMBL467399	COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C
CHEMBL254875	Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Br
CHEMBL254875	Oc1cc(O)c(-c2noc3ccc(NCC[NH+]4CCOCC4)cc23)cc1Br
CHEMBL402712	C[NH+]1CCN(c2ccc3onc(-c4cc(Cl)c(O)cc4O)c3c2)CC1
CHEMBL402712	CN1CCN(c2ccc3onc(-c4cc(Cl)c(O)cc4O)c3c2)CC1
CHEMBL212850	CCOP(=O)(CCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21)OCC
CHEMBL190182	CCNC(=O)c1[nH]nc(-c2cc(Br)c(O)cc2O)c1-c1ccc(OC)cc1
CHEMBL190182	CCNC(=O)c1n[nH]c(-c2cc(Br)c(O)cc2O)c1-c1ccc(OC)cc1
CHEMBL213262	CCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL377958	CCCCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL207307	CS(=O)(=O)c1ccc(CN2CCN(c3c[nH]nc3-c3cc(Br)c(O)cc3O)CC2)cc1
CHEMBL207307	CS(=O)(=O)c1ccc(C[NH+]2CCN(c3cn[nH]c3-c3cc(Br)c(O)cc3O)CC2)cc1
CHEMBL207307	CS(=O)(=O)c1ccc(C[NH+]2CCN(c3c[nH]nc3-c3cc(Br)c(O)cc3O)CC2)cc1
CHEMBL207307	CS(=O)(=O)c1ccc(CN2CCN(c3cn[nH]c3-c3cc(Br)c(O)cc3O)CC2)cc1
CHEMBL251974	Oc1cc(O)c(-c2n[nH]cc2N2CCN(Cc3ccccc3)CC2)cc1Cl
CHEMBL251974	Oc1cc(O)c(-c2[nH]ncc2N2CC[NH+](Cc3ccccc3)CC2)cc1Cl
CHEMBL251974	Oc1cc(O)c(-c2n[nH]cc2N2CC[NH+](Cc3ccccc3)CC2)cc1Cl
CHEMBL251974	Oc1cc(O)c(-c2[nH]ncc2N2CCN(Cc3ccccc3)CC2)cc1Cl
CHEMBL378338	Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCN1CCOCC1
CHEMBL378338	Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CC[NH+]1CCOCC1
CHEMBL379641	Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCCCO
CHEMBL273986	C#CCCCn1c(Sc2cc(OC)ccc2OC)nc2c(N)ncnc21
CHEMBL192647	C#CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21
CHEMBL399530	CCc1cc(-c2n[nH]c(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O
CHEMBL399530	CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O
CHEMBL213801	CCCCn1c(Sc2nc3cccc(F)c3s2)nc2c(N)ncnc21
CHEMBL386882	CCCCn1c(Sc2nc3cccc(Br)c3s2)nc2c(N)ncnc21
CHEMBL278315	COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C(/C)C(=O)/N=C(/C=C1[O-])C2=O
CHEMBL215947	Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CC[NH2+]C1CC1
CHEMBL377631	CC(=O)OCCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL212076	CC(=O)OCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL208239	CS(=O)(=O)c1ccc(CN2CCN(c3c[nH]nc3-c3cc(Cl)c(O)cc3O)CC2)cc1
CHEMBL208239	CS(=O)(=O)c1ccc(C[NH+]2CCN(c3cn[nH]c3-c3cc(Cl)c(O)cc3O)CC2)cc1
CHEMBL208239	CS(=O)(=O)c1ccc(C[NH+]2CCN(c3c[nH]nc3-c3cc(Cl)c(O)cc3O)CC2)cc1
CHEMBL208239	CS(=O)(=O)c1ccc(CN2CCN(c3cn[nH]c3-c3cc(Cl)c(O)cc3O)CC2)cc1
CHEMBL379544	Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCCO
CHEMBL209522	Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCO
CHEMBL511618	COC1CC/C=C(\C)C(=O)Nc2cc(Cl)c(O)c(c2)CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O
CHEMBL386499	CCCCn1c(Sc2nc3cccc(C)c3s2)nc2c(N)ncnc21
CHEMBL453386	CC1CC2OC2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
CHEMBL469932	COC1CC/C=C(\C)C(=O)Nc2cccc(c2)CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O
CHEMBL512489	COC1CC/C=C(\C)C(=O)Nc2ccc(O)c(c2)CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O
CHEMBL191268	CCCCn1c(Sc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21
CHEMBL424811	CNC(=O)c1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1
CHEMBL424811	CNC(=O)c1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1
CHEMBL200469	CC(=O)c1ccc(NC(=O)c2c[nH]nc2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL200469	CC(=O)c1ccc(NC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1
CHEMBL368483	C=CC/N=C1\C(O)=C/C2=N/C(=O)/C(C)=C/C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL368483	C=CC/N=C1/C(O)=C/C2=N/C(=O)/C(C)=C/C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL377371	CCOP(=O)(CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21)OCC
CHEMBL386780	CC(C)[NH2+]CCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL211528	CC(C)(C)[NH2+]CCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL378352	C=CC/N=C1\C(O)=C/C2=N/C(=O)/C(C)=C\C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL378352	C=CC/N=C1/C(O)=C/C2=N/C(=O)/C(C)=C\C=C\C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O
CHEMBL191786	COc1cc(Sc2nc3c(N)nc(F)nc3n2CCOC(C)C)c(Cl)c(OC)c1OC
CHEMBL209356	COC1/C=C\C=C(/C)C(=O)Nc2cc(O)c(N)c(c2O)CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O
CHEMBL191074	Cc1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc2c(c1)OCCO2
CHEMBL191074	Cc1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc2c(c1)OCCO2
CHEMBL421647	COC1/C=C\C=C(/C)C(=O)/N=C2/CC(=O)C(NCCF)=C(CC(C)CC(OC)C(O)C(C)/C=C(\C)C1OC(N)=O)C2=O
CHEMBL191241	C#CCCCn1c(Sc2cccc(OC)c2)nc2c(N)ncnc21
CHEMBL384763	CC(C)(C)[NH2+]CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL215657	CC(C)(C)C[NH2+]CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21
CHEMBL365617	CCNC(=O)c1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1
CHEMBL365617	CCNC(=O)c1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1
CHEMBL112953	C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21
CHEMBL191635	C#CCCCn1c(Sc2cc(OC)ccc2I)nc2c(N)ncnc21
CHEMBL365159	C#CCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21
CHEMBL364968	COc1ccc(-c2c(C)n[nH]c2-c2cc(Br)c(O)cc2O)cc1
CHEMBL364968	COc1ccc(-c2c(-c3cc(Br)c(O)cc3O)n[nH]c2C)cc1
