ZINC04717953	CC1(C(=O)[O-])CCC(C(=O)N2CCCC2)C1(C)C
ZINC36207614	CC(O)C[NH+](Cc1nc2scc(-c3ccccc3)c2c(=O)[nH]1)C1CCCCC1
ZINC36298152	Cc1sc2nc(-c3ccc4c(c3)OCO4)c(CC[NH3+])n2c1-c1ccc(F)cc1
ZINC04730104	CCOc1ccccc1C1N=C(c2ccc(OC)cc2)CC(c2ccccc2O)[NH2+]1
ZINC04730108	CCOc1ccccc1C1N=C(c2ccc(OC)cc2)CC(c2ccccc2O)[NH2+]1
ZINC38517879	CN1CCc2cc(C(CNC(=O)NCc3ccc(F)cc3)[NH+]3CCCCC3)ccc21
ZINC38789942	CCCc1ccc2c(c1)=CC(CNc1ccc(N3CCCC(O)C3)cc1)C(=O)[NH+]=2
ZINC39226401	C[NH+]1CCC2(CC1)CC(O)c1cc(-c3cccc(C(=O)NCC(C)(C)C)c3)ccc1O2
ZINC39442345	Cc1cc2nc(C[NH+](C)CC3NC(c4cc(F)ccc4F)OC3C)[nH]c2cc1C
ZINC39529533	CC(C)Cc1cc(S(=O)(=O)C(C)C)ccc1N1CC[NH2+]C(c2ccccc2O)C1
ZINC39637440	CCCCC(C)C(=O)N1CC(C(=O)NC2CCCC(C)C2C)C2(CC[NH2+]CC2)C1
ZINC40012768	O=C(NCC(c1ccccc1Cl)[NH+]1CCCC1)c1cc2ccccc2c(=O)[nH]1
ZINC12786584	CC(NC(c1ccccc1)C(C)C)c1nc(=O)c2c(-c3ccco3)csc2[nH]1
ZINC12786590	CC(NC(c1ccccc1)C(C)C)c1nc(=O)c2c(-c3ccco3)csc2[nH]1
ZINC40152873	Cc1ccc(-c2c(C)sc3nc(C[NH+](CCO)C4CCCC4)[nH]c(=O)c23)cc1
ZINC44360745	CCOC(=O)C([NH3+])Cc1c(-c2ccc(Cl)cc2)nc2ccc(Br)cn12
ZINC39231327	CC1CN(c2ccc(C(=O)NC(c3ccccc3)c3ccc(Cl)cc3)cn2)CC[NH2+]1
ZINC39231243	CC(NC(=O)c1ccc(N2CC[NH2+]C(c3ccccc3)C2)nc1)c1ccc(Cl)cc1
ZINC45606836	CC(C(=O)Nc1ccccc1C(F)(F)F)[NH+]1CCCC(C(=O)Nc2ccccc2)C1
ZINC45841504	Cc1ccc(NC(=O)C(C)[NH+]2CCCC(C(=O)Nc3ccccc3)C2)c(Cl)c1
ZINC45878918	O=C(NCc1ccc(N2CCCCC2)[nH+]c1)Nc1ccccc1SC(F)F
ZINC04554396	CC1CCc2c(sc(NC(=O)C[NH+]3CCCC3)c2C(=O)Nc2ccccc2F)C1
ZINC56528407	C[NH+](C)C1(CNC(=O)CNC(=O)c2sc3ccccc3c2Cl)CCCC1
ZINC56853859	CC(NC(=O)NC1CCN(c2cccc[nH+]2)CC1)c1ccccc1C(F)(F)F
ZINC57152861	CC1(C)CC(NC(=O)c2ccc(-n3ccc(C(F)(F)F)n3)cc2)CC(C)(C)[NH2+]1
ZINC58407161	CC(C)(CNC(=O)NCC1CCN(c2ccc(F)c(F)c2)C1)[NH+]1CCCCC1
ZINC58415919	CC(CNC(=O)NCC1CCN(c2ccc(F)cc2)C1)[NH+]1CCc2ccccc2C1
ZINC60207318	CC(C)[NH+]1CCCC(CNC(=O)c2cc3ccccc3cc2NC(=O)C2CC2)C1
ZINC61293844	CC[NH2+]C(C)(C)C(=O)Nc1c(Br)cc(Br)cc1C(=O)OC
ZINC63264729	Cc1cc(N2CC[NH+](C)CC2)ccc1NC(=O)NC1(c2ccc(F)cc2)CCC1
ZINC63281687	COc1cccc(C2N/C(=C\C(=O)NCCC3=c4cc(F)ccc4=[NH+]C3)CS2)c1
ZINC63752695	Cc1ccc2c(c1)=C(NC(=O)c1ccc(F)cc1)C(C(=O)NC1CCCCC1)[NH+]=2
ZINC63752764	Cc1ccc2c(c1)=C(NC(=O)c1ccc(F)cc1)C(C(=O)NCc1ccccc1F)[NH+]=2
ZINC63920239	O=C(CSC1Nc2ccccc2S1)Nc1nc(C2=c3ccccc3=[NH+]C2)cs1
ZINC64007142	OCCOc1cccc(CN2CCC3=c4ccccc4=[NH+]C3C2c2cccc(O)c2)c1
ZINC64538686	Cc1ccc2c(c1)=C(NC(=O)c1ccccc1)C(C(=O)NCc1ccccc1C)[NH+]=2
ZINC64609947	CC1=c2cc(Cl)cc(CNC(=O)CC3CCC(=O)N3)c2=[NH+]C1c1ccccc1
ZINC65963550	CC(NC(=O)C[NH+]1CCC(NC(=O)C2CCCCC2)CC1)C1CC2CCC1C2
ZINC65964153	O=C(C[NH+]1CCC(C(=O)NC2CCCCC2)CC1)NCc1ccc(Cl)s1
ZINC04281248	CC1(C)Cc2c(sc(NC(=O)/C=C/c3ccccc3)c2C#N)C(C)(C)[NH2+]1
ZINC04311446	Cc1c(Br)cc(C(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)c(C)c1C
ZINC01729661	OC(c1cc(-c2ccccc2)nc2c1ccc1ccccc12)C1CCCC[NH2+]1
ZINC04554097	CC(C)[NH+]1CCc2c(sc3c2C(O)=NC(c2ccc4ccccc4c2)N3)C1
ZINC00725879	CC(C)[NH2+]C(NC(=O)c1ccc(C(C)(C)C)cc1)C(Cl)(Cl)Cl
ZINC04697284	C/C(=N\NC(=O)C1(C)[NH2+]C(C)(C)Cc2ccccc21)c1ccccc1
ZINC04729280	COc1ccc(C2=NC(c3ccc(C)cc3)[NH2+]C(c3ccccc3O)C2)cc1
ZINC04729702	CCCC1N=C(c2cccc(Br)c2)CC(c2ccccc2O)[NH2+]1
ZINC04730026	Cc1ccc(C2=NC(C3CCCCC3)[NH2+]C(c3ccccc3O)C2)cc1
ZINC06584689	Oc1c(Cl)c(Cl)c2c(c1Cl)CC(Nc1cccc[nH+]1)O2
ZINC06584691	Oc1c(Cl)c(Cl)c2c(c1Cl)CC(Nc1cccc[nH+]1)O2
ZINC06808785	COc1ccc(C2=NC(c3sccc3C)[NH2+]C(c3ccccc3O)C2)cc1
ZINC07540799	CC(O)c1ccc(-c2ccc(C[NH2+]C3C4CC5CC(C4)CC3C5)o2)cc1
ZINC07616272	CC1(C)CC(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)CC(C)(C)[NH2+]1
ZINC00408729	COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2Cl)[NH2+]1
ZINC00408731	COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccccc2Cl)[NH2+]1
ZINC11818317	CC1(C)Cc2c(cnn2-c2ccc(F)cc2)C([NH2+]Cc2cc3ccccc3[nH]2)C1
ZINC12474483	CC(C)(C)C1c2[nH]c3ccccc3c2CC[NH+]1Cc1cc2ccccc2[nH]c1=O
ZINC15348529	S=C(NCC1([NH+]2CCCCC2)CCCCC1)NC1CC2CCC1C2
ZINC19595403	CC1(C)CC(Nc2nc(Cl)c(C#N)c(Cl)c2Cl)CC(C)(C)[NH2+]1
ZINC19969215	Cc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(F)cc1Br
ZINC19969216	Cc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(F)cc1Br
ZINC19970279	[NH3+]C(c1ccc(Br)cc1)c1cc(Cl)cc([N+](=O)[O-])c1
ZINC20023815	Cc1cc(C([NH3+])c2ccc(Br)cc2F)cc([N+](=O)[O-])c1C
ZINC20875900	CCC(CO)[NH2+]Cc1ccc(-c2ccc(Br)cc2C)o1
ZINC21812712	Cc1cc([N+](=O)[O-])cc(C([NH3+])c2cc(Cl)ccc2Cl)c1C
ZINC22635209	CC(C)[NH+]1CCc2c(sc3c2C(O)=NC(c2ccc(C(C)(C)C)cc2)N3)C1
ZINC23369058	c1ccc2[nH]c(-c3ccc(N4CCC([NH2+]C5CCOCC5)CC4)cc3)cc2c1
ZINC28296764	Cc1c(C)n(CC(O)C[NH2+]C(C)c2ccccc2)c2c(Cl)cccc12
ZINC31972779	CCc1sc2ncc(CC[NH3+])n2c1-c1ccc(C(C)(C)C)cc1
ZINC31973925	CC1CCc2c(sc3nc(-c4ccc(Cl)cc4)c(C[NH3+])n23)C1
ZINC35173285	CC(C)(C)CC(C)(C)Nc1c(-c2cccc(O)c2)[nH+]c2ccccn12
ZINC35382217	CCOc1cc(Cl)c(C([NH3+])c2ccc(C)s2)cc1OCC
ZINC37034358	[NH3+]C(c1cc(F)cc(Br)c1)c1cc2c(cc1Cl)OCCO2
ZINC37105917	COc1ccc(C(C)[NH2+]C(C)c2ccc(O)cc2)cc1Br
ZINC37226119	CCOc1ccc(Br)cc1C([NH3+])c1ccc(C)c(OC)c1
ZINC37395428	O=C(C[NH2+]C1CCCC1)Nc1c(Cl)cc(Br)cc1Cl
ZINC39500164	Cc1ccc(N2N=CC3C([NH2+]Cc4cc5ccccc5[nH]4)CCCC32)cc1C
ZINC39951147	CCC12CCN3CC(CC)(C[NH+](C1)C3c1c(O)ccc3ccccc13)C2O
ZINC39951246	CCCC12CN3CCC(CC)(C[NH+](C1)C3c1c(O)ccc3ccccc13)C2O
ZINC42167144	Cc1cc(I)ccc1NC(=O)CC1CCC[NH2+]1
ZINC42956502	CCOc1ccc(OC(c2ccc(Br)cc2)C(C)[NH3+])cc1
ZINC43366635	CCC([NH3+])C(Oc1ccc(C)cc1Br)c1ccc(C)o1
ZINC00026124	CC(NC(=S)Nc1ccc(Br)c[nH+]1)C1CCCCC1
ZINC00026124	CC(NC(=S)Nc1ccc(Br)cn1)C1CCCCC1
ZINC58402372	COc1ccc(C)cc1C(C)[NH2+]Cc1ccc(O)c(Br)c1
ZINC62890126	CCC1(C(=O)Nc2c(Cl)cc(Br)cc2Cl)CC[NH2+]C1
ZINC63664096	Cc1ccc2c(c1)=C(CCNC(=S)Nc1ccccc1Cl)C(C)[NH+]=2
ZINC63743847	O=C(Nc1ccc(F)cc1)Nc1ccc(C2C=c3cc(Cl)ccc3=[NH+]2)cc1
ZINC63743887	O=C(Nc1ccc(C2C=c3cc(Cl)ccc3=[NH+]2)cc1)Nc1cccc(F)c1
ZINC65298476	Cc1ccc(C2CC(c3ccccc3O)=NC3(CC[NH+](C(C)C)CC3)N2)cc1
ZINC01085752	CC1CC(O)(CC(O)(c2ccccc2)c2ccccc2)C(C)C[NH+]1C
ZINC01727261	C[NH+]1C(C)(C)CC(O)(C(O)(c2ccccc2)c2ccccc2)CC1(C)C
ZINC11737468	CN(C)c1ccc(C([NH3+])c2nc(-c3ccc(Cl)cc3)cs2)cc1
ZINC19565452	Cc1c(C[NH+]2CCC(O)(c3ccc(F)cc3)CC2)[nH]c2ccc(F)cc12
ZINC19981855	COc1ccc(C([NH3+])c2cc(Cl)ccc2Cl)cc1OC
ZINC20184484	Cc1ccc(C)c(-c2nc(-c3cccnc3)sc2CC[NH3+])c1
ZINC20392873	Cc1ccn2c(-c3ccc(Br)cc3)c(CC[NH3+])nc2c1
ZINC20426265	COc1cc(Br)c(C([NH3+])c2cc(F)cc(F)c2)cc1OC
ZINC21516775	COc1cc(C(C)[NH2+]C(C)c2ccc(Cl)cc2)ccc1O
ZINC21814451	CC([NH2+]C1COc2cc(O)ccc21)c1ccc(Cl)c(Cl)c1
ZINC23214110	O=C(Nc1cccc2c1CCC2)c1ccc(C2CCC[NH2+]2)s1
ZINC31972647	Cc1csc2nc(-c3ccc(C(C)(C)C)cc3)c(CC[NH3+])n12
ZINC31972749	Cc1sc2ncc(CC[NH3+])n2c1-c1ccc2c(c1)CCCC2
ZINC31973459	Cc1ccc(-c2nc3scc(-c4ccc(C)cc4)n3c2C[NH3+])cc1
ZINC31973887	CCc1c(C)sc2nc(-c3ccc(Cl)c(C)c3)c(C[NH3+])n12
ZINC34666684	C[NH2+]C(C)c1c(F)cccc1Sc1nc2ccccc2[nH]1
ZINC35507357	C[NH2+]C(c1cc2c(cc1Cl)NC(=O)C2)c1ccccc1Br
ZINC35724580	CCC(C)(C)C1CCC(C[NH3+])C(Sc2nncs2)C1
ZINC37020843	CC(NC(=O)C1CC2CCCCC2[NH2+]1)c1ccc(Cl)s1
ZINC37122982	COc1cc(C(C)[NH2+]C(C)c2cc(C)sc2C)ccc1O
ZINC37129054	Cc1n[nH]c(C)c1C[NH2+]C(C)(C)c1ccc(Br)cc1
ZINC04988861	CC(C)(C)c1cc(C[NH+]2CCCC(O)C2)c(O)c(C(C)(C)C)c1
ZINC38018778	O=C(NCc1ccc(Br)s1)C1CC2CCCCC2[NH2+]1
ZINC38074034	COc1ccc(C([NH3+])c2ccc3c(c2)CCO3)cc1Br
ZINC41015391	CC([NH2+]Cc1cc[nH]n1)c1ccc(Cl)c(Cl)c1Cl
ZINC41140793	Cc1c(Cl)cccc1N1N=C(CC[NH3+])CC1c1ccccc1
ZINC41141595	Cc1ccc(C2CC(CC[NH3+])=NN2c2cc(C)ccc2C)cc1
ZINC41141872	Cc1ccc(C)c(-n2nc(CC[NH3+])cc2-c2ccc(F)cc2)c1
ZINC41516329	[NH3+]CC(CN1CCOCC1)c1ccc(C2CCCCC2)cc1
ZINC42963841	COc1ccc(C(Oc2cc(C)ccc2Cl)C(C)[NH3+])cc1
ZINC43094854	CC([NH3+])C(Oc1cccc(C#N)c1)c1ccccc1Br
ZINC43124744	CC([NH3+])C(Oc1ccc(Cl)c2cccnc12)c1ccsc1
ZINC43298336	CC(C)(C)C1CCC(C[NH3+])C(n2ccc(C(F)(F)F)n2)C1
ZINC43639916	CC[NH2+]C(c1ccc2c(c1)CC(=O)N2)c1ccc(CC)s1
ZINC45047742	CC([NH3+])C(c1ccc(Cl)cc1)n1ccnc1-c1cccs1
ZINC49128074	CCC([NH2+]C1C(=O)Nc2c(Br)cc(F)cc21)C(C)C
ZINC50524192	CCC([NH3+])C(c1ccc(Br)s1)n1ncc2ccccc21
ZINC50589037	CCC([NH3+])C(c1cccc(C)c1)n1nc(C)c(Br)c1C
ZINC51546812	Cc1ccc(C(C)C)c(Oc2ncc(Br)cc2C[NH3+])c1
ZINC53756791	COc1c(C)cnc(CC(C)([NH3+])c2ccc(Br)cc2)c1C
ZINC54999119	CCN(c1nc(C(C)(C)C)c(C[NH3+])s1)c1ccccc1F
ZINC57802142	Cc1cc2nc(C(Cl)(Cl)Cl)n(C(C)C[NH3+])c2cc1C
ZINC57802171	Cc1ccc(/C=C/c2nc3cc(C)c(C)cc3n2C(C)C[NH3+])cc1
ZINC57804968	CCC([NH3+])Cn1c(C(C)(C)C)nc2cc(Cl)c(Cl)cc21
ZINC57805671	Cc1ccccc1-c1nc2cc(F)c(F)cc2n1CCC[NH3+]
ZINC57805686	Cc1ccccc1-c1nc2cc(F)c(F)cc2n1C(C)C[NH3+]
ZINC62012237	Cc1ccc(C(C(C)[NH3+])N(C)C(C)c2ccc(Cl)cc2)o1
ZINC62199181	Cc1cccc(-n2c(-c3ccccc3)ccc(C[NH3+])c2=O)c1C
ZINC62199528	Cc1ccc(-c2cc(C)c(C[NH3+])c(=O)n2-c2ccccc2)cc1
ZINC62776406	C[NH2+]C(c1cc[nH]n1)c1cc(Br)sc1Br
ZINC03819784	S=c1[nH]cc(CC2CC=CC2)[nH]1
ZINC01619827	O=C1NC2(CCCC2)C2CCCCC12O
ZINC06744150	CC(NO)c1ccc2ccccc2c1
ZINC14982209	OCC1CC2C3CC(CO)C(C3)C2C1
ZINC14984191	Oc1cc(Cl)c2c(Cl)n[nH]c2c1
ZINC00082236	Cc1csc(C(N)=O)c1Cl
ZINC01613148	C/C=C(\C)C1(O)CCCCC1O
ZINC02656379	Cc1nn(-c2ccc(F)cc2)c(C)c1N
ZINC05211471	CC1CCC(C(C)(C)O)CC1O
ZINC06482759	CC12CCC(O)CC1CCCC2O
ZINC08655544	CC12CCC(O)CC1CCCC2O
ZINC11985027	Cc1ccc(Cl)c2c1NCC(CO)C2
ZINC16266555	Cc1n[nH]c(=S)c2[nH]c3ccccc3c12
ZINC16954042	C=C(C)C1CCC2(C)CCC(O)C(C)C2(O)C1
ZINC19836371	CSc1ccc(C(C)(N)C#N)cc1
ZINC19875063	Nc1ccc2c(c1)N(C(F)F)CC2
ZINC28970284	O=C1NCCc2[nH]c(-c3ccccc3)cc21
ZINC31262374	O=C1Nc2ccccc2/C1=C\c1ccc[nH]1
ZINC31886642	Cc1nn(-c2ccccc2)c(N)c1S
ZINC34940027	CC1CC1c1nc2ccc(N)cc2o1
ZINC02548556	Cn1nc(-c2cc(F)cc(F)c2)cc1N
ZINC36142774	Nc1cc(Cl)cc2c1OCCC2=O
ZINC36683682	Nc1ccc2ncc(Br)n2c1
ZINC37745304	CCC(C)c1csc(N)c1C#N
ZINC37756111	Nc1ccc2c(c1)N(CC(F)F)CC2
ZINC38478025	S=C1Nc2cccnc2Nc2ccccc21
ZINC38526379	Oc1cc2c(cc1C(F)(F)F)NCC2
ZINC39096559	OC12C=CC=CC1(O)C1CCCCC1O2
ZINC39104468	C=CC1NC(=S)NC1C(C)C
ZINC39104560	CC1CCC(C(C)C)C(O)(O)C1
ZINC39105356	Cc1c(N)cc2c(c1C)OC(C)(C)C2=O
ZINC04104695	CC1(O)CCC2C(C3C1CCC3(C)O)C2(C)C
ZINC04104721	CC1(O)CCC2(C)C(O)CCC3C(C12)C3(C)C
ZINC04825984	CC1(C)C(O)CCC2(C)C(O)CCCC12C
ZINC40186608	Nc1ncc(Br)cc1F
ZINC40539533	N#Cc1c(N)cn2cc(Br)ccc12
ZINC43736437	OC1C2CCCC1C1(O)CCCCC1C2
ZINC43740391	O/N=C1\C2CCCC1C1(O)CCCCC1C2
ZINC44260696	NC(=O)/C=C\c1cc(F)c(F)c(F)c1F
ZINC44261792	Cc1cc(/C=C\C(N)=O)sc1C
ZINC45792660	Nc1ccc(C(=O)Br)cc1
ZINC45806069	CCC1Cc2nc([S-])sc2C[NH2+]1
ZINC49813962	CC1Cc2cc(CO)c(=O)[nH]c2C(C)C1
ZINC24544009	NC(=S)C1=C(N=C2CCCCC2)CCCC1
ZINC00161419	CC(C)(O)C#Cc1ccc(/C=N/O)cc1
ZINC59731692	OCc1c[nH]c2c(F)ccc(F)c12
ZINC12375746	N=C1NC(=O)/C(=C\c2ccccc2)S1
ZINC62522707	Cc1c(N)cc(C)c2oc(C3CC3)nc12
ZINC65337834	[O-]c1c[nH+]cc(-c2cc(O)cc(F)c2)c1
ZINC67172219	CC1(O)CC2CC(C1O)C2(C)C
ZINC19518618	CC(C)c1ccccc1N1CCC(C[NH3+])C1
ZINC20059060	CC([NH3+])COc1ccc(Cl)c(Cl)c1
ZINC20196861	CC(C)(CO)[NH2+]Cc1ccc(Cl)s1
ZINC20260746	CC(C[NH3+])N(C)c1ccccc1C(C)(C)C
ZINC20260752	CC(C[NH3+])N(C)c1ccc(C(C)(C)C)cc1
ZINC20261115	CCN(c1cc(C)ccc1C)C(C)C[NH3+]
ZINC20269656	CC(C)(C[NH3+])c1ccc(N2CCCC2)cc1
ZINC21994536	C=C(C[NH+](N)C(C)C)c1ccc(F)cc1C
ZINC23070051	CC([NH3+])COc1ccc(C(C)(C)C)cc1
ZINC32014063	C[NH2+]CC(O)(c1ccc(C)c(C)c1)C(C)C
ZINC04257063	C[NH2+]C(C)C(O)C12CC3CC(CC(C3)C1)C2
ZINC35380853	CCc1ccc(C([NH3+])c2ccoc2C)s1
ZINC35601363	CC(O)C[NH2+]C(C)c1ccc(Cl)s1
ZINC35602097	CC(CO)[NH2+]C(C)c1ccc(Cl)s1
ZINC35602567	Cc1ccc(C(C)[NH2+]C(C)CO)cc1C
ZINC36846451	CC(O)C[NH2+]C1CC(c2ccc(F)cc2)C1
ZINC04070910	CC(CO)[NH2+]CC12CC3CC(CC(C3)C1)C2
ZINC38120223	CC[NH2+]C1(CO)CCCCc2ccccc21
ZINC38120313	CC[NH2+]C(CO)c1ccc2ccccc2c1
ZINC38120365	CC[NH2+]C(CO)c1cccc2ccccc12
ZINC40641308	CC(C)Oc1cccc(C2CC2C(C)[NH3+])c1
ZINC40641314	CC(C)Oc1cccc(C2CC2C(C)[NH3+])c1
ZINC41053998	Cc1cc(OC(C)C(C)[NH3+])ccc1C(C)C
ZINC41054043	CC([NH3+])C(C)Oc1cccc2ccccc12
ZINC41054051	CC([NH3+])C(C)Oc1ccc2ccccc2c1
ZINC41054055	CC(C)c1ccccc1OC(C)C(C)[NH3+]
ZINC42592770	CCC(C(C)C)[NH+]1Cc2ccc(N)cc2C1
ZINC43559428	[NH3+]CCCc1ccc(-c2ccc(F)cc2)o1
ZINC44283116	Cc1ccc2c(CCC[NH3+])c(C)n(C)c2c1
ZINC44406117	CCC([NH3+])Cc1cc(Cl)nc(Cl)c1
ZINC45598823	CC([NH3+])CCCN1CCCc2ccccc21
ZINC45629965	OC1(C[NH2+]CC2CC=CCC2)CCCCC1
ZINC49814089	COC(C[NH3+])c1ccc(C(C)(C)C)cc1
ZINC49816964	CC(C[NH3+])CCN1CCCc2ccccc21
ZINC49985560	Cc1ccccc1N(C)C(C)(C[NH3+])C(C)C
ZINC49985561	Cc1ccccc1N(C)C(C)(C[NH3+])C(C)C
ZINC49990993	Cc1ccc(N(C)CC([NH3+])C(C)C)c(C)c1
ZINC51321793	CCCC(C)C[NH+]1Cc2ccc(N)cc2C1
ZINC55028407	CCC[NH2+]CC1(O)CCCc2ccccc21
ZINC55028879	CC(C)[NH2+]CC1(O)CCc2ccccc2C1
ZINC55029346	CC(C)C1CCC(O)(C[NH2+]C2CC2)CC1
ZINC55030891	CC1CCCCC1(O)C[NH2+]C1CCCC1
ZINC55033089	Cc1ccccc1C(C)(O)C[NH2+]C(C)C
ZINC55033295	Cc1ccccc1C(C)(O)C[NH2+]C(C)(C)C
ZINC55143048	[NH3+]C1CCC(OCC2CCCCC2)CC1
ZINC58055383	CC1(C)C2CCC1(C)C([NH2+]CCCO)C2
ZINC44469388	COCCC1CC(C(C)(C)C)CCC1[NH3+]
ZINC45629499	OC1CCCCC1[NH2+]CC1CC=CCC1
ZINC62993395	Cc1ccc(C(C)NC(=[NH2+])C2CC2)s1
ZINC63025071	CCCC([NH3+])Cc1nccc2sccc12
ZINC01703164	CC[NH+](CC)CCC[NH2+]C(c1ccccc1)C(Cl)(Cl)Cl
ZINC02863607	O=C1N(Cc2ccccc2)C(c2ccccc2)=[NH+]C1(Nc1cccc[nH+]1)C(F)(F)F
